uniprot_id,protein,gene,description,gene_symbol,OP_S06_Pre,OP_S11_Pre,OP_S12_Pre,OP_S17_Pre,O_S05_Pre,O_S06_Pre,O_S07_Pre,O_S10_Pre,O_S16_Pre,O_S17_Pre,O_S24_Pre,O_S28_Pre,O_S29_Pre,O_S32_Pre,O_S35_Pre,OP_S06_Post,OP_S11_Post,OP_S12_Post,OP_S17_Post,O_S05_Post,O_S06_Post,O_S07_Post,O_S10_Post,O_S16_Post,O_S17_Post,O_S24_Post,O_S28_Post,O_S29_Post,O_S32_Post,O_S35_Post,YP_S14_Pre,YP_S45_Pre,YP_S56_Pre,Y_S01_Pre,Y_S07_Pre,Y_S10_Pre,Y_S11_Pre,Y_S16_Pre,Y_S28_Pre,Y_S30_Pre,Y_S31_Pre,Y_S32_Pre,Y_S34_Pre,Y_S35_Pre,Y_S36_Pre,Y_S40_Pre,YP_S14_Post,YP_S45_Post,YP_S56_Post,Y_S01_Post,Y_S07_Post,Y_S10_Post,Y_S11_Post,Y_S16_Post,Y_S28_Post,Y_S30_Post,Y_S31_Post,Y_S32_Post,Y_S34_Post,Y_S35_Post,Y_S36_Post,Y_S40_Post,logFC,CI.L,CI.R,average_intensity,t,B,P.Value,adj.P.Val,pi_score,sig_pi
A8MU46,SMTL1_HUMAN,SMTNL1,Smoothelin-like protein 1,,23.36832004,23.95013271,23.05181354,21.42194824,24.03446323,22.28228469,23.84404626,23.85199278,23.40145274,23.48136499,23.71162418,23.72392996,23.50307182,23.22650656,23.30549009,22.50044854,23.33192535,22.62690568,21.87310367,23.55495197,22.73785883,23.0576818,24.28217833,22.90955208,22.80151837,23.48708775,22.85411428,23.98268103,24.07961166,23.84240435,23.22759181,23.77190579,23.77289715,23.72843548,23.43712821,24.00262692,21.25649811,23.75332745,23.85232243,24.40460843,23.24963303,23.88536834,23.32082474,23.56183153,23.67281268,23.63800862,23.14417227,23.77712526,23.07174699,23.43836135,22.91545491,23.32159809,22.86710181,24.0508874,23.93614966,24.24725999,22.81760625,24.44316269,24.14102015,23.19755918,24.17827652,23.54275969,0.04049813,-0.644188977,0.725185236,23.41462143,0.118233976,-6.061942411,0.906264182,0.963674583,0.996021928,0
A8MXV4,NUD19_HUMAN,NUDT19,Nucleoside diphosphate-linked moiety X motif 19,,NA,17.30891089,17.1398156,17.4169767,16.60938857,17.20720773,NA,16.11543983,NA,16.04432195,16.43258248,16.33374811,17.40541122,17.39733999,17.95164171,NA,17.9032075,17.59465381,NA,17.25629687,17.42978499,16.50614798,16.84391791,16.83116731,17.15198639,17.08585789,16.73399835,NA,15.78012563,16.72862907,NA,NA,16.80257627,NA,18.66400331,18.16515102,17.06094267,NA,17.28848458,NA,17.87259046,NA,NA,16.98619659,16.63232168,17.33443909,16.55675598,17.17028289,16.95562712,16.59356876,17.63651375,18.43290085,NA,16.82567775,NA,NA,NA,NA,17.06561299,17.31539967,NA,17.23046691,0.521133226,-0.243911602,1.286178053,17.11158304,1.373683112,-5.054757744,0.176651265,0.469368624,0.405179556,0
E9PAV3,NACAM_HUMAN,NACA,"Nascent polypeptide-associated complex subunit alpha, muscle-specific form",,23.11729015,23.48017757,23.53587562,23.40479208,23.74595197,23.28546288,23.45619015,23.54419747,23.33264342,23.45849438,23.31115614,23.52156032,23.68049452,23.47293912,23.56274179,23.58399207,23.29331161,23.47461539,23.55200674,23.63052916,23.77643689,23.47231904,23.61190194,23.24396082,23.56991476,23.79486236,23.33518686,23.32694088,23.55250128,23.8432814,23.4871781,23.68593911,23.76909403,23.70899815,24.0827804,23.84952414,24.15433581,23.68208216,23.67095565,23.72359986,23.51785296,23.75355141,23.74729545,23.5403882,23.71580153,23.51233435,23.53811031,23.77605239,24.19931205,23.80469482,24.60151615,24.50531976,23.54176934,23.8095732,23.73703462,24.0228429,24.17041475,24.0805891,24.07798731,24.09368408,23.79160967,24.13244205,0.341228695,0.078008832,0.604448558,23.68478053,2.591351718,-3.007866239,0.011902865,0.120452434,0.220473842,0
L0R6Q1,S35U4_HUMAN,SLC35A4,SLC35A4 upstream open reading frame protein,,18.7580149,18.71189622,18.61970471,19.06656576,18.93715123,18.69565421,17.7731136,18.56664636,18.45651562,18.40603088,18.17607398,NA,18.53569155,17.77789862,18.91365774,NA,18.95826027,18.78467311,19.21399894,18.32200468,18.29926559,18.17308871,18.3481256,19.12845794,18.47305159,NA,18.70188629,NA,18.8284459,18.66051048,19.16065431,NA,18.57171516,18.91384043,NA,NA,NA,18.80131174,18.55098787,19.02717472,18.56233999,18.31069161,19.42205986,18.74066925,18.49218242,18.07404884,18.46357753,18.53921405,18.67710561,18.50889421,NA,NA,NA,19.12452531,18.19296168,18.51995946,18.43689075,18.98954132,19.31826498,18.73068879,18.59168069,17.7131694,0.314158909,-0.134220946,0.762538765,18.62197126,1.406586311,-5.080003385,0.165608562,0.457545731,0.568418101,0
O00151,PDLI1_HUMAN,PDLIM1,PDZ and LIM domain protein 1,,23.25522874,23.12513621,22.3568999,22.58364116,23.19756023,23.44360143,21.22114183,23.11593231,23.97738689,23.01782646,22.68478577,22.25638447,23.66150288,22.7331324,23.47552468,22.59345592,23.39417185,22.4154847,22.39618159,23.14408907,23.69666538,22.4607741,22.28927307,23.9091713,23.17149244,22.90299446,21.81634214,22.35750124,22.89961976,22.71064479,21.94085998,20.6060411,21.79293717,22.13248302,21.95363884,22.14820164,21.70158988,22.26413859,22.40588842,22.8112446,22.65683444,22.10296592,21.39217442,21.13525573,21.7908495,21.9022404,21.70834425,20.7776821,21.26794894,22.32068179,22.31111358,23.0785407,21.83781776,21.97839634,21.93468555,22.30797644,21.69353672,20.93651773,21.53973952,21.43959056,21.66035146,21.72894097,-1.149149949,-1.777088592,-0.521211305,22.34714121,-3.65812859,-0.267024547,5.26E-04,0.026474536,1.70E-04,-1
O00159,MYO1C_HUMAN,MYO1C,Unconventional myosin-Ic,,NA,18.69630479,NA,18.94763112,19.15418566,18.89025261,18.25314933,17.94537346,18.85722594,18.72665785,17.858976,18.6505388,18.90770742,18.72258657,18.75952803,18.48730781,18.77951927,18.35984405,18.75550659,18.41293049,18.42807145,18.00630791,18.28894019,18.57290391,18.48607899,18.77776435,18.67267877,18.51676715,18.87824924,18.12041544,18.476331,NA,18.68737718,NA,18.7902454,18.90890301,18.58446565,17.97213392,18.01762231,17.76783769,18.30228111,18.33162539,18.47156731,18.49557865,17.85846939,NA,18.91161907,NA,19.1594979,NA,18.69806575,19.73516314,18.13190295,NA,18.50505296,NA,NA,18.43802077,NA,18.1800616,17.70256986,NA,-0.41915095,-0.886636423,0.048334522,18.5207959,-1.80084338,-4.50012208,0.077754125,0.322378313,0.342803839,0
O00168,PLM_HUMAN,FXYD1,Phospholemman,,19.16351031,20.05332866,20.22350623,19.75207564,19.14375903,19.84147115,NA,18.72949859,18.51454884,20.04181128,18.62572614,20.04135403,19.56006569,19.99501565,19.52354276,19.31887139,19.4392055,20.62437837,NA,19.40398371,20.20307312,20.06353117,19.3425908,19.43218163,19.86796653,18.7943951,19.05260688,19.31759064,19.05010033,20.18800434,20.08094517,NA,20.45646466,20.4868584,20.78223876,20.55468661,20.14695151,NA,19.88737093,19.09004861,19.74318183,20.50125371,20.26322119,18.81906099,19.76471197,20.58979418,19.93607718,NA,19.09760237,20.09751691,21.12926411,20.98200921,NA,20.30798927,20.55201622,19.65198572,20.71712649,20.97656296,20.7153724,18.80220609,19.4595322,20.38962302,0.619290778,-0.052685444,1.291267,19.84445297,1.846141948,-4.446332867,0.070154529,0.305302119,0.192918087,0
O00186,STXB3_HUMAN,STXBP3,Syntaxin-binding protein 3,,18.34654123,18.61396994,18.43164019,17.63032663,18.52047788,18.12515643,18.38515397,18.7356126,17.86014484,18.44529383,18.11666569,18.72037036,18.31028598,18.10494763,17.79315525,18.89099031,18.64125239,18.31025558,NA,18.373476,18.12417551,18.52127326,NA,17.8750049,18.34593399,18.39400025,17.94379859,18.78898729,18.7594514,18.51185849,NA,18.44180171,18.38579324,18.25431692,18.55021905,18.36166622,18.30750375,18.61779726,18.21053299,18.39034049,NA,NA,NA,18.28140159,NA,18.5278475,17.92500096,NA,18.24806603,17.99102413,18.48677576,18.18978511,18.34746119,NA,18.18904128,18.0003856,17.83676049,18.22013326,17.82179684,17.4305627,17.87135374,19.06782483,0.235138442,-0.143758817,0.614035701,18.29387534,1.244710404,-5.292784627,0.218708934,0.520325529,0.699483128,0
O00217,NDUS8_HUMAN,NDUFS8,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial",,22.28761454,23.0788759,22.67885754,23.34341288,22.46096375,23.64209996,22.04865195,22.82075054,23.08636052,22.07046588,22.36856088,22.62642755,22.73416448,22.81090391,23.00344809,21.71250817,22.92386719,22.44493281,22.94246174,23.27112811,22.61978314,23.26724995,23.22383254,22.98944104,22.50428189,22.71910341,22.69160218,22.6212948,22.64229751,22.41611059,22.99023512,22.64460316,22.91736215,22.76064035,23.05563879,22.58372978,23.38864123,23.33627418,22.41011477,22.26926841,22.69433745,22.44817325,23.09363155,22.41387436,22.30745266,22.67720618,22.11156693,22.47993669,21.39204056,23.09064823,22.46291624,22.40945035,22.67644972,23.63446947,22.74166825,21.90956035,21.7605195,21.94346688,22.2275653,22.44338181,22.38624881,22.2473113,0.007234181,-0.488150015,0.502618376,22.6445135,0.029190846,-6.068260892,0.976806067,0.99086083,0.999830249,0
O00231,PSD11_HUMAN,PSMD11,26S proteasome non-ATPase regulatory subunit 11,,21.19340979,21.78977036,21.8480163,21.76623425,21.78178302,21.6116447,21.97295509,21.67913579,21.69802689,21.9982323,21.59538686,21.85410032,21.64597366,21.73962052,21.74172686,21.69905239,21.84328969,21.92935793,21.55824973,21.73444202,21.77852912,21.7189279,21.68895536,21.84465498,21.66154417,21.94465849,21.69912638,21.8320995,21.96632904,21.97445098,21.7713221,21.78671181,21.76038401,21.87903755,21.72781675,21.5998292,21.67289624,21.88778354,21.78807333,22.18333165,21.68276753,21.90400578,21.76264171,21.83110305,21.84065309,22.04546857,21.86978866,21.95710734,22.20003974,21.86015575,21.95425327,21.69906603,21.70211626,21.78560453,22.12363331,22.13920394,22.27292228,22.06609875,21.94084163,21.90647542,21.94356613,22.28758104,0.156348074,-0.04882933,0.361525478,21.83261233,1.523219464,-4.973196764,0.132784299,0.420991107,0.729299104,0
O00232,PSD12_HUMAN,PSMD12,26S proteasome non-ATPase regulatory subunit 12,,20.37926169,20.56058569,20.70387884,20.61360402,20.50675244,20.45773017,20.96823699,20.36005312,20.19649737,20.6060374,20.35942361,20.49742908,20.18501249,19.86520884,20.46350696,20.50451562,20.0430889,20.73864476,20.72698298,20.22151501,20.28928976,20.14039299,20.70771521,20.49325523,20.19548581,20.67648296,20.44857726,19.79991869,20.50093771,20.51247232,20.85963247,20.87706789,20.70455448,20.96544892,20.70103611,20.33674332,20.24953627,20.75729702,20.74244097,20.8747613,19.72885372,20.7406906,20.53088992,20.28844584,20.77014755,20.88846288,20.71368001,20.53286912,20.89539336,20.81523184,20.60310115,20.44117788,19.61255425,20.76552658,21.01547755,20.86487558,21.04815877,21.00599339,20.82575735,20.66148116,20.75151951,20.93325999,0.129523101,-0.223901601,0.482947803,20.55200904,0.732571149,-5.811497621,0.466578308,0.737329063,0.905978894,0
O00233,PSMD9_HUMAN,PSMD9,26S proteasome non-ATPase regulatory subunit 9,,18.31752949,18.01003335,18.0955284,17.5295297,18.52684464,17.82075432,17.979048,18.04062785,17.76887315,18.17873281,18.19057845,18.07001668,17.79126645,17.69098508,17.86016795,18.16310421,17.92856122,18.07414331,18.09731232,17.84414589,17.77877272,17.9769974,18.55551253,17.63839316,17.81945552,18.30902322,18.12900239,18.06152708,18.31648522,18.20933993,18.13774798,18.31230967,17.91717459,17.67495143,17.61090795,18.01126401,18.45085818,18.52091239,17.96412175,18.20601117,17.78328432,17.89271324,17.46113358,18.0913576,18.35597574,18.3080606,17.96542883,18.51755816,17.70862396,17.93316307,18.51966896,18.54609723,18.08364831,18.56023002,18.10849283,18.16863669,17.88225951,17.99067671,18.05039289,18.35489238,18.67463116,18.34293393,0.12105691,-0.198264254,0.440378074,18.07868405,0.757811786,-5.793557721,0.451432117,0.727727842,0.908209478,0
O00264,PGRC1_HUMAN,PGRMC1,Membrane-associated progesterone receptor component 1,,NA,18.99476714,19.25016104,NA,19.51641774,NA,NA,NA,NA,18.75982382,NA,NA,18.70719239,19.37445106,18.60956405,19.40666835,18.87638416,18.44663313,NA,17.81187158,18.02948827,NA,NA,NA,18.88977135,18.34725636,18.58268626,19.53630847,19.8677264,19.84782984,NA,NA,18.22029334,NA,19.81630109,19.82954955,20.02534772,19.10370746,NA,18.24687369,NA,18.12293545,NA,NA,NA,18.19071365,NA,NA,18.96314423,NA,19.43533137,19.74470399,NA,NA,NA,18.76173918,NA,NA,NA,17.94925945,NA,18.98467423,-0.184789274,-1.250469152,0.880890604,18.94529924,-0.353182843,-5.688627159,0.726263785,0.889977798,0.942609327,0
O00299,CLIC1_HUMAN,CLIC1,Chloride intracellular channel protein 1,,19.58721104,19.25944821,19.29292147,19.12442799,18.97321018,19.11676902,18.65234338,19.0399227,19.34998637,19.08337051,19.37345169,19.43945326,19.20525235,19.77902993,18.98583302,19.78353777,19.70843912,19.35621369,19.16673041,19.00315934,20.58342078,19.62325993,18.86178246,19.41796205,19.33926264,18.83221201,19.41627563,19.46592552,19.26593212,19.73785455,18.95288623,19.22318468,19.36412562,19.47781842,19.90545119,19.89804742,18.76676888,19.41879219,19.03690028,18.92976572,19.2097075,19.19651474,19.54170338,19.16553211,19.04331404,19.10560992,19.52590079,19.10274722,19.56362759,19.6804378,20.24113631,20.635874,NA,19.47991173,19.08593608,19.66149226,19.9406334,19.51983337,19.12385996,19.41873542,19.57403981,19.25108993,0.267204697,-0.149359564,0.683768958,19.37485208,1.282634637,-5.287542464,0.2044686,0.501683398,0.654329041,0
O00303,EIF3F_HUMAN,EIF3F,Eukaryotic translation initiation factor 3 subunit F,,19.04392703,19.8760132,19.60272822,19.38476192,19.80030673,19.73179724,19.57541908,19.94870879,20.02019221,19.63705114,19.19177591,19.70368802,20.10207174,19.68624946,19.92014859,19.42980836,19.79533205,19.43154617,19.18971119,19.94259436,19.83720485,19.66638242,19.52218022,19.88183619,19.76520749,19.59625198,19.53870913,19.79664959,19.66564239,19.97355765,19.22055456,19.20664382,19.71194131,19.82541997,19.31398939,19.40662992,19.37356417,19.84027407,19.70618223,19.69104336,19.98762112,19.74256726,19.63228212,19.48587429,19.66204023,19.47136853,19.80662256,19.52916323,19.92187021,19.41179211,19.96878824,20.01373149,19.36178582,19.25880122,19.87352032,19.83561671,19.82375585,19.37172363,19.26751588,19.77654317,19.58090505,20.19516712,-0.114596197,-0.422280434,0.193088041,19.65375407,-0.744499536,-5.80309378,0.459384671,0.731669599,0.914716918,0
O00330,ODPX_HUMAN,PDHX,"Pyruvate dehydrogenase protein X component, mitochondrial",,23.07507154,23.52696659,23.49114038,23.61965284,23.18230998,23.61774076,23.25200007,23.07623604,23.32099131,23.37046278,23.68985753,23.36868158,23.64578304,23.5607207,23.74882843,22.76306651,23.39023423,23.53358255,23.64540521,23.48185514,22.70784223,23.52405434,23.33877462,23.43726278,23.48941177,23.55277737,23.54336131,23.08247399,23.35090063,23.24050466,23.44987646,23.42411212,23.60642942,23.34095403,23.60505555,23.63736249,23.69745773,23.41260325,23.48386417,23.34225994,23.62627069,23.42199953,23.73052622,23.41632794,22.99455914,23.2742082,23.48807225,23.28888182,23.37966452,23.44111847,23.5945383,23.68737055,23.59759675,23.49610635,23.46362824,23.35110739,23.67455522,23.3319859,23.56095999,23.34173644,23.17043867,22.88001979,-0.067600306,-0.331308028,0.196107415,23.41676772,-0.512419082,-5.94255183,0.610176954,0.826199909,0.967156481,0
O00399,DCTN6_HUMAN,DCTN6,Dynactin subunit 6,,NA,15.70972771,16.00318083,NA,NA,15.32968629,NA,NA,14.98081851,NA,NA,15.90799621,15.6414552,15.84130281,15.87110122,15.72097587,15.34751417,16.07596294,15.79026794,15.07794513,15.9987509,NA,NA,15.82574746,NA,15.81588541,NA,15.55006176,15.79575631,16.15997025,NA,NA,15.86987245,16.02441124,NA,NA,NA,16.20425554,16.22715767,NA,NA,NA,NA,15.54816431,NA,NA,15.8657878,NA,16.51189517,NA,NA,NA,NA,NA,NA,16.39189201,NA,16.80213005,NA,NA,15.76872268,NA,0.427639404,-0.14504988,1.000328688,15.85028951,1.527100029,-4.699255664,0.137551476,0.427549684,0.428128161,0
O00410,IPO5_HUMAN,IPO5,Importin-5,,21.65096716,21.63694884,21.68065093,21.44069959,21.96194454,21.32906831,21.78568744,21.24777255,21.58048982,21.55680733,21.76725131,21.47465985,21.47718666,21.73439244,21.64291798,21.51990234,21.50148247,21.57747841,21.58489308,21.53044511,21.69903746,21.51868635,21.37612231,21.47211437,21.74115012,21.6210762,21.48067683,21.86290814,21.64834215,21.71429255,21.44722187,21.49866059,21.58730887,22.05996338,21.66940399,21.76401248,21.61290035,22.00788552,21.65825658,21.75382783,21.66246592,21.79909773,21.771598,21.4716168,21.83889431,21.68093521,21.79981813,21.5294925,21.8983415,21.63143312,21.68763072,21.786177,21.48018558,21.7772662,21.83521115,21.94807208,21.98949181,22.11104032,21.87073841,21.805444,21.76197524,21.66497204,0.09950098,-0.109738141,0.3087401,21.672216,0.950569659,-5.636997408,0.345510766,0.646114297,0.899655989,0
