gene,trait,cor,pval,padj,stars,module
CA2,Age,0.4078724866240947,0.022745306576830434,0.09985744350803606,,Pink
NACA,Age,-0.6206637160045763,1.951612448358165e-4,0.003512902407044697,**,Brown
EIF2B1,Age,-0.7098338086390766,7.747380684919808e-6,6.972642616427827e-4,***,Brown
S100A16,Age,-0.5396065112785942,0.0017313021453067964,0.01687820117666481,*,Brown
MOB4,Age,-0.33541180581057634,0.06509637221611402,0.1802668769061619,,Brown
KPNB1,Age,-0.6640127934269303,4.644637139261449e-5,0.0017310200285905204,**,Brown
TNPO1,Age,-0.4103286796562714,0.021862587254245617,0.09838164264410527,,Brown
S100A6,Age,-0.2609715763180914,0.1561826166001428,0.32689384869797333,,Brown
PSMD14,Age,-0.645870226992257,8.701579778070342e-5,0.0022375490857895167,**,Brown
DCTN6,Age,-0.6024525901035397,3.354590765687479e-4,0.004786683957470228,**,Brown
SPAG9,Age,-0.5671975817875328,8.767730941908618e-4,0.009863697309647194,**,Brown
PSMD13,Age,-0.5383921444999433,0.0017815879019812855,0.01687820117666481,*,Brown
FAM120A,Age,-0.417043589316277,0.01959235986402294,0.09042627629549048,,Brown
USP5,Age,-0.1565395364864887,0.4003697751542846,0.5630199963107128,,Brown
REEP5,Age,-0.2991886069003901,0.10203724398628229,0.24166715680961592,,Brown
GCN1,Age,-0.2870509265430843,0.11741630349852523,0.26753081809790563,,Brown
CMPK1,Baseline VL,0.03460720234219995,0.8533689427647496,0.914323867247946,,Turquoise
MYOF,Baseline VL,0.22499365660106088,0.22363854232312091,0.39856373879368084,,Turquoise
OSBPL11,Baseline VL,0.038937867519841365,0.8352551984775771,0.9050836889588386,,Turquoise
VPS13A,Baseline VL,0.04757264944883195,0.7993933668010288,0.8773829635621049,,Turquoise
ASPSCR1,Baseline VL,0.1775112712201087,0.3394047640655844,0.5133853574101277,,Turquoise
YBX3,Baseline VL,0.20317993989141475,0.27296758952034916,0.4481012511345165,,Turquoise
RRM2B,Baseline VL,0.34815757143736104,0.05494195511804287,0.1621238019876675,,Turquoise
ALKBH3,Baseline VL,0.3034668668732798,0.09699538928936365,0.2359347307038575,,Turquoise
RPS7,Baseline VL,0.2102385729024634,0.2562915717116643,0.4311447000756969,,Turquoise
CLCC1,Baseline VL,0.11275836523476178,0.5458810551167543,0.6823513188959429,,Turquoise
SNRNP70,Baseline VL,0.21569266272064688,0.24387531531104084,0.4180719691046414,,Turquoise
ATP6V1E1,Baseline VL,0.009442939770037889,0.9597904825798894,0.9705746453055062,,Turquoise
PIP4K2A,Baseline VL,0.11155739090698473,0.5501933520622252,0.6829986439393141,,Turquoise
CUL2,Baseline VL,0.08050790570469789,0.6668111398718144,0.7644968482606789,,Turquoise
ATP6V1H,Baseline VL,0.16178133517489057,0.3845777915613261,0.5537920198483096,,Turquoise
A2M,Baseline VL,-0.10050220272402689,0.5906166790410148,0.7195813686933348,,Pink
CAT,Baseline VL,-0.1382322288271748,0.45833708973704146,0.6156766877064737,,Pink
HP,Baseline VL,-0.2465898207813583,0.18112709350248535,0.3582733717631578,,Pink
BLVRB,Baseline VL,-0.10470199848938071,0.5751081778468166,0.7090374795371711,,Pink
FABP5,Baseline VL,0.09427836758744898,0.6139278709613321,0.7318345481658264,,Pink
IGLC3,Baseline VL,-0.16389157721546654,0.3783236426005785,0.5491794811943882,,Pink
KLHDC8B,Baseline VL,-0.16547885424927608,0.37365875593069775,0.5491794811943882,,Pink
DEFA3,Baseline VL,-0.03786949463843648,0.8397165336451446,0.9050836889588386,,Pink
SNCA,Baseline VL,-0.23760883484921802,0.19805563523980557,0.3746615861503882,,Pink
CFH,Baseline VL,-0.11406364625294675,0.541212309038474,0.6812462631253519,,Pink
PPIA,Baseline VL,0.012432779067963843,0.9470748519175033,0.9705746453055062,,Pink
LXN,Baseline VL,0.13411567975934832,0.4719573341284954,0.6229598363154665,,Pink
NME1,Baseline VL,-0.18589992922356108,0.316693675677725,0.4872210395041923,,Pink
SYNJ2,Baseline VL,-0.23670422532849394,0.19981951261354036,0.3746615861503882,,Pink
CA2,Baseline VL,-0.3077979145332385,0.0920858045036493,0.22706088781721745,,Pink
NACA,Baseline VL,0.09213538449309604,0.6220422556986251,0.7366289870115297,,Brown
EIF2B1,Baseline VL,-0.0010738159491921829,0.9954257122581551,0.9954257122581551,,Brown
S100A16,Baseline VL,-0.09834722422875061,0.5986443880977916,0.7223911995350915,,Brown
MOB4,Baseline VL,-0.2080570598809598,0.26137214453924545,0.43562024089874246,,Brown
KPNB1,Baseline VL,0.15234891552013408,0.4132560162807417,0.56783269412621,,Brown
TNPO1,Baseline VL,-0.15986218030394694,0.39031726400790534,0.5575960914398648,,Brown
S100A6,Baseline VL,-0.18846123394800637,0.309952224912181,0.48514261290602245,,Brown
PSMD14,Baseline VL,0.09745208676642753,0.6019926662792429,0.7223911995350915,,Brown
DCTN6,Baseline VL,0.10022254823181269,0.5916557920367419,0.7195813686933348,,Brown
SPAG9,Baseline VL,-0.1945359087421548,0.2943253800851584,0.46472428434498697,,Brown
PSMD13,Baseline VL,0.04975619274350367,0.7903848316644015,0.872817605518971,,Brown
FAM120A,Baseline VL,-0.24877163133217306,0.17717305560092508,0.3562914578456389,,Brown
USP5,Baseline VL,-0.06728496657424507,0.7191164998587457,0.809006062341089,,Brown
REEP5,Baseline VL,-0.11522424711472656,0.5370769903396508,0.6808018187404025,,Brown
GCN1,Baseline VL,-0.08593650509803474,0.6457576621786594,0.7499121238203786,,Brown
CMPK1,Delta VL,0.48735924846877887,0.005422620492743701,0.03904286754775465,*,Turquoise
MYOF,Delta VL,0.47308671871934405,0.007191437759149548,0.04794291839433032,*,Turquoise
OSBPL11,Delta VL,0.4248972775850233,0.017188062613157522,0.08554247283326881,,Turquoise
VPS13A,Delta VL,0.44113889233282755,0.012986964910532493,0.07083799042108632,,Turquoise
ASPSCR1,Delta VL,0.40129295104203666,0.02525527221798918,0.10571974416832682,,Turquoise
YBX3,Delta VL,0.427297083011457,0.016504279267489475,0.08487915051851731,,Turquoise
RRM2B,Delta VL,0.3812263794687045,0.03434454613461738,0.12616363886185977,,Turquoise
ALKBH3,Delta VL,0.421952979771059,0.018058966487023417,0.08554247283326881,,Turquoise
RPS7,Delta VL,0.4535482686917298,0.010389782904277787,0.06233869742566672,,Turquoise
CLCC1,Delta VL,0.3917483017563293,0.029295737872580337,0.11463549602314045,,Turquoise
SNRNP70,Delta VL,0.37962828680688465,0.035169502265621495,0.1261985981289532,,Turquoise
ATP6V1E1,Delta VL,0.4457540675386079,0.01196389984676373,0.06746975209251989,,Turquoise
PIP4K2A,Delta VL,0.42327355281458584,0.017663929954175303,0.08554247283326881,,Turquoise
CUL2,Delta VL,0.4547506547642237,0.010163233787451854,0.06233869742566672,,Turquoise
ATP6V1H,Delta VL,0.39661040153956456,0.02717632458103884,0.10870529832415536,,Turquoise
A2M,Delta VL,0.3535426714537989,0.05104716396334203,0.15811756468262708,,Pink
CAT,Delta VL,0.23396147541417373,0.20523385386113482,0.3771930942290779,,Pink
HP,Delta VL,-0.2180968459387092,0.23853149689744568,0.4168511596266041,,Pink
BLVRB,Delta VL,-0.25794078610847104,0.1612218241596525,0.32977191305383463,,Pink
FABP5,Delta VL,-0.33935019725243937,0.061813600985594484,0.17385075277198447,,Pink
IGLC3,Delta VL,0.23049413764141882,0.2122219739229375,0.3858581344053409,,Pink
KLHDC8B,Delta VL,0.3007096065274545,0.10022263802537437,0.2405343312608985,,Pink
DEFA3,Delta VL,-0.23389782788620206,0.2053606846358313,0.3771930942290779,,Pink
SNCA,Delta VL,0.19942826651471596,0.28211052996740205,0.45339192316189614,,Pink
CFH,Delta VL,-0.18227751390141445,0.3263822584023309,0.49787124163067425,,Pink
PPIA,Delta VL,-0.3755440399044954,0.03735078028436851,0.1268517066261572,,Pink
LXN,Delta VL,0.2904242155172634,0.11297938966785019,0.26072166846426964,,Pink
NME1,Delta VL,-0.3411503757259698,0.060356986498954296,0.17244853285415512,,Pink
SYNJ2,Delta VL,0.17363420702181873,0.35022713222065216,0.5249428879092033,,Pink
CA2,Delta VL,-0.31621934960136605,0.08308331149519295,0.21063374745260185,,Pink
NACA,Delta VL,0.5107084918895227,0.0033279523084390507,0.027228700705410416,*,Brown
EIF2B1,Delta VL,0.5263180030718523,0.0023548534590819366,0.020184458220702313,*,Brown
S100A16,Delta VL,0.49115970176019313,0.005019811354729649,0.03822166923955248,*,Brown
MOB4,Delta VL,0.4456107372309862,0.011994622594225757,0.06746975209251989,,Brown
KPNB1,Delta VL,0.4051830674900821,0.023745257492717522,0.10176538925450367,,Brown
TNPO1,Delta VL,0.3722261962955193,0.039201884888303916,0.12829707781626737,,Brown
S100A6,Delta VL,0.38394024388691766,0.032979527783860284,0.12367322918947607,,Brown
PSMD14,Delta VL,0.42745871565064164,0.016459049899646458,0.08487915051851731,,Brown
DCTN6,Delta VL,0.39666932210677824,0.0271514310242046,0.10870529832415536,,Brown
SPAG9,Delta VL,0.3785099510416849,0.035756269469870074,0.1261985981289532,,Brown
PSMD13,Delta VL,0.36562035933744963,0.0431069060315958,0.13855791224441508,,Brown
FAM120A,Delta VL,0.35446769586447263,0.05040074115398414,0.15811756468262708,,Brown
USP5,Delta VL,0.3282174176701699,0.07144309224732316,0.18911406771350248,,Brown
REEP5,Delta VL,0.2838574290024099,0.12173486705562914,0.27390345087516554,,Brown
GCN1,Delta VL,0.32985369125298053,0.06995906378519523,0.18794972360201706,,Brown
CMPK1,Delta LBM,-0.15520560210257814,0.4044466053038781,0.564344100424016,,Turquoise
MYOF,Delta LBM,0.016291873825320036,0.9306816205886446,0.9683392584159307,,Turquoise
OSBPL11,Delta LBM,-0.28018464144572086,0.12684571271186634,0.2818793615819252,,Turquoise
VPS13A,Delta LBM,-0.24823176081142992,0.17814572892281946,0.3562914578456389,,Turquoise
ASPSCR1,Delta LBM,-0.17269549012100344,0.3528782746500756,0.5249428879092033,,Turquoise
YBX3,Delta LBM,0.08667546695626849,0.6429120052235063,0.7499121238203786,,Turquoise
RRM2B,Delta LBM,-0.21615018325798693,0.2428522924772092,0.4180719691046414,,Turquoise
ALKBH3,Delta LBM,-0.1369593052289378,0.46252630075099577,0.616701734334661,,Turquoise
RPS7,Delta LBM,0.12474383686568356,0.5037368242552195,0.654007890054824,,Turquoise
CLCC1,Delta LBM,-0.15236750351607536,0.41319834938595923,0.56783269412621,,Turquoise
SNRNP70,Delta LBM,-0.15765574034555724,0.3969764347800999,0.5626437658300628,,Turquoise
ATP6V1E1,Delta LBM,-0.2404464353319257,0.1925927429344747,0.37276014761511234,,Turquoise
PIP4K2A,Delta LBM,-0.2668174556184759,0.14678433874551516,0.31453786874038964,,Turquoise
CUL2,Delta LBM,-0.08079741753853012,0.6656818646440599,0.7644968482606789,,Turquoise
ATP6V1H,Delta LBM,-0.05394772804291637,0.7731670812385237,0.8590745347094708,,Turquoise
A2M,Delta LBM,-0.27221235109234926,0.13848091279406013,0.3039824914991564,,Pink
CAT,Delta LBM,-0.22240712565541532,0.2291482041870316,0.40437918385946753,,Pink
HP,Delta LBM,-0.19543285293528137,0.2920612074790248,0.46472428434498697,,Pink
BLVRB,Delta LBM,0.21159495800525735,0.2531656362249957,0.42990391057074745,,Pink
FABP5,Delta LBM,0.01064921960786428,0.9546588978991952,0.9705746453055062,,Pink
IGLC3,Delta LBM,-0.22894908512954085,0.2153877166212528,0.38769788991825505,,Pink
KLHDC8B,Delta LBM,-0.4848809760676303,0.005699908493481683,0.03946090495487319,*,Pink
DEFA3,Delta LBM,-0.26207749447840245,0.15437232584190097,0.32689384869797333,,Pink
SNCA,Delta LBM,-0.12436618925377789,0.505039426209003,0.654007890054824,,Pink
CFH,Delta LBM,-0.33342753623302107,0.06680110196806831,0.1821848235492772,,Pink
PPIA,Delta LBM,-0.20028425797361368,0.280007342540304,0.45339192316189614,,Pink
LXN,Delta LBM,-0.3230612251225768,0.07627970585994095,0.19899053702593292,,Pink
NME1,Delta LBM,0.07670519273497146,0.6817096820068502,0.7717468098190757,,Pink
SYNJ2,Delta LBM,-0.05888318572656731,0.753028797402266,0.8418955498907321,,Pink
CA2,Delta LBM,0.03155263256708521,0.8661899527857053,0.9171423029495703,,Pink
NACA,Delta LBM,-0.0866842381673221,0.6428782579832423,0.7499121238203786,,Brown
EIF2B1,Delta LBM,-0.16451456845215012,0.37648868444736916,0.5491794811943882,,Brown
S100A16,Delta LBM,-0.025058781931201157,0.8935538907302168,0.9401920104232526,,Brown
MOB4,Delta LBM,-0.2579485468015917,0.16120877396210076,0.32977191305383463,,Brown
KPNB1,Delta LBM,-0.006633402200786162,0.9717481933522853,0.9771769542090021,,Brown
TNPO1,Delta LBM,-0.20281863206830705,0.2738396534710934,0.4481012511345165,,Brown
S100A6,Delta LBM,-0.29496530429357026,0.10720562164897707,0.25061054411449185,,Brown
PSMD14,Delta LBM,-0.12329381278492316,0.5087474653489888,0.6541038840201285,,Brown
DCTN6,Delta LBM,-0.18651268491932974,0.3150726510025102,0.4872210395041923,,Brown
SPAG9,Delta LBM,0.3465826522088741,0.05612427431804836,0.1629414415685275,,Brown
PSMD13,Delta LBM,-0.14063407195102012,0.450487791667593,0.6096827255651635,,Brown
FAM120A,Delta LBM,-0.24264415322365546,0.1884344588968166,0.36867611523290206,,Brown
USP5,Delta LBM,0.03287573910314851,0.860632159623452,0.9166496374687655,,Brown
REEP5,Delta LBM,-0.023910564140682752,0.8984056988488858,0.9401920104232526,,Brown
GCN1,Delta LBM,0.010824267163465734,0.9539143785141073,0.9705746453055062,,Brown
