gene,Limma Interaction,FCM Core,WGCNA Hubs,DIABLO
CAP2,1,1,0,1
CCT6A,1,1,1,0
EIF2S3,1,1,1,0
AKR1C3,1,1,0,0
VDAC2,1,1,0,0
NDUFV1,1,1,1,0
EMD,1,1,0,0
CAV2,1,1,0,0
NDUFA8,1,1,0,0
ARHGDIB,1,1,0,0
PRKAA2,1,1,0,0
CSE1L,1,1,0,0
NDUFV3,1,1,0,1
NDUFA6,1,1,0,0
ACTB,1,1,0,0
RPS11,1,1,0,0
RPL23,1,1,0,0
RPS15,1,1,0,0
RPL31,1,1,0,0
GRB2,1,1,0,1
UBE2B,1,1,0,0
RPL38,1,1,0,0
RPS21,1,1,1,1
TNNC1,1,1,0,0
ACTA1,1,1,0,0
RPL24,1,1,0,0
RBM3,1,1,0,0
REEP5,1,1,1,0
SET,1,1,0,0
PSME1,1,1,0,0
AIMP2,1,1,0,0
DYNC1I2,1,1,0,0
SCARB2,1,1,0,0
DYNC1H1,1,1,1,0
CAPRIN1,1,1,0,0
GANAB,1,1,0,0
KPNB1,1,1,1,0
UBE3C,1,1,1,0
DHCR24,1,1,0,0
NOMO2,1,1,0,0
ECPAS,1,1,0,0
LAMTOR1,1,1,0,0
TWF2,1,1,0,0
SFXN4,1,1,0,0
CCDC137,1,1,0,0
DHRS11,1,1,0,0
UBN2,1,1,0,0
XIRP1,1,1,0,0
SND1,1,1,0,0
MAVS,1,1,0,0
PRUNE1,1,1,0,0
ACOT1,1,1,0,0
PHYKPL,1,1,0,0
MSRB3,1,1,0,0
MICU2,1,1,0,0
CHDH,1,1,0,0
PREX1,1,1,0,0
NEK9,1,1,0,0
GPT2,1,1,0,0
UTP15,1,1,1,0
IFT81,1,1,0,0
USP9X,1,1,0,0
WBP2,1,1,0,0
CCDC47,1,1,0,0
SLC25A46,1,1,0,0
TMEM143,1,1,0,0
ISOC1,1,1,0,0
MRRF,1,1,0,0
PLEKHF1,1,1,0,0
TSG101,1,1,0,0
MIEN1,1,1,0,0
DCTN5,1,1,0,0
AP1M1,1,1,1,0
COPS7B,1,1,0,0
SSU72,1,1,0,0
HEBP1,1,1,0,0
TOMM22,1,1,0,0
FARSB,1,1,0,0
MAN2C1,1,1,0,0
TMLHE,1,1,0,0
TUBA8,1,1,0,0
CNIH4,1,1,0,0
COPS7A,1,1,0,0
TES,1,1,0,0
NDUFA12,1,1,0,1
TRMT112,1,1,0,0
STUB1,1,1,0,0
PPP6R1,1,1,0,0
USP24,1,1,0,0
APOBEC2,1,1,0,0
PLAA,1,1,0,0
FARSA,1,1,0,0
MOB4,1,1,0,0
DYNC1LI1,1,1,0,0
NDUFB9,1,1,1,0
MMP24OS,0,1,0,0
ESYT2,0,1,0,0
ILVBL,0,1,0,0
FSD2,0,1,0,0
TARS3,0,1,0,0
VWA8,0,1,0,0
CARNS1,0,1,0,0
MAP1LC3B2,0,1,0,0
PGP,0,1,0,0
DHRS7C,0,1,0,0
SMTNL1,0,1,0,0
NUDT19,0,1,0,0
NACA,0,1,1,0
SLC35A4,0,1,0,0
PDLIM1,0,1,0,0
MYO1C,0,1,0,0
FXYD1,0,1,0,0
NDUFS8,0,1,1,0
PSMD11,0,1,0,0
PSMD12,0,1,1,0
PSMD9,0,1,0,0
PGRMC1,0,1,0,0
CLIC1,0,1,0,0
EIF3F,0,1,0,0
PDHX,0,1,0,1
DCTN6,0,1,1,0
IPO5,0,1,0,0
EML1,0,1,0,0
DNM1L,0,1,0,0
RTCA,0,1,0,0
NDUFA4,0,1,0,0
PSMD14,0,1,0,0
KPNA3,0,1,0,0
DDX3X,0,1,0,1
KPNA4,0,1,0,0
CES2,0,1,0,0
FBP2,0,1,0,0
PDXK,0,1,0,1
SDHD,0,1,0,0
COX7A2L,0,1,0,0
GAPDHS,0,1,0,0
HSPB6,0,1,0,0
NDUFAB1,0,1,0,0
IMPA2,0,1,0,0
PDCD5,0,1,0,0
PSMA7,0,1,0,0
OPLAH,0,1,0,1
MGST3,0,1,0,0
RGS12,0,1,0,0
HAT1,0,1,0,0
UQCRQ,0,1,0,1
MYL12B,0,1,0,0
UQCR11,0,1,0,0
CASQ2,0,1,0,0
HGS,0,1,0,0
HNRNPDL,0,1,0,0
XPO1,0,1,0,0
ATP2A1,0,1,0,0
SYNJ2,0,1,0,0
SYNM,0,1,0,0
ARPC1B,0,1,0,0
ARPC2,0,1,0,0
PGRMC2,0,1,0,0
PFDN6,0,1,0,1
NDUFA1,0,1,0,0
SURF4,0,1,0,0
MAPK13,0,1,0,0
TCAP,0,1,0,0
EIF3D,0,1,0,0
EIF3H,0,1,0,1
BCAT2,0,1,0,0
STX7,0,1,0,0
YKT6,0,1,0,0
ARPC5,0,1,0,0
TAPBP,0,1,0,0
DHX15,0,1,0,0
CYB5B,0,1,0,0
NDUFS4,0,1,0,0
DYNC1LI2,0,1,0,0
PSMD3,0,1,1,0
RASA4,0,1,0,1
TXNL1,0,1,0,0
TPD52L2,0,1,0,0
ERI3,0,1,0,0
AKR7A2,0,1,0,0
LAT,0,1,0,0
DENR,0,1,0,1
DNPH1,0,1,0,0
TIMM44,0,1,0,0
TRAPPC3,0,1,0,1
CHMP2A,0,1,0,0
NDUFA2,0,1,0,1
BUB3,0,1,0,0
GSTZ1,0,1,0,0
PRKAB2,0,1,0,0
AP1G1,0,1,0,0
SYNGR2,0,1,0,0
SGTA,0,1,0,0
ENSA,0,1,0,0
SLC25A20,0,1,0,1
NARS1,0,1,0,0
SLC37A4,0,1,0,0
IDH3B,0,1,0,1
CALU,0,1,0,0
AHCYL1,0,1,0,0
TIMM8A,0,1,0,0
PPP1R12B,0,1,0,0
PRPSAP2,0,1,0,0
SPAG9,0,1,0,0
OPA1,0,1,0,0
TBC1D4,0,1,0,0
SYNCRIP,0,1,0,0
SELENOF,0,1,0,0
KLHL41,0,1,0,0
PLIN3,0,1,0,0
KPNA6,0,1,0,0
SNX2,0,1,0,0
USO1,0,1,0,0
TOM1,0,1,0,0
PFKFB2,0,1,0,0
EDF1,0,1,0,0
DNAJA2,0,1,0,0
CUTA,0,1,0,0
PFDN1,0,1,0,0
NOL3,0,1,0,0
WDR1,0,1,0,0
LDB3,0,1,0,0
CLASP2,0,1,0,0
COBL,0,1,0,0
CPNE3,0,1,0,0
CLUH,0,1,0,1
CAND2,0,1,0,0
COQ9,0,1,0,0
GGCT,0,1,0,0
RTN2,0,1,0,1
NIPSNAP2,0,1,0,0
TBCA,0,1,0,0
VPS4B,0,1,0,0
SH3BGRL,0,1,0,0
FLNB,0,1,1,0
CS,0,1,0,0
MTX2,0,1,0,0
VPS26A,0,1,0,0
NDUFB1,0,1,0,0
PMPCB,0,1,0,0
ECI2,0,1,0,0
BANF1,0,1,0,0
CSDE1,0,1,0,0
PRKRA,0,1,0,0
LYPLA1,0,1,0,0
TIPRL,0,1,0,0
PPM1B,0,1,0,0
SLC25A12,0,1,0,1
TCEA3,0,1,0,0
EIF3G,0,1,0,0
EIF3J,0,1,0,0
PSMD10,0,1,0,0
IDH1,0,1,0,0
SCO1,0,1,0,0
ALDH1L1,0,1,0,0
ARL6IP5,0,1,0,0
DYSF,0,1,1,0
PIAS2,0,1,0,0
DCTN3,0,1,0,0
ATP5PD,0,1,0,0
FLOT1,0,1,0,0
ATP5MG,0,1,1,1
SNCG,0,1,0,0
DDAH1,0,1,0,0
TPPP,0,1,1,0
BAIAP3,0,1,0,1
UFL1,0,1,0,0
TMEM63A,0,1,0,0
PLPBP,0,1,0,0
ERLIN2,0,1,0,0
SEC31A,0,1,0,0
MFN2,0,1,0,0
RTN3,0,1,0,0
LETM1,0,1,0,0
STBD1,0,1,0,0
ZRANB2,0,1,0,0
VAPB,0,1,0,0
PGLS,0,1,0,0
LYPLA2,0,1,0,1
IPO7,0,1,0,0
PGM3,0,1,0,1
SVIL,0,1,0,0
AHSA1,0,1,0,0
H6PD,0,1,0,0
MPC2,0,1,0,0
ETHE1,0,1,0,0
ASMTL,0,1,0,0
CDS2,0,1,0,0
OXSR1,0,1,0,0
AP2A1,0,1,0,0
CAVIN2,0,1,0,0
BAG2,0,1,0,0
BAG3,0,1,0,0
MLYCD,0,1,1,0
AIFM1,0,1,0,1
EML2,0,1,0,0
BPNT1,0,1,0,0
ABHD16A,0,1,0,0
TXNDC12,0,1,0,0
CLPTM1,0,1,0,0
MOCS2,0,1,0,0
PEX11B,0,1,0,0
CYB5A,0,1,0,0
ADH1B,0,1,0,0
LDHA,0,1,0,0
ALDH1A1,0,1,0,0
GLUD1,0,1,0,0
CYB5R3,0,1,0,0
GSR,0,1,0,0
MT-CO2,0,1,0,0
SOD1,0,1,0,1
CP,0,1,1,1
F13A1,0,1,0,0
HPRT1,0,1,0,0
GOT2,0,1,0,0
PGK1,0,1,0,0
AK1,0,1,0,0
HP,0,1,0,0
CFB,0,1,1,0
MT-ATP6,0,1,0,0
CA2,0,1,0,1
ASS1,0,1,0,0
SERPINA1,0,1,0,0
SERPINA3,0,1,1,0
AGT,0,1,0,0
A2M,0,1,0,0
C3,0,1,1,0
CST3,0,1,0,0
CSTA,0,1,0,0
JCHAIN,0,1,0,0
IGKV3-20,0,1,0,0
IGHV3-7,0,1,0,0
IGKC,0,1,0,0
IGHG1,0,1,0,0
IGHG2,0,1,0,0
IGHG3,0,1,0,0
IGHM,0,1,0,0
IGHA1,0,1,0,0
HLA-DRB1,0,1,0,0
MB,0,1,0,0
CRYAB,0,1,0,0
KRT14,0,1,0,0
TNNC2,0,1,0,0
APOE,0,1,0,0
APOC2,0,1,0,0
FN1,0,1,0,0
RBP4,0,1,0,0
ORM1,0,1,0,0
TTR,0,1,0,0
ALB,0,1,1,0
TFRC,0,1,0,0
TF,0,1,0,0
FTL,0,1,0,0
MT2A,0,1,0,0
MT-ND3,0,1,0,0
MT-ND4,0,1,0,0
MT-ND5,0,1,0,0
MT-ATP8,0,1,0,1
CAT,0,1,0,0
ALDOA,0,1,0,0
CSTB,0,1,0,0
ANXA1,0,1,0,0
SOD2,0,1,0,1
KRT1,0,1,0,1
VWF,0,1,0,0
GAPDH,0,1,0,0
HLA-A,0,1,0,0
CAPNS1,0,1,0,0
HSPB1,0,1,1,0
RPN1,0,1,0,1
RPN2,0,1,0,0
GNAI2,0,1,0,0
ATP1A1,0,1,0,1
ATP1B1,0,1,0,0
APOD,0,1,0,0
ALDH2,0,1,0,0
S100A8,0,1,0,0
SLC25A5,0,1,0,1
SERPING1,0,1,1,0
PCCA,0,1,0,0
PCCB,0,1,0,0
EIF2S1,0,1,0,0
RPLP1,0,1,0,0
RPLP2,0,1,1,0
RPLP0,0,1,1,0
FABP3,0,1,0,0
CLEC3B,0,1,0,0
SSB,0,1,0,0
ITGB1,0,1,0,0
KRT18,0,1,0,0
KRT8,0,1,0,0
GSN,0,1,0,0
PTMA,0,1,0,0
ATP5F1B,0,1,1,0
S100A9,0,1,0,0
S100A6,0,1,0,0
EIF4E,0,1,0,1
CKM,0,1,0,1
ENO1,0,1,0,0
PYGL,0,1,0,0
GPI,0,1,0,0
NPM1,0,1,0,1
EPHX1,0,1,0,0
DBI,0,1,0,0
LDHB,0,1,0,0
GPX1,0,1,0,0
P4HB,0,1,0,0
CTSD,0,1,0,0
ANXA2,0,1,0,1
CAPN1,0,1,0,0
TUBB,0,1,0,0
DCN,0,1,0,0
PSAP,0,1,0,0
PFN1,0,1,0,0
BPGM,0,1,0,0
APRT,0,1,0,0
CTSB,0,1,0,0
HSP90AA1,0,1,0,0
UQCRH,0,1,0,1
TPM2,0,1,1,1
FH,0,1,1,0
ANXA6,0,1,0,0
PFKM,0,1,0,0
HSP90AB1,0,1,1,1
SOD3,0,1,0,0
PDHA1,0,1,0,0
CYC1,0,1,0,0
CFH,0,1,0,0
SNRNP70,0,1,1,0
VIM,0,1,0,0
SERPINF2,0,1,0,0
RPS17,0,1,0,0
KRT19,0,1,0,1
ANXA5,0,1,0,0
RPSA,0,1,1,0
ENO2,0,1,0,0
ACAA1,0,1,0,0
GSTP1,0,1,0,1
LGALS1,0,1,0,0
QDPR,0,1,0,0
HMGB1,0,1,0,0
FBP1,0,1,0,0
GSTM1,0,1,0,0
TPM1,0,1,1,0
HMOX1,0,1,0,0
DLD,0,1,0,0
HNRNPA1,0,1,0,0
IFIT2,0,1,0,1
LTA4H,0,1,0,0
ALDOC,0,1,0,0
LIMS3,0,1,0,0
HSPA1A,0,1,0,0
IGLC2,0,1,0,0
IGLC3,0,1,0,0
CALM1,0,1,0,0
FDX1,0,1,0,1
COX8A,0,1,0,0
GAA,0,1,0,0
RRAS,0,1,0,0
ARAF,0,1,0,0
DLAT,0,1,0,1
TXN,0,1,0,0
MAPT,0,1,1,0
PRKAR1A,0,1,0,0
ESD,0,1,0,0
HSPD1,0,1,0,0
THRB,0,1,0,1
CLU,0,1,1,0
HSPA5,0,1,0,0
MYH3,0,1,0,0
HSPA8,0,1,0,0
EPB41,0,1,0,0
PDHB,0,1,0,0
DBT,0,1,0,0
PYGB,0,1,0,0
PYGM,0,1,0,0
SPTB,0,1,0,0
LAMP1,0,1,0,0
ACADM,0,1,0,0
UBL4A,0,1,0,0
MTHFD1,0,1,0,0
ADH5,0,1,0,0
PABPC1,0,1,0,0
HARS1,0,1,0,0
COL6A2,0,1,0,0
COL6A3,0,1,0,0
SLC25A4,0,1,0,0
SLC25A6,0,1,0,0
IMPDH2,0,1,0,0
CKB,0,1,0,0
ANXA3,0,1,0,0
BCKDHA,0,1,0,0
ACTN1,0,1,1,0
MYH1,0,1,0,0
PEPD,0,1,0,1
XRCC6,0,1,0,0
XRCC5,0,1,0,0
COX4I1,0,1,0,1
IFITM1,0,1,0,0
LAMP2,0,1,0,0
RNH1,0,1,0,1
MYH8,0,1,0,0
EEF2,0,1,0,1
KRT10,0,1,0,0
KRT5,0,1,0,0
PDIA4,0,1,0,0
TPT1,0,1,0,0
ALAD,0,1,0,0
LCP1,0,1,0,0
PLS3,0,1,0,0
APEH,0,1,0,0
ETFA,0,1,1,0
TNNT1,0,1,0,1
GYS1,0,1,0,0
PRKAR2A,0,1,0,0
ENO3,0,1,0,0
CD59,0,1,0,0
MIF,0,1,0,0
CD99,0,1,0,0
PRKCSH,0,1,0,0
FDPS,0,1,0,0
PKM,0,1,0,0
ACYP2,0,1,0,0
HSP90B1,0,1,1,0
MYL6B,0,1,0,0
SLC2A4,0,1,0,1
IDE,0,1,0,0
JUP,0,1,0,0
UQCRB,0,1,0,0
CPA3,0,1,0,0
FABP4,0,1,0,0
GLUL,0,1,0,0
AKR1B1,0,1,0,0
GSPT1,0,1,0,1
PGAM2,0,1,0,1
UCHL3,0,1,0,1
NME1,0,1,0,0
RPS2,0,1,0,0
COX7C,0,1,0,0
NQO2,0,1,0,0
PFKFB1,0,1,0,0
CBR1,0,1,0,0
ANK1,0,1,0,0
ACADS,0,1,0,0
PPP3CB,0,1,0,0
ATP2A2,0,1,0,0
CD36,0,1,0,0
FAH,0,1,0,0
YBX3,0,1,0,1
GOT1,0,1,0,1
CKMT2,0,1,0,1
PRKACA,0,1,0,0
CAPN2,0,1,1,0
DES,0,1,0,1
PFKL,0,1,0,0
LGALS3,0,1,0,0
PSMC3,0,1,0,0
TCP1,0,1,0,0
RPL35A,0,1,0,0
ARF4,0,1,0,0
RPL7,0,1,1,0
VCL,0,1,0,0
RPL17,0,1,1,0
PGAM1,0,1,0,0
ATP5PF,0,1,0,1
TSPAN8,0,1,0,0
TNNI1,0,1,0,0
NCL,0,1,0,1
HK1,0,1,0,0
SRM,0,1,0,0
TYMP,0,1,0,0
ATP2B1,0,1,0,0
EIF2S2,0,1,0,0
ANXA7,0,1,0,1
TPSB2,0,1,0,1
BTF3,0,1,0,0
PVALB,0,1,0,0
PSMB1,0,1,0,0
CAPN3,0,1,0,0
CAST,0,1,0,0
NEB,0,1,0,1
PTMS,0,1,0,0
GSTM3,0,1,0,0
ATP6V1B2,0,1,0,0
CSRP1,0,1,0,0
FLNA,0,1,1,0
MAOA,0,1,0,0
ACO1,0,1,0,0
GPD1,0,1,0,0
VDAC1,0,1,0,0
BGN,0,1,0,0
RYR1,0,1,0,1
SDHB,0,1,0,0
COMT,0,1,0,0
MMUT,0,1,0,0
OSBP,0,1,0,0
PCMT1,0,1,0,1
GART,0,1,0,0
PAICS,0,1,0,0
SCP2,0,1,0,0
UBA1,0,1,0,0
GPX3,0,1,0,0
NME2,0,1,0,0
FDXR,0,1,0,0
HNRNPA2B1,0,1,0,1
UQCRC2,0,1,0,1
FECH,0,1,0,0
AMPD1,0,1,0,0
FBLN1,0,1,0,1
SFPQ,0,1,0,0
PPIB,0,1,0,0
S100A1,0,1,0,0
ME2,0,1,0,0
WARS1,0,1,0,0
RPS3,0,1,1,0
GCSH,0,1,0,0
CFL1,0,1,1,0
EIF4B,0,1,0,0
ATP2B4,0,1,0,1
CPT2,0,1,0,0
LAMA2,0,1,1,0
GPT,0,1,0,0
COX7A1,0,1,0,1
EEF1B2,0,1,0,0
ATP5PB,0,1,1,0
ACAT1,0,1,0,0
MYL9,0,1,0,0
AZGP1,0,1,0,0
DNAJB2,0,1,0,0
ATP5F1A,0,1,1,1
PSMA1,0,1,0,1
PSMA2,0,1,0,0
PSMA3,0,1,0,0
PSMA4,0,1,0,0
DDX6,0,1,0,1
U2AF2,0,1,0,0
RPL13,0,1,0,1
IVD,0,1,0,0
HMGB2,0,1,0,0
TARS1,0,1,0,0
EEF1G,0,1,0,1
PLN,0,1,0,0
FKBP2,0,1,0,0
STOM,0,1,0,0
MAOB,0,1,0,0
YWHAQ,0,1,0,0
RPL10,0,1,0,0
RPA1,0,1,0,0
CALR,0,1,0,0
MAP4,0,1,0,0
CANX,0,1,0,0
PSMA5,0,1,0,0
PSMB4,0,1,0,0
PSMB6,0,1,0,0
PSMB5,0,1,0,0
GSTM2,0,1,0,0
TMOD1,0,1,0,0
MAPK1,0,1,0,0
RBL1,0,1,0,0
LAP3,0,1,0,0
CD38,0,1,0,0
TPP2,0,1,0,0
IMPA1,0,1,0,0
EPHA2,0,1,0,0
TKT,0,1,0,0
MARCKS,0,1,0,0
GNA11,0,1,0,0
ALDH4A1,0,1,0,0
ERP29,0,1,0,0
PRDX6,0,1,0,0
BLVRB,0,1,0,0
PRDX5,0,1,0,0
DDT,0,1,0,0
PRDX3,0,1,0,0
ATP5F1D,0,1,0,0
RPL12,0,1,0,0
ECHS1,0,1,0,0
CMPK1,0,1,0,0
PEBP1,0,1,0,0
PDIA3,0,1,0,0
PPP2R1A,0,1,0,0
PPIF,0,1,0,0
NMT1,0,1,0,0
ADSS2,0,1,0,0
LRPAP1,0,1,0,0
TSPO,0,1,0,0
ADSL,0,1,0,1
CLIP1,0,1,0,0
SRI,0,1,0,0
SERPINB1,0,1,0,0
SDHA,0,1,0,0
GDI1,0,1,0,0
MAT2A,0,1,0,0
CASQ1,0,1,0,0
DNAJA1,0,1,0,0
AKT2,0,1,0,0
UQCRC1,0,1,0,0
HIBADH,0,1,0,0
ATIC,0,1,0,0
HNRNPH3,0,1,0,0
YWHAB,0,1,0,0
STIP1,0,1,0,0
S100A11,0,1,0,0
PRDX2,0,1,0,0
GBP2,0,1,0,0
ACSL1,0,1,0,0
KIF5B,0,1,0,1
MCM5,0,1,0,0
SHMT1,0,1,0,0
SHMT2,0,1,0,0
HSPA4,0,1,0,0
MPI,0,1,0,0
GPC1,0,1,0,0
PFN2,0,1,0,0
CTNNA1,0,1,0,0
SERPINB6,0,1,0,0
RDX,0,1,0,0
RPA3,0,1,0,0
SPR,0,1,0,0
THBS4,0,1,0,0
FBN1,0,1,0,0
AGL,0,1,0,0
MYH9,0,1,0,0
COPB2,0,1,0,0
ADD1,0,1,0,1
BSG,0,1,0,0
FUS,0,1,0,0
DEK,0,1,0,0
MYH11,0,1,0,0
GLRX,0,1,0,0
PPM1A,0,1,0,0
KRT2,0,1,0,1
HMGCL,0,1,1,1
PSMC2,0,1,0,0
ARL3,0,1,0,0
MAP2K2,0,1,0,0
ATP5F1C,0,1,1,0
ATP6V1E1,0,1,0,0
RPL4,0,1,0,0
LONP1,0,1,0,0
PGM1,0,1,0,0
PPP1CC,0,1,0,0
SERPINF1,0,1,0,0
DLST,0,1,0,0
GMPR,0,1,0,0
GPX4,0,1,0,0
SRP14,0,1,0,0
TAGLN2,0,1,0,0
TALDO1,0,1,0,0
SNCA,0,1,0,0
ETFB,0,1,1,0
ATP6V1A,0,1,0,0
HSPA9,0,1,0,0
RPS19,0,1,0,0
COL18A1,0,1,0,0
DDOST,0,1,0,0
CAPG,0,1,0,1
RPL13A,0,1,0,0
STAT3,0,1,0,1
MDH1,0,1,0,1
MDH2,0,1,0,0
HADHA,0,1,0,1
NAA10,0,1,0,0
PPP1R2,0,1,0,0
GARS1,0,1,0,1
IARS1,0,1,0,0
EIF1,0,1,0,0
ECI1,0,1,0,0
TMPO,0,1,0,0
RPS27,0,1,0,0
LRPPRC,0,1,0,1
ACAA2,0,1,0,0
RPL35,0,1,0,0
SLC1A4,0,1,0,0
PAFAH1B1,0,1,0,0
CRAT,0,1,1,0
GPD2,0,1,0,0
NAMPT,0,1,0,0
PSMC4,0,1,0,0
TSFM,0,1,0,1
TNNT3,0,1,1,0
ASPA,0,1,0,0
PPIC,0,1,0,0
ACADSB,0,1,0,0
USP5,0,1,0,0
MAP2K4,0,1,0,0
PHKA2,0,1,0,0
PHKA1,0,1,0,0
CRKL,0,1,0,0
MTIF2,0,1,0,0
BAG6,0,1,0,1
NSF,0,1,0,0
MAP2K3,0,1,0,0
RPL27A,0,1,0,0
RPL5,0,1,1,1
RPL28,0,1,1,1
RPS9,0,1,0,0
RPS5,0,1,1,0
RPS10,0,1,0,1
GNPDA1,0,1,0,0
UTRN,0,1,0,0
IQGAP1,0,1,0,0
GYG1,0,1,0,0
STT3A,0,1,0,0
CAPZA2,0,1,0,1
CAPZB,0,1,0,0
EIF1AX,0,1,0,0
QARS1,0,1,0,0
RPL29,0,1,0,1
UQCRFS1,0,1,0,1
ATP5PO,0,1,1,0
LIMS1,0,1,0,0
PREP,0,1,0,0
ME1,0,1,0,0
PIP4K2A,0,1,0,0
ARCN1,0,1,0,0
LSS,0,1,0,0
GCLM,0,1,0,0
CD151,0,1,0,0
PSMD8,0,1,0,0
GSS,0,1,0,0
CCT5,0,1,1,0
NES,0,1,0,1
IDH2,0,1,1,0
TNNI2,0,1,1,0
PXN,0,1,0,0
ALDH9A1,0,1,0,0
RPL34,0,1,0,1
LMAN1,0,1,0,0
FNTA,0,1,0,0
CCT3,0,1,1,0
MRPL19,0,1,0,0
TUFM,0,1,0,0
ALDH7A1,0,1,0,0
CDC34,0,1,0,0
PCYT1A,0,1,0,0
AARS1,0,1,0,0
CARS1,0,1,0,1
SARS1,0,1,0,0
PSMB3,0,1,1,1
PSMB2,0,1,0,0
ACADVL,0,1,0,0
ACOT2,0,1,0,0
TMED10,0,1,0,0
HINT1,0,1,0,0
GSK3A,0,1,0,0
GSK3B,0,1,0,0
IDH3A,0,1,0,0
SULT1A1,0,1,0,0
GDI2,0,1,0,0
CPT1A,0,1,0,0
SERPINH1,0,1,0,0
CSRP3,0,1,1,0
ST13,0,1,0,0
DNM2,0,1,0,0
METAP2,0,1,0,0
NUDT2,0,1,0,0
LRBA,0,1,0,0
BCAM,0,1,0,0
RPL14,0,1,0,1
CCT8,0,1,1,0
CCT4,0,1,0,0
ATP1A2,0,1,0,0
ANXA11,0,1,0,0
FXR1,0,1,0,0
RAB5C,0,1,0,0
RAB7A,0,1,0,1
DUSP3,0,1,0,0
IDH3G,0,1,0,0
GALK1,0,1,0,1
BCAP31,0,1,0,0
MECP2,0,1,0,0
ALDH3A2,0,1,0,0
ALDH5A1,0,1,1,1
HSD17B4,0,1,0,1
PSMD7,0,1,0,1
UBE2D1,0,1,0,1
SUOX,0,1,0,0
STAT5B,0,1,0,0
RPS6KA3,0,1,0,0
HDGF,0,1,0,1
PRELP,0,1,0,0
HNRNPA3,0,1,0,0
MYOM1,0,1,1,0
PGD,0,1,0,0
HNRNPM,0,1,0,1
KPNA1,0,1,0,0
MAP2K6,0,1,0,1
ARHGDIA,0,1,0,1
RIDA,0,1,0,1
MRPL12,0,1,0,0
THOP1,0,1,0,0
AKR1C2,0,1,0,0
CAPZA1,0,1,0,0
CRIP2,0,1,0,0
BLVRA,0,1,0,0
PPP5C,0,1,0,1
NUBP1,0,1,0,0
SUCLG1,0,1,0,0
COPA,0,1,0,0
HCCS,0,1,0,0
MAPK12,0,1,0,1
SMTN,0,1,0,0
SLC16A1,0,1,0,0
IST1,0,1,0,1
SEC24C,0,1,0,0
SUB1,0,1,0,0
RARS1,0,1,0,0
CACNB3,0,1,0,0
CACNA2D1,0,1,0,0
MYOM2,0,1,0,0
YARS1,0,1,0,0
USP14,0,1,0,0
PRKAG1,0,1,0,0
HSPA2,0,1,0,0
RAD23A,0,1,0,0
AK2,0,1,0,0
NAPA,0,1,0,0
EIF5,0,1,0,0
PSMD4,0,1,0,0
DRG2,0,1,0,0
VCP,0,1,1,0
HADHB,0,1,0,0
NAP1L1,0,1,0,0
