gene,logFC_Aging,logFC_Training_Old,pi_score_Aging,pi_score_Training_Old,pi_score_Reversal,significance,quadrant,imputed
ATL2,-0.3395,-0.4618,0.458059,0.112016,0.957257,NS,Exacerbated Down,TRUE
ECHDC3,0.4463,-0.3501,0.286735,0.398626,0.06086,NS,Reversed (Aging Up / Training Down),TRUE
F13A1,0.6703,0.1249,0.091546,0.915202,0.379693,NS,Exacerbated Up,TRUE
RRAD,-0.289,0.5014,0.765063,0.235372,0.175599,NS,Reversed (Aging Down / Training Up),TRUE
LMOD3,-0.618,0.1631,0.212132,0.908114,0.234301,NS,Reversed (Aging Down / Training Up),TRUE
COL4A1,-0.6966,-0.0789,0.201657,0.984333,0.511672,NS,Exacerbated Down,TRUE
MYLK2,-0.2194,-0.5515,0.785235,0.059516,0.707068,NS,Exacerbated Down,FALSE
SPRED2,0.741,0.0209,0.080955,0.998784,0.29767,NS,Exacerbated Up,FALSE
SOD3,0.3239,-0.433,0.643907,0.249744,0.12843,NS,Reversed (Aging Up / Training Down),TRUE
NAMPT,-0.362,0.3946,0.407086,0.25074,0.057818,NS,Reversed (Aging Down / Training Up),FALSE
FTH1,0.6294,0.121,0.115757,0.945272,0.511322,NS,Exacerbated Up,FALSE
EZR,-0.5512,0.197,0.101221,0.792464,0.085987,NS,Reversed (Aging Down / Training Up),TRUE
MLYCD,0.719,-0.0285,0.056337,0.996146,0.121438,NS,Reversed (Aging Up / Training Down),TRUE
CSTA,-0.1778,0.5628,0.923621,0.260864,0.322395,NS,Reversed (Aging Down / Training Up),TRUE
PDLIM7,-0.6644,0.0743,0.122714,0.982589,0.245819,NS,Reversed (Aging Down / Training Up),FALSE
ABLIM2,-0.6491,-0.0895,0.089045,0.966688,0.393282,NS,Exacerbated Down,TRUE
CHCHD2,0.5,0.2379,0.151718,0.684319,0.807072,NS,Exacerbated Up,TRUE
TGFBI,0.2775,-0.4506,0.756993,0.316063,0.204182,NS,Reversed (Aging Up / Training Down),TRUE
TMSB4X,-0.4358,0.2906,0.35724,0.614478,0.152132,NS,Reversed (Aging Down / Training Up),TRUE
APOC2,0.5865,-0.1344,0.200434,0.922357,0.202061,NS,Reversed (Aging Up / Training Down),TRUE
TCAP,-0.6696,-0.0512,0.084501,0.991088,0.350629,NS,Exacerbated Down,FALSE
ARL1,-0.4713,0.2495,0.526038,0.838716,0.389466,NS,Reversed (Aging Down / Training Up),TRUE
DAD1,0.5455,-0.1735,0.474191,0.812547,0.294238,NS,Reversed (Aging Up / Training Down),TRUE
PDIA4,0.4122,0.3013,0.283323,0.413645,0.962314,NS,Exacerbated Up,TRUE
RPL6,-0.4396,0.2689,0.259645,0.605872,0.106213,NS,Reversed (Aging Down / Training Up),FALSE
FGGY,0.6636,0.0443,0.093909,0.98939,0.246889,NS,Exacerbated Up,TRUE
NES,-0.4252,-0.2738,0.742628,0.882984,0.981821,NS,Exacerbated Down,TRUE
CAPG,-0.2532,0.4457,0.83792,0.260194,0.282271,NS,Reversed (Aging Down / Training Up),TRUE
TNNT1,-0.6096,0.0874,0.259171,0.979391,0.373542,NS,Reversed (Aging Down / Training Up),FALSE
THBS4,-0.2171,0.4757,0.832836,0.146028,0.175842,NS,Reversed (Aging Down / Training Up),TRUE
FHL3,-0.4882,-0.2043,0.054053,0.66163400000000006,0.675121,NS,Exacerbated Down,FALSE
TAGLN,-0.1033,0.5879,0.968931,0.127028,0.275395,NS,Reversed (Aging Down / Training Up),TRUE
SAE1,0.3616,-0.3282,0.651832,0.295295,0.2031,NS,Reversed (Aging Up / Training Down),TRUE
RPL19,-0.4646,0.2165,0.119109,0.670743,0.061644,NS,Reversed (Aging Down / Training Up),FALSE
CAV2,-0.3222,0.3582,0.708079,0.406001,0.245758,NS,Reversed (Aging Down / Training Up),TRUE
RPL30,-0.5557,0.1203,0.082853,0.923284,0.129327,NS,Reversed (Aging Down / Training Up),FALSE
IGHG1,0.4221,0.2532,0.25059,0.613205,0.915385,NS,Exacerbated Up,FALSE
PEA15,-0.5141,-0.1573,0.490021,0.847562,0.769203,NS,Exacerbated Down,TRUE
MT-ND5,-0.4328,0.2358,0.378928,0.755671,0.233635,NS,Reversed (Aging Down / Training Up),FALSE
MVP,-0.2343,0.434,0.867929,0.312319,0.341637,NS,Reversed (Aging Down / Training Up),TRUE
HSPB6,0.3867,0.2803,0.308846,0.517303,0.966533,NS,Exacerbated Up,FALSE
MYOT,-0.4214,0.2432,0.412291,0.745499,0.247609,NS,Reversed (Aging Down / Training Up),FALSE
VPS13A,-0.5376,-0.1212,0.390404,0.908409,0.643685,NS,Exacerbated Down,TRUE
PLN,0.5161,-0.1426,0.129123,0.890582,0.149552,NS,Reversed (Aging Up / Training Down),FALSE
TMOD1,-0.5465,0.1092,0.242253,0.956429,0.30607,NS,Reversed (Aging Down / Training Up),TRUE
TMEM38A,-0.5287,-0.1261,0.056017,0.895343,0.475124,NS,Exacerbated Down,FALSE
LIMS3,-0.4826,0.1715,0.144014,0.730563,0.067688,NS,Reversed (Aging Down / Training Up),TRUE
ALDH2,0.5476,-0.1061,0.063166,0.934688,0.115714,NS,Reversed (Aging Up / Training Down),FALSE
SH3BGRL,-0.1972,0.4546,0.830624,0.153031,0.169312,NS,Reversed (Aging Down / Training Up),TRUE
JCHAIN,0.3724,-0.2779,0.740825,0.756431,0.480635,NS,Reversed (Aging Up / Training Down),TRUE
ALPK3,-0.4767,0.1718,0.102489,0.759737,0.063918,NS,Reversed (Aging Down / Training Up),TRUE
MYL6,-0.3844,0.2612,0.505785,0.716141,0.28672,NS,Reversed (Aging Down / Training Up),FALSE
DMAC2L,0.3466,-0.2981,0.364113,0.338361,0.065334,NS,Reversed (Aging Up / Training Down),TRUE
MMP24OS,0.4253,-0.2188,0.461099,0.76856,0.275309,NS,Reversed (Aging Up / Training Down),TRUE
TIGAR,0.3912,-0.2499,0.598862,0.713915,0.34781,NS,Reversed (Aging Up / Training Down),TRUE
RPL29,-0.4518,0.1858,0.30241,0.837457,0.238196,NS,Reversed (Aging Down / Training Up),FALSE
TFRC,0.1029,-0.5341,0.974325,0.26172,0.426043,NS,Reversed (Aging Up / Training Down),TRUE
FXYD1,-0.5772,0.0585,0.06894,0.983387,0.175101,NS,Reversed (Aging Down / Training Up),TRUE
MYBPC1,-0.4754,0.1596,0.425282,0.918521,0.403505,NS,Reversed (Aging Down / Training Up),FALSE
UBE2F,0.376,-0.2587,0.514505,0.609925,0.223139,NS,Reversed (Aging Up / Training Down),TRUE
NTMT1,0.4065,0.228,0.280758,0.645745,0.898538,NS,Exacerbated Up,TRUE
SORD,-0.4148,-0.2185,0.290911,0.67108,0.877267,NS,Exacerbated Down,TRUE
KRT2,-0.5125,0.119,0.350365,0.955281,0.400216,NS,Reversed (Aging Down / Training Up),FALSE
JUP,-0.381,0.2504,0.547955,0.668949,0.265746,NS,Reversed (Aging Down / Training Up),TRUE
PMPCA,-0.3157,0.3118,0.607539,0.365225,0.16315,NS,Reversed (Aging Down / Training Up),TRUE
RPS13,-0.3201,0.3072,0.414826,0.372382,0.092337,NS,Reversed (Aging Down / Training Up),FALSE
TMLHE,-0.35,0.277,0.55541,0.655238,0.275272,NS,Reversed (Aging Down / Training Up),TRUE
CACNG1,0.2082,-0.4178,0.779854,0.175505,0.149992,NS,Reversed (Aging Up / Training Down),TRUE
RPL12,-0.3041,0.3218,0.633129,0.526105,0.255529,NS,Reversed (Aging Down / Training Up),FALSE
CHDH,-0.2328,0.3919,0.795972,0.202024,0.198249,NS,Reversed (Aging Down / Training Up),TRUE
LDHA,-0.5083,0.1124,0.060154,0.913268,0.098509,NS,Reversed (Aging Down / Training Up),FALSE
IGHV3-7,0.2568,0.3637,0.740311,0.431028,0.974716,NS,Exacerbated Up,TRUE
COA3,0.4953,-0.1249,0.164412,0.915818,0.19254,NS,Reversed (Aging Up / Training Down),TRUE
CRELD1,-0.2051,0.414,0.846996,0.319848,0.273026,NS,Reversed (Aging Down / Training Up),TRUE
PRPSAP1,-0.4415,-0.1752,0.312987,0.849414,0.821616,NS,Exacerbated Down,TRUE
GSN,-0.1435,0.473,0.893347,0.086427,0.148173,NS,Reversed (Aging Down / Training Up),FALSE
ERGIC1,-0.2084,0.4079,0.800193,0.223648,0.189412,NS,Reversed (Aging Down / Training Up),TRUE
KRT18,-0.3408,0.275,0.652232,0.729762,0.395869,NS,Reversed (Aging Down / Training Up),FALSE
MYO6,-0.3508,0.2643,0.347011,0.520532,0.113937,NS,Reversed (Aging Down / Training Up),FALSE
SFXN4,-0.4454,0.1686,0.304126,0.802949,0.187088,NS,Reversed (Aging Down / Training Up),TRUE
KLHL41,-0.4469,0.1666,0.339262,0.878157,0.296657,NS,Reversed (Aging Down / Training Up),FALSE
CFH,0.5122,0.1012,0.101475,0.936523,0.48473,NS,Exacerbated Up,TRUE
PYGL,0.5522,-0.0565,0.098607,0.985211,0.224104,NS,Reversed (Aging Up / Training Down),TRUE
HDGFL2,0.5217,-0.0861,0.132497,0.941362,0.130691,NS,Reversed (Aging Up / Training Down),TRUE
APOBEC2,-0.3974,0.2092,0.366953,0.767602,0.232756,NS,Reversed (Aging Down / Training Up),FALSE
SLC20A2,-0.5669,-0.0389,0.455378,0.996946,0.686118,NS,Exacerbated Down,TRUE
SAMHD1,0.2358,0.3679,0.831819,0.278618,0.962071,NS,Exacerbated Up,TRUE
HSPB1,-0.2127,0.3907,0.734581,0.183945,0.131879,NS,Reversed (Aging Down / Training Up),FALSE
SYPL2,-0.31,-0.2931,0.34904,0.319255,0.998968,NS,Exacerbated Down,FALSE
SLC16A1,0.4314,0.171,0.220972,0.819289,0.787269,NS,Exacerbated Up,TRUE
DPYSL3,0.4399,-0.1625,0.146019,0.811107,0.119501,NS,Reversed (Aging Up / Training Down),FALSE
H3-3A,-0.5547,-0.0447,0.283836,0.9942,0.576077,NS,Exacerbated Down,FALSE
CAPZB,-0.4972,0.1015,0.120672,0.941629,0.183387,NS,Reversed (Aging Down / Training Up),FALSE
TFAM,0.4587,-0.1374,0.08053,0.849197,0.087761,NS,Reversed (Aging Up / Training Down),TRUE
RASA4,0.4579,-0.1363,0.225024,0.879461,0.192052,NS,Reversed (Aging Up / Training Down),TRUE
MACROH2A1,-0.3842,0.2099,0.554374,0.834464,0.406973,NS,Reversed (Aging Down / Training Up),TRUE
AAMDC,0.3177,-0.2754,0.339789,0.38991,0.074295,NS,Reversed (Aging Up / Training Down),FALSE
MRPS21,-0.4511,0.1419,0.292549,0.889884,0.259164,NS,Reversed (Aging Down / Training Up),TRUE
SDR39U1,0.4281,-0.1633,0.250725,0.829541,0.187062,NS,Reversed (Aging Up / Training Down),TRUE
CRIP2,0.3096,0.2814,0.563287,0.525884,0.99797,NS,Exacerbated Up,TRUE
TIMM10,0.4366,-0.1528,0.065232,0.778507,0.05537,NS,Reversed (Aging Up / Training Down),FALSE
TRDN,-0.4698,0.1171,0.203397,0.927575,0.239555,NS,Reversed (Aging Down / Training Up),TRUE
BUB3,0.4945,-0.0915,0.247594,0.924622,0.190352,NS,Reversed (Aging Up / Training Down),TRUE
RPL11,-0.3077,0.2783,0.535782,0.571366,0.21854,NS,Reversed (Aging Down / Training Up),TRUE
HCFC2,0.3921,-0.1929,0.479205,0.843252,0.362627,NS,Reversed (Aging Up / Training Down),FALSE
TMCO1,-0.4061,-0.1788,0.073685,0.659949,0.727669,NS,Exacerbated Down,FALSE
TIMM8A,0.4995,0.0847,0.263964,0.966408,0.597226,NS,Exacerbated Up,TRUE
RBP4,0.3171,-0.2665,0.829486,0.702177,0.549513,NS,Reversed (Aging Up / Training Down),TRUE
FLG2,-0.3601,0.2235,0.734804,0.872436,0.583291,NS,Reversed (Aging Down / Training Up),TRUE
ATPAF2,0.2591,-0.3245,0.664846,0.305952,0.172984,NS,Reversed (Aging Up / Training Down),TRUE
KRT19,-0.4007,0.1809,0.572836,0.896029,0.485445,NS,Reversed (Aging Down / Training Up),FALSE
LAMP2,0.4456,-0.1352,0.167434,0.871355,0.155193,NS,Reversed (Aging Up / Training Down),TRUE
ADD1,0.5108,0.0699,0.337185,0.973099,0.567048,NS,Exacerbated Up,TRUE
LPCAT3,-0.4685,-0.111,0.262916,0.928803,0.650312,NS,Exacerbated Down,TRUE
MYH8,-0.567,0.0125,0.337593,0.999612,0.539172,NS,Reversed (Aging Down / Training Up),TRUE
RPS21,-0.2849,0.2906,0.382411,0.283026,0.059241,NS,Reversed (Aging Down / Training Up),FALSE
SET,-0.2756,0.2999,0.567356,0.396266,0.162431,NS,Reversed (Aging Down / Training Up),TRUE
SELENOF,0.4448,0.1306,0.644979,0.911177,0.839938,NS,Exacerbated Up,TRUE
RPL28,-0.4414,0.1323,0.156971,0.882609,0.166056,NS,Reversed (Aging Down / Training Up),FALSE
GAA,0.5103,-0.0626,0.067932,0.975876,0.161454,NS,Reversed (Aging Up / Training Down),TRUE
SMPX,-0.2801,0.2926,0.505553,0.38907,0.129195,NS,Reversed (Aging Down / Training Up),FALSE
DCTN5,0.4353,-0.1373,0.186418,0.848099,0.146133,NS,Reversed (Aging Up / Training Down),TRUE
RPS2,-0.3015,0.2704,0.340664,0.359435,0.06702,NS,Reversed (Aging Down / Training Up),FALSE
ART3,0.1406,-0.431,0.912269,0.18961,0.260488,NS,Reversed (Aging Up / Training Down),TRUE
CBR4,0.5463,-0.0251,0.054646,0.996708,0.198612,NS,Reversed (Aging Up / Training Down),TRUE
RPS17,-0.3051,0.2656,0.362032,0.379654,0.076328,NS,Reversed (Aging Down / Training Up),TRUE
TSC22D1,0.2988,-0.2718,0.859159,0.770427,0.588649,NS,Reversed (Aging Up / Training Down),TRUE
CILP,-0.3239,0.243,0.663466,0.626583,0.334967,NS,Reversed (Aging Down / Training Up),TRUE
DCD,-0.5307,0.0339,0.187415,0.995631,0.365165,NS,Reversed (Aging Down / Training Up),FALSE
CPA3,0.2554,-0.3088,0.754959,0.496511,0.322469,NS,Reversed (Aging Up / Training Down),TRUE
KCTD12,-0.3819,0.1821,0.673678,0.771053,0.433263,NS,Reversed (Aging Down / Training Up),TRUE
RNPEP,0.3398,-0.2226,0.19575,0.495004,0.054779,NS,Reversed (Aging Up / Training Down),FALSE
TOMM22,-0.3971,0.1648,0.38119,0.862622,0.311377,NS,Reversed (Aging Down / Training Up),FALSE
CHCHD4,0.4381,0.1238,0.197978,0.875462,0.638154,NS,Exacerbated Up,TRUE
RPL5,-0.4208,0.1397,0.263867,0.888214,0.250971,NS,Reversed (Aging Down / Training Up),FALSE
HSPB8,-0.5236,0.0348,0.077778,0.993619,0.227247,NS,Reversed (Aging Down / Training Up),TRUE
PGM5,0.4848,-0.0727,0.073844,0.964888,0.157276,NS,Reversed (Aging Up / Training Down),FALSE
LAMTOR2,0.5429,0.0145,0.327041,0.998627,0.414737,NS,Exacerbated Up,TRUE
PTGR1,-0.2845,0.2729,0.700741,0.656122,0.377435,NS,Reversed (Aging Down / Training Up),TRUE
CALU,-0.2491,0.3073,0.466836,0.199013,0.056074,NS,Reversed (Aging Down / Training Up),FALSE
RPS25,-0.3455,0.2109,0.18553,0.543965,0.060926,NS,Reversed (Aging Down / Training Up),FALSE
UBE2I,0.3312,-0.2243,0.389529,0.638183,0.177251,NS,Reversed (Aging Up / Training Down),FALSE
SNAP29,0.4415,-0.1139,0.286537,0.878624,0.210657,NS,Reversed (Aging Up / Training Down),TRUE
RPL31,-0.4377,0.1172,0.1092,0.894,0.134037,NS,Reversed (Aging Down / Training Up),FALSE
BCO2,0.17,-0.3848,0.929966,0.429866,0.504553,NS,Reversed (Aging Up / Training Down),TRUE
TRAPPC3,0.552,0.0027,0.143904,0.999957,0.290647,NS,Exacerbated Up,TRUE
PSME2,-0.2684,0.2855,0.589859,0.418107,0.175544,NS,Reversed (Aging Down / Training Up),TRUE
PTER,0.5137,0.0396,0.560537,0.993044,0.658122,NS,Exacerbated Up,TRUE
GSTZ1,-0.2879,-0.265,0.597126,0.608293,0.998678,NS,Exacerbated Down,TRUE
ANKRD2,-0.2246,0.3283,0.79031,0.493883,0.347227,NS,Reversed (Aging Down / Training Up),FALSE
HUWE1,0.3373,0.2152,0.352672,0.651616,0.947182,NS,Exacerbated Up,FALSE
NFU1,0.2014,-0.3493,0.794484,0.147561,0.169582,NS,Reversed (Aging Up / Training Down),TRUE
G3BP1,-0.2852,0.2653,0.647354,0.589885,0.301466,NS,Reversed (Aging Down / Training Up),TRUE
CD81,-0.3929,-0.1565,0.424737,0.874663,0.854173,NS,Exacerbated Down,TRUE
PPTC7,0.4795,0.069,0.218537,0.973105,0.529891,NS,Exacerbated Up,TRUE
GARS1,0.377,-0.1712,0.1598,0.713944,0.088843,NS,Reversed (Aging Up / Training Down),TRUE
CFB,0.5126,0.0351,0.093171,0.993248,0.348062,NS,Exacerbated Up,TRUE
CPT1A,-0.3274,-0.22,0.514608,0.699397,0.968388,NS,Exacerbated Down,TRUE
COL6A2,-0.2907,0.2552,0.782289,0.802505,0.562152,NS,Reversed (Aging Down / Training Up),TRUE
SLC2A4,0.1419,0.4037,0.926981,0.224382,0.823409,NS,Exacerbated Up,TRUE
CRYAB,-0.183,0.3625,0.78678,0.207459,0.17144,NS,Reversed (Aging Down / Training Up),FALSE
RPL36,-0.4063,0.1391,0.299693,0.89045,0.279085,NS,Reversed (Aging Down / Training Up),FALSE
TPPP,0.1325,-0.4126,0.946816,0.145048,0.356736,NS,Reversed (Aging Up / Training Down),TRUE
SMTN,-0.4555,0.0895,0.077959,0.934948,0.123236,NS,Reversed (Aging Down / Training Up),TRUE
ACSF2,0.3639,-0.181,0.20706,0.706572,0.113492,NS,Reversed (Aging Up / Training Down),FALSE
RPL3,-0.3628,-0.182,0.562709,0.868466,0.935177,NS,Exacerbated Down,TRUE
OSBPL11,-0.3653,0.1792,0.48146,0.773411,0.280141,NS,Reversed (Aging Down / Training Up),TRUE
NPEPL1,0.3878,0.155,0.295527,0.847115,0.823947,NS,Exacerbated Up,FALSE
CAMK2A,-0.3154,0.2271,0.499422,0.666667,0.248754,NS,Reversed (Aging Down / Training Up),TRUE
TACC2,0.3411,-0.2012,0.255626,0.624647,0.105248,NS,Reversed (Aging Up / Training Down),TRUE
ASAH1,0.4588,-0.0829,0.052117,0.940366,0.100096,NS,Reversed (Aging Up / Training Down),TRUE
HLA-A,0.4141,0.1262,0.20116,0.89211,0.706923,NS,Exacerbated Up,TRUE
UBE3C,0.4703,-0.0666,0.356424,0.972547,0.344374,NS,Reversed (Aging Up / Training Down),TRUE
SNCG,0.1557,0.3808,0.960378,0.343057,0.924893,NS,Exacerbated Up,TRUE
TUBA4A,-0.3697,0.1649,0.115681,0.699481,0.065554,NS,Reversed (Aging Down / Training Up),FALSE
PPME1,-0.3737,0.1607,0.558015,0.86989,0.430408,NS,Reversed (Aging Down / Training Up),TRUE
ACADSB,0.43,-0.1043,0.165255,0.925956,0.205126,NS,Reversed (Aging Up / Training Down),TRUE
GSK3A,0.3427,-0.1916,0.327769,0.662974,0.147073,NS,Reversed (Aging Up / Training Down),TRUE
NID1,-0.419,0.1152,0.475093,0.950402,0.478514,NS,Reversed (Aging Down / Training Up),TRUE
TIAL1,0.4182,0.1155,0.117324,0.868809,0.574281,NS,Exacerbated Up,TRUE
PAK1,0.5275,0.0056,0.41114,0.999879,0.540993,NS,Exacerbated Up,TRUE
DYNLL1,0.395,-0.1377,0.069442,0.782025,0.057345,NS,Reversed (Aging Up / Training Down),TRUE
SYNPO,-0.3812,-0.1512,0.357718,0.86411,0.840929,NS,Exacerbated Down,TRUE
GPT,0.3088,-0.2234,0.401886,0.600883,0.166765,NS,Reversed (Aging Up / Training Down),FALSE
HSPB2,-0.2701,0.2619,0.486748,0.436364,0.139052,NS,Reversed (Aging Down / Training Up),FALSE
ELMOD2,-0.4286,-0.1033,0.615045,0.933982,0.799563,NS,Exacerbated Down,TRUE
ATP6V1H,-0.4284,-0.1028,0.124178,0.906849,0.538771,NS,Exacerbated Down,TRUE
UBN2,-0.2962,0.2348,0.826111,0.872458,0.669907,NS,Reversed (Aging Down / Training Up),FALSE
MYL12B,0.1972,0.3328,0.753389,0.285239,0.934162,NS,Exacerbated Up,FALSE
JPT1,-0.3779,0.152,0.31323,0.844675,0.240772,NS,Reversed (Aging Down / Training Up),TRUE
AKT2,-0.2729,0.2566,0.635146,0.493754,0.245442,NS,Reversed (Aging Down / Training Up),TRUE
CYB5A,0.3914,-0.1371,0.247367,0.853078,0.195116,NS,Reversed (Aging Up / Training Down),TRUE
S100A4,0.0906,0.4377,0.971647,0.28138,0.72747,NS,Exacerbated Up,FALSE
PPIB,0.2261,0.3002,0.643693,0.325632,0.979573,NS,Exacerbated Up,TRUE
APOL2,-0.2879,0.2384,0.575089,0.609719,0.262212,NS,Reversed (Aging Down / Training Up),TRUE
FAM136A,-0.3946,0.1308,0.364865,0.900209,0.304509,NS,Reversed (Aging Down / Training Up),TRUE
CTTN,0.124,0.4012,0.962277,0.354146,0.857506,NS,Exacerbated Up,TRUE
MICOS13,-0.4333,0.0912,0.175542,0.94689,0.241052,NS,Reversed (Aging Down / Training Up),TRUE
MRPS18A,-0.2093,0.3147,0.831187,0.500755,0.391634,NS,Reversed (Aging Down / Training Up),TRUE
CAPZA2,-0.4929,0.0308,0.05734,0.994073,0.189904,NS,Reversed (Aging Down / Training Up),FALSE
LMNA,-0.4379,0.0855,0.219583,0.959943,0.300172,NS,Reversed (Aging Down / Training Up),FALSE
RPA2,0.5008,0.0226,0.250985,0.997403,0.433058,NS,Exacerbated Up,TRUE
IQGAP1,0.1226,0.3996,0.911514,0.055186,0.669735,NS,Exacerbated Up,TRUE
CA2,0.4322,-0.0895,0.122836,0.941935,0.185517,NS,Reversed (Aging Up / Training Down),FALSE
FAHD2A,0.4683,-0.0524,0.231923,0.986094,0.350976,NS,Reversed (Aging Up / Training Down),TRUE
NUDT19,-0.4425,0.0776,0.347266,0.972967,0.412838,NS,Reversed (Aging Down / Training Up),TRUE
ACAA2,0.375,-0.1438,0.090793,0.760848,0.066785,NS,Reversed (Aging Up / Training Down),FALSE
GLRX3,-0.3024,0.216,0.315245,0.537461,0.106013,NS,Reversed (Aging Down / Training Up),FALSE
MAP1LC3B2,-0.4844,0.0334,0.159193,0.991856,0.227313,NS,Reversed (Aging Down / Training Up),TRUE
RPS12,-0.2318,0.2857,0.546828,0.281247,0.103764,NS,Reversed (Aging Down / Training Up),FALSE
SULT1A1,0.352,-0.1651,0.51028,0.853859,0.380794,NS,Reversed (Aging Up / Training Down),TRUE
SERPINA1,0.4255,-0.0909,0.175652,0.946359,0.24069,NS,Reversed (Aging Up / Training Down),FALSE
CBR1,-0.2797,0.2351,0.341888,0.420306,0.082181,NS,Reversed (Aging Down / Training Up),FALSE
GNG12,-0.4573,0.0561,0.073345,0.977392,0.174894,NS,Reversed (Aging Down / Training Up),FALSE
CPT1B,0.2747,-0.2378,0.449319,0.499168,0.147131,NS,Reversed (Aging Up / Training Down),FALSE
PRKG1,-0.2265,-0.2853,0.660259,0.405416,0.988104,NS,Exacerbated Down,TRUE
P3H4,-0.3252,0.1866,0.622579,0.844231,0.468677,NS,Reversed (Aging Down / Training Up),TRUE
