gene,log2_fold_change,neg_log10_pvalue,pi_score,adjusted_pvalue,direction
HINT2,-0.1696,0.527,0.813965,0.832337,NS
KLC1,0.1399,0.6368,0.814543,0.783058,NS
HLA-DRB1,-0.185,0.481,0.81472,0.840335,NS
ENO1,0.1435,0.6187,0.815071,0.79519,NS
MB,-0.1119,0.7914,0.81552,0.707966,NS
EIF3I,0.1214,0.7179,0.81812,0.743281,NS
ADIRF,0.2443,0.3568,0.81814,0.874582,NS
CYB5R1,-0.1178,0.7382,0.818535,0.726841,NS
NUDT16,-0.1346,0.6454,0.81868,0.775044,NS
ADIPOQ,-0.1302,0.6667,0.818885,0.762785,NS
VPS28,-0.113,0.766,0.81932,0.714002,NS
PSME1,0.1158,0.7465,0.819473,0.726841,NS
MRPL4,0.1818,0.4744,0.819899,0.842605,NS
RPLP0,0.1521,0.5602,0.821826,0.832337,NS
BST2,-0.1301,0.6547,0.821891,0.769548,NS
SLC16A1,0.1711,0.4977,0.821948,0.838756,NS
GLRX,-0.1726,0.4892,0.823313,0.839093,NS
MAPRE1,0.142,0.5933,0.823708,0.825435,NS
TYMP,0.1317,0.6325,0.825428,0.785854,NS
RPL17,0.1412,0.5863,0.826463,0.825788,NS
TMED10,-0.1317,0.6283,0.826521,0.790895,NS
UBE2O,0.1659,0.4972,0.82704,0.838756,NS
PYGM,-0.1186,0.6951,0.827154,0.745204,NS
ARHGDIA,-0.1027,0.801,0.827421,0.707473,NS
SDR39U1,-0.1636,0.5028,0.82747,0.838041,NS
PARP1,0.1192,0.6891,0.827691,0.745204,NS
PANK4,-0.1314,0.6247,0.827804,0.794303,NS
NMT1,-0.1296,0.6328,0.827948,0.785854,NS
LRPPRC,0.1135,0.716,0.829397,0.743281,NS
USO1,-0.1154,0.6999,0.830243,0.745204,NS
ACAT1,-0.1129,0.7147,0.830511,0.743616,NS
CLIP1,-0.1196,0.6697,0.831543,0.7611,NS
ACTR3,0.0992,0.8039,0.832229,0.707473,NS
CSNK2B,0.1186,0.6707,0.832594,0.760881,NS
ARHGDIB,-0.1492,0.5326,0.832776,0.832337,NS
