gene,logFC_Y,logFC_O,sig_int,sig_Y,sig_O,quadrant,concordant
RPL18,0.114480081156159,0.453533851439609,0,0,0,Q1,TRUE
C1QBP,-0.103139594679931,0.100700393514785,0,0,0,Q4,FALSE
CKAP4,0.263127472674554,0.285654181602979,0,0,0,Q1,TRUE
DPT,-0.0358593841253061,0.035127023341026103,0,0,0,Q4,FALSE
KLC1,0.114689411550284,0.139899223072891,0,0,0,Q1,TRUE
SRSF1,-0.23730811934248,0.0253773119478637,0,0,0,Q4,FALSE
ARHGAP1,0.368303784164443,0.472791470820841,0,0,1,Q1,TRUE
ACTN3,-0.940348702489082,-0.0166483326796119,0,0,0,Q3,TRUE
PPP3CA,-0.110397520540808,-0.00440934680692706,0,0,0,Q3,TRUE
DHX9,0.0782665089758829,0.0074463395805644,0,0,0,Q1,TRUE
CRYZ,0.0576472602556883,0.0544201823177559,0,0,0,Q1,TRUE
SLC20A2,-1.14631512435483,-0.0392377057107076,0,-1,0,Q3,TRUE
PUDP,-0.172185075377328,-0.0371163211135475,0,0,0,Q3,TRUE
CD47,0.0147828773081038,-0.188657714256042,0,0,0,Q2,FALSE
PPID,-0.279034668088801,-0.209290673662284,0,0,0,Q3,TRUE
AHNAK,0.118965492820248,0.0124126601090921,0,0,0,Q1,TRUE
LMOD3,0.169610425767008,0.163915774471429,0,0,0,Q1,TRUE
HSPA14,-0.0789968449272109,0.195423230211899,0,0,0,Q4,FALSE
SCRN3,-0.232177905208541,-0.168540067271472,0,0,0,Q3,TRUE
NEXN,-0.208815668054932,0.279020166166141,0,0,0,Q4,FALSE
AP1B1,0.252951656309145,0.249599397955738,0,0,0,Q1,TRUE
BST2,-0.372044757337292,-0.130117728064228,0,0,0,Q3,TRUE
PMPCA,-0.0963837888784944,0.312340159654916,0,0,0,Q4,FALSE
ASPH,0.14666213624599,0.0955442603605192,0,0,0,Q1,TRUE
EFEMP1,-0.496116002083035,0.124866472799944,0,0,0,Q4,FALSE
STX4,-0.176058499975005,-0.0821086658300239,0,0,0,Q3,TRUE
GRSF1,0.162354974138964,0.128533299671165,0,0,0,Q1,TRUE
AIMP1,0.151551591867737,0.0336782580059669,0,0,0,Q1,TRUE
ILF3,0.136605689692406,0.0357588280813843,0,0,0,Q1,TRUE
TRAP1,-4.4623139996602e-4,-0.0467502453873436,0,0,0,Q3,TRUE
ANK3,0.0262612263169579,-0.00414806894930209,0,0,0,Q2,FALSE
HSPB3,0.307183247033198,0.130629580966016,0,0,0,Q1,TRUE
ECH1,0.0983520638403803,-0.0251265707938941,0,0,0,Q2,FALSE
STRN3,0.0393920110262229,-0.0380509497987838,0,0,0,Q2,FALSE
COASY,-0.14604804139373,-0.0562732298497437,0,0,0,Q3,TRUE
