pathway,pval,padj,foldEnrichment,overlap,size,overlapGenes,database,odds_ratio,module,Description
REACTOME_BRANCHED_CHAIN_AMINO_ACID_CATABOLISM,3.2608755485902667e-7,2.028264591223146e-5,4.553879310344827,12,16,,Reactome,15.723214285714286,turquoise,Branched Chain Amino Acid Catabolism
GOBP_ACYL_COA_METABOLIC_PROCESS,1.5924882141701651e-6,9.038766702012175e-5,3.1226600985221675,18,35,,GO:BP,5.60855614973262,turquoise,Acyl Coa Metabolic Process
GOBP_AMIDE_METABOLIC_PROCESS,1.6367987991571345e-6,9.038766702012175e-5,2.143002028397566,36,102,,GO:BP,2.9702797202797204,turquoise,Amide Metabolic Process
GOBP_SULFUR_COMPOUND_METABOLIC_PROCESS,2.24734492915436e-6,1.1757162418839127e-4,2.3057616761239634,30,79,,GO:BP,3.3038120908740853,turquoise,Sulfur Compound Metabolic Process
REACTOME_METABOLISM_OF_VITAMINS_AND_COFACTORS,3.1801219216011313e-6,1.6483631960299199e-4,2.671609195402299,22,50,,Reactome,4.186459246275197,turquoise,Metabolism Of Vitamins And Cofactors
REACTOME_AEROBIC_RESPIRATION_AND_RESPIRATORY_ELECTRON_TRANSPORT,1.1214052734394328e-5,4.982243429138052e-4,1.7880262322826317,48,163,,Reactome,2.2956521739130435,turquoise,Aerobic Respiration And Respiratory Electron Transport
HALLMARK_ADIPOGENESIS,5.4416978007214455e-5,6.530037360865735e-4,1.911504895700298,34,108,,Hallmark,2.4743501463246687,turquoise,Adipogenesis
REACTOME_PROTEIN_LOCALIZATION,3.112433476406509e-5,0.0012099585139530304,2.1571007259528128,27,76,,Reactome,2.945641808125119,turquoise,Protein Localization
GOBP_MODIFIED_AMINO_ACID_METABOLIC_PROCESS,2.7110062563485374e-5,0.0012832096280049744,2.452088859416446,21,52,,GO:BP,3.5921870375850844,turquoise,Modified Amino Acid Metabolic Process
GOSLIM_KETONE_METABOLIC_PROCESS,1.2778445443096563e-4,0.0015973056803870703,2.3543865822190946,19,49,,GO Slim,3.339918946301925,turquoise,Ketone Metabolic Process
GOBP_ALCOHOL_METABOLIC_PROCESS,5.47360616756958e-5,0.002473074786620074,2.133348866107487,26,74,,GO:BP,2.8883281573498967,turquoise,Alcohol Metabolic Process
GOBP_TEMPERATURE_HOMEOSTASIS,1.8520948621358722e-4,0.008004270838969813,2.8190681444991794,13,28,,GO:BP,4.527363184079602,turquoise,Temperature Homeostasis
GOBP_KETONE_METABOLIC_PROCESS,2.3806336444102448e-4,0.009859791010599096,2.2620576966418753,19,51,,GO:BP,3.1275645896656536,turquoise,Ketone Metabolic Process
GOBP_MITOCHONDRIAL_TRANSPORT,2.998081618715298e-4,0.011920372516012023,2.0871946839080464,22,64,,GO:BP,2.768477943324569,turquoise,Mitochondrial Transport
GOBP_KETONE_BIOSYNTHETIC_PROCESS,3.136895430638315e-4,0.01199259253097879,3.4154094827586206,9,16,,GO:BP,6.667509481668774,turquoise,Ketone Biosynthetic Process
GOBP_GLUTAMINE_FAMILY_AMINO_ACID_METABOLIC_PROCESS,5.708990143937823e-4,0.020266915010979273,3.214503042596349,9,17,,GO:BP,5.83075221238938,turquoise,Glutamine Family Amino Acid Metabolic Process
GOBP_LONG_CHAIN_FATTY_ACID_TRANSPORT,5.708990143937823e-4,0.020266915010979273,3.214503042596349,9,17,,GO:BP,5.83075221238938,turquoise,Long Chain Fatty Acid Transport
HALLMARK_PEROXISOME,0.004246289479184448,0.03821660531266003,2.133348866107487,13,37,,Hallmark,2.815049751243781,turquoise,Peroxisome
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.005986965330122473,0.043106150376881806,2.8335249042145594,7,15,,Hallmark,4.508431085043989,turquoise,Cholesterol Homeostasis
GOBP_MONOCARBOXYLIC_ACID_TRANSPORT,0.001531412537040076,0.04910400199412373,2.5688549955791338,11,26,,GO:BP,3.80811078140455,turquoise,Monocarboxylic Acid Transport
REACTOME_PEROXISOMAL_PROTEIN_IMPORT,0.0015926113930330764,0.04953021432332868,2.876134301270417,9,19,,Reactome,4.65929203539823,turquoise,Peroxisomal Protein Import
GOBP_APOPTOTIC_MITOCHONDRIAL_CHANGES,0.0023531955923639363,0.06830479010304513,2.350389321468298,12,31,,GO:BP,3.281954887218045,turquoise,Apoptotic Mitochondrial Changes
GOBP_AMIDE_BIOSYNTHETIC_PROCESS,0.0024050982430649697,0.06830479010304513,2.1796345417035075,14,39,,GO:BP,2.9173652694610777,turquoise,Amide Biosynthetic Process
GOBP_NADP_METABOLIC_PROCESS,0.0030815492428755697,0.08485529183970437,2.857336037863421,8,17,,GO:BP,4.590849673202614,turquoise,Nadp Metabolic Process
REACTOME_MITOCHONDRIAL_PROTEIN_IMPORT,0.003043556660109295,0.0860496473903628,2.0699451410658307,15,44,,Reactome,2.696489593041317,turquoise,Mitochondrial Protein Import
GOBP_MITOCHONDRION_ORGANIZATION,0.003384934219969911,0.08854275301710766,1.5282860270544998,37,147,,GO:BP,1.7899736919029523,turquoise,Mitochondrion Organization
GOBP_MITOCHONDRIAL_MEMBRANE_ORGANIZATION,0.0036671672395151016,0.09346574964302591,1.982641332395027,16,49,,GO:BP,2.529390288426433,turquoise,Mitochondrial Membrane Organization
GOBP_INNER_MITOCHONDRIAL_MEMBRANE_ORGANIZATION,0.004292895785169674,0.10407654659655258,2.3031113753468095,11,29,,GO:BP,3.167985492911309,turquoise,Inner Mitochondrial Membrane Organization
GOBP_SECONDARY_ALCOHOL_METABOLIC_PROCESS,0.004292895785169674,0.10407654659655258,2.3031113753468095,11,29,,GO:BP,3.167985492911309,turquoise,Secondary Alcohol Metabolic Process
GOBP_LIPID_LOCALIZATION,0.004815543869792651,0.11396787158509275,1.785835023664638,20,68,,GO:BP,2.18114837398374,turquoise,Lipid Localization
GOBP_MITOCHONDRIAL_TRANSLATION,0.005245214050233725,0.11941746805455478,2.0239463601532566,14,42,,GO:BP,2.6002994011976046,turquoise,Mitochondrial Translation
GOBP_STEROID_METABOLIC_PROCESS,0.0057184775879626365,0.12356884179206219,1.9048906919089477,16,51,,GO:BP,2.3820998278829606,turquoise,Steroid Metabolic Process
GOSLIM_MITOCHONDRION_ORGANIZATION,0.021585011592231605,0.13901939574556532,1.3698661340061675,37,164,,GO Slim,1.5344456541003113,turquoise,Mitochondrion Organization
GOSLIM_GENERATION_OF_PRECURSOR_METABOLITES_AND_ENERGY,0.022243103319290452,0.13901939574556532,1.3069429410855111,48,223,,GO Slim,1.4537142857142857,turquoise,Generation Of Precursor Metabolites And Energy
GOBP_FAT_CELL_DIFFERENTIATION,0.007620481305252532,0.15180324960601105,2.375937031484258,9,23,,GO:BP,3.320480404551201,turquoise,Fat Cell Differentiation
GOBP_LONG_CHAIN_FATTY_ACID_METABOLIC_PROCESS,0.007620481305252532,0.15180324960601105,2.375937031484258,9,23,,GO:BP,3.320480404551201,turquoise,Long Chain Fatty Acid Metabolic Process
GOBP_AUTOPHAGY_OF_MITOCHONDRION,0.0076975577247053745,0.15180324960601105,2.1545235446792734,11,31,,GO:BP,2.8479228486646884,turquoise,Autophagy Of Mitochondrion
GOBP_ENERGY_DERIVATION_BY_OXIDATION_OF_ORGANIC_COMPOUNDS,0.008203463891467963,0.15681236746382993,1.422545155993432,41,175,,GO:BP,1.6255287082502796,turquoise,Energy Derivation By Oxidation Of Organic Compounds
GOBP_AMINE_METABOLIC_PROCESS,0.009165664200562714,0.168716115099247,2.6564295977011496,7,16,,GO:BP,4.005213424568264,turquoise,Amine Metabolic Process
GOBP_NAD_METABOLIC_PROCESS,0.009165664200562714,0.168716115099247,2.6564295977011496,7,16,,GO:BP,4.005213424568264,turquoise,Nad Metabolic Process
GOBP_ORGANIC_ANION_TRANSPORT,0.009449947507043954,0.17078632403639438,1.8587262491203378,15,49,,GO:BP,2.293322734499205,turquoise,Organic Anion Transport
GOBP_IMPORT_INTO_THE_MITOCHONDRION,0.010130111468707995,0.17980947856956692,2.428735632183908,8,20,,GO:BP,3.437254901960784,turquoise,Import Into The Mitochondrion
REACTOME_EPIGENETIC_REGULATION_OF_GENE_EXPRESSION,0.007070913280202639,0.18325450251191838,2.556563823351482,8,19,,Reactome,3.7518716577540108,turquoise,Epigenetic Regulation Of Gene Expression
HALLMARK_XENOBIOTIC_METABOLISM,0.03760755888415564,0.21317331348090532,1.5978523895946763,15,57,,Hallmark,1.8479193479193479,turquoise,Xenobiotic Metabolism
HALLMARK_ESTROGEN_RESPONSE_LATE,0.04145036651017603,0.21317331348090532,1.785835023664638,10,34,,Hallmark,2.1462031558185406,turquoise,Estrogen Response Late
GOBP_FATTY_ACID_DERIVATIVE_METABOLIC_PROCESS,0.013424544670943707,0.217917502955864,2.5001690331304935,7,17,,GO:BP,3.602639296187683,turquoise,Fatty Acid Derivative Metabolic Process
GOBP_POSITIVE_REGULATION_OF_HYDROLASE_ACTIVITY,0.013424544670943707,0.217917502955864,2.5001690331304935,7,17,,GO:BP,3.602639296187683,turquoise,Positive Regulation Of Hydrolase Activity
GOBP_REGULATION_OF_FATTY_ACID_METABOLIC_PROCESS,0.013424544670943707,0.217917502955864,2.5001690331304935,7,17,,GO:BP,3.602639296187683,turquoise,Regulation Of Fatty Acid Metabolic Process
GOBP_ORGANIC_ACID_BIOSYNTHETIC_PROCESS,0.013475969129290818,0.217917502955864,1.7203544061302682,17,60,,GO:BP,2.056769479378908,turquoise,Organic Acid Biosynthetic Process
GOBP_RESPONSE_TO_NUTRIENT,0.01359243982219675,0.217917502955864,2.0937376139516446,10,29,,GO:BP,2.71877919651199,turquoise,Response To Nutrient
HALLMARK_BILE_ACID_METABOLISM,0.056317467055540825,0.25268905987427653,1.9319487983281087,7,22,,Hallmark,2.3949169110459434,turquoise,Bile Acid Metabolism
HALLMARK_HEME_METABOLISM,0.06317226496856913,0.25268905987427653,1.5839580209895052,12,46,,Hallmark,1.8182773109243697,turquoise,Heme Metabolism
GOBP_REGULATION_OF_INNATE_IMMUNE_RESPONSE,0.01730636647722737,0.2730560044184763,1.62485834547515,19,71,,GO:BP,1.9024433013794715,turquoise,Regulation Of Innate Immune Response
GOBP_ORGANIC_ACID_TRANSMEMBRANE_TRANSPORT,0.019023909502511368,0.2954650944608797,2.2079414838035527,8,22,,GO:BP,2.942857142857143,turquoise,Organic Acid Transmembrane Transport
GOBP_HORMONE_METABOLIC_PROCESS,0.02042472593409857,0.30925068416198764,1.9082922824302138,11,35,,GO:BP,2.3678288822947575,turquoise,Hormone Metabolic Process
GOBP_PRIMARY_ALCOHOL_METABOLIC_PROCESS,0.02510573787438279,0.36199411757745165,2.1119440279860067,8,23,,GO:BP,2.7450980392156863,turquoise,Primary Alcohol Metabolic Process
GOBP_PYRIMIDINE_CONTAINING_COMPOUND_METABOLIC_PROCESS,0.025486702845279357,0.36199411757745165,2.428735632183908,6,15,,GO:BP,3.423001949317739,turquoise,Pyrimidine Containing Compound Metabolic Process
GOBP_REGULATION_OF_AUTOPHAGY_OF_MITOCHONDRION,0.025486702845279357,0.36199411757745165,2.428735632183908,6,15,,GO:BP,3.423001949317739,turquoise,Regulation Of Autophagy Of Mitochondrion
GOBP_INTRACELLULAR_IRON_ION_HOMEOSTASIS,0.02585672268410369,0.36199411757745165,2.2369933454325466,7,19,,GO:BP,2.998778103616813,turquoise,Intracellular Iron Ion Homeostasis
GOBP_XENOBIOTIC_METABOLIC_PROCESS,0.02585672268410369,0.36199411757745165,2.2369933454325466,7,19,,GO:BP,2.998778103616813,turquoise,Xenobiotic Metabolic Process
GOBP_SULFUR_COMPOUND_BIOSYNTHETIC_PROCESS,0.030766464193721425,0.4247481306744319,1.8051413482447967,11,37,,GO:BP,2.183177356767861,turquoise,Sulfur Compound Biosynthetic Process
GOBP_RESPONSE_TO_XENOBIOTIC_STIMULUS,0.03390072675142219,0.4610668725163318,1.5639585510275167,17,66,,GO:BP,1.7986312349713298,turquoise,Response To Xenobiotic Stimulus
GOBP_REGULATION_OF_MYELOID_CELL_DIFFERENTIATION,0.03432489795393215,0.4610668725163318,2.1251436781609194,7,20,,GO:BP,2.766523798781863,turquoise,Regulation Of Myeloid Cell Differentiation
GOBP_NON_PROTEINOGENIC_AMINO_ACID_METABOLIC_PROCESS,0.035279326032109336,0.4675686676788891,2.2769396551724137,6,16,,GO:BP,3.0789473684210527,turquoise,Non Proteinogenic Amino Acid Metabolic Process
GOBP_ALDEHYDE_METABOLIC_PROCESS,0.037540823138788454,0.49099444999941744,1.8843638525564803,9,29,,GO:BP,2.316371681415929,turquoise,Aldehyde Metabolic Process
GOBP_REGULATION_OF_REACTIVE_OXYGEN_SPECIES_METABOLIC_PROCESS,0.04145036651017603,0.5215400545710756,1.785835023664638,10,34,,GO:BP,2.1462031558185406,turquoise,Regulation Of Reactive Oxygen Species Metabolic Process
GOBP_ISOPRENOID_METABOLIC_PROCESS,0.04445133510684964,0.5388369158074212,2.0239463601532566,7,21,,GO:BP,2.567448680351906,turquoise,Isoprenoid Metabolic Process
GOBP_POLYOL_METABOLIC_PROCESS,0.04445133510684964,0.5388369158074212,2.0239463601532566,7,21,,GO:BP,2.567448680351906,turquoise,Polyol Metabolic Process
GOBP_REGULATION_OF_GLUCOSE_METABOLIC_PROCESS,0.04445133510684964,0.5388369158074212,2.0239463601532566,7,21,,GO:BP,2.567448680351906,turquoise,Regulation Of Glucose Metabolic Process
GOBP_REGULATION_OF_EPITHELIAL_CELL_PROLIFERATION,0.04613485841863197,0.5392748870147074,1.821551724137931,9,30,,GO:BP,2.20480404551201,turquoise,Regulation Of Epithelial Cell Proliferation
GOBP_REGULATION_OF_PROTEIN_SECRETION,0.04655008291697237,0.5392748870147074,1.6559561128526645,12,44,,GO:BP,1.9341517857142858,turquoise,Regulation Of Protein Secretion
GOBP_AMINO_ACID_BIOSYNTHETIC_PROCESS,0.04720011586547238,0.5392748870147074,2.1430020283975657,6,17,,GO:BP,2.7974481658692185,turquoise,Amino Acid Biosynthetic Process
GOBP_MODIFIED_AMINO_ACID_BIOSYNTHETIC_PROCESS,0.04720011586547238,0.5392748870147074,2.1430020283975657,6,17,,GO:BP,2.7974481658692185,turquoise,Modified Amino Acid Biosynthetic Process
GOBP_POSITIVE_REGULATION_OF_CATALYTIC_ACTIVITY,0.04808935665158987,0.5431911421781855,1.6108960825709595,13,49,,GO:BP,1.863764510779436,turquoise,Positive Regulation Of Catalytic Activity
GOBP_RESPONSE_TO_INSULIN,0.0497659055414567,0.5446314176281681,1.5436879018118062,15,59,,GO:BP,1.7618755118755118,turquoise,Response To Insulin
GOBP_REGULATION_OF_MITOCHONDRION_ORGANIZATION,0.04986062274060694,0.5446314176281681,1.7348111658456487,10,35,,GO:BP,2.059171597633136,turquoise,Regulation Of Mitochondrion Organization
GOBP_PYRIDINE_CONTAINING_COMPOUND_METABOLIC_PROCESS,0.05614993591838692,0.6066634380747457,1.4572413793103447,18,75,,GO:BP,1.6344497607655502,turquoise,Pyridine Containing Compound Metabolic Process
GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_MEDIATED_IMMUNITY,0.061332356293717416,0.6520747398275253,2.0239463601532566,6,18,,GO:BP,2.5628654970760234,turquoise,Positive Regulation Of Leukocyte Mediated Immunity
GOBP_PROTEIN_TARGETING,0.06891558364358313,0.6969315646941333,1.4068895430333614,19,82,,GO:BP,1.5601871954455542,turquoise,Protein Targeting
GOBP_GLYCEROLIPID_BIOSYNTHETIC_PROCESS,0.06997259857229746,0.6969315646941333,1.847951024487756,7,23,,GO:BP,2.243951612903226,turquoise,Glycerolipid Biosynthetic Process
GOBP_REGULATION_OF_LEUKOCYTE_DIFFERENTIATION,0.06997259857229746,0.6969315646941333,1.847951024487756,7,23,,GO:BP,2.243951612903226,turquoise,Regulation Of Leukocyte Differentiation
GOBP_MONOSACCHARIDE_METABOLIC_PROCESS,0.07011383950645204,0.6969315646941333,1.4193909538737124,18,77,,GO:BP,1.577195685670262,turquoise,Monosaccharide Metabolic Process
GOBP_MYELOID_CELL_DIFFERENTIATION,0.07316954502935312,0.7201042352393763,1.4913288969550311,14,57,,GO:BP,1.678596295780532,turquoise,Myeloid Cell Differentiation
GOBP_REGULATION_OF_SMALL_MOLECULE_METABOLIC_PROCESS,0.08066005126541084,0.7790854645077063,1.4286680189317105,16,68,,GO:BP,1.58758109360519,turquoise,Regulation Of Small Molecule Metabolic Process
GOBP_MITOCHONDRIAL_RESPIRATORY_CHAIN_COMPLEX_ASSEMBLY,0.08285026289064817,0.7790854645077063,1.5532611601176158,11,43,,GO:BP,1.7677114243323442,turquoise,Mitochondrial Respiratory Chain Complex Assembly
GOBP_ACETYL_COA_METABOLIC_PROCESS,0.08538443883935909,0.7790854645077063,2.0239463601532566,5,15,,GO:BP,2.558309037900875,turquoise,Acetyl Coa Metabolic Process
GOBP_CELL_CYCLE_CHECKPOINT_SIGNALING,0.08538443883935909,0.7790854645077063,2.0239463601532566,5,15,,GO:BP,2.558309037900875,turquoise,Cell Cycle Checkpoint Signaling
GOBP_POSITIVE_REGULATION_OF_LIPID_LOCALIZATION,0.08538443883935909,0.7790854645077063,2.0239463601532566,5,15,,GO:BP,2.558309037900875,turquoise,Positive Regulation Of Lipid Localization
GOBP_PROTEIN_TRANSMEMBRANE_IMPORT_INTO_INTRACELLULAR_ORGANELLE,0.08538443883935909,0.7790854645077063,2.0239463601532566,5,15,,GO:BP,2.558309037900875,turquoise,Protein Transmembrane Import Into Intracellular Organelle
GOBP_RESPIRATORY_SYSTEM_DEVELOPMENT,0.08543291311,0.7790854645077063,1.7709530651340997,7,24,,GO:BP,2.1107469380714163,turquoise,Respiratory System Development
GOBP_CELLULAR_RESPONSE_TO_REACTIVE_OXYGEN_SPECIES,0.09021720408935886,0.8006776862930599,1.6749900911613158,8,29,,GO:BP,1.9540616246498599,turquoise,Cellular Response To Reactive Oxygen Species
GOBP_REGULATION_OF_CYTOPLASMIC_PATTERN_RECOGNITION_RECEPTOR_SIGNALING_PATHWAY,0.09021720408935886,0.8006776862930599,1.6749900911613158,8,29,,GO:BP,1.9540616246498599,turquoise,Regulation Of Cytoplasmic Pattern Recognition Receptor Signaling Pathway
GOBP_RESPONSE_TO_RADIATION,0.09399065716421287,0.8237446515767837,1.4617390378884632,13,54,,GO:BP,1.6317437204222789,turquoise,Response To Radiation
REACTOME_COMPLEX_III_ASSEMBLY,0.035279326032109336,0.8439900304604618,2.2769396551724137,6,16,,Reactome,3.0789473684210527,turquoise,Complex Iii Assembly
GOBP_MYELOID_CELL_HOMEOSTASIS,0.10797097041853371,0.8600842653975135,1.5613300492610838,9,35,,GO:BP,1.7756977535738598,turquoise,Myeloid Cell Homeostasis
GOBP_AMIDE_TRANSPORT,0.10805869253773573,0.8600842653975135,1.484227330779055,11,45,,GO:BP,1.6618083435154478,turquoise,Amide Transport
GOBP_HEPATICOBILIARY_SYSTEM_DEVELOPMENT,0.10815949011538148,0.8600842653975135,1.8974497126436782,5,16,,GO:BP,2.324410283593957,turquoise,Hepaticobiliary System Development
GOBP_PEPTIDYL_LYSINE_MODIFICATION,0.10815949011538148,0.8600842653975135,1.8974497126436782,5,16,,GO:BP,2.324410283593957,turquoise,Peptidyl Lysine Modification
GOBP_REGULATION_OF_T_CELL_MEDIATED_IMMUNITY,0.10815949011538148,0.8600842653975135,1.8974497126436782,5,16,,GO:BP,2.324410283593957,turquoise,Regulation Of T Cell Mediated Immunity
GOBP_NEURAL_NUCLEUS_DEVELOPMENT,0.11703597848890228,0.8754326589895355,1.7348111658456484,6,21,,GO:BP,2.046783625730994,turquoise,Neural Nucleus Development
GOBP_REGULATION_OF_ADAPTIVE_IMMUNE_RESPONSE,0.11703597848890228,0.8754326589895355,1.7348111658456484,6,21,,GO:BP,2.046783625730994,turquoise,Regulation Of Adaptive Immune Response
GOBP_STEROL_TRANSPORT,0.11703597848890228,0.8754326589895355,1.7348111658456484,6,21,,GO:BP,2.046783625730994,turquoise,Sterol Transport
GOBP_PROTEIN_LOCALIZATION_TO_MITOCHONDRION,0.11806760012170303,0.8754326589895355,1.4095340722495897,13,56,,GO:BP,1.5540437348143006,turquoise,Protein Localization To Mitochondrion
GOBP_LIPID_HOMEOSTASIS,0.12167105552086409,0.8754326589895355,1.6347259062776305,7,26,,GO:BP,1.8864022225652106,turquoise,Lipid Homeostasis
GOBP_RESPONSE_TO_TYPE_II_INTERFERON,0.12167105552086409,0.8754326589895355,1.6347259062776305,7,26,,GO:BP,1.8864022225652106,turquoise,Response To Type Ii Interferon
HALLMARK_UV_RESPONSE_UP,0.2450024658682721,0.8820088771257796,1.3011083743842364,9,42,,Hallmark,1.3934030571198712,turquoise,UV Response Up
REACTOME_BIOLOGICAL_OXIDATIONS,0.041245756780265035,0.9162450256187448,1.6444564176245213,13,48,,Reactome,1.9181236673773987,turquoise,Biological Oxidations
HALLMARK_COMPLEMENT,0.28064588793232803,0.9184774514148918,1.278281911675741,8,38,,Hallmark,1.3607843137254902,turquoise,Complement
GOBP_IMMUNE_SYSTEM_DEVELOPMENT,0.13355922938617695,0.9214249472692388,1.785835023664638,5,17,,GO:BP,2.129494655004859,turquoise,Immune System Development
GOBP_REGULATION_OF_RESPONSE_TO_CYTOKINE_STIMULUS,0.13355922938617695,0.9214249472692388,1.785835023664638,5,17,,GO:BP,2.129494655004859,turquoise,Regulation Of Response To Cytokine Stimulus
GOBP_NEGATIVE_REGULATION_OF_CELL_DEVELOPMENT,0.13980542027641277,0.9328637072802778,1.6559561128526645,6,22,,GO:BP,1.917763157894737,turquoise,Negative Regulation Of Cell Development
GOBP_POSITIVE_REGULATION_OF_LIPID_METABOLIC_PROCESS,0.13980542027641277,0.9328637072802778,1.6559561128526645,6,22,,GO:BP,1.917763157894737,turquoise,Positive Regulation Of Lipid Metabolic Process
GOBP_INTRACELLULAR_RECEPTOR_SIGNALING_PATHWAY,0.14133849631990678,0.9328637072802778,1.3492975734355046,14,63,,GO:BP,1.4679213002566296,turquoise,Intracellular Receptor Signaling Pathway
GOBP_DOUBLE_STRAND_BREAK_REPAIR,0.14265119065050524,0.9328637072802778,1.5179597701149425,8,32,,GO:BP,1.7068627450980391,turquoise,Double Strand Break Repair
GOBP_REGULATION_OF_LIPID_METABOLIC_PROCESS,0.14940503445030368,0.9706444721804043,1.3747560182173064,12,53,,GO:BP,1.5017421602787457,turquoise,Regulation Of Lipid Metabolic Process
HALLMARK_IL2_STAT5_SIGNALING,0.3401388349299607,0.9937852766522375,1.2562425683709868,6,29,,Hallmark,1.3287566742944317,turquoise,IL2 Stat5 Signaling
HALLMARK_E2F_TARGETS,0.4354788396810389,0.9937852766522375,1.1384698275862069,6,32,,Hallmark,1.1734143049932524,turquoise,E2F Targets
HALLMARK_ANDROGEN_RESPONSE,0.49980912185814624,0.9937852766522375,1.0842569786535303,5,28,,Hallmark,1.1040689567752566,turquoise,Androgen Response
HALLMARK_COAGULATION,0.5021392347818014,0.9937852766522375,1.1039707419017764,4,22,,Hallmark,1.1285529715762275,turquoise,Coagulation
HALLMARK_UV_RESPONSE_DN,0.5484077121492372,0.9937852766522375,1.0715010141987829,3,17,,Hallmark,1.0875776397515529,turquoise,UV Response Dn
HALLMARK_APICAL_JUNCTION,0.551690408493917,0.9937852766522375,1.0119731800766283,7,42,,Hallmark,1.0146627565982405,turquoise,Apical Junction
HALLMARK_P53_PATHWAY,0.6094936215223052,0.9937852766522375,0.9714942528735632,4,25,,Hallmark,0.9656699889258029,turquoise,p53 Pathway
HALLMARK_APOPTOSIS,0.614090795871341,0.9937852766522375,0.9587114337568057,6,38,,Hallmark,0.950109649122807,turquoise,Apoptosis
HALLMARK_GLYCOLYSIS,0.6268032437114064,0.9937852766522375,0.9487248563218391,10,64,,Hallmark,0.9374315143545913,turquoise,Glycolysis
HALLMARK_ESTROGEN_RESPONSE_EARLY,0.6639964035577269,0.9937852766522375,0.9107758620689655,3,20,,Hallmark,0.8941176470588236,turquoise,Estrogen Response Early
HALLMARK_INTERFERON_GAMMA_RESPONSE,0.7283642958964117,0.9937852766522375,0.8374950455806579,4,29,,Hallmark,0.8093023255813954,turquoise,Interferon Gamma Response
HALLMARK_DNA_REPAIR,0.7982251172805024,0.9937852766522375,0.7589798850574713,4,32,,Hallmark,0.7213455149501661,turquoise,DNA Repair
