gene,pathway,database,classification,logFC_Aging,logFC_Training_Old,pathway_pvalue
HPRT1,Metabolism,GO_Slim,Rev. (Age Down),-0.1323,0.5572,0.1703
NAMPT,Metabolism,GO_Slim,Rev. (Age Down),-0.3762,0.3942,0.1703
NT5C1A,Metabolism,GO_Slim,Rev. (Age Down),-0.5775,0.2613,0.1703
PHKA2,Metabolism,GO_Slim,Rev. (Age Down),-0.4404,0.3587,0.1703
PHKB,Metabolism,GO_Slim,Rev. (Age Down),-0.3971,0.2263,0.1703
PPP1R3A,Metabolism,GO_Slim,Rev. (Age Down),-0.4951,0.1807,0.1703
SLC25A11,Metabolism,GO_Slim,Rev. (Age Down),-0.6338,0.0447,0.1703
TYMP,Metabolism,GO_Slim,Rev. (Age Down),-0.4751,0.1317,0.1703
MARCHF5,Mitochondria & Energy,GO_Slim,Rev. (Age Down),-0.6029,0.0949,0.7448
MT-ND2,Mitochondria & Energy,GO_Slim,Rev. (Age Down),-0.8033,0.1431,0.7448
NDUFA1,Mitochondria & Energy,GO_Slim,Rev. (Age Down),-0.7741,0.2619,0.7448
SCO1,Mitochondria & Energy,GO_Slim,Rev. (Age Down),-0.6184,0.2707,0.7448
LMOD2,Muscle & Contractile,GO_Slim,Rev. (Age Down),-2.2637,0.1565,0.04104
MYH13,Muscle & Contractile,GO_Slim,Rev. (Age Down),-0.9145,0.2649,0.04104
MYH2,Muscle & Contractile,GO_Slim,Rev. (Age Down),-1.0187,0.4817,0.04104
MYL1,Muscle & Contractile,GO_Slim,Rev. (Age Down),-0.877,0.4062,0.04104
TMOD4,Muscle & Contractile,GO_Slim,Rev. (Age Down),-0.99,0.2434,0.04104
TNNT3,Muscle & Contractile,GO_Slim,Rev. (Age Down),-1.1102,0.2918,0.04104
TPM2,Muscle & Contractile,GO_Slim,Rev. (Age Down),-1.048,0.2598,0.04104
BZW1,Other,Other,Rev. (Age Down),-1.0035,0.0382,1
EEF1G,Other,Other,Rev. (Age Down),-0.3226,0.1649,1
EEFSEC,Other,Other,Rev. (Age Down),-0.5802,0.3665,1
FSD2,Other,Other,Rev. (Age Down),-0.6182,0.131,1
MRPL9,Other,Other,Rev. (Age Down),-0.897,0.3138,1
PYURF,Other,Other,Rev. (Age Down),-0.858,0.1396,1
TES,Other,Other,Rev. (Age Down),-0.7267,0.3646,1
TMX3,Other,Other,Rev. (Age Down),-1.3572,0.155,1
TNNI2,Other,Other,Rev. (Age Down),-1.1719,0.2674,1
DDI2,Protein Homeostasis,GO_Slim,Rev. (Age Down),-1.1496,0.1422,0.8862
KLHL40,Protein Homeostasis,GO_Slim,Rev. (Age Down),-1.029,0.3362,0.8862
LRBA,Protein Homeostasis,GO_Slim,Rev. (Age Down),-1.6593,-0.2027,0.8862
MUSTN1,Protein Homeostasis,GO_Slim,Rev. (Age Down),-1.3625,0.7722,0.8862
NGLY1,Protein Homeostasis,GO_Slim,Rev. (Age Down),-0.4135,0.2806,0.8862
PSMD7,Protein Homeostasis,GO_Slim,Rev. (Age Down),-0.6137,0.1784,0.8862
ACTN2,Transport,GO_Slim,Rev. (Age Down),-1.9351,0.4933,0.5905
ACTN4,Transport,GO_Slim,Rev. (Age Down),-1.753,0.3669,0.5905
ARHGAP1,Transport,GO_Slim,Rev. (Age Down),-0.6004,0.4728,0.5905
CAMK2D,Transport,GO_Slim,Rev. (Age Down),-0.5222,0.5428,0.5905
CSRP3,Transport,GO_Slim,Rev. (Age Down),-0.3925,0.5084,0.5905
DES,Transport,GO_Slim,Rev. (Age Down),-1.5002,0.2096,0.5905
EMC2,Transport,GO_Slim,Rev. (Age Down),-0.7295,0.145,0.5905
MICOS10,Transport,GO_Slim,Rev. (Age Down),-1.3239,0.1616,0.5905
MT-CO1,Transport,GO_Slim,Rev. (Age Down),-0.7513,0.2848,0.5905
RPL23,Transport,GO_Slim,Rev. (Age Down),-0.3917,0.2065,0.5905
RPS15,Transport,GO_Slim,Rev. (Age Down),-0.3422,0.3738,0.5905
S100A13,Transport,GO_Slim,Rev. (Age Down),-0.3067,0.6614,0.5905
SPAG9,Transport,GO_Slim,Rev. (Age Down),-0.6136,0.1577,0.5905
SQSTM1,Transport,GO_Slim,Rev. (Age Down),-0.6958,0.118,0.5905
ARHGDIB,Cytoskeleton & Motility,GO_Slim,Rev. (Age Up),0.737,-0.1492,0.3179
PDLIM1,Cytoskeleton & Motility,GO_Slim,Rev. (Age Up),1.0193,-0.1299,0.3179
PHPT1,Cytoskeleton & Motility,GO_Slim,Rev. (Age Up),0.4379,-0.1652,0.3179
SYNE2,Cytoskeleton & Motility,GO_Slim,Rev. (Age Up),0.2601,-0.43,0.3179
HMGB1,DNA & Cell Cycle,GO_Slim,Rev. (Age Up),0.4126,-0.1195,0.9823
HMGB2,DNA & Cell Cycle,GO_Slim,Rev. (Age Up),0.7617,-0.2048,0.9823
NAE1,DNA & Cell Cycle,GO_Slim,Rev. (Age Up),0.377,-0.3245,0.9823
OTUB1,DNA & Cell Cycle,GO_Slim,Rev. (Age Up),0.5169,-0.1224,0.9823
MAOB,Development,GO_Slim,Rev. (Age Up),0.551,-0.1828,0.4873
EPDR1,ECM & Adhesion,GO_Slim,Rev. (Age Up),0.729,-0.0909,0.09513
LRG1,ECM & Adhesion,GO_Slim,Rev. (Age Up),1.0802,-0.4154,0.09513
TLN2,ECM & Adhesion,GO_Slim,Rev. (Age Up),0.2236,-0.3625,0.09513
EWSR1,Gene Expression,GO_Slim,Rev. (Age Up),0.3886,-0.1681,0.2865
MDP1,Gene Expression,GO_Slim,Rev. (Age Up),0.6072,-0.1107,0.2865
