gene,f3_class,logFC_Aging,logFC_Training_Old,pi_score_Aging,pi_score_Reversal
RPS21,Rev. (Age Down),-0.2976,0.2909,0.326355,0.043541
MSN,Rev. (Age Down),-0.2906,0.2481,0.23044,0.030221
HPRT1,Rev. (Age Down),-0.1323,0.5572,0.898158,0.037469
GPT2,Rev. (Age Up),1.683,-0.592,6.67e-4,2e-6
PLIN2,Rev. (Age Up),1.1196,-0.4254,8.5e-5,8e-6
LRG1,Rev. (Age Up),1.0802,-0.4154,5.6e-5,2e-6
CTSZ,Rev. (Age Up),1.0453,-0.0079,0,8.4e-5
PDLIM1,Rev. (Age Up),1.0193,-0.1299,3e-6,1.7e-4
COPS7B,Rev. (Age Up),1.0134,-0.4555,0.012069,5.72e-4
SLC25A46,Rev. (Age Up),0.9433,-0.0505,2.57e-4,0.001169
IDI1,Rev. (Age Up),0.8735,-0.3417,6e-6,1e-6
MCEE,Rev. (Age Up),0.8339,-0.1316,0.024348,0.031076
SOD2,Rev. (Age Up),0.8246,-0.0624,1.08e-4,0.004311
ALDH6A1,Rev. (Age Up),0.7769,-0.5217,7.98e-4,2e-6
MAOA,Rev. (Age Up),0.7757,-0.1941,9.8e-5,3.07e-4
HMGB2,Rev. (Age Up),0.7617,-0.2048,1.2e-5,2.2e-5
ARHGDIB,Rev. (Age Up),0.737,-0.1492,6.97e-4,0.002812
EPDR1,Rev. (Age Up),0.729,-0.0909,4.12e-4,0.00467
MICU1,Rev. (Age Up),0.7167,-0.0824,0.015305,0.046547
DCXR,Rev. (Age Up),0.71,-0.1383,3.25e-4,0.001907
MT2A,Rev. (Age Up),0.7041,-0.5348,0.012118,1e-4
MAPK13,Rev. (Age Up),0.6965,-0.2492,0.045059,0.016652
PRUNE1,Rev. (Age Up),0.6825,-0.3554,0.12577,0.006686
PSAP,Rev. (Age Up),0.6804,-0.1473,2.46e-4,0.001121
VWA8,Rev. (Age Up),0.6641,-0.2903,0.085044,0.016564
HMGCL,Rev. (Age Up),0.6639,0.0062,2.52e-4,0.015774
PNPO,Rev. (Age Up),0.6635,-0.2009,0.00557,0.006372
NAXD,Rev. (Age Up),0.653,-0.154,4.17e-4,0.001331
MCCC1,Rev. (Age Up),0.6282,-0.1374,0.009496,0.018578
FXN,Rev. (Age Up),0.6213,-0.1459,0.00177,0.004316
CA3,Rev. (Age Up),0.6141,-0.073,2.63e-4,0.004246
PLIN4,Rev. (Age Up),0.6123,-0.2876,0.001384,1.68e-4
MDP1,Rev. (Age Up),0.6072,-0.1107,0.016523,0.0222
COQ5,Rev. (Age Up),0.6059,-0.072,0.005581,0.032809
PLIN5,Rev. (Age Up),0.6011,-0.3906,0.128062,0.019296
SELENBP1,Rev. (Age Up),0.5984,-0.2522,0.001458,3.62e-4
NXN,Rev. (Age Up),0.5872,-0.0543,8.31e-4,0.010418
FBN1,Rev. (Age Up),0.5843,-0.3809,0.158294,0.036528
ABHD16A,Rev. (Age Up),0.5817,-0.4649,0.189851,0.009126
TMPO,Rev. (Age Up),0.5723,-0.4115,0.105559,0.004695
MAOB,Rev. (Age Up),0.551,-0.1828,0.003634,0.003123
ALDH5A1,Rev. (Age Up),0.5399,-0.075,0.004326,0.023531
MRPS36,Rev. (Age Up),0.5386,-0.2186,0.084299,0.049374
ADH1B,Rev. (Age Up),0.5344,-0.6939,0.245614,0.003395
SUOX,Rev. (Age Up),0.5274,-0.184,0.008637,0.006494
OTUB1,Rev. (Age Up),0.5169,-0.1224,1.16e-4,3.54e-4
GALK1,Rev. (Age Up),0.5164,-0.1872,0.051072,0.027257
ACADS,Rev. (Age Up),0.4996,-0.3399,0.097537,0.013335
RNF114,Rev. (Age Up),0.4864,-0.2047,0.010178,0.003863
ETFA,Rev. (Age Up),0.479,-0.1005,0.016199,0.036519
HADHA,Rev. (Age Up),0.476,-0.0764,0.002789,0.014041
TST,Rev. (Age Up),0.4705,-0.1731,0.038614,0.028019
CTSD,Rev. (Age Up),0.4699,-0.1572,0.010104,0.008729
PHPT1,Rev. (Age Up),0.4379,-0.1652,0.011191,0.006559
ASS1,Rev. (Age Up),0.4345,-0.6463,0.532279,0.022183
ACAT1,Rev. (Age Up),0.4338,-0.1129,0.013663,0.021766
CPT2,Rev. (Age Up),0.4309,-0.1527,0.048858,0.03946
MPST,Rev. (Age Up),0.4218,-0.2658,0.028,0.002153
SLC27A1,Rev. (Age Up),0.4153,-0.3523,0.207952,0.012747
HMGB1,Rev. (Age Up),0.4126,-0.1195,0.023149,0.028465
HADHB,Rev. (Age Up),0.411,-0.1095,0.010658,0.016475
EWSR1,Rev. (Age Up),0.3886,-0.1681,0.126529,0.044487
MAVS,Rev. (Age Up),0.3784,-0.1627,0.035471,0.016443
NAE1,Rev. (Age Up),0.377,-0.3245,0.135011,0.007573
COQ7,Rev. (Age Up),0.37,-0.1246,0.023308,0.020288
GPX3,Rev. (Age Up),0.3691,-0.4114,0.280737,0.014875
GSTO1,Rev. (Age Up),0.3674,-0.2644,0.1295,0.017867
PRDX6,Rev. (Age Up),0.3626,-0.1776,0.070381,0.026687
UBE2K,Rev. (Age Up),0.3462,-0.1826,0.094105,0.028989
GPD1L,Rev. (Age Up),0.3457,-0.1446,0.015477,0.006507
SYNE2,Rev. (Age Up),0.2601,-0.43,0.546136,0.024445
TLN2,Rev. (Age Up),0.2236,-0.3625,0.550174,0.032494
PCYT2,Rev. (Age Up),0.2227,-0.4799,0.689586,0.029557
ANXA3,Rev. (Age Up),0.1996,-0.5736,0.789635,0.027838
