method,contrast,criterion,n_up,n_down,n_total
cycloess_mix_bpca_MinProb,Aging,FDR_05,154,131,285
cycloess_mix_bpca_MinProb,Aging,FDR_10,217,186,403
cycloess_mix_bpca_MinProb,Aging,pi_score_05,166,113,279
cycloess_mix_bpca_MinProb,Interaction,nominal_p05,106,60,166
cycloess_mix_bpca_MinProb,Interaction,FDR_05,0,0,0
cycloess_mix_bpca_MinProb,Interaction,FDR_10,0,0,0
cycloess_mix_bpca_MinProb,Interaction,pi_score_05,78,49,127
rlr_mix_bpca_MinProb,Training_Young,nominal_p05,206,167,373
rlr_mix_bpca_MinProb,Training_Young,FDR_05,38,15,53
rlr_mix_bpca_MinProb,Training_Young,FDR_10,61,36,97
rlr_mix_bpca_MinProb,Training_Young,pi_score_05,64,86,150
rlr_mix_bpca_MinProb,Training_Old,nominal_p05,89,73,162
rlr_mix_bpca_MinProb,Training_Old,FDR_05,0,0,0
rlr_mix_bpca_MinProb,Training_Old,FDR_10,0,0,0
rlr_mix_bpca_MinProb,Training_Old,pi_score_05,24,16,40
rlr_mix_bpca_MinProb,Aging,nominal_p05,324,249,573
rlr_mix_bpca_MinProb,Aging,FDR_05,148,124,272
rlr_mix_bpca_MinProb,Aging,FDR_10,222,172,394
rlr_mix_bpca_MinProb,Aging,pi_score_05,168,121,289
rlr_mix_bpca_MinProb,Interaction,nominal_p05,104,69,173
rlr_mix_bpca_MinProb,Interaction,FDR_05,0,0,0
rlr_mix_bpca_MinProb,Interaction,FDR_10,0,0,0
rlr_mix_bpca_MinProb,Interaction,pi_score_05,86,45,131
vsn_mix_bpca_MinProb,Training_Young,nominal_p05,203,186,389
vsn_mix_bpca_MinProb,Training_Young,FDR_05,31,9,40
vsn_mix_bpca_MinProb,Training_Young,FDR_10,78,61,139
vsn_mix_bpca_MinProb,Training_Young,pi_score_05,88,87,175
vsn_mix_bpca_MinProb,Training_Old,nominal_p05,74,82,156
vsn_mix_bpca_MinProb,Training_Old,FDR_05,0,0,0
vsn_mix_bpca_MinProb,Training_Old,FDR_10,0,0,0
vsn_mix_bpca_MinProb,Training_Old,pi_score_05,14,19,33
vsn_mix_bpca_MinProb,Aging,nominal_p05,311,266,577
vsn_mix_bpca_MinProb,Aging,FDR_05,143,155,298
vsn_mix_bpca_MinProb,Aging,FDR_10,215,203,418
vsn_mix_bpca_MinProb,Aging,pi_score_05,174,123,297
vsn_mix_bpca_MinProb,Interaction,nominal_p05,112,73,185
vsn_mix_bpca_MinProb,Interaction,FDR_05,0,0,0
vsn_mix_bpca_MinProb,Interaction,FDR_10,0,0,0
vsn_mix_bpca_MinProb,Interaction,pi_score_05,84,57,141
