pathway,pval,padj,NES,size,leadingEdge,database,ES,log2err,contrast
GOBP_CARDIAC_CELL_DEVELOPMENT,1.5929064917692793e-4,0.005002721950712893,-2.0631681133374173,21,PLEC;TTN;NEB;PDLIM5;NRAP;ACTN2;ALPK3;TCAP;LMNA,GO:BP,-0.6502247257566389,0.5188480777437918,Aging
GOBP_MITOCHONDRIAL_TRANSPORT,1.5521250189770943e-4,0.005002721950712893,1.9488572547343324,64,SLC25A46;CPT2;TST;ACAA2;TIMM10;MICU1;SFXN1;VDAC1;PPIF;TIMM44;CHCHD4;GRPEL1;PMPCB;LETM1;GSK3A;TIMM50;HSPD1;ATP5IF1;SLC25A20;CPT1B;TIMM8A;MCU;AFG3L2;TIMM9;VPS35;MTCH2;PNPT1;TOMM70;SAMM50;TIMM13;NOL3;VDAC2;SLC25A13;MPC1,GO:BP,0.4740629833727215,0.5188480777437918,Aging
GOBP_RRNA_METABOLIC_PROCESS,2.1179612786145438e-4,0.006318825495701298,-2.034611809692899,38,RPS7;RPL27;RPS19;RPS27;RPS24;RPL35;MAPT;RPS25;RPL35A;RPS15;RPS14;RPS21;RPS17;UTP15;RPL5;RPL26;TRMT112;RPL7A;RPL11;RPS16;RPL14;MACROH2A1;RPS8;PA2G4;PELO,GO:BP,-0.5536925827849353,0.5188480777437918,Aging
GOBP_SKELETAL_MUSCLE_ORGAN_DEVELOPMENT,2.1377121079984492e-4,0.006318825495701298,-1.9377623517701559,49,PLEC;DES;MYOM2;FLNB;KLHL40;MYOM1;YBX3;NACA;ACTN3;MYOZ1;EEF2;SVIL;CACNA1S;ACTA1;STAC3;CSRP3;LMOD3;KLHL41;ERO1A;RYR1;MYL6;FXR1;CASQ1,GO:BP,-0.4993653927625408,0.5188480777437918,Aging
GOBP_STRIATED_MUSCLE_CONTRACTION,2.728404596666995e-4,0.007834418913286657,-1.8494317372666085,69,TTN;MYBPH;SNTA1;SYNM;TNNI2;TPM1;FLNA;TNNT3;HRC;ACTN3;CAMK2D;TMEM38A;EEF2;MYH3;JPH2;TNNC2;TCAP;TRDN;JPH1;CACNA1S;CALM1;STAC3;CSRP3;LMOD3;SMPX;KLHL41;TNNT1;MYH7;MYH8;RYR1,GO:BP,-0.4451691333918324,0.49849310876659025,Aging
GOBP_MUSCLE_TISSUE_DEVELOPMENT,5.344224119256936e-4,0.014919292332925615,-1.7997003901865702,88,PLEC;TTN;NEB;MYOM2;FLNB;KLHL40;MYOM1;PDLIM5;TPM1;NRAP;ACTN2;YBX3;NACA;ACTN3;MYOZ1;EEF2;ALPK3;CSRP1;SVIL;JPH2;TCAP;LMNA;COL3A1;CACNA1S;ACTA1;STAC3;CSRP3;LMOD3;KLHL41;ERO1A,GO:BP,-0.4131888154928278,0.47727081536286214,Aging
GOBP_REGULATION_OF_MYELOID_CELL_DIFFERENTIATION,7.047509427932391e-4,0.019142559392086627,1.9879311717687316,20,HMGB2;HMGB1;PRKDC;ADIPOQ;FBN1;CUL4A;STAT5B;GLUL;PITHD1,GO:BP,0.6350525515027456,0.47727081536286214,Aging
GOBP_KETONE_METABOLIC_PROCESS,7.4145027486518e-4,0.019609408585250156,1.8288829060101586,52,AKR7A2;COQ7;COQ5;CBR4;COQ8A;ADIPOQ;ACADVL;MLYCD;HAGH;PLIN5;FABP3;PPTC7;COQ3;SIRT5;STAT5B;APOC2;H6PD;FABP5;COQ9,GO:BP,0.46380617617530734,0.47727081536286214,Aging
GOBP_SULFUR_COMPOUND_METABOLIC_PROCESS,0.0010330655201550398,0.02662130378861064,1.7372543781169538,79,SOD2;ACAT1;SUOX;MPST;MCCC1;TST;OPLAH;MAT2B;CBR4;GSTO1;ACOT9;MCEE;ACSF2;BPNT1;MLYCD;ACSS2;GCDH;HAGH;ACSL1;SUCLA2;STAT5B;SUCLG1;GSTP1;ACOT2;MMUT;SULT1A1;PANK4,GO:BP,0.405695990367392,0.45505986738722953,Aging
GOBP_ENDOPLASMIC_RETICULUM_ORGANIZATION,0.0010876733911646646,0.026661262393182634,-1.9202769654396161,35,VAPB;EMC2;EMC3;TMCO1;CCDC47;TMEM38A;NOMO2;TRDN;CACNA1S;LPCAT3;RAB10;ATL2;SEC61A1;REEP5;ESYT2;JAGN1;CASQ1;EMC1;UBL4A;LMAN1;ESYT1;VAPA;CAV2;TMED2,GO:BP,-0.5337157294175113,0.45505986738722953,Aging
