module,trait,cor,pval,stars,label,trait_label,xpos
MEturquoise,DXA_LBM_kg,-0.15527206103933622,0.4026730381492172,,-0.16,DXA LBM,5.15
MEpink,deadlift_1rm_kg,-0.21588144293956252,0.23644588028092092,,-0.22,Deadlift,6.300000000000001
MEred,deadlift_1rm_kg,-0.16442380244875118,0.37026500601287304,,-0.16,Deadlift,6.300000000000001
MEblue,deadlift_1rm_kg,-0.3124135706982906,0.05756591009384394,,-0.31,Deadlift,6.300000000000001
MEmagenta,deadlift_1rm_kg,0.01036971582416793,0.9467634853983528,,0.01,Deadlift,6.300000000000001
MEyellow,deadlift_1rm_kg,0.0950718507629842,0.611896435458566,,0.10,Deadlift,6.300000000000001
MEblack,deadlift_1rm_kg,0.00586565622757665,0.9639107055233171,,0.01,Deadlift,6.300000000000001
MEbrown,deadlift_1rm_kg,0.1857332561535005,0.32569088587908096,,0.19,Deadlift,6.300000000000001
MEgreen,deadlift_1rm_kg,0.18576456927246685,0.32569088587908096,,0.19,Deadlift,6.300000000000001
MEturquoise,deadlift_1rm_kg,0.11709799189260836,0.5294461224272344,,0.12,Deadlift,6.300000000000001
MEpink,Type_I_fCSA,-0.07667595638536032,0.7221227309638228,,-0.08,Type I fCSA,7.450000000000001
MEred,Type_I_fCSA,0.22892839237070725,0.21956245350132617,,0.23,Type I fCSA,7.450000000000001
MEblue,Type_I_fCSA,-0.03014819333430926,0.893885657268035,,-0.03,Type I fCSA,7.450000000000001
MEmagenta,Type_I_fCSA,0.07433462793440379,0.7255552590148195,,0.07,Type I fCSA,7.450000000000001
MEyellow,Type_I_fCSA,-0.09727025863079908,0.611896435458566,,-0.10,Type I fCSA,7.450000000000001
MEblack,Type_I_fCSA,-0.07156382990341739,0.7255552590148195,,-0.07,Type I fCSA,7.450000000000001
MEbrown,Type_I_fCSA,-0.13323153643169228,0.4852263922136244,,-0.13,Type I fCSA,7.450000000000001
MEgreen,Type_I_fCSA,0.12096173613069178,0.5177852966893887,,0.12,Type I fCSA,7.450000000000001
MEturquoise,Type_I_fCSA,0.18164521171148923,0.3378630608639634,,0.18,Type I fCSA,7.450000000000001
MEpink,Type_II_fCSA,-0.13031230782705397,0.4937835647391044,,-0.13,Type II fCSA,8.450000000000001
MEred,Type_II_fCSA,-0.05137947793897832,0.7879772014052635,,-0.05,Type II fCSA,8.450000000000001
MEblue,Type_II_fCSA,-0.4008521822346532,0.01399341650693065,*,-0.40*,Type II fCSA,8.450000000000001
MEmagenta,Type_II_fCSA,0.12048040013046137,0.5177852966893887,,0.12,Type II fCSA,8.450000000000001
MEyellow,Type_II_fCSA,-0.0136828916917099,0.9411092518936164,,-0.01,Type II fCSA,8.450000000000001
MEblack,Type_II_fCSA,0.1145413478205124,0.5324202956019006,,0.11,Type II fCSA,8.450000000000001
MEbrown,Type_II_fCSA,0.12323324112785423,0.5177852966893887,,0.12,Type II fCSA,8.450000000000001
MEgreen,Type_II_fCSA,0.3480643870409632,0.02784426576137522,*,0.35*,Type II fCSA,8.450000000000001
MEturquoise,Type_II_fCSA,0.3586329169483983,0.02667887428554609,*,0.36*,Type II fCSA,8.450000000000001
