gene,pathway,database,expanded_category,logFC_Training_Young,logFC_Training_Old,pathway_pvalue
TNNT1,Muscle & Contractile,GO_Slim,Sig Young Down,-0.7547,0.087,0.371
ART3,Other,Other,Sig Young Down,-0.7642,-0.4314,1
FAM185A,Other,Other,Sig Young Down,-0.8722,-0.323,1
MAOA,Other,Other,Sig Young Down,-0.5078,-0.1941,1
PEBP4,Other,Other,Sig Young Down,-0.6064,-0.4403,1
TMEM143,Other,Other,Sig Young Down,-0.5107,0.0536,1
COL6A1,Protein Homeostasis,GO_Slim,Sig Young Down,-0.7609,0.1194,0.6648
EMD,Transport,GO_Slim,Sig Young Down,-0.4248,0.0462,0.621
MICU2,Transport,GO_Slim,Sig Young Down,-0.549,-0.0824,0.621
SLC20A2,Transport,GO_Slim,Sig Young Down,-1.1463,-0.0392,0.621
TOR1AIP1,Transport,GO_Slim,Sig Young Down,-0.6152,-0.21,0.621
UBE2I,Transport,GO_Slim,Sig Young Down,-0.4831,-0.2245,0.621
GLRX3,Circulatory System,GO_Slim,Sig Young Up,0.5574,0.2165,0.01709
HSPB7,Circulatory System,GO_Slim,Sig Young Up,0.4731,0.2019,0.01709
DYNC1I2,Cytoskeleton & Motility,GO_Slim,Sig Young Up,0.3792,0.0892,0.5288
DYNLT1,Cytoskeleton & Motility,GO_Slim,Sig Young Up,0.4335,0.2535,0.5288
FLNC,Cytoskeleton & Motility,GO_Slim,Sig Young Up,0.5282,0.2122,0.5288
GSN,Cytoskeleton & Motility,GO_Slim,Sig Young Up,0.5256,0.4735,0.5288
MSN,Cytoskeleton & Motility,GO_Slim,Sig Young Up,0.4949,0.2481,0.5288
DYNC1H1,DNA & Cell Cycle,GO_Slim,Sig Young Up,0.4449,0.1194,0.6528
DYNC1LI1,DNA & Cell Cycle,GO_Slim,Sig Young Up,0.6541,0.104,0.6528
S100A11,DNA & Cell Cycle,GO_Slim,Sig Young Up,0.544,0.193,0.6528
TUBB6,DNA & Cell Cycle,GO_Slim,Sig Young Up,0.613,0.2375,0.6528
S100A4,Development,GO_Slim,Sig Young Up,1.0817,0.4382,0.445
FARSA,Gene Expression,GO_Slim,Sig Young Up,0.4426,0.0452,0.7093
FARSB,Gene Expression,GO_Slim,Sig Young Up,0.6285,0.1232,0.7093
RPS11,Gene Expression,GO_Slim,Sig Young Up,0.4924,0.1916,0.7093
VARS1,Gene Expression,GO_Slim,Sig Young Up,0.5164,0.154,0.7093
ANXA1,Immune & Inflammation,GO_Slim,Sig Young Up,0.5916,0.2384,0.2749
AKR1C3,Metabolism,GO_Slim,Sig Young Up,0.6694,0.0679,0.8406
CARNS1,Metabolism,GO_Slim,Sig Young Up,0.7943,0.4533,0.8406
CBR1,Metabolism,GO_Slim,Sig Young Up,0.4263,0.2353,0.8406
EZR,Metabolism,GO_Slim,Sig Young Up,0.7289,0.197,0.8406
GBE1,Metabolism,GO_Slim,Sig Young Up,0.4435,0.2465,0.8406
USP9X,Mitochondria & Energy,GO_Slim,Sig Young Up,0.4173,0.1198,0.2656
CALU,Other,Other,Sig Young Up,0.3928,0.3069,1
JPT2,Other,Other,Sig Young Up,0.9033,0.4141,1
CAPN2,Protein Homeostasis,GO_Slim,Sig Young Up,0.3463,0.2028,0.6648
CCT6A,Protein Homeostasis,GO_Slim,Sig Young Up,0.4038,0.1658,0.6648
HSPB1,Protein Homeostasis,GO_Slim,Sig Young Up,0.5302,0.3896,0.6648
HSPB6,Protein Homeostasis,GO_Slim,Sig Young Up,0.6109,0.2797,0.6648
PSME1,Protein Homeostasis,GO_Slim,Sig Young Up,0.3948,0.1158,0.6648
PSME2,Protein Homeostasis,GO_Slim,Sig Young Up,0.6118,0.2853,0.6648
SERPINH1,Protein Homeostasis,GO_Slim,Sig Young Up,0.9777,0.8207,0.6648
RAB6A,Transport,GO_Slim,Sig Young Up,0.4373,0.0819,0.621
S100A6,Transport,GO_Slim,Sig Young Up,1.2584,0.532,0.621
