gene,logFC_Aging,logFC_Training_Old,pi_score_Aging,pi_score_Training_Old,pi_score_Reversal,significance,quadrant,imputed
DPYSL3,0.4466,-0.1627,0.13388,0.809265,0.110435,NS,Reversed (Aging Up / Training Down),FALSE
SAMHD1,0.2396,0.3686,0.826349,0.276315,0.963854,NS,Exacerbated Up,TRUE
RPL17,-0.4669,0.1412,0.053729,0.826463,0.058601,NS,Reversed (Aging Down / Training Up),FALSE
RPL29,-0.4222,0.1858,0.370025,0.839306,0.284194,NS,Reversed (Aging Down / Training Up),FALSE
HDGFL2,0.5208,-0.0853,0.133324,0.942464,0.132057,NS,Reversed (Aging Up / Training Down),TRUE
HSPB1,-0.2145,0.3896,0.730308,0.185261,0.130785,NS,Reversed (Aging Down / Training Up),FALSE
SLC16A1,0.4314,0.1711,0.228353,0.821948,0.790784,NS,Exacerbated Up,FALSE
MYBPC1,-0.4387,0.1585,0.47499,0.915823,0.436318,NS,Reversed (Aging Down / Training Up),FALSE
TFAM,0.4591,-0.1379,0.080282,0.847769,0.086838,NS,Reversed (Aging Up / Training Down),TRUE
SET,-0.2945,0.3001,0.523651,0.405247,0.14701,NS,Reversed (Aging Down / Training Up),TRUE
MRPS21,-0.4492,0.1426,0.295621,0.888515,0.260008,NS,Reversed (Aging Down / Training Up),TRUE
CRIP2,0.3091,0.282,0.564069,0.523079,0.998117,NS,Exacerbated Up,TRUE
AAMDC,0.3151,-0.2755,0.350505,0.391681,0.077737,NS,Reversed (Aging Up / Training Down),FALSE
TMLHE,-0.3142,0.2763,0.582708,0.606077,0.263378,NS,Reversed (Aging Down / Training Up),TRUE
KLHL41,-0.4217,0.1666,0.385107,0.876193,0.326637,NS,Reversed (Aging Down / Training Up),FALSE
KRT18,-0.3124,0.275,0.69537,0.719507,0.420742,NS,Reversed (Aging Down / Training Up),FALSE
RPL11,-0.3086,0.2788,0.544705,0.580007,0.227699,NS,Reversed (Aging Down / Training Up),TRUE
BUB3,0.496,-0.0911,0.244486,0.925063,0.188196,NS,Reversed (Aging Up / Training Down),TRUE
ADD1,0.5167,0.0703,0.347586,0.973862,0.574668,NS,Exacerbated Up,TRUE
KRT19,-0.4051,0.1809,0.56505,0.895818,0.478997,NS,Reversed (Aging Down / Training Up),FALSE
FLG2,-0.3614,0.2243,0.73295,0.871194,0.580289,NS,Reversed (Aging Down / Training Up),TRUE
SDR39U1,0.4218,-0.1636,0.261406,0.82747,0.192376,NS,Reversed (Aging Up / Training Down),TRUE
HCFC2,0.3916,-0.1932,0.484588,0.843916,0.36664,NS,Reversed (Aging Up / Training Down),FALSE
RBP4,0.3169,-0.2672,0.829479,0.699803,0.548192,NS,Reversed (Aging Up / Training Down),TRUE
TIMM8A,0.4983,0.0849,0.265539,0.966133,0.598995,NS,Exacerbated Up,TRUE
PYGL,0.5263,-0.0561,0.110415,0.984563,0.236829,NS,Reversed (Aging Up / Training Down),TRUE
SLC20A2,-0.5422,-0.0392,0.491606,0.996876,0.71229,NS,Exacerbated Down,TRUE
LAMP2,0.446,-0.1352,0.166815,0.871196,0.154432,NS,Reversed (Aging Up / Training Down),TRUE
ATPAF2,0.2567,-0.3238,0.670349,0.306657,0.176218,NS,Reversed (Aging Up / Training Down),TRUE
LPCAT3,-0.4692,-0.1106,0.261281,0.929185,0.647814,NS,Exacerbated Down,TRUE
SELENOF,0.4481,0.1311,0.640123,0.910267,0.836961,NS,Exacerbated Up,TRUE
RPS2,-0.3085,0.2701,0.313675,0.353252,0.058648,NS,Reversed (Aging Down / Training Up),FALSE
TRDN,-0.46,0.1171,0.209315,0.925549,0.241921,NS,Reversed (Aging Down / Training Up),TRUE
TIMM10,0.4229,-0.1528,0.07985,0.776756,0.064214,NS,Reversed (Aging Up / Training Down),FALSE
DCTN5,0.4371,-0.1371,0.183453,0.848471,0.144151,NS,Reversed (Aging Up / Training Down),TRUE
CAPZB,-0.4724,0.1013,0.140916,0.939317,0.199896,NS,Reversed (Aging Down / Training Up),FALSE
TSC22D1,0.3024,-0.2712,0.855503,0.770722,0.584173,NS,Reversed (Aging Up / Training Down),TRUE
RPS24,-0.5366,0.0365,0.051556,0.992508,0.172809,NS,Reversed (Aging Down / Training Up),TRUE
TMCO1,-0.3916,-0.1791,0.095065,0.660464,0.763569,NS,Exacerbated Down,FALSE
ART3,0.1391,-0.4314,0.915213,0.192178,0.266177,NS,Reversed (Aging Up / Training Down),TRUE
CBR4,0.5449,-0.0254,0.055993,0.996614,0.199968,NS,Reversed (Aging Up / Training Down),TRUE
RPS17,-0.305,0.265,0.362042,0.380514,0.076495,NS,Reversed (Aging Down / Training Up),TRUE
MYL6B,0.3777,0.1922,0.695061,0.907744,0.956011,NS,Exacerbated Up,FALSE
