gene,logFC_Training_Young,logFC_Training_Old,pi_score_Young,pi_score_Old,pi_score_Interaction,significance,quadrant,imputed
CACNG1,-0.3028,-0.4178,0.463127,0.175505,0.948419,NS,Concordant Down,TRUE
KLHL40,0.3844,0.3359,0.421417,0.547005,0.994115,NS,Concordant Up,FALSE
MT-CO1,-0.4349,0.2852,0.264585,0.585787,0.051803,NS,Discordant (Young Down / Old Up),TRUE
FLNC,0.5072,0.2129,0.060382,0.72747,0.648215,NS,Concordant Up,FALSE
RPL3,0.5374,-0.182,0.122501,0.868466,0.089674,NS,Discordant (Young Up / Old Down),TRUE
NDUFA1,-0.4555,0.2625,0.379934,0.749253,0.154378,NS,Discordant (Young Down / Old Up),TRUE
HLA-B,-0.6153,0.1026,0.108712,0.946372,0.087602,NS,Discordant (Young Down / Old Up),TRUE
UBE3C,0.6492,-0.0666,0.096881,0.972547,0.084702,NS,Discordant (Young Up / Old Down),TRUE
MYH2,-0.2313,0.4831,0.824876,0.350342,0.186041,NS,Discordant (Young Down / Old Up),FALSE
SELENOW,-0.4925,-0.2177,0.146385,0.748694,0.740015,NS,Concordant Down,TRUE
TNNI1,-0.6486,0.061,0.109893,0.989583,0.196521,NS,Discordant (Young Down / Old Up),FALSE
G3BP2,-0.6095,-0.0987,0.060063,0.951566,0.292676,NS,Concordant Down,TRUE
ARL1,0.4581,0.2495,0.439479,0.838716,0.919701,NS,Concordant Up,TRUE
ATL2,-0.2446,-0.4618,0.643916,0.112016,0.808816,NS,Concordant Down,TRUE
H3-3A,-0.6609,-0.0447,0.081981,0.9942,0.288502,NS,Concordant Down,FALSE
SRM,0.559,0.1407,0.438597,0.939139,0.714735,NS,Concordant Up,TRUE
KYAT1,-0.3714,-0.3269,0.254239,0.281975,0.991963,NS,Concordant Down,TRUE
IGHV3-7,0.3327,0.3637,0.495701,0.431028,0.997383,NS,Concordant Up,TRUE
PTER,0.653,0.0396,0.376109,0.993044,0.459845,NS,Concordant Up,TRUE
ERI3,-0.4136,-0.2739,0.139734,0.422657,0.905203,NS,Concordant Down,TRUE
CRYAB,0.3228,0.3625,0.296166,0.207459,0.993197,NS,Concordant Up,FALSE
GPX3,-0.2704,-0.4115,0.460016,0.116182,0.902088,NS,Concordant Down,FALSE
C6orf136,-0.1251,-0.553,0.954578,0.322384,0.654541,NS,Concordant Down,TRUE
MYBPC1,-0.5151,0.1596,0.265679,0.918521,0.217121,NS,Discordant (Young Down / Old Up),FALSE
ATPAF2,-0.346,-0.3245,0.406687,0.305952,0.998391,NS,Concordant Down,TRUE
IGHG1,0.4164,0.2532,0.177159,0.613205,0.892681,NS,Concordant Up,FALSE
ACOT1,-0.576,0.091,0.066945,0.959344,0.081486,NS,Discordant (Young Down / Old Up),TRUE
SLC16A3,-0.5302,0.1364,0.081062,0.90568,0.069815,NS,Discordant (Young Down / Old Up),TRUE
COMMD6,0.661,-0.005,0.109832,0.999878,0.154074,NS,Discordant (Young Up / Old Down),TRUE
KLHL41,0.4957,0.1666,0.165485,0.878157,0.669811,NS,Concordant Up,FALSE
IGHG2,0.4829,0.1777,0.1236,0.83498000000000006,0.665992,NS,Concordant Up,FALSE
TPM4,0.4581,0.201,0.06639,0.67318,0.661111,NS,Concordant Up,TRUE
FLNB,0.3973,0.259,0.209888,0.592334,0.923424,NS,Concordant Up,FALSE
GBE1,0.4098,0.2462,0.061938,0.476769,0.839997,NS,Concordant Up,FALSE
NAMPT,0.2607,0.3946,0.596993,0.25074,0.932124,NS,Concordant Up,FALSE
SNCG,0.2737,0.3808,0.892785,0.343057,0.985135,NS,Concordant Up,TRUE
MACROH2A1,-0.4437,0.2099,0.443511,0.834464,0.241903,NS,Discordant (Young Down / Old Up),TRUE
MYL9,-0.2296,0.4222,0.917784,0.503427,0.480982,NS,Discordant (Young Down / Old Up),TRUE
SMPX,0.3569,0.2926,0.199595,0.38907,0.981027,NS,Concordant Up,FALSE
APOBEC2,-0.4387,0.2092,0.19188,0.767602,0.077513,NS,Discordant (Young Down / Old Up),FALSE
TPM1,-0.3446,0.3024,0.634114,0.721924,0.288576,NS,Discordant (Young Down / Old Up),FALSE
TAGLN,-0.0577,0.5879,0.98887100000000006,0.127028,0.204473,NS,Discordant (Young Down / Old Up),TRUE
CLPTM1,0.4338,-0.2104,0.508247,0.741599,0.230355,NS,Discordant (Young Up / Old Down),TRUE
LRBA,-0.443,-0.2012,0.653967,0.931876,0.930255,NS,Concordant Down,TRUE
TGM2,-0.2574,0.3831,0.700938,0.257559,0.097411,NS,Discordant (Young Down / Old Up),TRUE
SYPL2,-0.3464,-0.2931,0.164321,0.319255,0.985346,NS,Concordant Down,FALSE
MYOZ1,-0.5597,0.0798,0.451249,0.988912,0.509637,NS,Discordant (Young Down / Old Up),FALSE
PPP1R14B,0.3517,0.2869,0.221935,0.418028,0.981149,NS,Concordant Up,FALSE
TAPBP,-0.5095,-0.1273,0.349949,0.895607,0.628917,NS,Concordant Down,TRUE
PPBP,0.2253,0.41,0.856197,0.35981,0.923466,NS,Concordant Up,TRUE
IL18,0.5622,0.0731,0.235978,0.981971,0.490617,NS,Concordant Up,TRUE
MVP,0.2012,0.434,0.892447,0.312319,0.881186,NS,Concordant Up,TRUE
NRAP,0.3009,0.3334,0.594569,0.525478,0.997243,NS,Concordant Up,FALSE
ACTB,-0.3688,0.2642,0.485872,0.728276,0.200222,NS,Discordant (Young Down / Old Up),FALSE
H2BC4,-0.5209,0.1101,0.238249,0.961203,0.255579,NS,Discordant (Young Down / Old Up),FALSE
BDH1,-0.309,-0.32,0.481044,0.445892,0.999618,NS,Concordant Down,TRUE
TPM2,-0.3637,0.2607,0.590281,0.789556,0.312228,NS,Discordant (Young Down / Old Up),FALSE
MT-ND3,-0.4787,-0.1445,0.07251,0.870712,0.532384,NS,Concordant Down,FALSE
EFEMP1,-0.4985,0.1246,0.317734,0.912652,0.204989,NS,Discordant (Young Down / Old Up),TRUE
TFRC,0.0888,-0.5341,0.978295,0.26172,0.319924,NS,Discordant (Young Up / Old Down),TRUE
NUDT2,-0.153,0.467,0.927429,0.314702,0.279466,NS,Discordant (Young Down / Old Up),TRUE
SH3BGRL,0.1621,0.4546,0.865787,0.153031,0.688997,NS,Concordant Up,TRUE
CD99,0.3142,0.3004,0.390688,0.443696,0.999316,NS,Concordant Up,FALSE
AAMDC,-0.3351,-0.2754,0.201953,0.38991,0.981892,NS,Concordant Down,FALSE
CRELD1,-0.194,0.414,0.845611,0.319848,0.194277,NS,Discordant (Young Down / Old Up),TRUE
P3H4,-0.4209,0.1866,0.308268,0.844231,0.175452,NS,Discordant (Young Down / Old Up),TRUE
HSPB2,0.3446,0.2619,0.180234,0.436364,0.963971,NS,Concordant Up,FALSE
PPP1R12B,0.5801,-0.0253,0.099384,0.99752,0.190959,NS,Discordant (Young Up / Old Down),TRUE
RPL32,-0.0941,0.51,0.96816,0.218278,0.244773,NS,Discordant (Young Down / Old Up),TRUE
RGS12,-0.3802,-0.221,0.256975,0.710877,0.900026,NS,Concordant Down,TRUE
PEX11B,-0.3467,-0.2542,0.516795,0.630559,0.974443,NS,Concordant Down,TRUE
LMOD3,0.4365,0.1631,0.421805,0.908114,0.825285,NS,Concordant Up,TRUE
BCO2,0.2148,-0.3848,0.873883,0.429866,0.330798,NS,Discordant (Young Up / Old Down),TRUE
LRG1,0.1836,-0.4159,0.858982,0.213681,0.161374,NS,Discordant (Young Up / Old Down),TRUE
NID2,-0.567,-0.0324,0.204943,0.996873,0.416764,NS,Concordant Down,TRUE
PLIN4,-0.3117,-0.2877,0.21409,0.296865,0.996991,NS,Concordant Down,FALSE
SLC16A1,0.4282,0.171,0.153867,0.819289,0.721307,NS,Concordant Up,TRUE
IGLC3,0.3285,0.2703,0.448667,0.617024,0.989216,NS,Concordant Up,FALSE
PDIA4,0.2974,0.3013,0.516065,0.413645,0.999949,NS,Concordant Up,TRUE
SEC61B,0.1098,-0.4881,0.9793,0.377446,0.505117,NS,Discordant (Young Up / Old Down),TRUE
NAE1,-0.2718,-0.3251,0.326177,0.175264,0.983647,NS,Concordant Down,TRUE
METTL7A,-0.2492,-0.3469,0.500732,0.217135,0.952134,NS,Concordant Down,FALSE
MRPS18A,0.2813,0.3147,0.646189,0.500755,0.996858,NS,Concordant Up,TRUE
TMSB4X,0.3051,0.2906,0.576122,0.614478,0.999451,NS,Concordant Up,TRUE
VDAC3,-0.4031,-0.1926,0.060518,0.654127,0.720025,NS,Concordant Down,FALSE
OXCT1,-0.2548,-0.3408,0.809786,0.464131,0.983497,NS,Concordant Down,TRUE
ALDOC,0.3768,0.2159,0.703223,0.903923,0.964072,NS,Concordant Up,TRUE
TMX2,-0.4978,-0.093,0.054649,0.944512,0.342889,NS,Concordant Down,TRUE
SNAP29,0.4756,-0.1139,0.168123,0.878624,0.085121,NS,Discordant (Young Up / Old Down),TRUE
MT-ND2,-0.444,0.143,0.209828,0.88952,0.139546,NS,Discordant (Young Down / Old Up),TRUE
IDH3B,0.2912,0.2937,0.25916,0.264179,0.999968,NS,Concordant Up,FALSE
ECHDC3,-0.2334,-0.3501,0.738835,0.398626,0.956521,NS,Concordant Down,TRUE
APOL2,0.3446,0.2384,0.362951,0.609719,0.955098,NS,Concordant Up,TRUE
RABEP1,0.4374,0.1451,0.116537,0.894467,0.664453,NS,Concordant Up,TRUE
ABHD16A,0.1137,-0.4652,0.959155,0.144915,0.259169,NS,Discordant (Young Up / Old Down),TRUE
PLIN2,0.1502,-0.4256,0.918547,0.281322,0.255616,NS,Discordant (Young Up / Old Down),TRUE
VPS29,0.211,0.3634,0.923798,0.370208,0.963556,NS,Concordant Up,TRUE
TNNT3,-0.281,0.2925,0.737436,0.723215,0.366434,NS,Discordant (Young Down / Old Up),FALSE
RPL37A,0.132,0.4396,0.897651,0.15025,0.617519,NS,Concordant Up,TRUE
RPL18,0.1162,0.4544,0.929436,0.160484,0.582685,NS,Concordant Up,TRUE
ME2,0.3904,0.1793,0.100907,0.730926,0.745051,NS,Concordant Up,TRUE
LMOD2,-0.4126,0.1569,0.594398,0.954817,0.55575,NS,Discordant (Young Down / Old Up),TRUE
UBAP2L,-0.121,0.4472,0.940663,0.353524,0.289907,NS,Discordant (Young Down / Old Up),TRUE
NDUFC2,-0.4636,0.1043,0.105677,0.93923,0.114065,NS,Discordant (Young Down / Old Up),FALSE
RPS6,0.2674,0.3005,0.295088,0.190803,0.993371,NS,Concordant Up,TRUE
PHYKPL,0.396,-0.1704,0.248284,0.798017,0.105863,NS,Discordant (Young Up / Old Down),TRUE
ECHDC2,-0.3295,-0.2361,0.269462,0.534738,0.956197,NS,Concordant Down,TRUE
TXNDC5,0.3077,0.2564,0.159333,0.268689,0.981867,NS,Concordant Up,TRUE
TMOD4,-0.3155,0.244,0.682573,0.817768,0.408785,NS,Discordant (Young Down / Old Up),TRUE
COX6A2,-0.3858,0.1735,0.417951,0.862901,0.252173,NS,Discordant (Young Down / Old Up),TRUE
MARCKS,0.4241,0.1348,0.079114,0.849248,0.547772,NS,Concordant Up,TRUE
MARS1,0.347,0.2087,0.482422,0.61171,0.928237,NS,Concordant Up,TRUE
NIBAN1,-0.4421,-0.1122,0.071327,0.907788,0.467648,NS,Concordant Down,TRUE
CNIH4,0.4009,-0.1516,0.167557,0.860126,0.11092,NS,Discordant (Young Up / Old Down),TRUE
PAK1,0.5451,0.0056,0.365779,0.999879,0.44193,NS,Concordant Up,TRUE
ADD1,0.4804,0.0699,0.333703,0.973099,0.540093,NS,Concordant Up,TRUE
SFXN4,-0.3816,0.1686,0.375464,0.802949,0.169499,NS,Discordant (Young Down / Old Up),TRUE
THBS4,-0.0743,0.4757,0.97899,0.146028,0.242346,NS,Discordant (Young Down / Old Up),TRUE
CAPN2,0.3472,0.2027,0.051104,0.481617,0.819716,NS,Concordant Up,FALSE
MECP2,-0.137,-0.4119,0.895264,0.088519,0.658791,NS,Concordant Down,TRUE
HUWE1,0.3332,0.2152,0.270858,0.651616,0.933042,NS,Concordant Up,FALSE
GABARAPL2,-0.4213,-0.127,0.135863,0.905413,0.627069,NS,Concordant Down,TRUE
LMNB2,-0.5459,-1e-4,0.068203,1,0.198196,NS,Concordant Down,TRUE
VPS36,-0.2463,-0.2988,0.614334,0.265235,0.987881,NS,Concordant Down,TRUE
PEA15,-0.3872,-0.1573,0.666,0.847562,0.890896,NS,Concordant Down,TRUE
GPT,-0.321,-0.2234,0.273392,0.600883,0.952334,NS,Concordant Down,FALSE
ALDH1A1,-0.2933,-0.2491,0.346534,0.50595,0.990838,NS,Concordant Down,FALSE
CPNE1,-0.2771,-0.2628,0.345323,0.416407,0.999014,NS,Concordant Down,TRUE
AKR1C1,0.4508,0.089,0.0756,0.949265,0.419882,NS,Concordant Up,TRUE
CKAP4,0.2532,0.2847,0.755061,0.563236,0.997416,NS,Concordant Up,TRUE
CPT1A,-0.3142,-0.22,0.474853,0.699397,0.967847,NS,Concordant Down,TRUE
TMLHE,-0.257,0.277,0.719367,0.655238,0.299023,NS,Discordant (Young Down / Old Up),TRUE
BOLA2,0.3765,0.1572,0.137655,0.77274,0.716051,NS,Concordant Up,TRUE
TSN,-0.2605,-0.2715,0.368166,0.323587,0.999357,NS,Concordant Down,TRUE
LSM8,-0.5003,0.0298,0.072146,0.994745,0.132912,NS,Discordant (Young Down / Old Up),TRUE
ERGIC1,0.1202,0.4079,0.923727,0.223648,0.682845,NS,Concordant Up,TRUE
NDUFB7,-0.4705,-0.0557,0.052796,0.981027,0.289594,NS,Concordant Down,FALSE
ISOC1,-0.4887,-0.0369,0.089069,0.990402,0.234271,NS,Concordant Down,TRUE
ARIH2,-0.4455,0.0795,0.170976,0.948885,0.13237,NS,Discordant (Young Down / Old Up),TRUE
NDUFB6,-0.5078,0.0171,0.050384,0.998545,0.153026,NS,Discordant (Young Down / Old Up),FALSE
HLA-DRB1,-0.3367,-0.1852,0.504619,0.814885,0.926178,NS,Concordant Down,TRUE
DRG2,-0.062,0.4599,0.979163,0.2872,0.277061,NS,Discordant (Young Down / Old Up),TRUE
COL15A1,-0.2078,0.3133,0.80594,0.532207,0.287235,NS,Discordant (Young Down / Old Up),TRUE
PLIN5,-0.1297,-0.3912,0.946353,0.365852,0.821153,NS,Concordant Down,TRUE
RPS2,0.2502,0.2704,0.418036,0.359435,0.99789,NS,Concordant Up,FALSE
TMEM70,0.2908,0.2298,0.539085,0.722725,0.988013,NS,Concordant Up,TRUE
APOD,-0.231,-0.2894,0.731774,0.596798,0.989942,NS,Concordant Down,FALSE
NIPSNAP3A,0.5003,-0.0199,0.240406,0.998759,0.388435,NS,Discordant (Young Up / Old Down),TRUE
IDH3G,0.2809,0.238,0.356477,0.517535,0.990852,NS,Concordant Up,FALSE
GLUD1,0.3573,0.161,0.067675,0.70372,0.702704,NS,Concordant Up,FALSE
MRPS15,0.5127,0.0051,0.178063,0.999912,0.35851,NS,Concordant Up,TRUE
GNA11,-0.3065,-0.2108,0.553225,0.71291,0.968693,NS,Concordant Down,TRUE
TNNI2,-0.2489,0.2681,0.78763,0.759949,0.443236,NS,Discordant (Young Down / Old Up),FALSE
DAZAP1,0.1609,0.356,0.966048,0.719912,0.957879,NS,Concordant Up,TRUE
SET,-0.2165,0.2999,0.675083,0.396266,0.126106,NS,Discordant (Young Down / Old Up),TRUE
COMMD7,0.2976,0.2183,0.633055,0.573847,0.979085,NS,Concordant Up,TRUE
HCFC2,-0.3225,-0.1929,0.557534,0.843252,0.95363,NS,Concordant Down,FALSE
RPL13A,0.3193,0.1931,0.488508,0.806376,0.946916,NS,Concordant Up,TRUE
HSPG2,-0.4515,-0.0606,0.155759,0.982506,0.463813,NS,Concordant Down,FALSE
IGHG3,0.4565,0.0529,0.344226,0.991404,0.616276,NS,Concordant Up,FALSE
HYOU1,0.326,0.1829,0.181751,0.657008,0.866293,NS,Concordant Up,TRUE
TMEM120A,-0.3438,-0.1647,0.758454,0.876215,0.942964,NS,Concordant Down,TRUE
BLMH,-0.4072,-0.1008,0.125846,0.922121,0.52321,NS,Concordant Down,TRUE
DNAJA1,0.4333,0.0738,0.240125,0.960487,0.494571,NS,Concordant Up,TRUE
MFN1,-0.4044,-0.1005,0.31436,0.938722,0.656706,NS,Concordant Down,TRUE
BST2,-0.3728,-0.1306,0.0929,0.821118,0.60159,NS,Concordant Down,TRUE
NEK9,0.4889,-0.0134,0.112532,0.998776,0.167621,NS,Discordant (Young Up / Old Down),TRUE
AKAP12,0.2286,0.2728,0.663659,0.435044,0.992067,NS,Concordant Up,TRUE
TUBB,0.289,0.2123,0.108014,0.376115,0.947379,NS,Concordant Up,FALSE
AP1B1,0.2515,0.2495,0.499628,0.413196,0.999981,NS,Concordant Up,TRUE
TMEM43,0.2997,0.2012,0.329952,0.669788,0.950726,NS,Concordant Up,FALSE
CLIC1,0.2805,0.2195,0.303408,0.528388,0.978536,NS,Concordant Up,TRUE
NUDT16,-0.3647,-0.1353,0.204894,0.816926,0.696103,NS,Concordant Down,TRUE
PSME4,0.4165,0.0829,0.243601,0.962644,0.583951,NS,Concordant Up,TRUE
CLIC4,0.2463,0.2517,0.537334,0.513692,0.999878,NS,Concordant Up,TRUE
RAB6A,0.4157,0.0811,0.062724,0.946683,0.385783,NS,Concordant Up,TRUE
CARM1,0.0878,0.4086,0.957857,0.331639,0.644311,NS,Concordant Up,TRUE
KRT18,-0.2206,0.275,0.82213,0.729762,0.44946,NS,Discordant (Young Down / Old Up),FALSE
MRPL47,-0.3354,-0.1599,0.245806,0.725903,0.811072,NS,Concordant Down,TRUE
SORD,-0.2766,-0.2185,0.594128,0.67108,0.988035,NS,Concordant Down,TRUE
LYPLAL1,-0.4558,-0.0383,0.466998,0.991316,0.575618,NS,Concordant Down,TRUE
MMP24OS,-0.2741,-0.2188,0.814195,0.76856,0.994113,NS,Concordant Down,TRUE
MRPL9,-0.1799,0.3128,0.877951,0.655045,0.446676,NS,Discordant (Young Down / Old Up),TRUE
