pathway,database,set_size,n_sig_contrasts,NES_Aging,NES_Training_Young,NES_Training_Old,NES_Interaction,NES_Reversal,padj_Aging,padj_Training_Young,padj_Training_Old,padj_Interaction,padj_Reversal,survives_J03,survives_J05,survives_J07
GOSLIM_GENERATION_OF_PRECURSOR_METABOLITES_AND_ENERGY,GO Slim,222,2,0.891,-2.135,0.891,2.265,-0.694,0.8733,2.198e-9,0.79,5.997e-11,0.9985,FALSE,FALSE,FALSE
GOSLIM_TRNA_METABOLIC_PROCESS,GO Slim,39,2,-0.807,1.996,1.002,-1.865,0.85,0.8733,0.001185,0.6395,0.004305,0.8771,TRUE,TRUE,TRUE
GOSLIM_VITAMIN_METABOLIC_PROCESS,GO Slim,15,1,1.265,1.366,-1.634,-1.915,-1.382,0.4702,0.2283,0.06502,0.007157,0.3997,TRUE,TRUE,TRUE
GOSLIM_PROTEIN_LOCALIZATION_TO_PLASMA_MEMBRANE,GO Slim,67,1,-0.987,1.332,1.693,1.128,1.167,0.7911,0.1484,0.01569,0.4288,0.5379,TRUE,TRUE,TRUE
GOSLIM_ESTABLISHMENT_OR_MAINTENANCE_OF_CELL_POLARITY,GO Slim,40,1,0.799,1.518,1.828,0.709,1.285,0.8733,0.07914,0.009379,0.9284,0.4012,TRUE,TRUE,TRUE
GOSLIM_CHROMOSOME_SEGREGATION,GO Slim,52,1,-0.686,1.65,1.027,-1.345,0.989,0.9559,0.02276,0.6395,0.1603,0.8526,TRUE,TRUE,TRUE
GOBP_CYTOPLASMIC_TRANSLATION,GO:BP,116,4,-2.893,1.382,2.606,1.649,3.106,1.543e-16,0.2327,4.802e-11,0.03832,1.001e-21,FALSE,FALSE,FALSE
GOBP_MUSCLE_ORGAN_DEVELOPMENT,GO:BP,91,4,-2.207,-1.69,-1.133,1.735,1.89,3.534e-6,0.02116,0.6135,0.01462,0.002442,TRUE,TRUE,TRUE
GOBP_RIBOSOME_BIOGENESIS,GO:BP,57,4,-2.302,0.637,2.214,1.825,2.52,1.056e-5,0.9994,3.113e-4,0.01491,1.715e-7,FALSE,FALSE,FALSE
GOBP_RIBOSOMAL_SMALL_SUBUNIT_BIOGENESIS,GO:BP,30,4,-2.252,0.952,2.352,1.814,2.517,6.502e-4,0.8875,1.768e-4,0.04552,2.34e-6,FALSE,TRUE,TRUE
GOBP_ORGANIC_ACID_CATABOLIC_PROCESS,GO:BP,86,3,2.717,-1.048,-1.978,-1.117,-2.846,3.55e-11,0.782,0.005708,0.6206,3.706e-13,TRUE,TRUE,TRUE
GOBP_MEMBRANELESS_ORGANELLE_ASSEMBLY,GO:BP,114,3,-2.475,1.433,2.089,1.4,2.787,3.524e-9,0.1822,1.354e-4,0.2448,1.851e-14,TRUE,TRUE,TRUE
GOBP_SMALL_MOLECULE_CATABOLIC_PROCESS,GO:BP,126,3,2.402,-1.011,-1.887,-1.079,-2.465,7.855e-9,0.8277,0.001694,0.6588,1.239e-9,FALSE,FALSE,TRUE
GOBP_LIPID_OXIDATION,GO:BP,37,3,2.642,-1.005,-1.927,-1.102,-2.83,1.027e-7,0.8349,0.02841,0.6688,7.244e-10,TRUE,TRUE,TRUE
GOBP_LIPID_CATABOLIC_PROCESS,GO:BP,60,3,2.498,-0.516,-1.839,-1.449,-2.692,1.067e-7,0.9994,0.0393,0.2276,1.137e-8,TRUE,TRUE,TRUE
GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS,GO:BP,99,3,-2.167,0.817,1.828,1.537,2.359,1.279e-5,0.9849,0.01237,0.1215,2.805e-7,FALSE,FALSE,TRUE
GOBP_RRNA_PROCESSING,GO:BP,31,3,-2.105,-0.878,2.025,1.751,2.271,0.001729,0.9176,0.01311,0.07841,4.514e-4,FALSE,FALSE,TRUE
GOBP_RRNA_METABOLIC_PROCESS,GO:BP,36,3,-1.977,0.884,1.998,1.49,2.178,0.01076,0.911,0.01923,0.2761,6.909e-4,FALSE,FALSE,FALSE
GOBP_SULFUR_COMPOUND_METABOLIC_PROCESS,GO:BP,79,3,1.713,-0.909,-1.889,-1.106,-2.029,0.02175,0.911,0.01438,0.6423,6.909e-4,TRUE,TRUE,TRUE
GOBP_RIBOSOME_ASSEMBLY,GO:BP,22,3,-1.913,0.956,1.976,1.61,2.242,0.02532,0.8816,0.0393,0.219,7.325e-4,TRUE,TRUE,TRUE
GOBP_ACTIN_FILAMENT_ORGANIZATION,GO:BP,97,3,-1.675,1.437,1.769,1.089,1.769,0.03122,0.1938,0.03427,0.6657,0.01361,TRUE,TRUE,TRUE
GOBP_PROTEIN_FOLDING,GO:BP,90,3,1.293,2.367,1.737,-1.848,-0.66,0.3471,1.682e-7,0.0393,0.00268,1,FALSE,FALSE,FALSE
GOBP_MUSCLE_CELL_DEVELOPMENT,GO:BP,75,2,-2.615,-1.116,-1.143,1.259,2.379,3.612e-9,0.6966,0.6135,0.4585,3.937e-7,TRUE,TRUE,TRUE
GOBP_FATTY_ACID_METABOLIC_PROCESS,GO:BP,104,2,2.415,-0.943,-1.5,-1.088,-2.517,6.414e-8,0.9024,0.1442,0.6537,1.239e-9,TRUE,TRUE,TRUE
GOBP_FATTY_ACID_CATABOLIC_PROCESS,GO:BP,37,2,2.663,-0.83,-1.7,-1.109,-2.889,8.077e-8,0.9557,0.1263,0.6657,1.426e-10,FALSE,FALSE,TRUE
GOBP_MONOCARBOXYLIC_ACID_CATABOLIC_PROCESS,GO:BP,46,2,2.617,-0.805,-1.63,-1.085,-2.814,8.077e-8,0.9715,0.153,0.6791,7.244e-10,FALSE,FALSE,FALSE
GOBP_STRIATED_MUSCLE_CELL_DIFFERENTIATION,GO:BP,82,2,-2.419,-0.986,1.079,1.344,2.208,1.027e-7,0.8569,0.7203,0.3507,1.568e-5,FALSE,FALSE,TRUE
GOBP_FATTY_ACID_BETA_OXIDATION,GO:BP,32,2,2.613,-1.018,-1.818,-0.895,-2.825,1.054e-7,0.827,0.08282,0.894,7.244e-10,FALSE,FALSE,TRUE
GOBP_LIPID_MODIFICATION,GO:BP,41,2,2.588,-1.086,-1.724,-0.857,-2.749,1.054e-7,0.7649,0.1185,0.9304,4.386e-9,FALSE,FALSE,TRUE
GOBP_MUSCLE_CELL_DIFFERENTIATION,GO:BP,102,2,-2.355,-1.189,-0.976,1.426,2.066,1.067e-7,0.5696,0.8239,0.2235,9.973e-5,FALSE,TRUE,FALSE
GOBP_MYOFIBRIL_ASSEMBLY,GO:BP,43,2,-2.573,-0.981,1.43,1.641,2.484,1.426e-7,0.8588,0.3115,0.1236,8.597e-7,FALSE,TRUE,TRUE
GOBP_CELLULAR_COMPONENT_ASSEMBLY_INVOLVED_IN_MORPHOGENESIS,GO:BP,48,2,-2.516,-0.955,1.061,1.446,2.343,3.665e-7,0.8888,0.7564,0.2847,2.095e-5,TRUE,FALSE,TRUE
GOBP_SARCOMERE_ORGANIZATION,GO:BP,31,2,-2.486,-1.014,1.268,1.48,2.439,8.089e-7,0.8277,0.5433,0.2932,1.977e-5,FALSE,FALSE,TRUE
GOBP_MUSCLE_SYSTEM_PROCESS,GO:BP,141,2,-2.094,-0.955,0.913,1.293,1.845,3.534e-6,0.9021,0.8904,0.3525,0.001277,FALSE,FALSE,FALSE
GOBP_MUSCLE_CONTRACTION,GO:BP,118,2,-2.101,-0.96,0.939,1.355,1.906,1.056e-5,0.895,0.86240000000000006,0.2847,7.952e-4,FALSE,FALSE,FALSE
GOBP_BRANCHED_CHAIN_AMINO_ACID_METABOLIC_PROCESS,GO:BP,19,2,2.362,-0.497,-1.188,-0.826,-2.277,4.548e-5,0.9994,0.627,0.9438,4.184e-4,TRUE,TRUE,TRUE
GOBP_AMINO_ACID_CATABOLIC_PROCESS,GO:BP,41,2,2.293,-1.036,-1.732,-0.734,-2.41,7.039e-5,0.8,0.1175,0.9891,2.485e-5,FALSE,TRUE,TRUE
GOBP_AMINO_ACID_METABOLIC_PROCESS,GO:BP,96,2,2.109,1.311,-1.488,-1.558,-2.13,7.039e-5,0.375,0.1567,0.07997,3.392e-5,FALSE,FALSE,FALSE
GOBP_ACTOMYOSIN_STRUCTURE_ORGANIZATION,GO:BP,72,2,-2.127,0.883,1.183,1.092,1.979,1.293e-4,0.9221,0.5853,0.6711,7.952e-4,TRUE,TRUE,TRUE
GOBP_ALPHA_AMINO_ACID_METABOLIC_PROCESS,GO:BP,57,2,2.077,-0.917,-1.732,-0.909,-2.176,9.129e-4,0.9053,0.08282,0.9008,3.486e-4,FALSE,FALSE,TRUE
GOBP_TRANSLATIONAL_INITIATION,GO:BP,56,2,-1.98,1.349,1.476,0.776,1.947,0.002595,0.3754,0.2609,0.9788,0.004839,TRUE,TRUE,TRUE
GOBP_SKELETAL_MUSCLE_ORGAN_DEVELOPMENT,GO:BP,49,2,-1.929,-1.138,-0.977,1.273,1.906,0.006747,0.6863,0.8229,0.4754,0.01143,FALSE,FALSE,TRUE
GOBP_SHORT_CHAIN_FATTY_ACID_METABOLIC_PROCESS,GO:BP,10,2,2.032,-0.658,-1.178,-1.017,-1.884,0.007419,0.996,0.6675,0.7704,0.04385,TRUE,TRUE,TRUE
GOBP_REGULATION_OF_MYELOID_CELL_DIFFERENTIATION,GO:BP,20,2,1.976,-0.855,-1.649,-0.745,-2.065,0.02741,0.9191,0.2199,0.9752,0.006598,TRUE,TRUE,TRUE
GOBP_KETONE_METABOLIC_PROCESS,GO:BP,52,2,1.823,-0.931,-1.711,-1.027,-1.933,0.03048,0.9024,0.1099,0.7508,0.0098,FALSE,FALSE,FALSE
GOBP_RIBOSOMAL_LARGE_SUBUNIT_BIOGENESIS,GO:BP,12,2,-1.943,-0.625,1.501,1.63,1.998,0.03048,0.9962,0.3653,0.219,0.007486,TRUE,TRUE,TRUE
GOBP_PROTEIN_RNA_COMPLEX_ORGANIZATION,GO:BP,62,2,-1.783,0.966,1.56,1.227,1.925,0.0312,0.8816,0.1682,0.5142,0.003745,TRUE,TRUE,TRUE
GOBP_FATTY_ACID_TRANSPORT,GO:BP,20,2,1.919,1.039,-1.573,-1.361,-1.953,0.0418,0.8072,0.2737,0.4431,0.01971,TRUE,TRUE,TRUE
GOBP_GLYCEROLIPID_METABOLIC_PROCESS,GO:BP,43,2,1.705,-1.054,-1.899,-1.271,-2.128,0.08786,0.782,0.0393,0.4737,7.325e-4,TRUE,TRUE,TRUE
GOBP_MODIFIED_AMINO_ACID_METABOLIC_PROCESS,GO:BP,52,2,1.64,-1.225,-1.855,-1.036,-1.955,0.09654,0.5741,0.03942,0.7397,0.007404,TRUE,TRUE,TRUE
GOBP_PROTEASOME_MEDIATED_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS,GO:BP,98,2,-1.583,1.759,-0.674,-1.769,1.366,0.09654,0.008187,0.9982,0.01086,0.232,TRUE,TRUE,TRUE
GOBP_RESPONSE_TO_HEAT,GO:BP,31,2,-1.517,2.103,1.509,-1.457,1.853,0.2388,0.001752,0.2808,0.3112,0.04385,TRUE,TRUE,TRUE
GOBP_MUSCLE_ORGAN_MORPHOGENESIS,GO:BP,14,2,-1.566,-2.223,-1.414,2.099,1.225,0.2419,7.434e-4,0.4402,0.002373,0.5041,TRUE,TRUE,TRUE
GOBP_MITOCHONDRIAL_ELECTRON_TRANSPORT_NADH_TO_UBIQUINONE,GO:BP,42,2,-1.445,-3.3,-0.724,2.971,1.253,0.2593,3.9429999999999994e-22,0.9848,3.369e-15,0.4293,FALSE,FALSE,FALSE
GOBP_CARDIAC_MUSCLE_TISSUE_MORPHOGENESIS,GO:BP,11,2,-1.485,-1.992,-1.014,2.037,1.209,0.3207,0.02087,0.8045,0.01601,0.537,FALSE,FALSE,FALSE
GOBP_NADH_DEHYDROGENASE_COMPLEX_ASSEMBLY,GO:BP,24,2,-1.43,-2.352,1.082,2.508,1.447,0.3211,7.668e-5,0.7419,5.156e-7,0.2752,TRUE,TRUE,TRUE
GOBP_MITOCHONDRION_ORGANIZATION,GO:BP,146,2,1.244,-1.749,0.736,1.856,-0.951,0.3471,0.003302,0.9974,8.254e-4,0.8313,FALSE,FALSE,FALSE
GOBP_RIBOSE_PHOSPHATE_METABOLIC_PROCESS,GO:BP,157,2,-1.215,-1.829,1.026,2.002,1.183,0.3745,6.175e-4,0.7724,2.698e-5,0.4104,FALSE,FALSE,TRUE
GOBP_ATP_SYNTHESIS_COUPLED_ELECTRON_TRANSPORT,GO:BP,76,2,-1.173,-3.272,0.877,3.144,1.264,0.5006,3.9429999999999994e-22,0.903,8.57e-21,0.3789,FALSE,TRUE,TRUE
GOBP_ATP_METABOLIC_PROCESS,GO:BP,122,2,-1.156,-2.183,0.815,2.241,1.122,0.5019,3.548e-6,0.9757,1.77e-7,0.5326,FALSE,TRUE,TRUE
GOBP_CHAPERONE_MEDIATED_PROTEIN_FOLDING,GO:BP,39,2,1.163,2.062,1.861,-1.642,0.671,0.5676,0.001585,0.04157,0.1197,0.9937,FALSE,TRUE,TRUE
GOBP_POSITIVE_REGULATION_OF_PROTEIN_CONTAINING_COMPLEX_ASSEMBLY,GO:BP,48,2,-1.139,1.97,1.04,-1.802,1.247,0.5976,0.004493,0.7692,0.03403,0.4232,TRUE,TRUE,TRUE
GOBP_RIBOSE_PHOSPHATE_BIOSYNTHETIC_PROCESS,GO:BP,94,2,-1.085,-2.346,0.997,2.428,1.177,0.6496,4.331e-7,0.8101,1.15e-8,0.4686,TRUE,FALSE,TRUE
GOBP_CELL_CELL_RECOGNITION,GO:BP,13,2,-1.072,2.16,2.189,-0.892,1.63,0.7187,0.001336,0.003465,0.8765,0.19,FALSE,FALSE,TRUE
GOBP_NUCLEOSIDE_TRIPHOSPHATE_METABOLIC_PROCESS,GO:BP,134,2,-1.034,-2.081,1.057,2.206,1.072,0.7239,1.304e-5,0.7411,4.485e-7,0.6214,FALSE,FALSE,FALSE
GOBP_MITOCHONDRIAL_ELECTRON_TRANSPORT_CYTOCHROME_C_TO_OXYGEN,GO:BP,17,2,-1.051,-2.459,1.36,2.395,1.31,0.7243,5.916e-6,0.4771,1.923e-5,0.424,FALSE,FALSE,FALSE
GOBP_BASEMENT_MEMBRANE_ORGANIZATION,GO:BP,13,2,-1.032,-2.206,-0.733,2.243,0.865,0.7568,8.31e-4,0.962,2.038e-4,0.8666,TRUE,TRUE,TRUE
GOBP_CELLULAR_RESPIRATION,GO:BP,142,2,0.976,-2.748,0.621,2.736,-0.708,0.8223,9.565e-15,1,1.756e-16,1,FALSE,TRUE,TRUE
GOBP_MICROTUBULE_BASED_MOVEMENT,GO:BP,50,2,-0.971,1.816,1.113,-1.78,1.018,0.8223,0.02087,0.6899,0.03742,0.7194,FALSE,FALSE,FALSE
GOBP_PURINE_NUCLEOTIDE_BIOSYNTHETIC_PROCESS,GO:BP,97,2,-0.954,-2.298,1.053,2.367,1.053,0.8467,3.359e-6,0.7538,1.075e-7,0.6544,FALSE,FALSE,FALSE
GOBP_NUCLEOTIDE_BIOSYNTHETIC_PROCESS,GO:BP,102,2,-0.931,-2.25,0.846,2.284,0.903,0.8793,9.997e-7,0.9485,2.023e-7,0.8834,FALSE,TRUE,FALSE
GOBP_GENERATION_OF_PRECURSOR_METABOLITES_AND_ENERGY,GO:BP,221,2,0.914,-2.175,0.845,2.278,-0.71,0.9385,5.28e-9,0.9757,3.766e-11,1,FALSE,TRUE,FALSE
GOBP_ENDOPLASMIC_RETICULUM_TO_GOLGI_VESICLE_MEDIATED_TRANSPORT,GO:BP,41,2,-0.84,1.905,-0.62,-2.034,0.758,0.9519,0.009744,0.9976,0.002872,0.9767,TRUE,TRUE,TRUE
GOBP_ELECTRON_TRANSPORT_CHAIN,GO:BP,84,2,-0.859,-3.237,0.622,3.041,0.822,0.9586,3.038e-21,0.999,2.911e-19,0.9665,FALSE,FALSE,FALSE
GOBP_NUCLEOSIDE_TRIPHOSPHATE_BIOSYNTHETIC_PROCESS,GO:BP,77,2,-0.851,-2.62,0.884,2.657,0.991,0.9643,4.141e-10,0.9006,4.862e-11,0.7664,FALSE,FALSE,TRUE
GOBP_ATP_BIOSYNTHETIC_PROCESS,GO:BP,71,2,-0.847,-2.753,0.524,2.703,0.845,0.9646,3.893e-11,1,2.157e-11,0.9426,FALSE,TRUE,FALSE
GOBP_REGULATION_OF_PROTEIN_STABILITY,GO:BP,88,2,0.846,2.059,1.373,-1.763,1.162,0.9664,6.61e-5,0.2874,0.009073,0.4973,TRUE,TRUE,TRUE
GOBP_TRNA_METABOLIC_PROCESS,GO:BP,39,2,-0.807,1.987,1.003,-1.863,0.851,0.9716,0.004079,0.805,0.04094,0.907,FALSE,FALSE,FALSE
GOBP_BINDING_OF_SPERM_TO_ZONA_PELLUCIDA,GO:BP,10,2,-0.725,2.125,2.096,-0.958,1.528,0.9799,0.001316,0.009877,0.8184,0.2658,TRUE,TRUE,TRUE
GOBP_ENERGY_DERIVATION_BY_OXIDATION_OF_ORGANIC_COMPOUNDS,GO:BP,174,2,0.863,-2.492,0.894,2.565,0.65,0.9799,1.349e-12,0.9192,2.023e-14,1,TRUE,FALSE,TRUE
GOBP_SPERM_EGG_RECOGNITION,GO:BP,10,2,-0.725,2.125,2.096,-0.958,1.528,0.9799,0.001316,0.009877,0.8184,0.2658,FALSE,FALSE,FALSE
GOBP_ESTABLISHMENT_OF_ORGANELLE_LOCALIZATION,GO:BP,84,2,0.815,1.705,0.773,-1.725,0.755,0.9829,0.03309,0.9822,0.0214,0.9917,TRUE,TRUE,TRUE
GOBP_PROTON_MOTIVE_FORCE_DRIVEN_ATP_SYNTHESIS,GO:BP,60,2,-0.803,-2.926,-0.716,2.7,0.771,0.9829,8.736e-14,0.9888,9.746e-11,0.9807,FALSE,FALSE,TRUE
GOBP_AEROBIC_RESPIRATION,GO:BP,129,2,0.765,-2.833,0.723,2.815,-0.422,0.9998,3.184e-16,0.9976,3.882e-17,1,FALSE,FALSE,FALSE
GOBP_AMINO_ACID_ACTIVATION,GO:BP,26,2,0.708,2.058,0.839,-2.214,0.672,0.9998,0.004762,0.9093,7.535e-4,0.9917,FALSE,TRUE,FALSE
GOBP_MITOCHONDRIAL_RESPIRATORY_CHAIN_COMPLEX_ASSEMBLY,GO:BP,43,2,0.668,-2.416,0.717,2.463,-0.67,0.9998,2.03e-6,0.9848,5.955e-7,0.9937,FALSE,TRUE,TRUE
GOBP_NUCLEOSIDE_PHOSPHATE_BIOSYNTHETIC_PROCESS,GO:BP,134,2,-0.629,-2.048,0.584,2.023,0.528,0.9998,2.985e-5,1,2.972e-5,1,FALSE,FALSE,FALSE
GOBP_NUCLEOTIDE_METABOLIC_PROCESS,GO:BP,199,2,-0.718,-1.703,-0.656,1.713,-0.567,0.9998,6.732e-4,1,0.001556,1,FALSE,TRUE,FALSE
GOBP_OXIDATIVE_PHOSPHORYLATION,GO:BP,104,2,-0.7,-3.029,0.642,2.92,0.729,0.9998,6.135000000000001e-19,0.9998,2.344e-17,0.9963,FALSE,FALSE,TRUE
GOBP_POSITIVE_REGULATION_OF_DNA_BIOSYNTHETIC_PROCESS,GO:BP,12,2,0.571,2.191,1.981,-1.574,0.963,0.9998,6.732e-4,0.04157,0.2847,0.7971,TRUE,TRUE,TRUE
GOBP_POSITIVE_REGULATION_OF_PROTEIN_LOCALIZATION_TO_NUCLEUS,GO:BP,24,2,-0.605,2.161,1.72,-2.038,0.89,0.9998,0.001591,0.1362,0.01309,0.857,TRUE,TRUE,TRUE
GOBP_POSITIVE_REGULATION_OF_TELOMERE_MAINTENANCE_VIA_TELOMERE_LENGTHENING,GO:BP,13,2,0.585,2.14,2.021,-1.407,0.963,0.9998,0.001781,0.02841,0.4332,0.789,FALSE,TRUE,TRUE
GOBP_PROTON_TRANSMEMBRANE_TRANSPORT,GO:BP,88,2,-0.657,-2.796,0.815,2.707,0.781,0.9998,2.04e-13,0.962,2.722e-12,0.9862,TRUE,TRUE,TRUE
GOBP_PURINE_CONTAINING_COMPOUND_BIOSYNTHETIC_PROCESS,GO:BP,123,2,-0.624,-2.162,0.648,2.146,0.574,0.9998,3.359e-6,1,2.173e-6,1,FALSE,FALSE,TRUE
GOBP_MITOCHONDRIAL_TRANSPORT,GO:BP,62,1,1.955,-1.185,-0.7,1.323,-1.607,0.004945,0.6141,0.993,0.404,0.1179,TRUE,TRUE,TRUE
GOBP_STRIATED_MUSCLE_CONTRACTION,GO:BP,69,1,-1.854,0.885,0.925,1.164,1.677,0.01159,0.9205,0.8638,0.5844,0.06677,FALSE,TRUE,TRUE
GOBP_ENDOPLASMIC_RETICULUM_ORGANIZATION,GO:BP,35,1,-1.926,0.582,-1.137,-1.151,1.455,0.01345,0.9994,0.6646,0.6204,0.2509,TRUE,TRUE,TRUE
GOBP_CARDIAC_CELL_DEVELOPMENT,GO:BP,21,1,-2.039,-0.751,-1.351,-0.996,1.765,0.01448,0.9795,0.4808,0.7849,0.1251,FALSE,TRUE,TRUE
GOBP_MUSCLE_TISSUE_DEVELOPMENT,GO:BP,88,1,-1.797,-1.493,-1.24,1.398,1.609,0.02175,0.1556,0.4733,0.274,0.0831,FALSE,TRUE,TRUE
GOBP_RESPONSE_TO_INSULIN,GO:BP,59,1,1.803,-0.881,-1.172,-0.957,-1.587,0.02532,0.9209,0.5999,0.8359,0.1293,TRUE,TRUE,TRUE
GOBP_COMPLEMENT_ACTIVATION,GO:BP,14,1,1.958,1.516,1.019,-1.031,-1.362,0.03048,0.3297,0.7992,0.7553,0.3961,TRUE,TRUE,TRUE
GOBP_REGULATION_OF_LIPID_LOCALIZATION,GO:BP,29,1,1.906,1.186,-1.265,-1.515,-1.827,0.03048,0.662,0.5462,0.274,0.05459,FALSE,TRUE,TRUE
GOBP_REACTIVE_NITROGEN_SPECIES_METABOLIC_PROCESS,GO:BP,23,1,1.913,1.214,-1.138,-1.602,-1.783,0.0361,0.6457,0.6699,0.2158,0.08751,TRUE,TRUE,TRUE
GOBP_ADAPTIVE_IMMUNE_RESPONSE_BASED_ON_SOMATIC_RECOMBINATION_OF_IMMUNE_RECEPTORS_BUILT_FROM_IMMUNOGLOBULIN_SUPERFAMILY_DOMAINS,GO:BP,36,1,1.837,1.432,0.987,-1.153,-1.407,0.03834,0.3319,0.8168,0.6206,0.2966,FALSE,TRUE,TRUE
GOBP_CYTOPLASMIC_TRANSLATIONAL_INITIATION,GO:BP,30,1,-1.903,0.966,1.269,-0.874,1.88,0.0389,0.8804,0.546,0.9081,0.0564,FALSE,TRUE,TRUE
GOBP_INTERMEDIATE_FILAMENT_BASED_PROCESS,GO:BP,14,1,-1.938,0.667,-0.55,0.778,1.597,0.04128,0.996,0.9976,0.9568,0.2089,TRUE,TRUE,TRUE
GOBP_PHENOL_CONTAINING_COMPOUND_METABOLIC_PROCESS,GO:BP,13,1,1.927,-1.11,0.816,0.604,-1.532,0.04128,0.7649,0.9096,1,0.2633,TRUE,TRUE,TRUE
GOBP_CELLULAR_RESPONSE_TO_PEPTIDE_HORMONE_STIMULUS,GO:BP,66,1,1.71,-1.034,-1.31,0.857,-1.586,0.04159,0.7949,0.4183,0.9441,0.1188,FALSE,FALSE,TRUE
GOBP_TRICARBOXYLIC_ACID_CYCLE,GO:BP,25,1,1.898,0.862,1.305,-0.729,-1.652,0.0418,0.9176,0.505,0.9826,0.1527,FALSE,TRUE,TRUE
GOBP_MYOTUBE_CELL_DEVELOPMENT,GO:BP,15,1,-1.855,-0.999,0.744,1.154,1.673,0.04646,0.8405,0.9593,0.6552,0.163,TRUE,TRUE,TRUE
GOBP_REGULATION_OF_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,GO:BP,20,1,1.869,-0.779,-1.921,-1.055,-1.919,0.06237,0.9619,0.1185,0.73740000000000006,0.02509,TRUE,TRUE,TRUE
GOBP_REGULATION_OF_RESPONSE_TO_CYTOKINE_STIMULUS,GO:BP,17,1,1.841,0.999,-1.424,-1.661,-2.146,0.06237,0.8405,0.424,0.1799,0.002442,TRUE,TRUE,TRUE
GOBP_ACTIN_MYOSIN_FILAMENT_SLIDING,GO:BP,13,1,-1.863,-1.687,0.799,1.994,1.837,0.07857,0.1958,0.9192,0.01063,0.08606,TRUE,TRUE,TRUE
GOBP_ORGANIC_ACID_TRANSPORT,GO:BP,38,1,1.754,0.947,-1.523,-1.392,-1.842,0.08204,0.8892,0.2528,0.3586,0.03312,FALSE,TRUE,TRUE
GOBP_LONG_CHAIN_FATTY_ACID_TRANSPORT,GO:BP,17,1,1.819,1.164,-1.583,-1.525,-2.005,0.08494,0.711,0.2676,0.2932,0.01298,FALSE,FALSE,TRUE
GOBP_RESPONSE_TO_ZINC_ION,GO:BP,10,1,1.801,-0.702,-1.391,-1.074,-1.903,0.08933,0.9872,0.4762,0.7335,0.0385,TRUE,TRUE,TRUE
GOBP_CELLULAR_RESPONSE_TO_GLUCOSE_STARVATION,GO:BP,11,1,1.785,1.795,-0.622,-1.952,-1.788,0.09654,0.09504,0.9851,0.04854,0.09288,TRUE,TRUE,TRUE
GOBP_NADP_METABOLIC_PROCESS,GO:BP,17,1,1.781,-0.706,-1.838,-1.45,-1.877,0.09654,0.9933,0.1185,0.3661,0.04147,TRUE,TRUE,TRUE
GOBP_POSITIVE_REGULATION_OF_MYELOID_CELL_DIFFERENTIATION,GO:BP,11,1,1.786,-0.831,-1.775,-0.766,-1.987,0.09654,0.9205,0.1397,0.9568,0.01129,FALSE,TRUE,TRUE
