gene,logFC_Training_Young,logFC_Training_Old,pi_score_Young,pi_score_Old,pi_score_Interaction,significance,quadrant,imputed
TSPAN8,-0.3447,-0.4464,0.300449,0.105943,0.956739,NS,Concordant Down,TRUE
S100A16,0.3463,0.4447,0.708618,0.441128,0.983247,NS,Concordant Up,TRUE
SYNE2,-0.3558,-0.43,0.199862,0.051916,0.972537,NS,Concordant Down,TRUE
MYL1,-0.3788,0.4062,0.485095,0.441235,0.078016,NS,Discordant (Young Down / Old Up),FALSE
CAPG,0.3326,0.4455,0.695574,0.259852,0.972463,NS,Concordant Up,TRUE
KYAT1,-0.4515,-0.3266,0.098743,0.292679,0.929189,NS,Concordant Down,TRUE
SOD3,-0.3404,-0.4321,0.594924,0.25055,0.978422,NS,Concordant Down,TRUE
CTTN,0.3707,0.4014,0.601588,0.352965,0.997992,NS,Concordant Up,TRUE
COL6A2,-0.5117,0.2555,0.348308,0.802158,0.169589,NS,Discordant (Young Down / Old Up),TRUE
FTH1,-0.6421,0.1209,0.052377,0.945692,0.072454,NS,Discordant (Young Down / Old Up),FALSE
MYOZ1,-0.6821,0.0791,0.263077,0.988822,0.349898,NS,Discordant (Young Down / Old Up),FALSE
IGKC,0.393,0.3675,0.308391,0.386798,0.998095,NS,Concordant Up,FALSE
MYH2,-0.2736,0.4817,0.747573,0.345553,0.13805,NS,Discordant (Young Down / Old Up),FALSE
MYH1,-0.6399,-0.1147,0.1763,0.967088,0.522071,NS,Concordant Down,FALSE
GPX3,-0.3377,-0.4114,0.262459,0.122704,0.975696,NS,Concordant Down,FALSE
RPL3,0.5653,-0.1814,0.096044,0.872819,0.075953,NS,Discordant (Young Up / Old Down),TRUE
FLNA,0.4786,0.2675,0.058339,0.53263,0.796475,NS,Concordant Up,FALSE
MYBPC1,-0.5831,0.1585,0.143571,0.915823,0.127687,NS,Discordant (Young Down / Old Up),FALSE
KLHL40,0.4043,0.3362,0.370108,0.545279,0.988047,NS,Concordant Up,FALSE
PRUNE1,0.385,-0.3554,0.576971,0.129041,0.087528,NS,Discordant (Young Up / Old Down),TRUE
C6orf136,-0.1869,-0.5526,0.88306,0.281542,0.718852,NS,Concordant Down,TRUE
MT2A,-0.2019,-0.5348,0.766926,0.063288,0.5905,NS,Concordant Down,FALSE
IGLC2,0.4102,0.326,0.403229,0.60662,0.98316,NS,Concordant Up,FALSE
FBLN2,-0.5806,0.1536,0.407828,0.849428,0.235324,NS,Discordant (Young Down / Old Up),TRUE
COL6A3,-0.4771,0.2561,0.309497,0.773923,0.137196,NS,Discordant (Young Down / Old Up),FALSE
IQGAP1,0.3252,0.4003,0.343524,0.053983,0.972521,NS,Concordant Up,TRUE
TPM1,-0.4206,0.3012,0.454734,0.709757,0.175267,NS,Discordant (Young Down / Old Up),FALSE
SPATA20,-0.4925,0.2271,0.482504,0.844168,0.274893,NS,Discordant (Young Down / Old Up),TRUE
H2BC4,-0.6085,0.1098,0.122536,0.961932,0.157115,NS,Discordant (Young Down / Old Up),FALSE
UBE3C,0.6526,-0.0657,0.089707,0.973176,0.07955,NS,Discordant (Young Up / Old Down),TRUE
NDUFA1,-0.4563,0.2619,0.371777,0.750052,0.151136,NS,Discordant (Young Down / Old Up),TRUE
HLA-B,-0.6129,0.1034,0.106075,0.945358,0.085583,NS,Discordant (Young Down / Old Up),TRUE
CRYAB,0.3522,0.3614,0.214474,0.209278,0.999653,NS,Concordant Up,FALSE
DNAJA4,0.408,0.3052,0.181474,0.426977,0.957443,NS,Concordant Up,TRUE
G3BP2,-0.6085,-0.098,0.057587,0.952232,0.288935,NS,Concordant Down,TRUE
TMLHE,-0.4301,0.2763,0.266656,0.606077,0.057646,NS,Discordant (Young Down / Old Up),TRUE
CACNG1,-0.2867,-0.4171,0.514543,0.178953,0.933259,NS,Concordant Down,TRUE
ATL2,-0.24,-0.4612,0.651359,0.11103,0.799261,NS,Concordant Down,TRUE
SELENOW,-0.482,-0.2169,0.156596,0.749328,0.755933,NS,Concordant Down,TRUE
SRM,0.557,0.1404,0.434898,0.939275,0.713731,NS,Concordant Up,TRUE
TPM2,-0.436,0.2598,0.418592,0.781155,0.199151,NS,Discordant (Young Down / Old Up),FALSE
PTER,0.6528,0.041,0.370385,0.992538,0.456789,NS,Concordant Up,TRUE
FLNB,0.433,0.2589,0.140798,0.593353,0.875243,NS,Concordant Up,FALSE
PPP1R14B,0.401,0.2874,0.111584,0.397351,0.93575,NS,Concordant Up,TRUE
ACTB,-0.4213,0.2624,0.33894,0.717279,0.122585,NS,Discordant (Young Down / Old Up),FALSE
COMMD6,0.6657,-0.0045,0.101207,0.999899,0.145319,NS,Discordant (Young Up / Old Down),TRUE
ATPAF2,-0.346,-0.3238,0.399593,0.306657,0.998267,NS,Concordant Down,TRUE
NRAP,0.3349,0.3331,0.509806,0.529729,0.999992,NS,Concordant Up,FALSE
ACOT1,-0.5732,0.092,0.065496,0.958342,0.080319,NS,Discordant (Young Down / Old Up),TRUE
KLHL41,0.4977,0.1666,0.152301,0.876193,0.659114,NS,Concordant Up,FALSE
TPM4,0.4592,0.2016,0.06181,0.670927,0.656601,NS,Concordant Up,TRUE
SLC16A3,-0.5231,0.1361,0.091792,0.906619,0.077556,NS,Discordant (Young Down / Old Up),TRUE
BDH1,-0.3383,-0.3202,0.395905,0.445023,0.998955,NS,Concordant Down,TRUE
LMOD2,-0.501,0.1565,0.357474,0.946809,0.364131,NS,Discordant (Young Down / Old Up),TRUE
SNCG,0.2762,0.3812,0.889231,0.341103,0.985545,NS,Concordant Up,TRUE
NAMPT,0.2612,0.3942,0.58712,0.246382,0.932027,NS,Concordant Up,FALSE
MYL9,-0.2283,0.4234,0.917518,0.499694,0.476001,NS,Discordant (Young Down / Old Up),TRUE
CLPTM1,0.4409,-0.2103,0.489124,0.741206,0.216837,NS,Discordant (Young Up / Old Down),TRUE
IGHV3-7,0.2848,0.3637,0.611775,0.429002,0.981962,NS,Concordant Up,TRUE
IGHG1,0.3953,0.2529,0.216764,0.615792,0.919547,NS,Concordant Up,FALSE
IGLC3,0.3731,0.2704,0.341975,0.626397,0.96557,NS,Concordant Up,FALSE
TAGLN,0.0496,0.5879,0.992042,0.13867,0.373086,NS,Concordant Up,TRUE
MVP,0.2023,0.4339,0.889654,0.311417,0.881282,NS,Concordant Up,TRUE
TAPBP,-0.5066,-0.1268,0.348336,0.896168,0.628899,NS,Concordant Down,TRUE
SYPL2,-0.3391,-0.293,0.166985,0.308248,0.988893,NS,Concordant Down,FALSE
AAMDC,-0.3502,-0.2755,0.164649,0.391681,0.970834,NS,Concordant Down,FALSE
TMOD4,-0.3816,0.2434,0.533704,0.812899,0.2955,NS,Discordant (Young Down / Old Up),TRUE
VPS36,-0.3265,-0.2982,0.418947,0.31867,0.996907,NS,Concordant Down,TRUE
TFRC,0.0891,-0.5339,0.977843,0.260968,0.315803,NS,Discordant (Young Up / Old Down),TRUE
IGHG2,0.444,0.1777,0.178428,0.834243,0.741651,NS,Concordant Up,FALSE
EFEMP1,-0.4961,0.1249,0.315352,0.912048,0.203063,NS,Discordant (Young Down / Old Up),TRUE
NUDT2,-0.1528,0.4665,0.926431,0.314199,0.275874,NS,Discordant (Young Down / Old Up),TRUE
SH3BGRL,0.1635,0.4554,0.86136,0.151274,0.687814,NS,Concordant Up,TRUE
RPL32,-0.1069,0.5106,0.958042,0.219203,0.225878,NS,Discordant (Young Down / Old Up),TRUE
COL15A1,-0.3014,0.314,0.583608,0.520359,0.141851,NS,Discordant (Young Down / Old Up),TRUE
MT-ND3,-0.4694,-0.1448,0.079188,0.869874,0.553053,NS,Concordant Down,FALSE
CD99,0.3101,0.3009,0.390971,0.435535,0.999693,NS,Concordant Up,FALSE
SYNPO2L,-0.5209,0.0887,0.203132,0.972496,0.242446,NS,Discordant (Young Down / Old Up),TRUE
PPP1R12B,0.5839,-0.0252,0.091771,0.997521,0.182945,NS,Discordant (Young Up / Old Down),TRUE
P3H4,-0.4216,0.1866,0.299529,0.843684,0.170938,NS,Discordant (Young Down / Old Up),TRUE
PLIN4,-0.3202,-0.2876,0.187567,0.297356,0.99427,NS,Concordant Down,FALSE
CRELD1,-0.1935,0.4127,0.844171,0.321485,0.192906,NS,Discordant (Young Down / Old Up),TRUE
TMSB4X,0.3149,0.2908,0.550298,0.617704,0.99845,NS,Concordant Up,TRUE
APOBEC2,-0.3952,0.2091,0.256165,0.757606,0.101743,NS,Discordant (Young Down / Old Up),FALSE
RPL37A,0.1638,0.4403,0.833423,0.14398,0.681309,NS,Concordant Up,TRUE
SEC61B,0.1131,-0.488,0.977724,0.376991,0.497097,NS,Discordant (Young Up / Old Down),TRUE
NAE1,-0.2761,-0.3245,0.300988,0.17192,0.986473,NS,Concordant Down,TRUE
TGM2,-0.2161,0.3836,0.776845,0.253091,0.125154,NS,Discordant (Young Down / Old Up),TRUE
LRG1,0.1841,-0.4154,0.856282,0.214092,0.15799,NS,Discordant (Young Up / Old Down),TRUE
BCO2,0.2157,-0.3837,0.870873,0.431058,0.326132,NS,Discordant (Young Up / Old Down),TRUE
ALDOC,0.3833,0.216,0.68641,0.90251,0.960326,NS,Concordant Up,TRUE
NIPSNAP1,-0.3731,-0.2253,0.438698,0.787711,0.939663,NS,Concordant Down,FALSE
PDIA4,0.2968,0.3008,0.511324,0.414097,0.999947,NS,Concordant Up,TRUE
MRPS18A,0.2818,0.3151,0.640244,0.498984,0.996847,NS,Concordant Up,TRUE
PEX11B,-0.3436,-0.2526,0.518478,0.634424,0.975116,NS,Concordant Down,TRUE
SMPX,0.3023,0.2927,0.323292,0.370792,0.999602,NS,Concordant Up,FALSE
TNNT3,-0.3022,0.2918,0.69155199999999994,0.721998,0.329008,NS,Discordant (Young Down / Old Up),FALSE
OXCT1,-0.2529,-0.3402,0.809826,0.464431,0.98277,NS,Concordant Down,TRUE
RPS6,0.2924,0.3003,0.215924,0.195016,0.999642,NS,Concordant Up,TRUE
SNAP29,0.4766,-0.1142,0.162349,0.877891,0.081723,NS,Discordant (Young Up / Old Down),TRUE
PLIN2,0.1637,-0.4254,0.905024,0.286028,0.245301,NS,Discordant (Young Up / Old Down),TRUE
TMX2,-0.4961,-0.0922,0.052652,0.945371,0.340216,NS,Concordant Down,TRUE
MT-ND2,-0.4443,0.1431,0.202968,0.88909,0.135892,NS,Discordant (Young Down / Old Up),TRUE
ERI3,-0.3138,-0.2733,0.381562,0.450151,0.993253,NS,Concordant Down,TRUE
