gene,pattern,sort_key,logFC_Aging,logFC_Training_Old,pi_score_Aging,pi_score_Reversal
PSAP,Rev. (Age Up),0.6861,0.6861,-0.1475,2.1e-4,0.001016
PRUNE1,Rev. (Age Up),0.6811,0.6811,-0.3554,0.127185,0.006828
PNPO,Rev. (Age Up),0.6641,0.6641,-0.2005,0.005864,0.006772
VWA8,Rev. (Age Up),0.6639,0.6639,-0.29,0.085289,0.016727
HMGCL,Rev. (Age Up),0.6639,0.6639,0.0064,2.51e-4,0.015827
NAXD,Rev. (Age Up),0.6602,0.6602,-0.1541,3.74e-4,0.001273
MCCC1,Rev. (Age Up),0.6292,0.6292,-0.1374,0.008608,0.017307
CA3,Rev. (Age Up),0.6288,0.6288,-0.0718,3.27e-4,0.005299
FXN,Rev. (Age Up),0.6257,0.6257,-0.1458,0.001487,0.003842
PLIN4,Rev. (Age Up),0.6199,0.6199,-0.2876,0.001092,1.36e-4
MDP1,Rev. (Age Up),0.6064,0.6064,-0.1108,0.016769,0.022517
COQ5,Rev. (Age Up),0.6015,0.6015,-0.0719,0.005775,0.03371
PLIN5,Rev. (Age Up),0.6001,0.6001,-0.3905,0.133099,0.020755
SELENBP1,Rev. (Age Up),0.5954,0.5954,-0.2522,0.001497,3.69e-4
NXN,Rev. (Age Up),0.5943,0.5943,-0.0543,7.61e-4,0.010065
FBN1,Rev. (Age Up),0.5842,0.5842,-0.3808,0.157648,0.03651
ABHD16A,Rev. (Age Up),0.5803,0.5803,-0.4652,0.191624,0.00926
TMPO,Rev. (Age Up),0.5706,0.5706,-0.4116,0.107608,0.004848
MAOB,Rev. (Age Up),0.5522,0.5522,-0.1829,0.003308,0.002888
MRPS36,Rev. (Age Up),0.5389,0.5389,-0.2185,0.084101,0.049477
ALDH5A1,Rev. (Age Up),0.5381,0.5381,-0.0751,0.004432,0.024003
SUOX,Rev. (Age Up),0.5348,0.5348,-0.1839,0.007754,0.00615
OTUB1,Rev. (Age Up),0.5193,0.5193,-0.1222,6.8e-5,2.25e-4
GALK1,Rev. (Age Up),0.5164,0.5164,-0.1871,0.051138,0.027436
ADH1B,Rev. (Age Up),0.5152,0.5152,-0.6936,0.284428,0.004827
ACADS,Rev. (Age Up),0.4886,0.4886,-0.3399,0.114686,0.016562
RNF114,Rev. (Age Up),0.4861,0.4861,-0.2046,0.010229,0.003903
HADHA,Rev. (Age Up),0.4818,0.4818,-0.0761,0.002578,0.013711
CTSD,Rev. (Age Up),0.4804,0.4804,-0.1573,0.006407,0.005887
ETFA,Rev. (Age Up),0.4686,0.4686,-0.1005,0.023443,0.048002
TST,Rev. (Age Up),0.4655,0.4655,-0.1729,0.041833,0.030123
PHPT1,Rev. (Age Up),0.4451,0.4451,-0.1651,0.010683,0.006688
ASS1,Rev. (Age Up),0.4343,0.4343,-0.6461,0.533004,0.022415
ACAT1,Rev. (Age Up),0.4338,0.4338,-0.1125,0.012781,0.0208
MPST,Rev. (Age Up),0.4335,0.4335,-0.2659,0.026957,0.002398
CPT2,Rev. (Age Up),0.4267,0.4267,-0.1526,0.053178,0.042654
HMGB1,Rev. (Age Up),0.4156,0.4156,-0.1194,0.021802,0.027543
SLC27A1,Rev. (Age Up),0.4155,0.4155,-0.3522,0.207763,0.012789
HADHB,Rev. (Age Up),0.4089,0.4089,-0.1092,0.011214,0.017311
EWSR1,Rev. (Age Up),0.3879,0.3879,-0.1681,0.127684,0.044989
COQ7,Rev. (Age Up),0.376,0.376,-0.1249,0.021931,0.019908
PRDX6,Rev. (Age Up),0.3709,0.3709,-0.177,0.066241,0.026787
MAVS,Rev. (Age Up),0.3689,0.3689,-0.1625,0.051476,0.024503
NAE1,Rev. (Age Up),0.3681,0.3681,-0.3244,0.156276,0.009598
GPX3,Rev. (Age Up),0.3627,0.3627,-0.4111,0.286322,0.014573
GSTO1,Rev. (Age Up),0.3584,0.3584,-0.2646,0.150303,0.021784
UBE2K,Rev. (Age Up),0.3476,0.3476,-0.1825,0.088698,0.027078
GPD1L,Rev. (Age Up),0.3426,0.3426,-0.1443,0.016999,0.007172
SYNE2,Rev. (Age Up),0.2674,0.2674,-0.4299,0.492457,0.015176
TLN2,Rev. (Age Up),0.2254,0.2254,-0.3624,0.543391,0.031757
PCYT2,Rev. (Age Up),0.2197,0.2197,-0.48,0.69401,0.029051
ANXA3,Rev. (Age Up),0.2052,0.2052,-0.5734,0.771447,0.023189
LMOD2,Rev. (Age Down),2.3502,-2.3502,0.157,0,2e-6
MYBPH,Rev. (Age Down),2.2749,-2.2749,1.7206,0,0
ACTN3,Rev. (Age Down),2.1254,-2.1254,-0.0167,2e-6,0.001892
ACTN1,Rev. (Age Down),2.0748,-2.0748,0.3836,0,1.1e-5
ACTN2,Rev. (Age Down),1.9924,-1.9924,0.4935,1e-6,5e-6
SYNPO2L,Rev. (Age Down),1.8759,-1.8759,0.089,0,0
MYOZ1,Rev. (Age Down),1.7927,-1.7927,0.0798,1.7e-5,0.002233
ACTN4,Rev. (Age Down),1.7925,-1.7925,0.367,1e-6,1.5e-5
TTN,Rev. (Age Down),1.7352,-1.7352,0.0189,0,6e-6
LRBA,Rev. (Age Down),1.7263,-1.7263,-0.2016,1.44e-4,0.041125
THRB,Rev. (Age Down),1.6871,-1.6871,0.2694,1e-6,3.2e-5
HAT1,Rev. (Age Down),1.6478,-1.6478,0.7996,1.86e-4,6e-6
DES,Rev. (Age Down),1.5374,-1.5374,0.2097,0,7e-6
NEB,Rev. (Age Down),1.5125,-1.5125,-0.0424,0,3.06e-4
FNDC3A,Rev. (Age Down),1.4987,-1.4987,-0.0147,5.39e-4,0.037196
TMX3,Rev. (Age Down),1.3561,-1.3561,0.1548,0.011759,0.010139
