gene,pathway,go_slim_id,classification,logFC_Aging,logFC_Training_Old
ACADS,Lipid Metabolism,GO:0006629,Rev. (Age Up),0.4996,-0.3399
ADH1B,Lipid Metabolism,GO:0006629,Rev. (Age Up),0.5344,-0.6939
COQ5,Lipid Metabolism,GO:0042180,Rev. (Age Up),0.6059,-0.072
COQ7,Lipid Metabolism,GO:0042180,Rev. (Age Up),0.37,-0.1246
HADHA,Lipid Metabolism,GO:0006629,Rev. (Age Up),0.476,-0.0764
HADHB,Lipid Metabolism,GO:0006629,Rev. (Age Up),0.411,-0.1095
IDI1,Lipid Metabolism,GO:0006629,Rev. (Age Up),0.8735,-0.3417
PCYT2,Lipid Metabolism,GO:0006629,Rev. (Age Up),0.2227,-0.4799
PLIN5,Lipid Metabolism,GO:0042180,Rev. (Age Up),0.6011,-0.3906
MAVS,Mitochondria & Energy,GO:0007031,Rev. (Age Up),0.3784,-0.1627
CA3,Other,OTHER,Rev. (Age Up),0.6141,-0.073
MAOA,Other,OTHER,Rev. (Age Up),0.7757,-0.1941
MRPS36,Other,OTHER,Rev. (Age Up),0.5386,-0.2186
PLIN2,Other,OTHER,Rev. (Age Up),1.1196,-0.4254
PLIN4,Other,OTHER,Rev. (Age Up),0.6123,-0.2876
SELENBP1,Other,OTHER,Rev. (Age Up),0.5984,-0.2522
SUOX,Other,OTHER,Rev. (Age Up),0.5274,-0.184
TMPO,Other,OTHER,Rev. (Age Up),0.5723,-0.4115
VWA8,Other,OTHER,Rev. (Age Up),0.6641,-0.2903
COPS7B,Protein Homeostasis,GO:0065003,Rev. (Age Up),1.0134,-0.4555
CTSD,Protein Homeostasis,GO:0006914,Rev. (Age Up),0.4699,-0.1572
CTSZ,Protein Homeostasis,GO:0051604,Rev. (Age Up),1.0453,-0.0079
FXN,Protein Homeostasis,GO:0051604,Rev. (Age Up),0.6213,-0.1459
PRUNE1,Protein Homeostasis,GO:0065003,Rev. (Age Up),0.6825,-0.3554
PSAP,Protein Homeostasis,GO:0006914,Rev. (Age Up),0.6804,-0.1473
RNF114,Protein Homeostasis,GO:0030163,Rev. (Age Up),0.4864,-0.2047
SLC25A46,Protein Homeostasis,GO:0006914,Rev. (Age Up),0.9433,-0.0505
EWSR1,Transcription & Chromatin,GO:0006355,Rev. (Age Up),0.3886,-0.1681
MDP1,Transcription & Chromatin,GO:0006325,Rev. (Age Up),0.6072,-0.1107
PRDX6,Transcription & Chromatin,GO:0016071,Rev. (Age Up),0.3626,-0.1776
CPT2,Transport,GO:0055085,Rev. (Age Up),0.4309,-0.1527
MICU1,Transport,GO:0061024,Rev. (Age Up),0.7167,-0.0824
SLC27A1,Transport,GO:0055085,Rev. (Age Up),0.4153,-0.3523
TST,Transport,GO:0055085,Rev. (Age Up),0.4705,-0.1731
