gene,cluster,membership
PSAP,C1,0.9164605058264219
PFN1,C3,0.9983877551942183
BPGM,C1,0.9998401376710209
APRT,C4,0.8934881179002573
EPRS1,C3,0.9998182842661874
CTSB,C3,0.5855135299874317
HSP90AA1,C3,0.9985222552357617
UQCRH,C2,0.9999661967926157
TPM2,C4,0.999999365053411
FH,C2,0.9999993567012799
COL1A2,C4,0.9992878422614708
ANXA6,C1,0.5633874823366418
PFKM,C3,0.5581079955159616
HSP90AB1,C3,0.9267044030492152
SOD3,C2,0.5664006911548232
CTSG,C2,0.5442594280130484
PDHA1,C2,0.9999092952743179
COL4A2,C4,0.9993771936746189
CYC1,C2,0.9958103356406942
MYL3,C4,0.999997562193369
CFH,C1,0.9857026151739358
SNRNP70,C1,0.9610660780285676
NFIC,C4,0.9957209927623757
VIM,C4,0.9579779162027893
SERPINF2,C1,0.9970051864679997
RPS17,C4,0.9144094408335096
KRT19,C1,0.7673516170057227
ANXA5,C3,0.9998763160152331
RPSA,C4,0.8926797400791805
SNRPA,C4,0.8745869154235826
ENO2,C1,0.9986907390934706
ACAA1,C2,0.9003162188333299
GSTP1,C1,0.9691962629107564
LGALS1,C4,0.9985401858182135
QDPR,C1,0.9999143565478836
HMGB1,C1,0.9727644845831935
FBP1,C1,0.9621406830237418
GSTM1,C1,0.5670511575569593
TPM1,C4,0.9999993412409075
CLTB,C3,0.9994537775722518
ANXA4,C1,0.3907723229889207
HMOX1,C1,0.6689864741509521
DLD,C3,0.6298098558973806
HNRNPA1,C4,0.7847507767404237
COX6C,C2,0.9827420624285035
PARP1,C4,0.7200475210158538
IFIT2,C3,0.9714945171571893
UCHL1,C3,0.9996674431242104
LTA4H,C1,0.9344436272955873
ALDOC,C3,0.9673098846437285
LIMS3,C4,0.9999971222644298
HSPA1A,C3,0.9983909785864195
IGLC2,C1,0.9941664645154211
IGLC3,C1,0.8489150048587224
CALM1,C4,0.8897702148507168
FDX1,C2,0.9932817366547554
COX8A,C2,0.999048823880833
GAA,C2,0.8953883021269614
RRAS,C3,0.8583919655056245
ARAF,C1,0.5624320779841411
DLAT,C2,0.999910742395513
TXN,C1,0.8000414488636998
COX5B,C2,0.9872672279626079
MAPT,C3,0.9983824639977883
PRKAR1A,C1,0.9876485717651055
ESD,C1,0.9977410125864439
HSPD1,C2,0.9999959568063761
THRB,C4,0.9999838279571107
CLU,C1,0.9982180929166466
MYL2,C4,0.9998976627355021
HSPA5,C3,0.9999638864662597
LAMC1,C4,0.9997656429312222
MYH3,C4,0.978092842853203
HSPA8,C3,0.997171787819489
EPB41,C1,0.9996758135431708
PDHB,C2,0.9983511253878299
DBT,C4,0.62693944741071
PYGB,C2,0.8894371869931034
PYGM,C3,0.7161025149690688
RALA,C2,0.4804439016862806
SPTB,C1,0.9526667214096796
LAMP1,C3,0.997446293770971
ACADM,C2,0.9873421949712674
UBL4A,C3,0.9998366783836119
DMD,C1,0.47833301581730886
MTHFD1,C3,0.9833677043772415
ADH5,C1,0.9884076003852181
PABPC1,C2,0.6416557258802145
HARS1,C3,0.8123940019255653
COL6A1,C4,0.999659342865698
COL6A2,C4,0.9991487355443867
COL6A3,C4,0.999784372087093
SLC25A4,C2,0.9999807158726898
SLC25A6,C2,0.9950877240538721
IMPDH2,C3,0.5887611310132326
CKB,C1,0.9639281427715265
ANXA3,C1,0.981577713318365
BCKDHA,C2,0.9629540307798925
ACTN1,C4,0.9999905550059954
MYH1,C4,0.9995102060624679
MYH7,C4,0.9999980957210737
PEPD,C3,0.6980026545208732
XRCC6,C4,0.8867016578122116
XRCC5,C1,0.9024724888741653
COX4I1,C2,0.9998770288568564
IFITM1,C1,0.9076669288337011
LAMP2,C1,0.5806066620644409
RNH1,C1,0.6542293818637888
MYH8,C4,0.9999990782394955
VCAN,C1,0.745719687742174
EEF2,C3,0.9492179369013801
