gene,pathway,database,cluster
PPP2R1A,GOBP_REGULATION_OF_PROGRAMMED_CELL_DEATH,GO:BP,C3
CLIP1,HALLMARK_MITOTIC_SPINDLE,Hallmark,C3
SERPINB1,Unmapped,NA,C3
ALDH1B1,Unmapped,NA,C3
MAT2A,Unmapped,NA,C3
DNAJA1,GOBP_REGULATION_OF_PROGRAMMED_CELL_DEATH,GO:BP,C3
AKT2,GOBP_PROTEIN_STABILIZATION,GO:BP,C3
ATIC,GOBP_CEREBRAL_CORTEX_DEVELOPMENT,GO:BP,C3
YWHAB,Unmapped,NA,C3
STIP1,HALLMARK_MTORC1_SIGNALING,Hallmark,C3
S100A11,Unmapped,NA,C3
GBP2,Unmapped,NA,C3
KIF5B,HALLMARK_MITOTIC_SPINDLE,Hallmark,C3
HSPA4,HALLMARK_MTORC1_SIGNALING,Hallmark,C3
PFN2,GOBP_PROTEIN_STABILIZATION,GO:BP,C3
THBS4,GOBP_CELL_DIVISION,GO:BP,C3
COPB2,Unmapped,NA,C3
PPM1A,GOBP_POSITIVE_REGULATION_OF_INTRACELLULAR_TRANSPORT,GO:BP,C3
PSMC2,HALLMARK_MTORC1_SIGNALING,Hallmark,C3
ARL3,GOBP_MICROTUBULE_BASED_MOVEMENT,GO:BP,C3
SERPINF1,Unmapped,NA,C3
DDOST,Unmapped,NA,C3
CAPG,Unmapped,NA,C3
CCT6A,HALLMARK_MTORC1_SIGNALING,Hallmark,C3
EIF2S3,Unmapped,NA,C3
NAA10,Unmapped,NA,C3
IARS1,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,Hallmark,C3
AKR1C3,GOBP_REGULATION_OF_PROGRAMMED_CELL_DEATH,GO:BP,C3
RPS27,Unmapped,NA,C3
PAFAH1B1,HALLMARK_MITOTIC_SPINDLE,Hallmark,C3
PSMC4,HALLMARK_MTORC1_SIGNALING,Hallmark,C3
USP5,Unmapped,NA,C3
BAG6,GOBP_REGULATION_OF_PROGRAMMED_CELL_DEATH,GO:BP,C3
RPS9,Unmapped,NA,C3
GNPDA1,Unmapped,NA,C3
IQGAP1,GOBP_CELL_DIVISION,GO:BP,C3
GYG1,Unmapped,NA,C3
EIF1AX,Unmapped,NA,C3
ARCN1,Unmapped,NA,C3
CD151,Unmapped,NA,C3
PSMD8,Unmapped,NA,C3
GSS,Unmapped,NA,C3
CCT5,GOBP_PROTEIN_STABILIZATION,GO:BP,C3
NES,GOBP_REGULATION_OF_PROGRAMMED_CELL_DEATH,GO:BP,C3
PXN,HALLMARK_MITOTIC_SPINDLE,Hallmark,C3
CCT3,GOBP_PROTEIN_STABILIZATION,GO:BP,C3
SARS1,Unmapped,NA,C3
GSK3B,HALLMARK_MTORC1_SIGNALING,Hallmark,C3
GDI2,Unmapped,NA,C3
SERPINH1,HALLMARK_MTORC1_SIGNALING,Hallmark,C3
CSRP3,Unmapped,NA,C3
DNM2,GOBP_REGULATION_OF_PROGRAMMED_CELL_DEATH,GO:BP,C3
CCT8,GOBP_PROTEIN_STABILIZATION,GO:BP,C3
CCT4,GOBP_PROTEIN_STABILIZATION,GO:BP,C3
RAB5C,Unmapped,NA,C3
RAB7A,GOBP_VESICLE_BUDDING_FROM_MEMBRANE,GO:BP,C3
BCAP31,GOBP_REGULATION_OF_PROGRAMMED_CELL_DEATH,GO:BP,C3
UBE2D1,Unmapped,NA,C3
KPNA1,GOBP_REGULATION_OF_PROGRAMMED_CELL_DEATH,GO:BP,C3
ARHGDIB,Unmapped,NA,C3
BLVRA,Unmapped,NA,C3
COPA,Unmapped,NA,C3
SEC24C,GOBP_VESICLE_BUDDING_FROM_MEMBRANE,GO:BP,C3
