gene,pathway,database,cluster
COX6C,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
FDX1,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
COX8A,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
GAA,Unmapped,NA,C3
DLAT,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
COX5B,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
HSPD1,Unmapped,NA,C3
PDHB,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
PYGB,Unmapped,NA,C3
ACADM,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
PABPC1,Unmapped,NA,C3
SLC25A4,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
SLC25A6,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
BCKDHA,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
COX4I1,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
PLS3,Unmapped,NA,C3
ETFA,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
FDPS,Unmapped,NA,C3
COX7A2,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
SLC2A4,Unmapped,NA,C3
COX6B1,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
JUP,Unmapped,NA,C3
UQCRB,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
FABP4,HALLMARK_ADIPOGENESIS,Hallmark,C3
GLUL,HALLMARK_FATTY_ACID_METABOLISM,Hallmark,C3
COX7C,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
ACADS,HALLMARK_FATTY_ACID_METABOLISM,Hallmark,C3
CD36,HALLMARK_FATTY_ACID_METABOLISM,Hallmark,C3
TMEM11,Unmapped,NA,C3
GOT1,Unmapped,NA,C3
CKMT2,Unmapped,NA,C3
NDUFB7,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
ATP5PF,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
HK1,Unmapped,NA,C3
NDUFV2,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
COX5A,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
MAOA,HALLMARK_FATTY_ACID_METABOLISM,Hallmark,C3
ACO1,Unmapped,NA,C3
VDAC1,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
SDHB,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
MMUT,GOBP_AMIDE_METABOLIC_PROCESS,GO:BP,C3
UQCRC2,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
ME2,Unmapped,NA,C3
GCSH,Unmapped,NA,C3
CPT2,HALLMARK_FATTY_ACID_METABOLISM,Hallmark,C3
GPT,Unmapped,NA,C3
COX7A1,Unmapped,NA,C3
COX7B,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
ATP5PB,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
ACAT1,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
ATP5F1A,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
IVD,Unmapped,NA,C3
HMGB2,Unmapped,NA,C3
MAOB,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
NDUFS1,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
LAP3,Unmapped,NA,C3
GNA11,Unmapped,NA,C3
ALDH4A1,Unmapped,NA,C3
ERP29,HALLMARK_FATTY_ACID_METABOLISM,Hallmark,C3
PRDX3,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
ATP5F1D,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
ECHS1,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
PPIF,Unmapped,NA,C3
TSPO,Unmapped,NA,C3
SDHA,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
UQCRC1,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
HIBADH,Unmapped,NA,C3
HNRNPH1,Unmapped,NA,C3
ACSL1,HALLMARK_FATTY_ACID_METABOLISM,Hallmark,C3
SHMT2,GOCC_NUCLEOID,GO:CC,C3
CTNNA1,Unmapped,NA,C3
SPR,Unmapped,NA,C3
ADD1,Unmapped,NA,C3
BSG,Unmapped,NA,C3
HMGCL,HALLMARK_FATTY_ACID_METABOLISM,Hallmark,C3
ATP5F1C,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
LONP1,GOCC_NUCLEOID,GO:CC,C3
DLST,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
TAGLN2,Unmapped,NA,C3
ETFB,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
HSPA9,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
MDH2,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
HADHA,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
ECI1,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
LRPPRC,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
ACAA2,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
CRAT,HALLMARK_FATTY_ACID_METABOLISM,Hallmark,C3
NAMPT,Unmapped,NA,C3
TSFM,Unmapped,NA,C3
ASPA,Unmapped,NA,C3
VDAC2,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
ACADSB,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
MAP2K4,Unmapped,NA,C3
PHKA2,Unmapped,NA,C3
MTIF2,Unmapped,NA,C3
MAP2K3,Unmapped,NA,C3
QARS1,Unmapped,NA,C3
UQCRFS1,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
ATP5PO,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
LSS,Unmapped,NA,C3
IDH2,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
MRPL19,Unmapped,NA,C3
TUFM,GOCC_NUCLEOID,GO:CC,C3
ALDH7A1,Unmapped,NA,C3
ACADVL,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
ACOT2,HALLMARK_FATTY_ACID_METABOLISM,Hallmark,C3
NDUFV1,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
IDH3A,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
CPT1A,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
ATP1A2,Unmapped,NA,C3
IDH3G,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
GALK1,Unmapped,NA,C3
ALDH5A1,Unmapped,NA,C3
SUOX,GOCC_ORGANELLE_ENVELOPE_LUMEN,GO:CC,C3
NDUFA8,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
MAP2K6,Unmapped,NA,C3
MRPL12,GOBP_MITOCHONDRIAL_RNA_METABOLIC_PROCESS,GO:BP,C3
PPP5C,Unmapped,NA,C3
NUBP1,Unmapped,NA,C3
SUCLG1,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
HCCS,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
SMTN,Unmapped,NA,C3
SLC16A1,Unmapped,NA,C3
IST1,Unmapped,NA,C3
AK2,GOCC_ORGANELLE_ENVELOPE_LUMEN,GO:CC,C3
HADHB,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
OXCT1,Unmapped,NA,C3
ATP5MF,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
NDUFV3,Unmapped,NA,C3
ATP5F1E,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
ATP5ME,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
NDUFA6,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
SYNJ2BP,Unmapped,NA,C3
CD81,Unmapped,NA,C3
ACTR3,Unmapped,NA,C3
ABCE1,Unmapped,NA,C3
HSPE1,Unmapped,NA,C3
TIMM10,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
UBE2I,Unmapped,NA,C3
SELENOW,Unmapped,NA,C3
PIP4K2B,Unmapped,NA,C3
