PC1,PC2,gene,cluster,membership
-0.006107162186124131,0.029704709403648864,SLC16A3,C4,0.563751076104246
-0.001004074999018255,-0.006698183055716274,YKT6,C4,0.5989850472519724
-0.011487505616708008,-0.006577764989349216,ARPC5,C4,0.5427819978928333
0.013972322484190305,0.010282713014283029,TAPBP,C2,0.9077947404378186
-0.011346528650765535,4.7404797104327965e-4,DHX15,C4,0.61651429464629
-0.004229924884720258,-0.01226918392715113,CYB5B,C4,0.554428813286516
0.01880682723680827,0.02742608018774307,NDUFS4,C3,0.82668897226264
-0.014251625695474847,0.0015093156727535627,DYNC1LI2,C1,0.9107590958402895
5.664878704466865e-5,-0.024771132758652004,PSMD3,C1,0.5922044236089627
0.022778629511187292,0.016825273989110334,RASA4,C2,0.9795843670576021
-0.0018563502065451873,-0.006821603158175072,HNRNPR,NA,0
-0.005458477883371492,-0.010405657670839868,TXNL1,C1,0.7308069535634326
-0.0025423128655836296,-0.0050142649463475325,TPD52L2,C4,0.8753758471649052
-0.00542280029483642,-0.00837823951259047,ERI3,C1,0.740601587946179
0.0013309684195458417,0.025820874114442182,AKR7A2,C3,0.9997438066001766
0.005138788767294282,0.007075871530838771,LAT,C4,0.9918362694711236
0.006598550854351761,-0.0027777641624124275,DENR,C2,0.9548779901138278
0.003894263430104805,0.013777218717510689,DNPH1,C4,0.800419108229446
-0.009757507479798791,0.03874764012292612,TIMM44,C3,0.9999978298444161
-0.01942256969710437,-0.009872655372644238,TRAPPC3,C1,0.9745122905708526
-0.009771499351214918,0.007628317158868278,CHMP2A,C3,0.5083767848657652
0.01544033886349288,0.04132925455115318,NDUFB5,C3,0.998540948094489
0.007551386919625536,0.04299724468704653,NDUFB3,C3,0.9997104424204946
0.004456184707260694,0.02952994475207467,NDUFA2,C3,0.9981485984099103
-0.0031132211751351063,-0.001899011942364911,BUB3,C4,0.542203507530956
0.13733935139892292,0.011595704675053501,ACTN4,C2,0.9999834030481952
-0.024769633339784016,0.012469004809270313,GSTZ1,C1,0.9200634810745643
6.646667336973533e-4,0.0013649729547051729,PRKAB2,C4,0.7903945043859084
-0.011180681202522906,-0.006346990432998643,AP1G1,C1,0.9395795308346413
0.00779662071706604,-0.013699566877501533,SYNGR2,C1,0.5246582826269259
-0.010354608498388807,0.01278768539880092,SGTA,C3,0.7533272320164822
0.01231439387461804,0.009178371411460731,ENSA,C2,0.8292500667528032
9.734282933541358e-4,0.05348409636242369,SLC25A20,C3,0.9999979222132694
-0.004954244874373576,-1.230127889695722e-5,NARS1,C1,0.9899915938826278
0.007528979144781807,0.014604880146755941,LANCL1,NA,0
0.005602344660774395,-0.014996431439702546,SLC37A4,C4,0.9653301516392391
0.00828258197379309,0.031114284767732807,IDH3B,C3,0.9999366174700621
-0.0070823693735600724,-0.0047337837664426724,CALU,C1,0.974610644613078
-0.01917972462888396,-0.007366516310842989,AHCYL1,C1,0.9723712292820117
0.025737219114100145,0.049116400850251964,NDUFS5,C3,0.9907718360240547
0.04766206486692716,0.06962473843613631,TIMM8A,C3,0.8793809450802342
-0.020498134969016507,0.005155726362391208,PPP1R12B,C1,0.9626938699951749
0.01024483212134302,-0.03787026960063408,PRPSAP2,C4,0.5084779057712658
-0.0028507589438919187,-0.03780507855432035,SPAG9,C1,0.9990493477788894
0.005142338015310476,0.02723974412117321,OPA1,C3,0.9999267904163718
-0.0043336217275245165,0.012613593532484446,TBC1D4,C4,0.8702096558016722
-0.0019605566608947673,-0.005721107284562583,SNX3,NA,0
-0.0022907939533616667,-0.012443483868924984,SYNCRIP,C1,0.8921444974268322
0.01079769173866678,0.0028109992879080453,SELENOF,C2,0.8576065808455697
0.014231434696322974,-0.03593078937884092,KLHL41,C1,0.7084295796046429
-0.007380585008331805,-0.009880127586746825,PLIN3,C1,0.9993179033831014
-0.008560697018009572,-0.006475793701253018,KPNA6,C1,0.9537391167895768
-0.00538547215057351,-0.006303667947226222,SNX2,C4,0.9799747840738035
-0.0031469257665860183,-0.014586287444665093,USO1,C4,0.9998817431388565
-0.0016823546670352476,-0.004939384888276965,TOM1,C4,0.9547911838580718
-0.006990460546297068,0.0416886259649738,PFKFB2,C3,0.9999953747670337
-0.008575925472097234,-0.014298362607359618,EDF1,C1,0.9932061774600159
-0.009839900614934996,-0.004217190517294115,DNAJA2,C1,0.9995223051088481
-0.017246453046411314,-0.015603706987960804,CUTA,C1,0.5971937997797101
0.009888761233382358,-0.005778705597588636,PFDN1,C4,0.8000452850632443
-0.006067881270218291,0.019016254751368946,NOL3,C3,0.9760376731594433
-3.3536840376511e-4,-0.019513492318204963,WDR1,C1,0.8167185749340431
0.027237485880577478,-0.0046678982560008,LDB3,C2,0.9999997773951202
0.007711573856744675,0.038885461029957435,CLASP2,C3,0.9984078468856814
-0.008649001484574776,-0.009389840283392292,COBL,C4,0.7513740613399059
-0.014099809947193774,-0.00499906802736949,CPNE3,C1,0.8045891674878032
0.006422705897551174,0.030633075721640608,CLUH,C3,0.9997331241809492
-0.005735755315613862,-0.009965113871196097,CAND2,C1,0.987924374895275
0.005147792223634309,0.026229689964330245,COQ9,C3,0.9935084074589033
-0.008674343986779694,0.006418964424608002,GGCT,C4,0.9848651364119899
0.02298269641789125,0.04606612123941823,NDUFS7,C3,0.950022940974648
-0.005202242239390117,-0.02525219734229123,RTN2,C1,0.9827770509151711
0.019372011965368953,0.04374291707153793,NDUFS2,C3,0.9741216932229226
-0.00445502144543066,0.02737611633520234,NIPSNAP2,C3,0.9999873217530064
0.02496799222682156,-0.0016158733452252916,CILP,C2,0.9995197877191939
-0.011842685966065554,-0.0030681524061470615,TBCA,C1,0.7585442886820987
-0.013414523625106405,-0.011461993094400345,ATP6V1G1,C1,0.9989907752883034
8.375886440450858e-4,2.827972242725604e-4,VPS4B,C4,0.8006910702708758
-0.0013709919338564692,6.561521431473451e-4,SH3BGRL,C4,0.9757760295122574
-0.013886432828512213,-0.027216432501309815,FLNB,C1,0.998750423654686
0.015354889746235459,0.03811692925397171,NDUFS6,C3,0.9902616029278073
-0.00822818704402038,0.0315248315666186,CS,C3,0.9999998603303955
-0.014137227591440722,-0.016011933635301984,SEC22B,C1,0.9970635560521666
0.0162878111057221,0.02275309357526294,MTX2,C3,0.8304689415284117
0.0015780951620714204,-0.013940422639887448,VPS26A,C1,0.8282160374045288
0.0027194885159784053,0.0317639319203225,NDUFB1,C3,0.9953068561284836
0.007424287529560263,0.02649622367201609,PMPCB,C3,0.9991668646053768
0.00879799782684112,0.03691169615901171,NDUFS3,C3,0.9994425251441912
0.006334381820894177,0.03358733258365868,ECI2,C3,0.9999002899043385
0.0329559355824386,-0.0042403572754556125,BANF1,C2,0.9815721723238854
0.008798247431233062,-0.023690525281547352,CSDE1,C2,0.9444604500315807
0.023469613126713782,-0.037930998331121984,PRKRA,C2,0.9981844285996795
0.001102993964133701,0.019680405235227186,LYPLA1,C3,0.9958287979610707
-0.001984876522723311,-0.005955456298497657,TIPRL,C4,0.7774076522324348
0.008283718601246765,-0.007856672370614111,PPM1B,C2,0.5314740071477685
-0.0014700377057057792,0.027122217913880954,SLC25A12,C3,0.9999782606999253
0.013044765373843435,0.0020106438984720484,TCEA3,C2,0.9911067972210735
-0.007621767737344114,0.002492757962716465,EIF3G,C1,0.97967317133983
0.0020860579951970924,-0.007252572956615548,EIF3J,C2,0.593447562315122
0.006284011756062426,0.008240376066638503,PSMD10,C4,0.9904985876887104
9.448889047785007e-4,0.005534973696519343,IDH1,C4,0.9969669254408611
-0.002282457282993866,0.03597878563770576,SCO1,C3,0.9911426368032862
-0.006397854530931069,0.00938603598401458,ALDH1L1,C3,0.9495111994358637
-0.014627141054127175,-0.018357783195158645,ARL6IP5,C1,0.9971020009819302
-0.008915618383160162,-0.026883424776362186,DYSF,C1,0.9999854346985904
0.013286561107055624,0.002977585076388275,PIAS2,C2,0.9501870518377307
-0.0011454653574653256,-0.0025610271551970254,DCTN3,C4,0.9996231724971559
-0.0059727564481843074,0.023026326767905853,ATP5PD,C3,0.9999924701765736
-8.341146352112078e-4,-0.010869622803332106,FLOT1,C4,0.9841775673644798
-0.01340019752126937,0.02489051818502306,ATP5MG,C3,0.9999129578743735
-0.001574329668532343,-0.021342048439177204,GLRX3,C1,0.8181152581230521
0.017278202662719084,-0.006446406683532329,SNCG,C2,0.5178228557011044
