gene,pathway,database,cluster,theme
ALB,cellular response to chemical stimulus,GO:BP,C1,Other
TF,HALLMARK_COAGULATION,Hallmark,C1,Immune & Complement
MT2A,HALLMARK_XENOBIOTIC_METABOLISM,Hallmark,C1,Metabolic & Redox Regulation
CAT,HALLMARK_XENOBIOTIC_METABOLISM,Hallmark,C1,Metabolic & Redox Regulation
ALDOA,HALLMARK_GLYCOLYSIS,Hallmark,C1,Metabolic & Redox Regulation
KRT1,response to external stimulus,GO:BP,C1,Other
GAPDH,HALLMARK_HYPOXIA,Hallmark,C1,Other
HLA-A,adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,GO:BP,C1,Immune & Complement
APOD,negative regulation of response to stimulus,GO:BP,C1,Other
ALDH2,HALLMARK_XENOBIOTIC_METABOLISM,Hallmark,C1,Metabolic & Redox Regulation
S100A8,response to external stimulus,GO:BP,C1,Other
SERPING1,HALLMARK_COMPLEMENT,Hallmark,C1,Immune & Complement
KRT8,response to external stimulus,GO:BP,C1,Other
S100A9,HALLMARK_COMPLEMENT,Hallmark,C1,Immune & Complement
EIF4E,cellular response to chemical stimulus,GO:BP,C1,Other
ENO1,HALLMARK_GLYCOLYSIS,Hallmark,C1,Metabolic & Redox Regulation
GPI,HALLMARK_HYPOXIA,Hallmark,C1,Other
DBI,protein modification process,GO:BP,C1,Other
GPX1,inflammatory response to antigenic stimulus,GO:BP,C1,Immune & Complement
CTSD,HALLMARK_COMPLEMENT,Hallmark,C1,Immune & Complement
DCN,HALLMARK_GLYCOLYSIS,Hallmark,C1,Metabolic & Redox Regulation
BPGM,HALLMARK_HEME_METABOLISM,Hallmark,C1,Immune & Complement
CFH,HALLMARK_COMPLEMENT,Hallmark,C1,Immune & Complement
SNRNP70,protein catabolic process,GO:BP,C1,Other
SERPINF2,response to external stimulus,GO:BP,C1,Other
KRT19,HALLMARK_ESTROGEN_RESPONSE_LATE,Hallmark,C1,Other
ENO2,HALLMARK_GLYCOLYSIS,Hallmark,C1,Metabolic & Redox Regulation
GSTP1,response to external stimulus,GO:BP,C1,Other
HMGB1,inflammatory response to antigenic stimulus,GO:BP,C1,Immune & Complement
FBP1,HALLMARK_XENOBIOTIC_METABOLISM,Hallmark,C1,Metabolic & Redox Regulation
GSTM1,cellular response to chemical stimulus,GO:BP,C1,Other
HMOX1,HALLMARK_XENOBIOTIC_METABOLISM,Hallmark,C1,Metabolic & Redox Regulation
LTA4H,HALLMARK_COMPLEMENT,Hallmark,C1,Immune & Complement
IGLC2,adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,GO:BP,C1,Immune & Complement
IGLC3,adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,GO:BP,C1,Immune & Complement
ARAF,protein modification process,GO:BP,C1,Other
TXN,HALLMARK_GLYCOLYSIS,Hallmark,C1,Metabolic & Redox Regulation
PRKAR1A,cellular response to chemical stimulus,GO:BP,C1,Other
ESD,aldehyde metabolic process,GO:BP,C1,Metabolic & Redox Regulation
CLU,HALLMARK_COMPLEMENT,Hallmark,C1,Immune & Complement
EPB41,HALLMARK_HEME_METABOLISM,Hallmark,C1,Immune & Complement
SPTB,HALLMARK_HEME_METABOLISM,Hallmark,C1,Immune & Complement
ADH5,HALLMARK_XENOBIOTIC_METABOLISM,Hallmark,C1,Metabolic & Redox Regulation
CKB,HALLMARK_ESTROGEN_RESPONSE_LATE,Hallmark,C1,Other
ANXA3,response to external stimulus,GO:BP,C1,Other
XRCC5,response to external stimulus,GO:BP,C1,Other
IFITM1,response to external stimulus,GO:BP,C1,Other
LAMP2,HALLMARK_COMPLEMENT,Hallmark,C1,Immune & Complement
RNH1,blood vessel development,GO:BP,C1,Immune & Complement
VCAN,HALLMARK_GLYCOLYSIS,Hallmark,C1,Metabolic & Redox Regulation
KRT10,protein modification process,GO:BP,C1,Other
KRT5,response to external stimulus,GO:BP,C1,Other
TPT1,response to external stimulus,GO:BP,C1,Other
ALAD,HALLMARK_HEME_METABOLISM,Hallmark,C1,Immune & Complement
PRKAR2A,negative regulation of response to stimulus,GO:BP,C1,Other
ENO3,HALLMARK_HYPOXIA,Hallmark,C1,Other
CD59,HALLMARK_COMPLEMENT,Hallmark,C1,Immune & Complement
PKM,HALLMARK_GLYCOLYSIS,Hallmark,C1,Metabolic & Redox Regulation
PGAM2,HALLMARK_GLYCOLYSIS,Hallmark,C1,Metabolic & Redox Regulation
UCHL3,protein modification process,GO:BP,C1,Other
ANK1,HALLMARK_HEME_METABOLISM,Hallmark,C1,Immune & Complement
PPP3CB,adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,GO:BP,C1,Immune & Complement
FAH,HALLMARK_XENOBIOTIC_METABOLISM,Hallmark,C1,Metabolic & Redox Regulation
PSMC3,protein catabolic process,GO:BP,C1,Other
PGAM1,HALLMARK_GLYCOLYSIS,Hallmark,C1,Metabolic & Redox Regulation
TSPAN8,response to external stimulus,GO:BP,C1,Other
TYMP,response to external stimulus,GO:BP,C1,Other
PVALB,cell-cell signaling,GO:BP,C1,Intracellular Transport & Signaling
PSMB1,protein catabolic process,GO:BP,C1,Other
GSTM3,cellular response to chemical stimulus,GO:BP,C1,Other
GPD1,cellular response to chemical stimulus,GO:BP,C1,Other
RYR1,cellular response to chemical stimulus,GO:BP,C1,Other
COMT,HALLMARK_XENOBIOTIC_METABOLISM,Hallmark,C1,Metabolic & Redox Regulation
OSBP,cellular response to chemical stimulus,GO:BP,C1,Other
UBA1,protein modification process,GO:BP,C1,Other
GPX3,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,Hallmark,C1,Metabolic & Redox Regulation
FBLN1,HALLMARK_XENOBIOTIC_METABOLISM,Hallmark,C1,Metabolic & Redox Regulation
S100A1,HALLMARK_COAGULATION,Hallmark,C1,Immune & Complement
CFL1,response to external stimulus,GO:BP,C1,Other
ATP2B4,HALLMARK_ESTROGEN_RESPONSE_LATE,Hallmark,C1,Other
ACP1,HALLMARK_XENOBIOTIC_METABOLISM,Hallmark,C1,Metabolic & Redox Regulation
AZGP1,adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,GO:BP,C1,Immune & Complement
PSMA1,inflammatory response to antigenic stimulus,GO:BP,C1,Immune & Complement
PSMA2,response to external stimulus,GO:BP,C1,Other
PSMA4,protein catabolic process,GO:BP,C1,Other
U2AF2,protein modification process,GO:BP,C1,Other
PSMA5,protein catabolic process,GO:BP,C1,Other
PSMB6,protein catabolic process,GO:BP,C1,Other
GSTM2,cellular response to chemical stimulus,GO:BP,C1,Other
CD38,regulation of tube size,GO:BP,C1,Other
EPHA2,HALLMARK_XENOBIOTIC_METABOLISM,Hallmark,C1,Metabolic & Redox Regulation
TKT,aldehyde metabolic process,GO:BP,C1,Metabolic & Redox Regulation
PRDX6,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,Hallmark,C1,Metabolic & Redox Regulation
BLVRB,HALLMARK_XENOBIOTIC_METABOLISM,Hallmark,C1,Metabolic & Redox Regulation
DDT,HALLMARK_XENOBIOTIC_METABOLISM,Hallmark,C1,Metabolic & Redox Regulation
PEBP1,negative regulation of response to stimulus,GO:BP,C1,Other
LRPAP1,negative regulation of response to stimulus,GO:BP,C1,Other
SRI,cellular response to chemical stimulus,GO:BP,C1,Other
GDI1,response to external stimulus,GO:BP,C1,Other
PRDX2,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,Hallmark,C1,Metabolic & Redox Regulation
SHMT1,cellular response to chemical stimulus,GO:BP,C1,Other
MPI,HALLMARK_GLYCOLYSIS,Hallmark,C1,Metabolic & Redox Regulation
GPC1,HALLMARK_GLYCOLYSIS,Hallmark,C1,Metabolic & Redox Regulation
SERPINB6,cellular response to chemical stimulus,GO:BP,C1,Other
RDX,cellular response to chemical stimulus,GO:BP,C1,Other
AGL,HALLMARK_GLYCOLYSIS,Hallmark,C1,Metabolic & Redox Regulation
GLRX,HALLMARK_GLYCOLYSIS,Hallmark,C1,Metabolic & Redox Regulation
KRT2,protein modification process,GO:BP,C1,Other
MAP2K2,Golgi organization,GO:BP,C1,Intracellular Transport & Signaling
PGM1,HALLMARK_HYPOXIA,Hallmark,C1,Other
GPX4,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,Hallmark,C1,Metabolic & Redox Regulation
TALDO1,HALLMARK_GLYCOLYSIS,Hallmark,C1,Metabolic & Redox Regulation
SNCA,HALLMARK_HEME_METABOLISM,Hallmark,C1,Immune & Complement
ATP6V1A,cellular response to chemical stimulus,GO:BP,C1,Other
COL18A1,blood vessel development,GO:BP,C1,Immune & Complement
STAT3,adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,GO:BP,C1,Immune & Complement
MDH1,HALLMARK_GLYCOLYSIS,Hallmark,C1,Metabolic & Redox Regulation
SLC1A4,HALLMARK_ESTROGEN_RESPONSE_LATE,Hallmark,C1,Other
GPD2,HALLMARK_COMPLEMENT,Hallmark,C1,Immune & Complement
NSF,protein catabolic process,GO:BP,C1,Other
UTRN,cell-cell signaling,GO:BP,C1,Intracellular Transport & Signaling
STT3A,protein modification process,GO:BP,C1,Other
PREP,HALLMARK_COMPLEMENT,Hallmark,C1,Immune & Complement
ME1,HALLMARK_GLYCOLYSIS,Hallmark,C1,Metabolic & Redox Regulation
PIP4K2A,cellular response to chemical stimulus,GO:BP,C1,Other
GCLM,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,Hallmark,C1,Metabolic & Redox Regulation
ALDH9A1,HALLMARK_GLYCOLYSIS,Hallmark,C1,Metabolic & Redox Regulation
LMAN1,Golgi organization,GO:BP,C1,Intracellular Transport & Signaling
FNTA,protein modification process,GO:BP,C1,Other
CDC34,protein modification process,GO:BP,C1,Other
PCYT1A,adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,GO:BP,C1,Immune & Complement
PSMB3,protein catabolic process,GO:BP,C1,Other
PSMB2,protein catabolic process,GO:BP,C1,Other
TMED10,Golgi organization,GO:BP,C1,Intracellular Transport & Signaling
HINT1,protein modification process,GO:BP,C1,Other
GSK3A,cellular response to chemical stimulus,GO:BP,C1,Other
SULT1A1,cellular response to chemical stimulus,GO:BP,C1,Other
EMD,negative regulation of response to stimulus,GO:BP,C1,Other
ST13,response to external stimulus,GO:BP,C1,Other
METAP2,protein modification process,GO:BP,C1,Other
NUDT2,cellular response to chemical stimulus,GO:BP,C1,Other
MECP2,response to external stimulus,GO:BP,C1,Other
ALDH3A2,aldehyde metabolic process,GO:BP,C1,Metabolic & Redox Regulation
PSMD7,protein catabolic process,GO:BP,C1,Other
STAT5B,response to external stimulus,GO:BP,C1,Other
HDGF,HALLMARK_HEME_METABOLISM,Hallmark,C1,Immune & Complement
PGD,HALLMARK_XENOBIOTIC_METABOLISM,Hallmark,C1,Metabolic & Redox Regulation
AKR1C2,HALLMARK_XENOBIOTIC_METABOLISM,Hallmark,C1,Metabolic & Redox Regulation
MAPK12,protein modification process,GO:BP,C1,Other
CACNB3,cell-cell signaling,GO:BP,C1,Intracellular Transport & Signaling
CACNA2D1,cellular response to chemical stimulus,GO:BP,C1,Other
USP14,HALLMARK_COMPLEMENT,Hallmark,C1,Immune & Complement
RAD23A,HALLMARK_HEME_METABOLISM,Hallmark,C1,Immune & Complement
CDH13,HALLMARK_COMPLEMENT,Hallmark,C1,Immune & Complement
NPEPPS,cellular response to chemical stimulus,GO:BP,C1,Other
MTPN,response to external stimulus,GO:BP,C1,Other
DEFA3,response to external stimulus,GO:BP,C1,Other
TPI1,HALLMARK_GLYCOLYSIS,Hallmark,C1,Metabolic & Redox Regulation
PRPS1,HALLMARK_GLYCOLYSIS,Hallmark,C1,Metabolic & Redox Regulation
PSMA6,response to external stimulus,GO:BP,C1,Other
CDC42,Golgi organization,GO:BP,C1,Intracellular Transport & Signaling
RAB2A,Golgi organization,GO:BP,C1,Intracellular Transport & Signaling
UBE2D3,protein modification process,GO:BP,C1,Other
UBE2M,protein modification process,GO:BP,C1,Other
UBE2N,response to external stimulus,GO:BP,C1,Other
RAB14,response to external stimulus,GO:BP,C1,Other
COPS2,protein modification process,GO:BP,C1,Other
RAP1B,cellular response to chemical stimulus,GO:BP,C1,Other
RHOA,response to external stimulus,GO:BP,C1,Other
PKIA,protein modification process,GO:BP,C1,Other
SUMO2,protein modification process,GO:BP,C1,Other
YWHAG,adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,GO:BP,C1,Immune & Complement
SNRPD3,protein modification process,GO:BP,C1,Other
RAB1A,Golgi organization,GO:BP,C1,Intracellular Transport & Signaling
GNB1,cellular response to chemical stimulus,GO:BP,C1,Other
GNB2,HALLMARK_COMPLEMENT,Hallmark,C1,Immune & Complement
FKBP1A,protein modification process,GO:BP,C1,Other
RAC1,HALLMARK_COAGULATION,Hallmark,C1,Immune & Complement
VAMP2,cellular response to chemical stimulus,GO:BP,C1,Other
PPP3R1,blood vessel development,GO:BP,C1,Immune & Complement
YWHAZ,Golgi organization,GO:BP,C1,Intracellular Transport & Signaling
UBE2B,protein modification process,GO:BP,C1,Other
PPP2R2A,protein modification process,GO:BP,C1,Other
SKP1,protein modification process,GO:BP,C1,Other
EIF5A,response to external stimulus,GO:BP,C1,Other
PPP2CA,response to external stimulus,GO:BP,C1,Other
UBE2L3,cellular response to chemical stimulus,GO:BP,C1,Other
HBB,HALLMARK_HEME_METABOLISM,Hallmark,C1,Immune & Complement
HBA1,cellular response to chemical stimulus,GO:BP,C1,Other
DCD,response to external stimulus,GO:BP,C1,Other
ARF1,response to external stimulus,GO:BP,C1,Other
MPP1,HALLMARK_HEME_METABOLISM,Hallmark,C1,Immune & Complement
FABP5,HALLMARK_ESTROGEN_RESPONSE_LATE,Hallmark,C1,Other
CACNB1,cellular response to chemical stimulus,GO:BP,C1,Other
FKBP4,HALLMARK_GLYCOLYSIS,Hallmark,C1,Metabolic & Redox Regulation
UBXN1,protein modification process,GO:BP,C1,Other
GLO1,aldehyde metabolic process,GO:BP,C1,Metabolic & Redox Regulation
UBE3A,cellular response to chemical stimulus,GO:BP,C1,Other
PRDX1,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,Hallmark,C1,Metabolic & Redox Regulation
CD47,response to external stimulus,GO:BP,C1,Other
EFEMP1,protein modification process,GO:BP,C1,Other
STX4,HALLMARK_COMPLEMENT,Hallmark,C1,Immune & Complement
ILF3,response to external stimulus,GO:BP,C1,Other
PAK1,response to external stimulus,GO:BP,C1,Other
CBX3,cellular response to chemical stimulus,GO:BP,C1,Other
PSMD2,protein catabolic process,GO:BP,C1,Other
SELENBP1,HALLMARK_HEME_METABOLISM,Hallmark,C1,Immune & Complement
CTBP1,protein modification process,GO:BP,C1,Other
SNTA1,regulation of tube size,GO:BP,C1,Other
FKBP5,response to external stimulus,GO:BP,C1,Other
SQSTM1,response to external stimulus,GO:BP,C1,Other
PIN1,cellular response to chemical stimulus,GO:BP,C1,Other
NAE1,protein modification process,GO:BP,C1,Other
STIM1,blood vessel development,GO:BP,C1,Immune & Complement
CUL1,protein modification process,GO:BP,C1,Other
AAMP,blood vessel development,GO:BP,C1,Immune & Complement
CACNA1S,cellular response to chemical stimulus,GO:BP,C1,Other
BLMH,protein modification process,GO:BP,C1,Other
PRKG1,response to external stimulus,GO:BP,C1,Other
HNRNPD,cellular response to chemical stimulus,GO:BP,C1,Other
DAG1,response to external stimulus,GO:BP,C1,Other
ITIH4,HALLMARK_XENOBIOTIC_METABOLISM,Hallmark,C1,Metabolic & Redox Regulation
KARS1,HALLMARK_XENOBIOTIC_METABOLISM,Hallmark,C1,Metabolic & Redox Regulation
PLCL1,cell-cell signaling,GO:BP,C1,Intracellular Transport & Signaling
PTGES3,HALLMARK_XENOBIOTIC_METABOLISM,Hallmark,C1,Metabolic & Redox Regulation
PTPA,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,Hallmark,C1,Metabolic & Redox Regulation
TMED2,Golgi organization,GO:BP,C1,Intracellular Transport & Signaling
ELOB,protein modification process,GO:BP,C1,Other
UBE3C,protein modification process,GO:BP,C1,Other
MYLK,cellular response to chemical stimulus,GO:BP,C1,Other
UBE2V2,protein modification process,GO:BP,C1,Other
ADRM1,protein catabolic process,GO:BP,C1,Other
CDC37,response to external stimulus,GO:BP,C1,Other
SGCB,cellular response to chemical stimulus,GO:BP,C1,Other
GUK1,cellular response to chemical stimulus,GO:BP,C1,Other
HAGH,aldehyde metabolic process,GO:BP,C1,Metabolic & Redox Regulation
TXNRD1,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,Hallmark,C1,Metabolic & Redox Regulation
HIKESHI,Golgi organization,GO:BP,C1,Intracellular Transport & Signaling
DCAF6,protein modification process,GO:BP,C1,Other
GNAS,inflammatory response to antigenic stimulus,GO:BP,C1,Immune & Complement
UBR4,protein modification process,GO:BP,C1,Other
PDE4DIP,Golgi organization,GO:BP,C1,Intracellular Transport & Signaling
RAB12,protein catabolic process,GO:BP,C1,Other
RCSD1,cellular response to chemical stimulus,GO:BP,C1,Other
CAVIN1,HALLMARK_HYPOXIA,Hallmark,C1,Other
RRM2B,negative regulation of response to stimulus,GO:BP,C1,Other
SPRED2,protein modification process,GO:BP,C1,Other
HUWE1,Golgi organization,GO:BP,C1,Intracellular Transport & Signaling
VPS36,protein catabolic process,GO:BP,C1,Other
CARM1,cellular response to chemical stimulus,GO:BP,C1,Other
ELMOD2,response to external stimulus,GO:BP,C1,Other
ADSS1,cellular response to chemical stimulus,GO:BP,C1,Other
JAGN1,response to external stimulus,GO:BP,C1,Other
ATL2,Golgi organization,GO:BP,C1,Intracellular Transport & Signaling
NPLOC4,Golgi organization,GO:BP,C1,Intracellular Transport & Signaling
RDH11,aldehyde metabolic process,GO:BP,C1,Metabolic & Redox Regulation
NEK7,HALLMARK_HEME_METABOLISM,Hallmark,C1,Immune & Complement
PDCD6IP,protein catabolic process,GO:BP,C1,Other
PSMF1,protein catabolic process,GO:BP,C1,Other
UBXN4,protein catabolic process,GO:BP,C1,Other
SGCD,blood vessel development,GO:BP,C1,Immune & Complement
DDX17,response to external stimulus,GO:BP,C1,Other
CUL5,protein modification process,GO:BP,C1,Other
UBE2F,protein modification process,GO:BP,C1,Other
WBP2,cellular response to chemical stimulus,GO:BP,C1,Other
CMBL,cellular response to chemical stimulus,GO:BP,C1,Other
OTUB1,protein modification process,GO:BP,C1,Other
DCUN1D1,HALLMARK_HEME_METABOLISM,Hallmark,C1,Immune & Complement
USP47,protein modification process,GO:BP,C1,Other
CNDP2,HALLMARK_XENOBIOTIC_METABOLISM,Hallmark,C1,Metabolic & Redox Regulation
STAC3,cell-cell signaling,GO:BP,C1,Intracellular Transport & Signaling
QKI,blood vessel development,GO:BP,C1,Immune & Complement
VPS35,response to external stimulus,GO:BP,C1,Other
PSMB7,protein catabolic process,GO:BP,C1,Other
PSMD1,protein catabolic process,GO:BP,C1,Other
PARK7,aldehyde metabolic process,GO:BP,C1,Metabolic & Redox Regulation
COPS8,protein modification process,GO:BP,C1,Other
CHP1,protein modification process,GO:BP,C1,Other
TSG101,protein modification process,GO:BP,C1,Other
CPNE1,cellular response to chemical stimulus,GO:BP,C1,Other
PRMT1,cellular response to chemical stimulus,GO:BP,C1,Other
WDR77,protein modification process,GO:BP,C1,Other
TXNDC17,cellular response to chemical stimulus,GO:BP,C1,Other
LXN,HALLMARK_HYPOXIA,Hallmark,C1,Other
COPS4,protein modification process,GO:BP,C1,Other
TMED9,Golgi organization,GO:BP,C1,Intracellular Transport & Signaling
ASPSCR1,protein modification process,GO:BP,C1,Other
NIBAN1,protein modification process,GO:BP,C1,Other
UBXN6,protein catabolic process,GO:BP,C1,Other
PITHD1,protein catabolic process,GO:BP,C1,Other
NT5C3A,response to external stimulus,GO:BP,C1,Other
MYLK2,protein modification process,GO:BP,C1,Other
COPS7B,protein modification process,GO:BP,C1,Other
HHATL,protein modification process,GO:BP,C1,Other
PHPT1,protein modification process,GO:BP,C1,Other
LANCL2,cellular response to chemical stimulus,GO:BP,C1,Other
PARVA,response to external stimulus,GO:BP,C1,Other
PNPO,aldehyde metabolic process,GO:BP,C1,Metabolic & Redox Regulation
MAP3K20,protein modification process,GO:BP,C1,Other
UGGT1,protein modification process,GO:BP,C1,Other
MYOF,HALLMARK_ESTROGEN_RESPONSE_LATE,Hallmark,C1,Other
GRHPR,aldehyde metabolic process,GO:BP,C1,Metabolic & Redox Regulation
UBA2,protein modification process,GO:BP,C1,Other
COPS7A,protein modification process,GO:BP,C1,Other
PCYOX1,protein catabolic process,GO:BP,C1,Other
DPP7,protein catabolic process,GO:BP,C1,Other
ATP6V1H,HALLMARK_PROTEIN_SECRETION,Hallmark,C1,Other
TRMT112,protein modification process,GO:BP,C1,Other
LCMT1,protein modification process,GO:BP,C1,Other
TBC1D24,cellular response to chemical stimulus,GO:BP,C1,Other
NDRG2,HALLMARK_XENOBIOTIC_METABOLISM,Hallmark,C1,Metabolic & Redox Regulation
SNX6,cellular response to chemical stimulus,GO:BP,C1,Other
COPS3,protein modification process,GO:BP,C1,Other
NSFL1C,Golgi organization,GO:BP,C1,Intracellular Transport & Signaling
CHMP2B,protein catabolic process,GO:BP,C1,Other
PLAA,response to external stimulus,GO:BP,C1,Other
PPIL1,protein modification process,GO:BP,C1,Other
USP15,HALLMARK_COMPLEMENT,Hallmark,C1,Immune & Complement
DTNA,HALLMARK_HYPOXIA,Hallmark,C1,Other
PPME1,protein modification process,GO:BP,C1,Other
GMPPB,HALLMARK_GLYCOLYSIS,Hallmark,C1,Metabolic & Redox Regulation
SAR1B,HALLMARK_XENOBIOTIC_METABOLISM,Hallmark,C1,Metabolic & Redox Regulation
SESN1,cellular response to chemical stimulus,GO:BP,C1,Other
SEC23IP,Golgi organization,GO:BP,C1,Intracellular Transport & Signaling
PGP,phosphate-containing compound metabolic process,GO:BP,C2,Metabolic & Redox Regulation
NUDT19,monocarboxylic acid catabolic process,GO:BP,C2,Other
NDUFS8,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C2,Mitochondrial & Energy Metabolism
PDHX,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C2,Mitochondrial & Energy Metabolism
DNM1L,monoatomic ion transport,GO:BP,C2,Intracellular Transport & Signaling
NDUFA4,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C2,Mitochondrial & Energy Metabolism
SDHD,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C2,Mitochondrial & Energy Metabolism
COX7A2L,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C2,Mitochondrial & Energy Metabolism
NDUFAB1,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C2,Mitochondrial & Energy Metabolism
OPLAH,modified amino acid metabolic process,GO:BP,C2,Metabolic & Redox Regulation
MGST3,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C2,Mitochondrial & Energy Metabolism
UQCRQ,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C2,Mitochondrial & Energy Metabolism
UQCR11,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C2,Mitochondrial & Energy Metabolism
