threshold,collection,granularity,list_name,n_fg,n_sig_terms,n_themes_hit,pct_coverage,top3_themes,median_odds_ratio,training_old_viable
FDR < 0.05,Comprehensive -> Consolidated,per_contrast,Training_Young,146,28,7,39.7,Transport; DNA & Cell Cycle; Translation & Ribosome,8,NA
FDR < 0.05,Comprehensive -> Consolidated,per_contrast,Training_Old,0,NA,NA,NA,NA,NA,FALSE
FDR < 0.05,Comprehensive -> Consolidated,per_contrast,Interaction,12,0,0,0,NA,NA,NA
FDR < 0.05,GO Slim,union,Union,136,NA,14,89.7,DNA & Cell Cycle; Transport; Mitochondria & Energy,NA,NA
FDR < 0.05,Comprehensive,union,Union,136,28,7,42.6,Formation Of Tubulin Folding Int...; Cell Cell Recognition; Reference Retrograde Axonal Tran...,8,NA
FDR < 0.05,Comprehensive -> Consolidated,union,Union,136,28,7,42.6,Transport; DNA & Cell Cycle; Translation & Ribosome,8,NA
FDR < 0.05,GO Slim,directional,Sig Young Up,80,NA,14,92.5,DNA & Cell Cycle; Transport; Translation & Ribosome,NA,NA
FDR < 0.05,GO Slim,directional,Sig Young Down,54,NA,11,83.3,Mitochondria & Energy; DNA & Cell Cycle; Carbohydrate & Energy Metabolism,NA,NA
FDR < 0.05,GO Slim,directional,Interaction,12,NA,0,0,,NA,NA
FDR < 0.05,Comprehensive,directional,Sig Young Up,80,49,6,60,Formation Of Tubulin Folding Int...; Reference Retrograde Axonal Tran...; Association Of Tric Cct With Tar...,10.24,NA
FDR < 0.05,Comprehensive,directional,Sig Young Down,54,10,3,35.2,Reference Electron Transfer In C...; NADH Dehydrogenase Complex Assembly; ATP Synthesis Coupled Electron T...,7.63,NA
FDR < 0.05,Comprehensive,directional,Interaction,12,0,0,0,NA,NA,NA
FDR < 0.05,Comprehensive -> Consolidated,directional,Sig Young Up,80,49,6,60,Transport; DNA & Cell Cycle; Translation & Ribosome,10.24,NA
FDR < 0.05,Comprehensive -> Consolidated,directional,Sig Young Down,54,10,3,35.2,Mitochondria & Energy; Transport; Amino Acid & Cofactor Metabolism,7.63,NA
FDR < 0.05,Comprehensive -> Consolidated,directional,Interaction,12,0,0,0,NA,NA,NA
P < 0.05,GO Slim,per_contrast,Training_Young,460,NA,15,88.9,Transport; DNA & Cell Cycle; Protein Homeostasis,NA,NA
P < 0.05,GO Slim,per_contrast,Training_Old,194,NA,15,89.2,Protein Homeostasis; Amino Acid & Cofactor Metabolism; Transport,NA,TRUE
P < 0.05,GO Slim,per_contrast,Interaction,166,NA,14,84.3,Amino Acid & Cofactor Metabolism; Transport; Translation & Ribosome,NA,NA
P < 0.05,Comprehensive,per_contrast,Training_Young,460,22,4,30,Reference Electron Transfer In C...; Cell Cell Recognition; Association Of Tric Cct With Tar...,4.51,NA
P < 0.05,Comprehensive,per_contrast,Training_Old,194,5,1,9.8,Sars Cov 1 Modulates Host Transl...; Ribosomal Small Subunit Biogenesis; Sars Cov 1 Host Interactions,3.87,TRUE
P < 0.05,Comprehensive,per_contrast,Interaction,166,17,4,24.7,Scavenging By Class A Receptors; Reference Electron Transfer In C...; Basement Membrane Organization,5.57,NA
P < 0.05,Comprehensive -> Consolidated,per_contrast,Training_Young,460,22,4,30,Mitochondria & Energy; Transport; ECM & Adhesion,4.51,NA
P < 0.05,Comprehensive -> Consolidated,per_contrast,Training_Old,194,5,1,9.8,Translation & Ribosome,3.87,TRUE
P < 0.05,Comprehensive -> Consolidated,per_contrast,Interaction,166,17,4,24.7,Mitochondria & Energy; ECM & Adhesion; Transport,5.57,NA
P < 0.05,GO Slim,union,Union,584,NA,15,90.4,Transport; Protein Homeostasis; DNA & Cell Cycle,NA,NA
P < 0.05,Comprehensive,union,Union,584,11,2,16.3,Reference Electron Transfer In C...; Cell Cell Recognition; Env Factor Arsenic To Electron T...,5.15,NA
P < 0.05,Comprehensive -> Consolidated,union,Union,584,11,2,16.3,Mitochondria & Energy; Transport,5.15,NA
P < 0.05,GO Slim,directional,Sig Both Up,47,NA,11,87.2,Protein Homeostasis; DNA & Cell Cycle; Amino Acid & Cofactor Metabolism,NA,NA
P < 0.05,GO Slim,directional,Sig Both Down,28,NA,7,64.3,Muscle & Contractile; Lipid Metabolism; Transcription & Chromatin,NA,NA
P < 0.05,GO Slim,directional,Sig Young Up,139,NA,14,91.4,DNA & Cell Cycle; Protein Homeostasis; Transport,NA,NA
P < 0.05,GO Slim,directional,Sig Young Down,116,NA,14,91.4,Mitochondria & Energy; Carbohydrate & Energy Metabolism; Cytoskeleton & Motility,NA,NA
P < 0.05,GO Slim,directional,Sig Old Up,45,NA,10,88.9,Protein Homeostasis; Translation & Ribosome; Cytoskeleton & Motility,NA,TRUE
P < 0.05,GO Slim,directional,Sig Old Down,56,NA,10,80.4,Amino Acid & Cofactor Metabolism; Protein Homeostasis; Transport,NA,TRUE
P < 0.05,GO Slim,directional,Interaction,166,NA,14,84.3,Amino Acid & Cofactor Metabolism; Transport; Translation & Ribosome,NA,NA
P < 0.05,Comprehensive,directional,Sig Both Up,47,1,0,10.6,Cell Cell Recognition,30.79,NA
P < 0.05,Comprehensive,directional,Sig Both Down,28,0,0,0,NA,NA,NA
P < 0.05,Comprehensive,directional,Sig Young Up,139,17,5,35.3,Formation Of Tubulin Folding Int...; Activation Of Ampk Downstream Of...; Association Of Tric Cct With Tar...,6.96,NA
P < 0.05,Comprehensive,directional,Sig Young Down,116,13,4,38.8,Heterochromatin Formation; Reference Electron Transfer In C...; Reference Electron Transfer In C...,6.21,NA
P < 0.05,Comprehensive,directional,Sig Old Up,45,10,2,33.3,Sars Cov 1 Modulates Host Transl...; Ribosomal Small Subunit Biogenesis; Sars Cov 1 Host Interactions,9.07,TRUE
P < 0.05,Comprehensive,directional,Sig Old Down,56,0,0,0,NA,NA,FALSE
P < 0.05,Comprehensive,directional,Interaction,166,17,4,24.7,Scavenging By Class A Receptors; Reference Electron Transfer In C...; Basement Membrane Organization,5.57,NA
P < 0.05,Comprehensive -> Consolidated,directional,Sig Both Up,47,1,0,10.6,,30.79,NA
P < 0.05,Comprehensive -> Consolidated,directional,Sig Both Down,28,0,0,0,NA,NA,NA
P < 0.05,Comprehensive -> Consolidated,directional,Sig Young Up,139,17,5,35.3,Transport; Lipid Metabolism; DNA & Cell Cycle,6.96,NA
P < 0.05,Comprehensive -> Consolidated,directional,Sig Young Down,116,13,4,38.8,Transcription & Chromatin; Mitochondria & Energy; Transport,6.21,NA
P < 0.05,Comprehensive -> Consolidated,directional,Sig Old Up,45,10,2,33.3,Translation & Ribosome; Amino Acid & Cofactor Metabolism,9.07,TRUE
P < 0.05,Comprehensive -> Consolidated,directional,Sig Old Down,56,0,0,0,NA,NA,FALSE
P < 0.05,Comprehensive -> Consolidated,directional,Interaction,166,17,4,24.7,Mitochondria & Energy; ECM & Adhesion; Transport,5.57,NA
P < 0.01,GO Slim,per_contrast,Training_Young,246,NA,15,87,DNA & Cell Cycle; Transport; Mitochondria & Energy,NA,NA
P < 0.01,GO Slim,per_contrast,Training_Old,57,NA,10,87.7,Transport; ECM & Adhesion; Cytoskeleton & Motility,NA,TRUE
P < 0.01,GO Slim,per_contrast,Interaction,43,NA,10,67.4,Cytoskeleton & Motility; Translation & Ribosome; Transcription & Chromatin,NA,NA
P < 0.01,Comprehensive,per_contrast,Training_Young,246,42,7,47.2,Association Of Tric Cct With Tar...; Formation Of Tubulin Folding Int...; Cell Cell Recognition,5.86,NA
P < 0.01,Comprehensive,per_contrast,Training_Old,57,0,0,0,NA,NA,FALSE
P < 0.01,Comprehensive,per_contrast,Interaction,43,0,0,0,NA,NA,NA
P < 0.01,Comprehensive -> Consolidated,per_contrast,Training_Young,246,42,7,47.2,Mitochondria & Energy; Transport; Development,5.86,NA
P < 0.01,Comprehensive -> Consolidated,per_contrast,Training_Old,57,0,0,0,NA,NA,FALSE
P < 0.01,Comprehensive -> Consolidated,per_contrast,Interaction,43,0,0,0,NA,NA,NA
P < 0.01,GO Slim,union,Union,283,NA,15,91.2,DNA & Cell Cycle; Transport; Protein Homeostasis,NA,NA
P < 0.01,Comprehensive,union,Union,283,29,6,35.3,Association Of Tric Cct With Tar...; Formation Of Tubulin Folding Int...; Cell Cell Recognition,5.71,NA
P < 0.01,Comprehensive -> Consolidated,union,Union,283,29,6,35.3,Mitochondria & Energy; Transport; DNA & Cell Cycle,5.71,NA
P < 0.01,GO Slim,directional,Sig Both Up,13,NA,3,53.8,Transport; Cytoskeleton & Motility; ECM & Adhesion,NA,NA
P < 0.01,GO Slim,directional,Sig Both Down,5,NA,0,0,,NA,NA
P < 0.01,GO Slim,directional,Sig Young Up,105,NA,14,93.3,DNA & Cell Cycle; Protein Homeostasis; Transport,NA,NA
P < 0.01,GO Slim,directional,Sig Young Down,91,NA,14,84.6,Mitochondria & Energy; Carbohydrate & Energy Metabolism; Transport,NA,NA
P < 0.01,GO Slim,directional,Sig Old Up,10,NA,2,50,Cytoskeleton & Motility; Translation & Ribosome,NA,TRUE
P < 0.01,GO Slim,directional,Sig Old Down,26,NA,8,84.6,Amino Acid & Cofactor Metabolism; Transport; ECM & Adhesion,NA,TRUE
P < 0.01,GO Slim,directional,Interaction,43,NA,10,67.4,Cytoskeleton & Motility; Translation & Ribosome; Transcription & Chromatin,NA,NA
P < 0.01,Comprehensive,directional,Sig Both Up,13,1,0,30.8,Establishment Of Cell Polarity,46.47,NA
P < 0.01,Comprehensive,directional,Sig Both Down,5,0,0,0,NA,NA,NA
P < 0.01,Comprehensive,directional,Sig Young Up,105,51,8,56.2,Association Of Tric Cct With Tar...; Formation Of Tubulin Folding Int...; Positive Regulation Of DNA Biosy...,7.48,NA
P < 0.01,Comprehensive,directional,Sig Young Down,91,17,6,46.2,Reference Electron Transfer In C...; Scavenging By Class A Receptors; NADH Dehydrogenase Complex Assembly,9.25,NA
P < 0.01,Comprehensive,directional,Sig Old Up,10,0,0,0,NA,NA,FALSE
P < 0.01,Comprehensive,directional,Sig Old Down,26,0,0,0,NA,NA,FALSE
P < 0.01,Comprehensive,directional,Interaction,43,0,0,0,NA,NA,NA
P < 0.01,Comprehensive -> Consolidated,directional,Sig Both Up,13,1,0,30.8,,46.47,NA
P < 0.01,Comprehensive -> Consolidated,directional,Sig Both Down,5,0,0,0,NA,NA,NA
P < 0.01,Comprehensive -> Consolidated,directional,Sig Young Up,105,51,8,56.2,Transport; DNA & Cell Cycle; Protein Homeostasis,7.48,NA
P < 0.01,Comprehensive -> Consolidated,directional,Sig Young Down,91,17,6,46.2,Mitochondria & Energy; Transport; Development,9.25,NA
P < 0.01,Comprehensive -> Consolidated,directional,Sig Old Up,10,0,0,0,NA,NA,FALSE
P < 0.01,Comprehensive -> Consolidated,directional,Sig Old Down,26,0,0,0,NA,NA,FALSE
P < 0.01,Comprehensive -> Consolidated,directional,Interaction,43,0,0,0,NA,NA,NA
