database,dedup_level,granularity,list_name,n_fg,n_sig_terms,n_themes_hit,pct_coverage,n_genes_assigned,pct_genes_assigned,top3_terms,median_odds_ratio,training_old_viable
Comprehensive,light,directional,Sig Both Down,2,NA,NA,NA,NA,NA,NA,NA,NA
Comprehensive,light,directional,Sig Young Up,34,0,0,0,0,0,NA,NA,NA
Comprehensive,light,directional,Sig Young Down,34,0,0,0,0,0,NA,NA,NA
Comprehensive,light,directional,Sig Old Up,4,NA,NA,NA,NA,NA,NA,NA,NA
Comprehensive,light,directional,Sig Old Down,8,0,0,0,0,0,NA,NA,NA
Comprehensive,light,directional,Interaction,44,12,2,25,11,33.3,Scavenging By Class A Receptors; Basement Membrane Organization; Collagen Chain Trimerization,22.04,NA
Comprehensive,standard,per_contrast,Training_Young,109,16,1,16.5,18,18.4,Scavenging By Class A Receptors; Collagen Biosynthesis And Modify...; Collagen Fibril Organization,12.46,NA
Comprehensive,standard,per_contrast,Training_Old,18,0,0,0,0,0,NA,NA,NA
Comprehensive,standard,per_contrast,Interaction,44,14,2,25,11,33.3,Scavenging By Class A Receptors; Basement Membrane Organization; Collagen Chain Trimerization,22.04,NA
Comprehensive,standard,union,Union,120,13,1,15.8,19,16,Scavenging By Class A Receptors; Developmental Cell Lineages Of T...; Collagen Biosynthesis And Modify...,11.78,NA
Comprehensive,standard,directional,Sig Both Up,4,NA,NA,NA,NA,NA,NA,NA,NA
Comprehensive,standard,directional,Sig Both Down,2,NA,NA,NA,NA,NA,NA,NA,NA
Comprehensive,standard,directional,Sig Young Up,34,0,0,0,0,0,NA,NA,NA
Comprehensive,standard,directional,Sig Young Down,34,0,0,0,0,0,NA,NA,NA
Comprehensive,standard,directional,Sig Old Up,4,NA,NA,NA,NA,NA,NA,NA,NA
Comprehensive,standard,directional,Sig Old Down,8,0,0,0,0,0,NA,NA,NA
Comprehensive,standard,directional,Interaction,44,14,2,25,11,33.3,Scavenging By Class A Receptors; Basement Membrane Organization; Collagen Chain Trimerization,22.04,NA
GO Slim + Hallmark,none,per_contrast,Training_Young,109,3,1,20.2,22,22.4,Extracellular Matrix Organization; Epithelial Mesenchymal Transition; Microtubule-Based Movement,5.94,NA
GO Slim + Hallmark,none,per_contrast,Training_Old,18,0,0,0,0,0,NA,NA,NA
GO Slim + Hallmark,none,per_contrast,Interaction,44,3,2,18.2,8,24.2,Extracellular Matrix Organization; UV Response Dn; Epithelial Mesenchymal Transition,14.84,NA
GO Slim + Hallmark,none,union,Union,120,3,1,20,24,20.2,Extracellular Matrix Organization; Epithelial Mesenchymal Transition; Microtubule-Based Movement,4.75,NA
GO Slim + Hallmark,none,directional,Sig Both Up,4,NA,NA,NA,NA,NA,NA,NA,NA
GO Slim + Hallmark,none,directional,Sig Both Down,2,NA,NA,NA,NA,NA,NA,NA,NA
GO Slim + Hallmark,none,directional,Sig Young Up,34,1,0,17.6,6,17.6,Microtubule-Based Movement,10.45,NA
GO Slim + Hallmark,none,directional,Sig Young Down,34,0,0,0,0,0,NA,NA,NA
GO Slim + Hallmark,none,directional,Sig Old Up,4,NA,NA,NA,NA,NA,NA,NA,NA
GO Slim + Hallmark,none,directional,Sig Old Down,8,0,0,0,0,0,NA,NA,NA
GO Slim + Hallmark,none,directional,Interaction,44,3,2,18.2,8,24.2,Extracellular Matrix Organization; UV Response Dn; Epithelial Mesenchymal Transition,14.84,NA
GO Slim + Hallmark,light,per_contrast,Training_Young,109,3,1,20.2,22,22.4,Extracellular Matrix Organization; Epithelial Mesenchymal Transition; Microtubule-Based Movement,5.94,NA
GO Slim + Hallmark,light,per_contrast,Training_Old,18,0,0,0,0,0,NA,NA,NA
GO Slim + Hallmark,light,per_contrast,Interaction,44,3,2,18.2,8,24.2,Extracellular Matrix Organization; UV Response Dn; Epithelial Mesenchymal Transition,14.84,NA
GO Slim + Hallmark,light,union,Union,120,3,1,20,24,20.2,Extracellular Matrix Organization; Epithelial Mesenchymal Transition; Microtubule-Based Movement,4.75,NA
GO Slim + Hallmark,light,directional,Sig Both Up,4,NA,NA,NA,NA,NA,NA,NA,NA
GO Slim + Hallmark,light,directional,Sig Both Down,2,NA,NA,NA,NA,NA,NA,NA,NA
GO Slim + Hallmark,light,directional,Sig Young Up,34,1,0,17.6,6,17.6,Microtubule-Based Movement,10.45,NA
GO Slim + Hallmark,light,directional,Sig Young Down,34,0,0,0,0,0,NA,NA,NA
GO Slim + Hallmark,light,directional,Sig Old Up,4,NA,NA,NA,NA,NA,NA,NA,NA
GO Slim + Hallmark,light,directional,Sig Old Down,8,0,0,0,0,0,NA,NA,NA
GO Slim + Hallmark,light,directional,Interaction,44,3,2,18.2,8,24.2,Extracellular Matrix Organization; UV Response Dn; Epithelial Mesenchymal Transition,14.84,NA
GO Slim + Hallmark,standard,per_contrast,Training_Young,109,3,1,20.2,22,22.4,Extracellular Matrix Organization; Epithelial Mesenchymal Transition; Microtubule-Based Movement,5.94,NA
GO Slim + Hallmark,standard,per_contrast,Training_Old,18,0,0,0,0,0,NA,NA,NA
GO Slim + Hallmark,standard,per_contrast,Interaction,44,3,2,18.2,8,24.2,Extracellular Matrix Organization; UV Response Dn; Epithelial Mesenchymal Transition,14.84,NA
GO Slim + Hallmark,standard,union,Union,120,3,1,20,24,20.2,Extracellular Matrix Organization; Epithelial Mesenchymal Transition; Microtubule-Based Movement,4.75,NA
GO Slim + Hallmark,standard,directional,Sig Both Up,4,NA,NA,NA,NA,NA,NA,NA,NA
GO Slim + Hallmark,standard,directional,Sig Both Down,2,NA,NA,NA,NA,NA,NA,NA,NA
GO Slim + Hallmark,standard,directional,Sig Young Up,34,1,0,17.6,6,17.6,Microtubule-Based Movement,10.45,NA
GO Slim + Hallmark,standard,directional,Sig Young Down,34,0,0,0,0,0,NA,NA,NA
GO Slim + Hallmark,standard,directional,Sig Old Up,4,NA,NA,NA,NA,NA,NA,NA,NA
GO Slim + Hallmark,standard,directional,Sig Old Down,8,0,0,0,0,0,NA,NA,NA
GO Slim + Hallmark,standard,directional,Interaction,44,3,2,18.2,8,24.2,Extracellular Matrix Organization; UV Response Dn; Epithelial Mesenchymal Transition,14.84,NA
Full,none,per_contrast,Training_Young,109,23,2,23.9,26,26.5,Scavenging By Class A Receptors; Collagen Chain Trimerization; Collagen Biosynthesis And Modify...,12,NA
Full,none,per_contrast,Training_Old,18,0,0,0,0,0,NA,NA,NA
Full,none,per_contrast,Interaction,44,18,2,25,11,33.3,Scavenging By Class A Receptors; Basement Membrane Organization; Collagen Chain Trimerization,22.99,NA
Full,none,union,Union,120,18,1,15.8,19,16,Scavenging By Class A Receptors; Collagen Chain Trimerization; Developmental Cell Lineages Of T...,11.55,NA
Full,none,directional,Sig Both Up,4,NA,NA,NA,NA,NA,NA,NA,NA
Full,none,directional,Sig Both Down,2,NA,NA,NA,NA,NA,NA,NA,NA
Full,none,directional,Sig Young Up,34,0,0,0,0,0,NA,NA,NA
Full,none,directional,Sig Young Down,34,0,0,0,0,0,NA,NA,NA
Full,none,directional,Sig Old Up,4,NA,NA,NA,NA,NA,NA,NA,NA
Full,none,directional,Sig Old Down,8,0,0,0,0,0,NA,NA,NA
Full,none,directional,Interaction,44,18,2,25,11,33.3,Scavenging By Class A Receptors; Basement Membrane Organization; Collagen Chain Trimerization,22.99,NA
Full,light,per_contrast,Training_Young,109,15,1,22.9,25,25.5,Scavenging By Class A Receptors; Collagen Biosynthesis And Modify...; Collagen Fibril Organization,11.91,NA
Full,light,per_contrast,Training_Old,18,0,0,0,0,0,NA,NA,NA
Full,light,per_contrast,Interaction,44,12,2,25,11,33.3,Scavenging By Class A Receptors; Basement Membrane Organization; Collagen Chain Trimerization,22.99,NA
Full,light,union,Union,120,11,1,15.8,19,16,Scavenging By Class A Receptors; Developmental Cell Lineages Of T...; Collagen Biosynthesis And Modify...,10.38,NA
Full,light,directional,Sig Both Up,4,NA,NA,NA,NA,NA,NA,NA,NA
Full,light,directional,Sig Both Down,2,NA,NA,NA,NA,NA,NA,NA,NA
Full,light,directional,Sig Young Up,34,0,0,0,0,0,NA,NA,NA
Full,light,directional,Sig Young Down,34,0,0,0,0,0,NA,NA,NA
Full,light,directional,Sig Old Up,4,NA,NA,NA,NA,NA,NA,NA,NA
Full,light,directional,Sig Old Down,8,0,0,0,0,0,NA,NA,NA
Full,light,directional,Interaction,44,12,2,25,11,33.3,Scavenging By Class A Receptors; Basement Membrane Organization; Collagen Chain Trimerization,22.99,NA
Full,standard,per_contrast,Training_Young,109,19,2,23.9,26,26.5,Scavenging By Class A Receptors; Collagen Biosynthesis And Modify...; Collagen Fibril Organization,11.91,NA
Full,standard,per_contrast,Training_Old,18,0,0,0,0,0,NA,NA,NA
Full,standard,per_contrast,Interaction,44,14,2,25,11,33.3,Scavenging By Class A Receptors; Basement Membrane Organization; Collagen Chain Trimerization,22.99,NA
Full,standard,union,Union,120,13,1,15.8,19,16,Scavenging By Class A Receptors; Developmental Cell Lineages Of T...; Collagen Biosynthesis And Modify...,11.78,NA
Full,standard,directional,Sig Both Up,4,NA,NA,NA,NA,NA,NA,NA,NA
Full,standard,directional,Sig Both Down,2,NA,NA,NA,NA,NA,NA,NA,NA
Full,standard,directional,Sig Young Up,34,0,0,0,0,0,NA,NA,NA
Full,standard,directional,Sig Young Down,34,0,0,0,0,0,NA,NA,NA
Full,standard,directional,Sig Old Up,4,NA,NA,NA,NA,NA,NA,NA,NA
Full,standard,directional,Sig Old Down,8,0,0,0,0,0,NA,NA,NA
Full,standard,directional,Interaction,44,14,2,25,11,33.3,Scavenging By Class A Receptors; Basement Membrane Organization; Collagen Chain Trimerization,22.99,NA
