gene,go_slim_category,reactome_category,kappa_category
MYH13,Muscle & Contractile,Other,TIGHT JUNCTION
MYH2,Muscle & Contractile,Immune System,Other
MYH3,Metabolism,Muscle contraction,TIGHT JUNCTION
MYL1,Muscle & Contractile,Muscle contraction,G13 SIGNALING
MYOF,ECM & Adhesion,Other,Other
MYOM1,Cytoskeleton & Motility,Other,MUSCLE CONTRACTION
MYOM2,Muscle & Contractile,Other,Other
MYOM3,Cytoskeleton & Motility,Other,Other
MYOZ1,ECM & Adhesion,Other,Other
NAE1,DNA & Cell Cycle,Metabolism of proteins,POST TRANSLATIONAL PROTEIN MODIFICATION
NAMPT,Metabolism,Other,BMAL1 CLOCK NPAS2 ACTIVATES CIRCADIAN EXPRESSION
NARS1,Gene Expression,Metabolism of proteins,MIRTARGETED GENES IN LYMPHOCYTES
NAXD,Metabolism,Metabolism,Other
NCL,Gene Expression,Metabolism of RNA,AURORA B PATHWAY
NDUFA1,Mitochondria & Energy,Metabolism,AEROBIC RESPIRATION AND RESPIRATORY ELECTRON TRANS
NDUFA11,Mitochondria & Energy,Metabolism,AEROBIC RESPIRATION AND RESPIRATORY ELECTRON TRANS
NEB,Cytoskeleton & Motility,Muscle contraction,MUSCLE CONTRACTION
NEXN,ECM & Adhesion,Other,VEGFAVEGFR2 SIGNALING
NGLY1,Protein Homeostasis,Metabolism of proteins,Other
NRAP,Cytoskeleton & Motility,Other,Other
NT5C1A,Metabolism,Metabolism,PURINE METABOLISM
NXN,Metabolism,Other,MIRTARGETED GENES IN LYMPHOCYTES
OBSCN,Gene Expression,ST: Death Receptor Signaling,CELL DEATH SIGNALLING VIA NRAGE NRIF AND NADE
OTUB1,DNA & Cell Cycle,Metabolism of proteins,POST TRANSLATIONAL PROTEIN MODIFICATION
PCCB,Metabolism,Metabolism of proteins,BIOTIN TRANSPORT AND METABOLISM
PCYT2,Metabolism,Metabolism,GLYCEROPHOSPHOLIPID BIOSYNTHESIS
PDLIM1,Cytoskeleton & Motility,Other,Other
PDLIM5,ECM & Adhesion,Other,Other
PGM5,Metabolism,Other,Other
PHKA2,Metabolism,Metabolism,CALCIUM SIGNALING PATHWAY
PHKB,Metabolism,Metabolism,CALCIUM SIGNALING PATHWAY
PHPT1,Cytoskeleton & Motility,Other,Other
PLEC,DNA & Cell Cycle,Programmed Cell Death,TYPE I HEMIDESMOSOME ASSEMBLY
PLIN5,Metabolism,Other,Other
PNPO,Metabolism,Metabolism,GLYCINE METABOLISM INCLUDING IMDS
PPIA,Protein Homeostasis,Hemostasis,Other
PPP1R3A,Metabolism,Other,INSULIN SIGNALING PATHWAY
PRDX6,Gene Expression,Cellular responses to stimuli,Other
PREX1,ECM & Adhesion,ST: Death Receptor Signaling,CELL DEATH SIGNALLING VIA NRAGE NRIF AND NADE
PRUNE1,Protein Homeostasis,Other,PURINE METABOLISM
PSAP,Protein Homeostasis,ST: Signaling by GPCR,CLASS A 1 RHODOPSIN LIKE RECEPTORS
PSMD14,DNA & Cell Cycle,ST: Signaling by Hedgehog,Other
PSMD7,Protein Homeostasis,ST: Signaling by Hedgehog,Other
RBM3,Gene Expression,Other,Other
RNF114,Protein Homeostasis,Immune System,Other
RPL10,Gene Expression,Metabolism of RNA,CELLULAR RESPONSES TO STIMULI
RPL22,Gene Expression,Metabolism of RNA,CELLULAR RESPONSES TO STIMULI
RPL23,Transport,Metabolism of RNA,17Q12 COPY NUMBER VARIATION SYNDROME
RPL23A,Gene Expression,Metabolism of RNA,CELLULAR RESPONSES TO STIMULI
RPL24,DNA & Cell Cycle,Metabolism of RNA,CELLULAR RESPONSES TO STIMULI
RPL27A,Gene Expression,Metabolism of RNA,GAMMA CARBOXYLATION HYPUSINYLATION HYDROXYLATION A
RPL32,Gene Expression,Metabolism of RNA,CELLULAR RESPONSES TO STIMULI
RPL34,Gene Expression,Metabolism of RNA,CELLULAR RESPONSES TO STIMULI
RPL35,Gene Expression,Metabolism of RNA,CELLULAR RESPONSES TO STIMULI
RPL35A,Gene Expression,Metabolism of RNA,CELLULAR RESPONSES TO STIMULI
RPL37A,Gene Expression,Metabolism of RNA,CELLULAR RESPONSES TO STIMULI
RPL38,Gene Expression,Metabolism of RNA,MESODERMAL COMMITMENT PATHWAY
RPS10,Gene Expression,Metabolism of RNA,CELLULAR RESPONSES TO STIMULI
RPS15,Transport,Metabolism of RNA,CELLULAR RESPONSES TO STIMULI
RPS19,Gene Expression,Metabolism of RNA,Other
RPS21,Gene Expression,Metabolism of RNA,CELLULAR RESPONSES TO STIMULI
RPS23,Gene Expression,Metabolism of RNA,GAMMA CARBOXYLATION HYPUSINYLATION HYDROXYLATION A
RPS27A,Gene Expression,Other,DEACTIVATION OF THE BETA CATENIN TRANSACTIVATING C
RPS3A,Gene Expression,Metabolism of RNA,CELLULAR RESPONSES TO STIMULI
RPS7,Gene Expression,Metabolism of RNA,RRNA MODIFICATION IN THE NUCLEUS AND CYTOSOL
S100A13,Transport,Other,Other
SCO1,Mitochondria & Energy,Metabolism,Other
SLC25A11,Metabolism,Transport of small molecules,SLC MEDIATED TRANSMEMBRANE TRANSPORT
SLC25A46,Protein Homeostasis,Other,SLC25A46 PATHWAY
SLC27A1,Transport,Transport of small molecules,SLC MEDIATED TRANSMEMBRANE TRANSPORT
SNRPD3,Gene Expression,Gene expression (Transcription),MRNA PROCESSING
SNTA1,ECM & Adhesion,Extracellular matrix organization,Other
SOD2,Metabolism,Organelle biogenesis and maintenance,DEFECTIVE INTRINSIC PATHWAY FOR APOPTOSIS
SPAG9,Transport,Developmental Biology,MYOGENESIS
SPEG,Gene Expression,Other,Other
SQSTM1,Transport,ST: Death Receptor Signaling,Other
STBD1,Protein Homeostasis,"ST: Signaling by Rho GTPases, Miro GTPases and RHOBTB3",EXERCISEINDUCED CIRCADIAN REGULATION
SYNE2,Cytoskeleton & Motility,Cell Cycle,Other
SYNM,Muscle & Contractile,Other,Other
SYNPO2,Cytoskeleton & Motility,Other,Other
SYNPO2L,Cytoskeleton & Motility,Other,Other
TGM2,Gene Expression,Other,IL18 SIGNALING
THRB,Gene Expression,Gene expression (Transcription),INSULIN SIGNALING PATHWAY
TLN2,ECM & Adhesion,Other,Other
TMEM38A,Transport,Other,Other
TMOD4,Muscle & Contractile,Muscle contraction,MUSCLE CONTRACTION
TMX2,Development,Other,Other
TNNI2,Other,Muscle contraction,MUSCLE CONTRACTION
TNNT3,Muscle & Contractile,Muscle contraction,MUSCLE CONTRACTION
TPM1,ECM & Adhesion,Muscle contraction,SMOOTH MUSCLE CONTRACTION
TPM2,Muscle & Contractile,Muscle contraction,SMOOTH MUSCLE CONTRACTION
TPM4,Muscle & Contractile,"ST: Signaling by Rho GTPases, Miro GTPases and RHOBTB3",Other
TRIM54,Immune & Inflammation,Other,Other
TST,Transport,Metabolism,DEGRADATION OF CYSTEINE AND HOMOCYSTEINE
TTN,DNA & Cell Cycle,Hemostasis,CARDIOMYOCYTE SIGNALING CONVERGING ON TITIN
TYMP,Metabolism,Metabolism,Other
UBE2K,Immune & Inflammation,Immune System,Other
UCHL1,Cytoskeleton & Motility,Metabolism of proteins,ALPHA SYNUCLEIN PATHWAY
UTP15,Gene Expression,Metabolism of RNA,RRNA MODIFICATION IN THE NUCLEUS AND CYTOSOL
VAPB,Transport,"ST: Signaling by Rho GTPases, Miro GTPases and RHOBTB3",Other
VIM,Gene Expression,Autophagy,RHOBTB GTPASE CYCLE
XIRP1,Cytoskeleton & Motility,Other,Other
YWHAZ,ECM & Adhesion,Other,DEACTIVATION OF THE BETA CATENIN TRANSACTIVATING C
FSD2,Other,Other,Other
VWA8,Other,Other,Other
CA3,Other,Metabolism,Other
TPSB2,Other,Other,Other
PVALB,Other,Gene expression (Transcription),Other
MAOA,Other,Immune System,NEUROTRANSMITTER RELEASE CYCLE
EEF1G,Other,Metabolism of proteins,TRANSLATION FACTORS
TMPO,Other,Cell Cycle,INITIATION OF NUCLEAR ENVELOPE NE REFORMATION
SUOX,Other,Metabolism,DEGRADATION OF CYSTEINE AND HOMOCYSTEINE
EEFSEC,Other,Metabolism,SELENIUM METABOLISM AND SELENOPROTEINS
MRPS36,Other,Other,Other
SCRN3,Other,Other,Other
SELENBP1,Other,Other,SELENIUM METABOLISM AND SELENOPROTEINS
IBA57,Other,Other,GLYCINE METABOLISM INCLUDING IMDS
BZW1,Other,Other,Other
PYURF,Other,Metabolism,AEROBIC RESPIRATION AND RESPIRATORY ELECTRON TRANS
TMX3,Other,Hemostasis,HEMOSTASIS
PLIN4,Other,Other,EPIGENETIC REGULATION BY WDR5 CONTAINING HISTONE M
PLIN2,Other,Autophagy,EPIGENETIC REGULATION BY WDR5 CONTAINING HISTONE M
MRPL9,Other,Metabolism of proteins,CELLULAR RESPONSES TO STIMULI
JPT2,Other,Other,Other
TES,Other,Other,Other
