set_name,cluster_id,representative_term,cluster_label,n_member_terms,n_genes,member_terms_list
SP_011_ARF_3PATHWAY,11,PID_ARF_3PATHWAY,ARF 3PATHWAY,2,29,BIOCARTA_ARAP_PATHWAY; PID_ARF_3PATHWAY
SP_012_ARENRF2_PATHWAY,12,BIOCARTA_ARENRF2_PATHWAY,ARENRF2 PATHWAY,2,30,BIOCARTA_ARENRF2_PATHWAY; WP_QUERCETIN_AND_NFKB_AP1_INDUCED_APOPTOSIS
SP_013_CTCF_PATHWAY,13,BIOCARTA_CTCF_PATHWAY,CTCF PATHWAY,2,34,BIOCARTA_ARF_PATHWAY; BIOCARTA_CTCF_PATHWAY
SP_014_ALLOGRAFT_REJECTION,14,WP_ALLOGRAFT_REJECTION,ALLOGRAFT REJECTION,14,161,BIOCARTA_ASBCELL_PATHWAY; BIOCARTA_BBCELL_PATHWAY; BIOCARTA_BLYMPHOCYTE_PATHWAY; BIOCARTA_EOSINOPHILS_PATHWAY; BIOCARTA_IL5_PATHWAY; BIOCARTA_MHC_PATHWAY; BIOCARTA_TH1TH2_PATHWAY; KEGG_ALLOGRAFT_REJECTION; KEGG_ASTHMA; KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION
SP_015_GASTRIN_SIGNALING,15,WP_GASTRIN_SIGNALING,GASTRIN SIGNALING,45,479,BIOCARTA_AT1R_PATHWAY; BIOCARTA_BCR_PATHWAY; BIOCARTA_BIOPEPTIDES_PATHWAY; BIOCARTA_EGF_PATHWAY; BIOCARTA_EPO_PATHWAY; BIOCARTA_FCER1_PATHWAY; BIOCARTA_FMLP_PATHWAY; BIOCARTA_GH_PATHWAY; BIOCARTA_GLEEVEC_PATHWAY; BIOCARTA_GPCR_PATHWAY
SP_016_DNA_IRDAMAGE_AND_CELLULAR_RESPONSE_VIA_ATR,16,WP_DNA_IRDAMAGE_AND_CELLULAR_RESPONSE_VIA_ATR,DNA IRDAMAGE AND CELLULAR RESPONSE VIA ATR,5,130,BIOCARTA_ATM_PATHWAY; PID_ATM_PATHWAY; WP_ATM_SIGNALING; WP_DNA_IRDAMAGE_AND_CELLULAR_RESPONSE_VIA_ATR; WP_DNA_IRDOUBLE_STRAND_BREAKS_AND_CELLULAR_RESPONSE_VIA_ATM
SP_017_FANCONI_PATHWAY,17,PID_FANCONI_PATHWAY,FANCONI PATHWAY,6,97,BIOCARTA_ATRBRCA_PATHWAY; KEGG_MEDICUS_REFERENCE_FANCONI_ANEMIA_PATHWAY; PID_BARD1_PATHWAY; PID_FANCONI_PATHWAY; REACTOME_FANCONI_ANEMIA_PATHWAY; WP_FANCONI_ANEMIA
SP_018_BARRESTIN_SRC_PATHWAY,18,BIOCARTA_BARRESTIN_SRC_PATHWAY,BARRESTIN SRC PATHWAY,3,20,BIOCARTA_BARR_MAPK_PATHWAY; BIOCARTA_BARRESTIN_PATHWAY; BIOCARTA_BARRESTIN_SRC_PATHWAY
SP_019_BCELLSURVIVAL_PATHWAY,19,BIOCARTA_BCELLSURVIVAL_PATHWAY,BCELLSURVIVAL PATHWAY,1,15,BIOCARTA_BCELLSURVIVAL_PATHWAY
SP_020_BTG2_PATHWAY,20,BIOCARTA_BTG2_PATHWAY,BTG2 PATHWAY,1,11,BIOCARTA_BTG2_PATHWAY
SP_021_HDAC_PATHWAY,21,BIOCARTA_HDAC_PATHWAY,HDAC PATHWAY,13,90,BIOCARTA_CALCINEURIN_PATHWAY; BIOCARTA_HDAC_PATHWAY; BIOCARTA_MEF2D_PATHWAY; BIOCARTA_NDKDYNAMIN_PATHWAY; BIOCARTA_PGC1A_PATHWAY; KEGG_MEDICUS_PATHOGEN_HCMV_US28_TO_GNAQ_PLCB_G_CALCINEURIN_SIGNALING_PATHWAY; KEGG_MEDICUS_REFERENCE_BCR_PLCG_CALCINEURIN_SIGNALING_PATHWAY; KEGG_MEDICUS_REFERENCE_CA2_CAM_CN_SIGNALING_PATHWAY; KEGG_MEDICUS_REFERENCE_CXCR4_GNAQ_PLCB_G_CALCINEURIN_SIGNALING_PATHWAY; KEGG_MEDICUS_REFERENCE_EGF_EGFR_PLCG_CALCINEURIN_SIGNALING_PATHWAY
SP_022_CARDIACEGF_PATHWAY,22,BIOCARTA_CARDIACEGF_PATHWAY,CARDIACEGF PATHWAY,2,30,BIOCARTA_CARDIACEGF_PATHWAY; BIOCARTA_CCR5_PATHWAY
SP_023_CARM_ER_PATHWAY,23,BIOCARTA_CARM_ER_PATHWAY,CARM ER PATHWAY,1,26,BIOCARTA_CARM_ER_PATHWAY
SP_024_APOPTOSIS_MODULATION_AND_SIGNALING,24,WP_APOPTOSIS_MODULATION_AND_SIGNALING,APOPTOSIS MODULATION AND SIGNALING,11,205,BIOCARTA_CASPASE_PATHWAY; BIOCARTA_D4GDI_PATHWAY; BIOCARTA_DEATH_PATHWAY; BIOCARTA_FAS_PATHWAY; BIOCARTA_TNFR1_PATHWAY; KEGG_APOPTOSIS; PID_CASPASE_PATHWAY; SA_CASPASE_CASCADE; WP_APOPTOSIS; WP_APOPTOSIS_MODULATION_AND_SIGNALING
SP_025_CBL_PATHWAY,25,BIOCARTA_CBL_PATHWAY,CBL PATHWAY,1,12,BIOCARTA_CBL_PATHWAY
SP_026_SEROTONIN_HTR1_GROUP_AND_FOS_PATHWAY,26,WP_SEROTONIN_HTR1_GROUP_AND_FOS_PATHWAY,SEROTONIN HTR1 GROUP AND FOS PATHWAY,68,258,BIOCARTA_CCR3_PATHWAY; BIOCARTA_CDK5_PATHWAY; BIOCARTA_CDMAC_PATHWAY; BIOCARTA_CXCR4_PATHWAY; BIOCARTA_ERK_PATHWAY; BIOCARTA_MAL_PATHWAY; BIOCARTA_SPPA_PATHWAY; BIOCARTA_SPRY_PATHWAY; KEGG_DORSO_VENTRAL_AXIS_FORMATION; KEGG_MEDICUS_ENV_FACTOR_E2_TO_RAS_ERK_SIGNALING_PATHWAY
SP_027_CELL2CELL_PATHWAY,27,BIOCARTA_CELL2CELL_PATHWAY,CELL2CELL PATHWAY,1,12,BIOCARTA_CELL2CELL_PATHWAY
SP_028_CYCLIN_D_ASSOCIATED_EVENTS_IN_G1,28,REACTOME_CYCLIN_D_ASSOCIATED_EVENTS_IN_G1,CYCLIN D ASSOCIATED EVENTS IN G1,18,83,BIOCARTA_CELLCYCLE_PATHWAY; BIOCARTA_G1_PATHWAY; BIOCARTA_P27_PATHWAY; BIOCARTA_SKP2E2F_PATHWAY; KEGG_MEDICUS_PATHOGEN_EBV_EBNA3C_TO_P27_CELL_CYCLE_G1_S_N00264; KEGG_MEDICUS_REFERENCE_MDM2_P21_CELL_CYCLE_G1_S_N00066; KEGG_MEDICUS_REFERENCE_MDM2_P21_CELL_CYCLE_G1_S_N00536; KEGG_MEDICUS_REFERENCE_P15_CELL_CYCLE_G1_S; KEGG_MEDICUS_REFERENCE_P16_CELL_CYCLE_G1_S; KEGG_MEDICUS_REFERENCE_P27_CELL_CYCLE_G1_S
SP_029_KERATINOCYTE_PATHWAY,29,BIOCARTA_KERATINOCYTE_PATHWAY,KERATINOCYTE PATHWAY,9,101,BIOCARTA_CERAMIDE_PATHWAY; BIOCARTA_KERATINOCYTE_PATHWAY; BIOCARTA_SODD_PATHWAY; KEGG_MEDICUS_REFERENCE_EXTRINSIC_APOPTOTIC_PATHWAY; KEGG_MEDICUS_REFERENCE_TNF_JNK_SIGNALING_PATHWAY; KEGG_MEDICUS_REFERENCE_TNF_P38_SIGNALING_PATHWAY; PID_CERAMIDE_PATHWAY; WP_NANOPARTICLE_TRIGGERED_REGULATED_NECROSIS; WP_PROSURVIVAL_SIGNALING_OF_NEUROPROTECTIN_D1
SP_030_HOSTPATHOGEN_INTERACTION_OF_HUMAN_CORONAVIRUSES_APOPTOSIS,30,WP_HOSTPATHOGEN_INTERACTION_OF_HUMAN_CORONAVIRUSES_APOPTOSIS,HOSTPATHOGEN INTERACTION OF HUMAN CORONAVIRUSES APOPTOSIS,13,79,BIOCARTA_CHEMICAL_PATHWAY; BIOCARTA_HSP27_PATHWAY; BIOCARTA_MITOCHONDRIA_PATHWAY; KEGG_MEDICUS_REFERENCE_CROSSTALK_BETWEEN_EXTRINSIC_AND_INTRINSIC_APOPTOTIC_PATHWAYS; KEGG_MEDICUS_REFERENCE_INTRINSIC_APOPTOTIC_PATHWAY; KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_ABETA_TO_CROSSTALK_BETWEEN_EXTRINSIC_AND_INTRINSIC_APOPTOTIC_PATHWAYS; REACTOME_APOPTOTIC_FACTOR_MEDIATED_RESPONSE; REACTOME_CYTOCHROME_C_MEDIATED_APOPTOTIC_RESPONSE; REACTOME_FORMATION_OF_APOPTOSOME; SA_PROGRAMMED_CELL_DEATH
SP_031_1Q211_COPY_NUMBER_VARIATION_SYNDROME,31,WP_1Q211_COPY_NUMBER_VARIATION_SYNDROME,1Q211 COPY NUMBER VARIATION SYNDROME,9,97,BIOCARTA_CHREBP_PATHWAY; BIOCARTA_LEPTIN_PATHWAY; REACTOME_ACTIVATION_OF_PPARGC1A_PGC_1ALPHA_BY_PHOSPHORYLATION; WP_1Q211_COPY_NUMBER_VARIATION_SYNDROME; WP_AGERELATED_MACULAR_DEGENERATION; WP_AMPK_REGULATION_OF_MAMMARY_MILK_PROTEIN_SYNTHESIS; WP_BEMPEDOIC_ACID_THERAPY_IN_ATHEROSCLEROSIS_AND_METABOLIC_SYNDROME; WP_LEPTIN_AND_ADIPONECTIN; WP_LIPID_METABOLISM_PATHWAY
SP_032_COMPLEMENT_SYSTEM_IN_NEURONAL_DEVELOPMENT_AND_PLASTICITY,32,WP_COMPLEMENT_SYSTEM_IN_NEURONAL_DEVELOPMENT_AND_PLASTICITY,COMPLEMENT SYSTEM IN NEURONAL DEVELOPMENT AND PLASTICITY,10,198,BIOCARTA_CLASSIC_PATHWAY; BIOCARTA_COMP_PATHWAY; BIOCARTA_LECTIN_PATHWAY; KEGG_COMPLEMENT_AND_COAGULATION_CASCADES; WP_COMPLEMENT_ACTIVATION; WP_COMPLEMENT_AND_COAGULATION_CASCADES; WP_COMPLEMENT_SYSTEM; WP_COMPLEMENT_SYSTEM_IN_NEURONAL_DEVELOPMENT_AND_PLASTICITY; WP_COMPLEMENTMEDIATED_INFLAMMATION_OF_PULMONARY_ALVEOLUS_IN_COVID19_HYPOTHETICAL_PATHWAY; WP_DENGUE2_INTERACTIONS_WITH_COMPLEMENT_AND_COAGULATION_CASCADES
SP_033_TRANSPORT_OF_MATURE_TRANSCRIPT_TO_CYTOPLASM,33,REACTOME_TRANSPORT_OF_MATURE_TRANSCRIPT_TO_CYTOPLASM,TRANSPORT OF MATURE TRANSCRIPT TO CYTOPLASM,5,104,BIOCARTA_CPSF_PATHWAY; REACTOME_PROCESSING_OF_CAPPED_INTRONLESS_PRE_MRNA; REACTOME_PROCESSING_OF_INTRONLESS_PRE_MRNAS; REACTOME_RNA_POLYMERASE_II_TRANSCRIPTION_TERMINATION; REACTOME_TRANSPORT_OF_MATURE_TRANSCRIPT_TO_CYTOPLASM
SP_034_GENERATION_OF_SECOND_MESSENGER_MOLECULES,34,REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES,GENERATION OF SECOND MESSENGER MOLECULES,12,106,BIOCARTA_CSK_PATHWAY; BIOCARTA_CTL_PATHWAY; BIOCARTA_CTLA4_PATHWAY; BIOCARTA_IL17_PATHWAY; BIOCARTA_TCRA_PATHWAY; BIOCARTA_TCYTOTOXIC_PATHWAY; BIOCARTA_THELPER_PATHWAY; KEGG_MEDICUS_REFERENCE_TCR_PLCG_ITPR_SIGNALING_PATHWAY; REACTOME_CO_INHIBITION_BY_PD_1; REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES
SP_035_INFLAM_PATHWAY,35,BIOCARTA_INFLAM_PATHWAY,INFLAM PATHWAY,6,52,BIOCARTA_CYTOKINE_PATHWAY; BIOCARTA_DC_PATHWAY; BIOCARTA_ERYTH_PATHWAY; BIOCARTA_INFLAM_PATHWAY; BIOCARTA_STEM_PATHWAY; WP_CYTOKINES_AND_INFLAMMATORY_RESPONSE
SP_036_APOPTOSIS_INDUCED_DNA_FRAGMENTATION,36,REACTOME_APOPTOSIS_INDUCED_DNA_FRAGMENTATION,APOPTOSIS INDUCED DNA FRAGMENTATION,3,24,BIOCARTA_DNAFRAGMENT_PATHWAY; BIOCARTA_SET_PATHWAY; REACTOME_APOPTOSIS_INDUCED_DNA_FRAGMENTATION
SP_037_SIG_BCR_SIGNALING_PATHWAY,37,SIG_BCR_SIGNALING_PATHWAY,SIG BCR SIGNALING PATHWAY,13,153,BIOCARTA_ECM_PATHWAY; BIOCARTA_ERK5_PATHWAY; BIOCARTA_HER2_PATHWAY; BIOCARTA_PTEN_PATHWAY; BIOCARTA_TFF_PATHWAY; BIOCARTA_TRKA_PATHWAY; PID_LYMPH_ANGIOGENESIS_PATHWAY; REACTOME_SIGNAL_ATTENUATION; SA_PTEN_PATHWAY; SA_TRKA_RECEPTOR
SP_038_S1P_RECEPTOR_SIGNAL_TRANSDUCTION,38,WP_S1P_RECEPTOR_SIGNAL_TRANSDUCTION,S1P RECEPTOR SIGNAL TRANSDUCTION,2,39,BIOCARTA_EDG1_PATHWAY; WP_S1P_RECEPTOR_SIGNAL_TRANSDUCTION
SP_039_EFP_PATHWAY,39,BIOCARTA_EFP_PATHWAY,EFP PATHWAY,1,16,BIOCARTA_EFP_PATHWAY
SP_040_EGFR_SMRTE_PATHWAY,40,BIOCARTA_EGFR_SMRTE_PATHWAY,EGFR SMRTE PATHWAY,1,11,BIOCARTA_EGFR_SMRTE_PATHWAY
SP_041_PROSTAGLANDIN_SYNTHESIS_AND_REGULATION,41,WP_PROSTAGLANDIN_SYNTHESIS_AND_REGULATION,PROSTAGLANDIN SYNTHESIS AND REGULATION,4,70,BIOCARTA_EICOSANOID_PATHWAY; REACTOME_EICOSANOID_LIGAND_BINDING_RECEPTORS; WP_PROSTAGLANDIN_SYNTHESIS_AND_REGULATION; WP_SMALL_LIGAND_GPCRS
SP_042_TRANSLATION_FACTORS,42,WP_TRANSLATION_FACTORS,TRANSLATION FACTORS,3,51,BIOCARTA_EIF_PATHWAY; WP_NSP1_FROM_SARSCOV2_INHIBITS_TRANSLATION_INITIATION_IN_THE_HOST_CELL; WP_TRANSLATION_FACTORS
SP_043_RESPONSE_OF_EIF2AK1_HRI_TO_HEME_DEFICIENCY,43,REACTOME_RESPONSE_OF_EIF2AK1_HRI_TO_HEME_DEFICIENCY,RESPONSE OF EIF2AK1 HRI TO HEME DEFICIENCY,2,21,BIOCARTA_EIF2_PATHWAY; REACTOME_RESPONSE_OF_EIF2AK1_HRI_TO_HEME_DEFICIENCY
SP_044_MTOR_SIGNALING_PATHWAY,44,KEGG_MTOR_SIGNALING_PATHWAY,MTOR SIGNALING PATHWAY,5,95,BIOCARTA_EIF4_PATHWAY; BIOCARTA_IGF1MTOR_PATHWAY; BIOCARTA_MTOR_PATHWAY; KEGG_MTOR_SIGNALING_PATHWAY; WP_TRANSLATION_INHIBITORS_IN_CHRONICALLY_ACTIVATED_PDGFRA_CELLS
SP_045_EPONFKB_PATHWAY,45,BIOCARTA_EPONFKB_PATHWAY,EPONFKB PATHWAY,1,11,BIOCARTA_EPONFKB_PATHWAY
SP_046_ERAD_PATHWAY,46,BIOCARTA_ERAD_PATHWAY,ERAD PATHWAY,1,19,BIOCARTA_ERAD_PATHWAY
SP_047_ETC_PATHWAY,47,BIOCARTA_ETC_PATHWAY,ETC PATHWAY,1,10,BIOCARTA_ETC_PATHWAY
SP_048_ETS_PATHWAY,48,BIOCARTA_ETS_PATHWAY,ETS PATHWAY,1,17,BIOCARTA_ETS_PATHWAY
SP_049_FREE_PATHWAY,49,BIOCARTA_FREE_PATHWAY,FREE PATHWAY,1,10,BIOCARTA_FREE_PATHWAY
SP_050_CYCLIN_A_B1_B2_ASSOCIATED_EVENTS_DURING_G2_M_TRANSITION,50,REACTOME_CYCLIN_A_B1_B2_ASSOCIATED_EVENTS_DURING_G2_M_TRANSITION,CYCLIN A B1 B2 ASSOCIATED EVENTS DURING G2 M TRANSITION,7,67,BIOCARTA_G2_PATHWAY; BIOCARTA_PTC1_PATHWAY; BIOCARTA_RB_PATHWAY; BIOCARTA_SRCRPTP_PATHWAY; KEGG_MEDICUS_REFERENCE_CDC25_CELL_CYCLE_G2_M; REACTOME_CYCLIN_A_B1_B2_ASSOCIATED_EVENTS_DURING_G2_M_TRANSITION; REACTOME_POLO_LIKE_KINASE_MEDIATED_EVENTS
SP_051_MBDNF_AND_PROBDNF_REGULATION_OF_GABA_NEUROTRANSMISSION,51,WP_MBDNF_AND_PROBDNF_REGULATION_OF_GABA_NEUROTRANSMISSION,MBDNF AND PROBDNF REGULATION OF GABA NEUROTRANSMISSION,3,53,BIOCARTA_GABA_PATHWAY; WP_GABA_RECEPTOR_SIGNALING; WP_MBDNF_AND_PROBDNF_REGULATION_OF_GABA_NEUROTRANSMISSION
SP_052_GHRELIN_PATHWAY,52,BIOCARTA_GHRELIN_PATHWAY,GHRELIN PATHWAY,1,13,BIOCARTA_GHRELIN_PATHWAY
SP_053_LAIR_PATHWAY,53,BIOCARTA_LAIR_PATHWAY,LAIR PATHWAY,5,28,BIOCARTA_GRANULOCYTES_PATHWAY; BIOCARTA_LAIR_PATHWAY; BIOCARTA_LYM_PATHWAY; BIOCARTA_MONOCYTE_PATHWAY; WP_CELLS_AND_MOLECULES_INVOLVED_IN_LOCAL_ACUTE_INFLAMMATORY_RESPONSE
SP_054_PS1_PATHWAY,54,PID_PS1_PATHWAY,PS1 PATHWAY,7,80,BIOCARTA_GSK3_PATHWAY; BIOCARTA_HES_PATHWAY; BIOCARTA_PITX2_PATHWAY; BIOCARTA_PS1_PATHWAY; BIOCARTA_WNT_PATHWAY; PID_PS1_PATHWAY; WP_REGULATION_OF_WNT_BCATENIN_SIGNALING_BY_SMALL_MOLECULE_COMPOUNDS
SP_055_THYROID_STIMULATING_HORMONE_TSH_SIGNALING,55,WP_THYROID_STIMULATING_HORMONE_TSH_SIGNALING,THYROID STIMULATING HORMONE TSH SIGNALING,8,137,BIOCARTA_HCMV_PATHWAY; BIOCARTA_RACCYCD_PATHWAY; BIOCARTA_RAS_PATHWAY; PID_AR_NONGENOMIC_PATHWAY; PID_CXCR3_PATHWAY; WP_4HYDROXYTAMOXIFEN_DEXAMETHASONE_AND_RETINOIC_ACIDS_REGULATION_OF_P27_EXPRESSION; WP_GNAQ_PATHWAYS_IN_PORTWINE_STAIN; WP_THYROID_STIMULATING_HORMONE_TSH_SIGNALING
SP_056_HIF_PATHWAY,56,BIOCARTA_HIF_PATHWAY,HIF PATHWAY,2,21,BIOCARTA_HIF_PATHWAY; REACTOME_REGULATION_OF_GENE_EXPRESSION_BY_HYPOXIA_INDUCIBLE_FACTOR
SP_057_THERMOGENESIS,57,WP_THERMOGENESIS,THERMOGENESIS,13,199,BIOCARTA_HSWI_SNF_PATHWAY; BIOCARTA_VDR_PATHWAY; KEGG_MEDICUS_REFERENCE_ADRB3_UCP1_SIGNALING_PATHWAY; REACTOME_ATP_DEPENDENT_CHROMATIN_REMODELERS; REACTOME_FORMATION_OF_NEURONAL_PROGENITOR_AND_NEURONAL_BAF_NPBAF_AND_NBAF; REACTOME_FORMATION_OF_THE_CANONICAL_BAF_CBAF_COMPLEX; REACTOME_FORMATION_OF_THE_EMBRYONIC_STEM_CELL_BAF_ESBAF_COMPLEX; REACTOME_FORMATION_OF_THE_NON_CANONICAL_BAF_NCBAF_COMPLEX; REACTOME_FORMATION_OF_THE_POLYBROMO_BAF_PBAF_COMPLEX; REACTOME_REGULATION_OF_MITF_M_DEPENDENT_GENES_INVOLVED_IN_PIGMENTATION
SP_058_INTERLEUKIN_20_FAMILY_SIGNALING,58,REACTOME_INTERLEUKIN_20_FAMILY_SIGNALING,INTERLEUKIN 20 FAMILY SIGNALING,5,35,BIOCARTA_IL10_PATHWAY; KEGG_MEDICUS_REFERENCE_IL10_FAMILY_TO_JAK_STAT_SIGNALING_PATHWAY; REACTOME_INTERLEUKIN_20_FAMILY_SIGNALING; WP_IL10_ANTIINFLAMMATORY_SIGNALING; WP_TYPE_III_INTERFERON_SIGNALING
SP_059_TH17_CELL_DIFFERENTIATION_PATHWAY,59,WP_TH17_CELL_DIFFERENTIATION_PATHWAY,TH17 CELL DIFFERENTIATION PATHWAY,5,120,BIOCARTA_IL12_PATHWAY; BIOCARTA_NO2IL12_PATHWAY; PID_IL12_2PATHWAY; PID_IL12_STAT4_PATHWAY; WP_TH17_CELL_DIFFERENTIATION_PATHWAY
SP_060_IL2_PI3K_PATHWAY,60,PID_IL2_PI3K_PATHWAY,IL2 PI3K PATHWAY,11,93,BIOCARTA_IL2_PATHWAY; BIOCARTA_IL7_PATHWAY; KEGG_MEDICUS_REFERENCE_IL2_FAMILY_TO_JAK_STAT_SIGNALING_PATHWAY; PID_IL2_PI3K_PATHWAY; PID_IL2_STAT5_PATHWAY; REACTOME_INTERLEUKIN_15_SIGNALING; REACTOME_INTERLEUKIN_2_SIGNALING; REACTOME_INTERLEUKIN_21_SIGNALING; WP_FOXP3_IN_COVID19; WP_IL7_SIGNALING
SP_061_IL4_2PATHWAY,61,PID_IL4_2PATHWAY,IL4 2PATHWAY,4,105,BIOCARTA_IL4_PATHWAY; PID_IL4_2PATHWAY; WP_IL19_SIGNALING; WP_IL4_SIGNALING
SP_062_LIS1_PATHWAY,62,PID_LIS1_PATHWAY,LIS1 PATHWAY,3,38,BIOCARTA_LIS1_PATHWAY; PID_LIS1_PATHWAY; WP_PAFAH1B1_COPY_NUMBER_VARIATION
SP_063_MAPK_PATHWAY,63,BIOCARTA_MAPK_PATHWAY,MAPK PATHWAY,3,90,BIOCARTA_MAPK_PATHWAY; BIOCARTA_P38MAPK_PATHWAY; WP_P38_MAPK_SIGNALING
SP_064_MCALPAIN_PATHWAY,64,BIOCARTA_MCALPAIN_PATHWAY,MCALPAIN PATHWAY,2,26,BIOCARTA_MCALPAIN_PATHWAY; BIOCARTA_UCALPAIN_PATHWAY
SP_065_DNA_REPLICATION,65,WP_DNA_REPLICATION,DNA REPLICATION,9,81,BIOCARTA_MCM_PATHWAY; KEGG_MEDICUS_REFERENCE_DNA_REPLICATION_LICENSING; KEGG_MEDICUS_REFERENCE_DNA_REPLICATION_TERMINATION; KEGG_MEDICUS_REFERENCE_PRE_IC_FORMATION; KEGG_MEDICUS_REFERENCE_TRAIP_DEPENDENT_REPLISOME_DISASSEMBLY; REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS; REACTOME_ACTIVATION_OF_THE_PRE_REPLICATIVE_COMPLEX; REACTOME_UNWINDING_OF_DNA; WP_DNA_REPLICATION
SP_066_MTA3_PATHWAY,66,BIOCARTA_MTA3_PATHWAY,MTA3 PATHWAY,1,18,BIOCARTA_MTA3_PATHWAY
