gs_name,cluster_id,n_fg_genes,cluster_label,figure
KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM,22,3,GLYCINE SERINE AND THREONINE METABOLISM,F2
KEGG_GLYCOLYSIS_GLUCONEOGENESIS,23,2,GLYCOLYSIS GLUCONEOGENESIS,F2
KEGG_GNRH_SIGNALING_PATHWAY,24,2,GNRH SIGNALING PATHWAY,F2
KEGG_MAPK_SIGNALING_PATHWAY,25,2,MAPK SIGNALING PATHWAY,F2
KEGG_MEDICUS_REFERENCE_RAB7_REGULATED_MICROTUBULE_MINUS_END_DIRECTED_TRANSPORT,26,6,MEDICUS REFERENCE RAB7 REGULATED MICROTUBULE MINUS,F2
KEGG_OXIDATIVE_PHOSPHORYLATION,27,10,OXIDATIVE PHOSPHORYLATION,F2
REACTOME_CELL_CELL_COMMUNICATION,28,4,CELL CELL COMMUNICATION,F2
REACTOME_CELLULAR_RESPONSES_TO_STIMULI,29,18,CELLULAR RESPONSES TO STIMULI,F2
REACTOME_ADAPTIVE_IMMUNE_SYSTEM,30,12,ADAPTIVE IMMUNE SYSTEM,F2
KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS,31,2,UBIQUITIN MEDIATED PROTEOLYSIS,F2
KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION,32,2,VASCULAR SMOOTH MUSCLE CONTRACTION,F2
PID_ALPHA_SYNUCLEIN_PATHWAY,33,2,ALPHA SYNUCLEIN PATHWAY,F2
PID_AP1_PATHWAY,34,2,AP1 PATHWAY,F2
PID_AR_PATHWAY,35,2,AR PATHWAY,F2
PID_CASPASE_PATHWAY,36,2,CASPASE PATHWAY,F2
PID_CMYB_PATHWAY,37,2,CMYB PATHWAY,F2
WP_MFAP5_EFFECT_ON_PERMEABILITY_AND_MOTILITY_OF_ENDOTHELIAL_CELLS_VIA_CYTOSKELETON_REARRANGEMENT,38,3,MFAP5 EFFECT ON PERMEABILITY AND MOTILITY OF ENDOT,F2
PID_ENDOTHELIN_PATHWAY,39,2,ENDOTHELIN PATHWAY,F2
WP_TYPE_I_COLLAGEN_SYNTHESIS_IN_THE_CONTEXT_OF_OSTEOGENESIS_IMPERFECTA,40,3,TYPE I COLLAGEN SYNTHESIS IN THE CONTEXT OF OSTEOG,F2
WP_BURN_WOUND_HEALING,41,7,BURN WOUND HEALING,F2
PID_LIS1_PATHWAY,42,2,LIS1 PATHWAY,F2
WP_UROTENSINIIMEDIATED_SIGNALING,43,3,UROTENSINIIMEDIATED SIGNALING,F2
PID_NCADHERIN_PATHWAY,44,2,NCADHERIN PATHWAY,F2
PID_RAC1_REG_PATHWAY,45,2,RAC1 REG PATHWAY,F2
PID_RHOA_PATHWAY,46,4,RHOA PATHWAY,F2
PID_SMAD2_3NUCLEAR_PATHWAY,47,2,SMAD2 3NUCLEAR PATHWAY,F2
REACTOME_RHO_GTPASE_EFFECTORS,48,6,RHO GTPASE EFFECTORS,F2
REACTOME_AMYLOID_FIBER_FORMATION,49,3,AMYLOID FIBER FORMATION,F2
REACTOME_APOPTOTIC_EXECUTION_PHASE,50,2,APOPTOTIC EXECUTION PHASE,F2
REACTOME_CELLULAR_RESPONSE_TO_HEAT_STRESS,51,4,CELLULAR RESPONSE TO HEAT STRESS,F2
REACTOME_AUTOPHAGY,52,5,AUTOPHAGY,F2
REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS,53,5,BINDING AND UPTAKE OF LIGANDS BY SCAVENGER RECEPTO,F2
REACTOME_BIOLOGICAL_OXIDATIONS,54,5,BIOLOGICAL OXIDATIONS,F2
REACTOME_RHOD_GTPASE_CYCLE,55,4,RHOD GTPASE CYCLE,F2
REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL,56,4,IMMUNOREGULATORY INTERACTIONS BETWEEN A LYMPHOID A,F2
REACTOME_SIGNALING_BY_GPCR,57,4,SIGNALING BY GPCR,F2
REACTOME_CELLULAR_SENESCENCE,58,2,CELLULAR SENESCENCE,F2
REACTOME_DNA_REPAIR,59,4,DNA REPAIR,F2
WP_16P112_PROXIMAL_DELETION_SYNDROME,60,3,16P112 PROXIMAL DELETION SYNDROME,F2
REACTOME_DEVELOPMENTAL_CELL_LINEAGES,61,6,DEVELOPMENTAL CELL LINEAGES,F2
REACTOME_EPIGENETIC_REGULATION_OF_GENE_EXPRESSION,62,2,EPIGENETIC REGULATION OF GENE EXPRESSION,F2
REACTOME_SIGNALING_BY_NUCLEAR_RECEPTORS,63,4,SIGNALING BY NUCLEAR RECEPTORS,F2
REACTOME_METABOLISM_OF_LIPIDS,64,4,METABOLISM OF LIPIDS,F2
REACTOME_GENE_AND_PROTEIN_EXPRESSION_BY_JAK_STAT_SIGNALING_AFTER_INTERLEUKIN_12_STIMULATION,65,2,GENE AND PROTEIN EXPRESSION BY JAK STAT SIGNALING ,F2
REACTOME_HEMOSTASIS,66,9,HEMOSTASIS,F2
REACTOME_INNATE_IMMUNE_SYSTEM,67,8,INNATE IMMUNE SYSTEM,F2
REACTOME_INTERFERON_SIGNALING,68,3,INTERFERON SIGNALING,F2
REACTOME_INTERLEUKIN_4_AND_INTERLEUKIN_13_SIGNALING,69,4,INTERLEUKIN 4 AND INTERLEUKIN 13 SIGNALING,F2
REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION,70,17,POST TRANSLATIONAL PROTEIN MODIFICATION,F2
REACTOME_METABOLISM_OF_STEROIDS,71,2,METABOLISM OF STEROIDS,F2
REACTOME_METABOLISM_OF_VITAMINS_AND_COFACTORS,72,2,METABOLISM OF VITAMINS AND COFACTORS,F2
REACTOME_MITOCHONDRIAL_PROTEIN_DEGRADATION,73,4,MITOCHONDRIAL PROTEIN DEGRADATION,F2
REACTOME_NUCLEAR_ENVELOPE_NE_REASSEMBLY,74,3,NUCLEAR ENVELOPE NE REASSEMBLY,F2
REACTOME_MUSCLE_CONTRACTION,75,13,MUSCLE CONTRACTION,F2
REACTOME_PRE_NOTCH_EXPRESSION_AND_PROCESSING,76,2,PRE NOTCH EXPRESSION AND PROCESSING,F2
REACTOME_PROTEIN_LOCALIZATION,77,3,PROTEIN LOCALIZATION,F2
REACTOME_RAB_REGULATION_OF_TRAFFICKING,78,2,RAB REGULATION OF TRAFFICKING,F2
REACTOME_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_TRANSPORT_AND_UPTAKE_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS,79,4,REGULATION OF INSULIN LIKE GROWTH FACTOR IGF TRANS,F2
REACTOME_SIGNALING_BY_RHO_GTPASES_MIRO_GTPASES_AND_RHOBTB3,80,14,SIGNALING BY RHO GTPASES MIRO GTPASES AND RHOBTB3,F2
REACTOME_RHOBTB_GTPASE_CYCLE,81,2,RHOBTB GTPASE CYCLE,F2
REACTOME_RHOV_GTPASE_CYCLE,82,2,RHOV GTPASE CYCLE,F2
REACTOME_RRNA_MODIFICATION_IN_THE_NUCLEUS_AND_CYTOSOL,83,2,RRNA MODIFICATION IN THE NUCLEUS AND CYTOSOL,F2
REACTOME_SENSORY_PERCEPTION,84,4,SENSORY PERCEPTION,F2
REACTOME_SIGNALING_BY_TGF_BETA_RECEPTOR_COMPLEX,85,3,SIGNALING BY TGF BETA RECEPTOR COMPLEX,F2
REACTOME_SIGNALING_BY_VEGF,86,2,SIGNALING BY VEGF,F2
REACTOME_SMOOTH_MUSCLE_CONTRACTION,87,4,SMOOTH MUSCLE CONTRACTION,F2
REACTOME_TRANSPORT_OF_SMALL_MOLECULES,88,5,TRANSPORT OF SMALL MOLECULES,F2
SIG_REGULATION_OF_THE_ACTIN_CYTOSKELETON_BY_RHO_GTPASES,89,3,SIG REGULATION OF THE ACTIN CYTOSKELETON BY RHO GT,F2
WP_ADHD_AND_AUTISM_ASD_PATHWAYS,90,6,ADHD AND AUTISM ASD PATHWAYS,F2
WP_AFFECTED_PATHWAYS_IN_DUCHENNE_MUSCULAR_DYSTROPHY,91,2,AFFECTED PATHWAYS IN DUCHENNE MUSCULAR DYSTROPHY,F2
WP_ALBUTEROL_AND_BUDESONIDE_THERAPY_FOR_ASTHMA,92,3,ALBUTEROL AND BUDESONIDE THERAPY FOR ASTHMA,F2
WP_ALSTROM_SYNDROME,93,2,ALSTROM SYNDROME,F2
WP_AMINO_ACID_METABOLISM,94,5,AMINO ACID METABOLISM,F2
WP_BARDETBIEDL_SYNDROME,95,2,BARDETBIEDL SYNDROME,F2
WP_CILIARY_LANDSCAPE,96,7,CILIARY LANDSCAPE,F2
WP_DISORDERS_OF_MITOCHONDRIAL_HOMEOSTATIS_DYNAMICS_PROTEIN_IMPORT_AND_QUALITY_CONTROL,97,2,DISORDERS OF MITOCHONDRIAL HOMEOSTATIS DYNAMICS PR,F2
WP_ENDODERM_DIFFERENTIATION,98,2,ENDODERM DIFFERENTIATION,F2
WP_ENDOTHELIN_PATHWAYS,99,2,ENDOTHELIN PATHWAYS,F2
WP_EXTRACELLULAR_VESICLES_IN_THE_CROSSTALK_OF_CARDIAC_CELLS,100,2,EXTRACELLULAR VESICLES IN THE CROSSTALK OF CARDIAC,F2
WP_FERROPTOSIS,101,2,FERROPTOSIS,F2
WP_FOCAL_ADHESION_PI3KAKTMTORSIGNALING,102,7,FOCAL ADHESION PI3KAKTMTORSIGNALING,F2
WP_PROSTAGLANDIN_SYNTHESIS_AND_REGULATION,103,5,PROSTAGLANDIN SYNTHESIS AND REGULATION,F2
WP_HDAC6_INTERACTIONS_IN_THE_CENTRAL_NERVOUS_SYSTEM,104,2,HDAC6 INTERACTIONS IN THE CENTRAL NERVOUS SYSTEM,F2
WP_IL18_SIGNALING,105,8,IL18 SIGNALING,F2
WP_OVERLAP_BETWEEN_SIGNAL_TRANSDUCTION_PATHWAYS_CONTRIBUTING_TO_LMNA_LAMINOPATHIES,106,3,OVERLAP BETWEEN SIGNAL TRANSDUCTION PATHWAYS CONTR,F2
WP_MAMMARY_GLAND_DEVELOPMENT_PREGNANCY_AND_LACTATION_STAGE_3_OF_4,107,2,MAMMARY GLAND DEVELOPMENT PREGNANCY AND LACTATION ,F2
WP_METHIONINE_DE_NOVO_AND_SALVAGE_PATHWAY,108,2,METHIONINE DE NOVO AND SALVAGE PATHWAY,F2
WP_MIRTARGETED_GENES_IN_MUSCLE_CELL,109,6,MIRTARGETED GENES IN MUSCLE CELL,F2
WP_NRF2_PATHWAY,110,2,NRF2 PATHWAY,F2
WP_OREXIN_RECEPTOR_PATHWAY,111,2,OREXIN RECEPTOR PATHWAY,F2
WP_PGK1_PKM2_KHKCKHKA_ACTING_AS_PROTEIN_KINASES,112,2,PGK1 PKM2 KHKCKHKA ACTING AS PROTEIN KINASES,F2
WP_PHYSICOCHEMICAL_FEATURES_AND_TOXICITYASSOCIATED_PATHWAYS,113,2,PHYSICOCHEMICAL FEATURES AND TOXICITYASSOCIATED PA,F2
WP_PRIMARY_OVARIAN_INSUFFICIENCY,114,2,PRIMARY OVARIAN INSUFFICIENCY,F2
WP_TRANSSULFURATION_ONECARBON_METABOLISM_AND_RELATED_PATHWAYS,115,2,TRANSSULFURATION ONECARBON METABOLISM AND RELATED ,F2
WP_VEGFAVEGFR2_SIGNALING,116,12,VEGFAVEGFR2 SIGNALING,F2
WP_VITAMIN_D_RECEPTOR_PATHWAY,117,2,VITAMIN D RECEPTOR PATHWAY,F2
BIOCARTA_ARENRF2_PATHWAY,1,2,ARENRF2 PATHWAY,F3
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS,2,6,SYSTEMIC LUPUS ERYTHEMATOSUS,F3
BIOCARTA_DNAFRAGMENT_PATHWAY,3,2,DNAFRAGMENT PATHWAY,F3
BIOCARTA_INTEGRIN_PATHWAY,4,3,INTEGRIN PATHWAY,F3
KEGG_TIGHT_JUNCTION,5,9,TIGHT JUNCTION,F3
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM,6,4,ALANINE ASPARTATE AND GLUTAMATE METABOLISM,F3
KEGG_PROPANOATE_METABOLISM,7,7,PROPANOATE METABOLISM,F3
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC,8,5,ARRHYTHMOGENIC RIGHT VENTRICULAR CARDIOMYOPATHY AR,F3
KEGG_AXON_GUIDANCE,9,2,AXON GUIDANCE,F3
KEGG_CALCIUM_SIGNALING_PATHWAY,10,3,CALCIUM SIGNALING PATHWAY,F3
KEGG_CARDIAC_MUSCLE_CONTRACTION,11,4,CARDIAC MUSCLE CONTRACTION,F3
KEGG_MAPK_SIGNALING_PATHWAY,12,5,MAPK SIGNALING PATHWAY,F3
REACTOME_BIOLOGICAL_OXIDATIONS,13,8,BIOLOGICAL OXIDATIONS,F3
KEGG_DRUG_METABOLISM_OTHER_ENZYMES,14,2,DRUG METABOLISM OTHER ENZYMES,F3
KEGG_ENDOCYTOSIS,15,2,ENDOCYTOSIS,F3
REACTOME_METABOLISM_OF_LIPIDS,16,20,METABOLISM OF LIPIDS,F3
KEGG_FOCAL_ADHESION,17,11,FOCAL ADHESION,F3
KEGG_GALACTOSE_METABOLISM,18,2,GALACTOSE METABOLISM,F3
REACTOME_GLYCEROPHOSPHOLIPID_BIOSYNTHESIS,19,4,GLYCEROPHOSPHOLIPID BIOSYNTHESIS,F3
KEGG_PHENYLALANINE_METABOLISM,20,3,PHENYLALANINE METABOLISM,F3
WP_METABOLIC_EPILEPTIC_DISORDERS,21,5,METABOLIC EPILEPTIC DISORDERS,F3
KEGG_GNRH_SIGNALING_PATHWAY,22,3,GNRH SIGNALING PATHWAY,F3
KEGG_INSULIN_SIGNALING_PATHWAY,23,3,INSULIN SIGNALING PATHWAY,F3
KEGG_LYSOSOME,24,5,LYSOSOME,F3
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,25,20,CYTOKINE SIGNALING IN IMMUNE SYSTEM,F3
KEGG_MEDICUS_REFERENCE_AUTOPHAGY_VESICLE_NUCLEATION_ELONGATION_MATURATION_SEQUESTOSOME_1_LIKE_RECEPTOR,26,2,MEDICUS REFERENCE AUTOPHAGY VESICLE NUCLEATION ELO,F3
KEGG_MEDICUS_REFERENCE_BETA_OXIDATION,27,6,MEDICUS REFERENCE BETA OXIDATION,F3
REACTOME_VESICLE_MEDIATED_TRANSPORT,28,8,VESICLE MEDIATED TRANSPORT,F3
REACTOME_AEROBIC_RESPIRATION_AND_RESPIRATORY_ELECTRON_TRANSPORT,29,14,AEROBIC RESPIRATION AND RESPIRATORY ELECTRON TRANS,F3
WP_GLUTATHIONE_METABOLISM,30,3,GLUTATHIONE METABOLISM,F3
KEGG_MEDICUS_REFERENCE_ITGA_B_TALIN_VINCULIN_SIGNALING_PATHWAY,31,3,MEDICUS REFERENCE ITGA B TALIN VINCULIN SIGNALING ,F3
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION,32,11,VALINE LEUCINE AND ISOLEUCINE DEGRADATION,F3
WP_MEVALONATE_ARM_OF_CHOLESTEROL_BIOSYNTHESIS_PATHWAY,33,3,MEVALONATE ARM OF CHOLESTEROL BIOSYNTHESIS PATHWAY,F3
KEGG_MEDICUS_REFERENCE_PURINE_SALVAGE_PATHWAY_HYPOXANTHINE_GUANINE_TO_IMP_GMP,34,2,MEDICUS REFERENCE PURINE SALVAGE PATHWAY HYPOXANTH,F3
REACTOME_CELLULAR_RESPONSES_TO_STIMULI,35,37,CELLULAR RESPONSES TO STIMULI,F3
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY,36,5,NEUROTROPHIN SIGNALING PATHWAY,F3
REACTOME_PROTEIN_LOCALIZATION,37,5,PROTEIN LOCALIZATION,F3
KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM,38,2,PORPHYRIN AND CHLOROPHYLL METABOLISM,F3
REACTOME_REGULATION_OF_LIPID_METABOLISM_BY_PPARALPHA,39,5,REGULATION OF LIPID METABOLISM BY PPARALPHA,F3
KEGG_PURINE_METABOLISM,40,3,PURINE METABOLISM,F3
REACTOME_DDX58_IFIH1_MEDIATED_INDUCTION_OF_INTERFERON_ALPHA_BETA,41,4,DDX58 IFIH1 MEDIATED INDUCTION OF INTERFERON ALPHA,F3
PID_ALPHA_SYNUCLEIN_PATHWAY,42,2,ALPHA SYNUCLEIN PATHWAY,F3
PID_AMB2_NEUTROPHILS_PATHWAY,43,2,AMB2 NEUTROPHILS PATHWAY,F3
PID_AURORA_B_PATHWAY,44,3,AURORA B PATHWAY,F3
REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION,45,11,EXTRACELLULAR MATRIX ORGANIZATION,F3
PID_CASPASE_PATHWAY,46,2,CASPASE PATHWAY,F3
PID_CDC42_REG_PATHWAY,47,2,CDC42 REG PATHWAY,F3
PID_ERA_GENOMIC_PATHWAY,48,2,ERA GENOMIC PATHWAY,F3
SIG_INSULIN_RECEPTOR_PATHWAY_IN_CARDIAC_MYOCYTES,49,3,SIG INSULIN RECEPTOR PATHWAY IN CARDIAC MYOCYTES,F3
PID_HES_HEY_PATHWAY,50,2,HES HEY PATHWAY,F3
PID_HIF1_TFPATHWAY,51,3,HIF1 TFPATHWAY,F3
PID_HIF2PATHWAY,52,2,HIF2PATHWAY,F3
PID_ILK_PATHWAY,53,2,ILK PATHWAY,F3
WP_BURN_WOUND_HEALING,54,3,BURN WOUND HEALING,F3
PID_LIS1_PATHWAY,55,3,LIS1 PATHWAY,F3
REACTOME_NUCLEOTIDE_BINDING_DOMAIN_LEUCINE_RICH_REPEAT_CONTAINING_RECEPTOR_NLR_SIGNALING_PATHWAYS,56,3,NUCLEOTIDE BINDING DOMAIN LEUCINE RICH REPEAT CONT,F3
PID_P53_DOWNSTREAM_PATHWAY,57,2,P53 DOWNSTREAM PATHWAY,F3
REACTOME_CELL_DEATH_SIGNALLING_VIA_NRAGE_NRIF_AND_NADE,58,4,CELL DEATH SIGNALLING VIA NRAGE NRIF AND NADE,F3
PID_TCR_PATHWAY,59,2,TCR PATHWAY,F3
REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES,60,6,SIGNALING BY RECEPTOR TYROSINE KINASES,F3
WP_DNA_DAMAGE_RESPONSE_ONLY_ATM_DEPENDENT,61,3,DNA DAMAGE RESPONSE ONLY ATM DEPENDENT,F3
REACTOME_ACTIVATION_OF_GENE_EXPRESSION_BY_SREBF_SREBP,62,2,ACTIVATION OF GENE EXPRESSION BY SREBF SREBP,F3
REACTOME_NEURONAL_SYSTEM,63,5,NEURONAL SYSTEM,F3
WP_NPHP1_DELETION_SYNDROME,64,3,NPHP1 DELETION SYNDROME,F3
REACTOME_AFLATOXIN_ACTIVATION_AND_DETOXIFICATION,65,2,AFLATOXIN ACTIVATION AND DETOXIFICATION,F3
REACTOME_AUTOPHAGY,66,5,AUTOPHAGY,F3
REACTOME_APOPTOTIC_EXECUTION_PHASE,67,4,APOPTOTIC EXECUTION PHASE,F3
REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS,68,2,BINDING AND UPTAKE OF LIGANDS BY SCAVENGER RECEPTO,F3
REACTOME_BIOTIN_TRANSPORT_AND_METABOLISM,69,2,BIOTIN TRANSPORT AND METABOLISM,F3
REACTOME_BMAL1_CLOCK_NPAS2_ACTIVATES_CIRCADIAN_EXPRESSION,70,2,BMAL1 CLOCK NPAS2 ACTIVATES CIRCADIAN EXPRESSION,F3
REACTOME_CARGO_RECOGNITION_FOR_CLATHRIN_MEDIATED_ENDOCYTOSIS,71,2,CARGO RECOGNITION FOR CLATHRIN MEDIATED ENDOCYTOSI,F3
REACTOME_RHOA_GTPASE_CYCLE,72,8,RHOA GTPASE CYCLE,F3
REACTOME_CELL_CELL_COMMUNICATION,73,8,CELL CELL COMMUNICATION,F3
REACTOME_RNA_POLYMERASE_II_TRANSCRIPTION,74,13,RNA POLYMERASE II TRANSCRIPTION,F3
REACTOME_CHAPERONE_MEDIATED_AUTOPHAGY,75,3,CHAPERONE MEDIATED AUTOPHAGY,F3
REACTOME_CHROMATIN_ORGANIZATION,76,2,CHROMATIN ORGANIZATION,F3
REACTOME_CITRIC_ACID_CYCLE_TCA_CYCLE,77,3,CITRIC ACID CYCLE TCA CYCLE,F3
REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS,78,2,CLASS A 1 RHODOPSIN LIKE RECEPTORS,F3
REACTOME_COMPLEMENT_CASCADE,79,3,COMPLEMENT CASCADE,F3
REACTOME_DEACTIVATION_OF_THE_BETA_CATENIN_TRANSACTIVATING_COMPLEX,80,2,DEACTIVATION OF THE BETA CATENIN TRANSACTIVATING C,F3
REACTOME_DEFECTIVE_INTRINSIC_PATHWAY_FOR_APOPTOSIS,81,2,DEFECTIVE INTRINSIC PATHWAY FOR APOPTOSIS,F3
REACTOME_DEGRADATION_OF_CYSTEINE_AND_HOMOCYSTEINE,82,3,DEGRADATION OF CYSTEINE AND HOMOCYSTEINE,F3
WP_OXIDATIVE_STRESS_RESPONSE,83,4,OXIDATIVE STRESS RESPONSE,F3
REACTOME_DEVELOPMENTAL_CELL_LINEAGES,84,2,DEVELOPMENTAL CELL LINEAGES,F3
REACTOME_EGFR_DOWNREGULATION,85,2,EGFR DOWNREGULATION,F3
REACTOME_EPIGENETIC_REGULATION_BY_WDR5_CONTAINING_HISTONE_MODIFYING_COMPLEXES,86,2,EPIGENETIC REGULATION BY WDR5 CONTAINING HISTONE M,F3
REACTOME_ESR_MEDIATED_SIGNALING,87,2,ESR MEDIATED SIGNALING,F3
REACTOME_FCGAMMA_RECEPTOR_FCGR_DEPENDENT_PHAGOCYTOSIS,88,3,FCGAMMA RECEPTOR FCGR DEPENDENT PHAGOCYTOSIS,F3
REACTOME_SIGNALING_BY_GPCR,89,7,SIGNALING BY GPCR,F3
REACTOME_GAMMA_CARBOXYLATION_HYPUSINYLATION_HYDROXYLATION_AND_ARYLSULFATASE_ACTIVATION,90,2,GAMMA CARBOXYLATION HYPUSINYLATION HYDROXYLATION A,F3
REACTOME_GENE_AND_PROTEIN_EXPRESSION_BY_JAK_STAT_SIGNALING_AFTER_INTERLEUKIN_12_STIMULATION,91,6,GENE AND PROTEIN EXPRESSION BY JAK STAT SIGNALING ,F3
REACTOME_METABOLISM_OF_CARBOHYDRATES_AND_CARBOHYDRATE_DERIVATIVES,92,7,METABOLISM OF CARBOHYDRATES AND CARBOHYDRATE DERIV,F3
REACTOME_GP1B_IX_V_ACTIVATION_SIGNALLING,93,2,GP1B IX V ACTIVATION SIGNALLING,F3
REACTOME_HEME_SIGNALING,94,2,HEME SIGNALING,F3
REACTOME_HEMOSTASIS,95,15,HEMOSTASIS,F3
REACTOME_INITIATION_OF_NUCLEAR_ENVELOPE_NE_REFORMATION,96,2,INITIATION OF NUCLEAR ENVELOPE NE REFORMATION,F3
REACTOME_INNATE_IMMUNE_SYSTEM,97,27,INNATE IMMUNE SYSTEM,F3
REACTOME_INTEGRATION_OF_PROVIRUS,98,2,INTEGRATION OF PROVIRUS,F3
REACTOME_INTERFERON_SIGNALING,99,6,INTERFERON SIGNALING,F3
REACTOME_INTERLEUKIN_4_AND_INTERLEUKIN_13_SIGNALING,100,3,INTERLEUKIN 4 AND INTERLEUKIN 13 SIGNALING,F3
REACTOME_IRON_UPTAKE_AND_TRANSPORT,101,3,IRON UPTAKE AND TRANSPORT,F3
REACTOME_METABOLISM_OF_ANGIOTENSINOGEN_TO_ANGIOTENSINS,102,2,METABOLISM OF ANGIOTENSINOGEN TO ANGIOTENSINS,F3
REACTOME_METABOLISM_OF_COFACTORS,103,2,METABOLISM OF COFACTORS,F3
REACTOME_METABOLISM_OF_VITAMINS_AND_COFACTORS,104,8,METABOLISM OF VITAMINS AND COFACTORS,F3
REACTOME_METALLOPROTEASE_DUBS,105,2,METALLOPROTEASE DUBS,F3
REACTOME_ORGANELLE_BIOGENESIS_AND_MAINTENANCE,106,5,ORGANELLE BIOGENESIS AND MAINTENANCE,F3
REACTOME_MITOCHONDRIAL_PROTEIN_DEGRADATION,107,6,MITOCHONDRIAL PROTEIN DEGRADATION,F3
REACTOME_MITOCHONDRIAL_UNFOLDED_PROTEIN_RESPONSE_UPRMT,108,2,MITOCHONDRIAL UNFOLDED PROTEIN RESPONSE UPRMT,F3
REACTOME_MUSCLE_CONTRACTION,109,16,MUSCLE CONTRACTION,F3
REACTOME_TOLL_LIKE_RECEPTOR_CASCADES,110,3,TOLL LIKE RECEPTOR CASCADES,F3
REACTOME_MYOGENESIS,111,2,MYOGENESIS,F3
REACTOME_N_GLYCAN_TRIMMING_IN_THE_ER_AND_CALNEXIN_CALRETICULIN_CYCLE,112,2,N GLYCAN TRIMMING IN THE ER AND CALNEXIN CALRETICU,F3
REACTOME_NEUROTRANSMITTER_RELEASE_CYCLE,113,2,NEUROTRANSMITTER RELEASE CYCLE,F3
REACTOME_NICOTINAMIDE_SALVAGE,114,2,NICOTINAMIDE SALVAGE,F3
REACTOME_PHASE_I_FUNCTIONALIZATION_OF_COMPOUNDS,115,3,PHASE I FUNCTIONALIZATION OF COMPOUNDS,F3
REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION,116,21,POST TRANSLATIONAL PROTEIN MODIFICATION,F3
REACTOME_PROTEIN_UBIQUITINATION,117,2,PROTEIN UBIQUITINATION,F3
REACTOME_REGULATED_NECROSIS,118,2,REGULATED NECROSIS,F3
