pathway,contrast,NES,padj,size,database,sig,pathway_label,pattern,sort_key,leading_edge
REACTOME_HSP90_CHAPERONE_CYCLE_FOR_STEROID_HORMONE_RECEPTORS_SHR_IN_THE_PRESENCE_OF_LIGAND,Training_Young,2.361,7.24e-6,34,Reactome,TRUE,Hsp90 Chaperone Cycle For Steroid Hormone Receptors ...,Blunted,2.3606179065380637,DYNC1H1;DYNC1LI1;DYNC1I2;DCTN2;DCTN1;TUBB6;DCTN5;TUBB2A;TUBA1B;DNAJA2;DNAJA4;HSPA8;ACTR1A;HSP90AB1;DNAJA1;TUBB4B;DYNC1LI2;STIP1;DCTN6;DCTN4
REACTOME_CROSS_PRESENTATION_OF_SOLUBLE_EXOGENOUS_ANTIGENS_ENDOSOMES,Interaction,-2.053,1,33,Reactome,FALSE,Cross Presentation Of Soluble Exogenous Antigens End...,Blunted,2.3383169124261087,PSME1;PSMB5;PSMD3;PSME2;PSMD6;PSMA3;PSMD1;PSMB6;PSMD13;PSMC1;PSMC2;PSMB3;PSMD12;PSMB7;PSMA6;PSMA5;PSMA1;PSMD8;PSMB2;PSMA7;PSMD11;PSMC6;ADRM1
REACTOME_CROSS_PRESENTATION_OF_SOLUBLE_EXOGENOUS_ANTIGENS_ENDOSOMES,Training_Old,1.382,0.3199,33,Reactome,FALSE,Cross Presentation Of Soluble Exogenous Antigens End...,Blunted,2.3383169124261087,PSME2;PSMD7;PSME1;PSMC3;PSMD11;PSMA4;PSMC2;PSMC6;PSMD2;PSMC4;PSMA7;PSMC1;PSMD14
REACTOME_CROSS_PRESENTATION_OF_SOLUBLE_EXOGENOUS_ANTIGENS_ENDOSOMES,Training_Young,2.338,1.925e-5,33,Reactome,TRUE,Cross Presentation Of Soluble Exogenous Antigens End...,Blunted,2.3383169124261087,PSME1;PSME2;PSMC2;PSMC1;PSMD1;PSMA3;PSMD11;PSMD3;PSMC6;PSMA7;PSMA5;PSMB7;PSMA6;PSMC4;PSMD13;PSMB5;PSMB3;PSMD6;PSMD2;PSMC3;PSMA1;PSMD14;PSMD8;PSMB6;PSMB4;PSMB2;PSMA2;PSMA4;PSMD12
REACTOME_CYTOSOLIC_TRNA_AMINOACYLATION,Interaction,-2.42,1.431e-5,23,Reactome,TRUE,Cytosolic Trna Aminoacylation,Blunted,2.24076678753714,VARS1;EPRS1;FARSB;FARSA;DARS1;AIMP2;TARS1;HARS1;GARS1;QARS1;AIMP1;KARS1;AARS1;WARS1
REACTOME_CYTOSOLIC_TRNA_AMINOACYLATION,Training_Old,0.816,0.8947,23,Reactome,FALSE,Cytosolic Trna Aminoacylation,Blunted,2.24076678753714,MARS1;VARS1;TARS1;QARS1;FARSB;SARS1;YARS1;DARS1;LARS1;IARS1;AIMP1
REACTOME_CYTOSOLIC_TRNA_AMINOACYLATION,Training_Young,2.241,1.147e-4,23,Reactome,TRUE,Cytosolic Trna Aminoacylation,Blunted,2.24076678753714,VARS1;FARSB;EPRS1;QARS1;DARS1;FARSA;TARS1;AIMP1;HARS1;AIMP2;SARS1;AARS1;MARS1
REACTOME_ASPARAGINE_N_LINKED_GLYCOSYLATION,Interaction,-2.116,1.293e-4,88,Reactome,TRUE,Asparagine N Linked Glycosylation,Blunted,2.2381228568699454,DCTN5;DYNC1LI1;DYNC1H1;GANAB;DYNC1I2;SEC22B;CALR;DCTN1;PREB;DYNC1LI2;SEC23IP;CANX;ARCN1;DYNLL1;RAB1B;TRAPPC3;RPS27A;DCTN2;CTSZ;COL7A1;TUBB2A;YKT6;PRKCSH;TUBB4B;TUBB6;RAD23B;SEC23A;PSMC1;TMED10;TUBA1B;PGM3;SERPINA1;DCTN6;PDIA3;TMED9;SPTAN1;LMAN1;TFG;DAD1;DCTN4;VCP;SEC24C;GMPPB;SCFD1;RPN2
REACTOME_ASPARAGINE_N_LINKED_GLYCOSYLATION,Training_Old,1.257,0.3639,88,Reactome,FALSE,Asparagine N Linked Glycosylation,Blunted,2.2381228568699454,NGLY1;DCTN3;HK1;DCTN2;PDIA3;TUBA1B;NAGK;ACTR1A;TUBB6;TUBA4A;SPTBN1;DYNC1H1;TUBB2A;COPB2;NSF;SEC31A;ANK1;TUBA8;DYNC1I2;DCTN1;SPTAN1;COPG1;SEC23A;DCTN6;DYNC1LI1;TFG;PSMC1;PMM2;ARF5;DCTN4;SEC13;CAPZA1;CANX;CAPZB;SEC23IP
REACTOME_ASPARAGINE_N_LINKED_GLYCOSYLATION,Training_Young,2.238,2.643e-6,88,Reactome,TRUE,Asparagine N Linked Glycosylation,Blunted,2.2381228568699454,DYNC1H1;DYNC1LI1;DYNC1I2;DCTN2;DCTN1;TUBB6;DCTN5;TUBB2A;GANAB;TUBA1B;PDIA3;CANX;SEC23IP;SEC23A;ACTR1A;SEC22B;PSMC1;PREB;SPTBN1;NAGK;SPTAN1;TUBB4B;DYNC1LI2;ARCN1;HK1;TFG;CALR;CTSZ;DCTN6;YKT6;DCTN4;TRAPPC3;PRKCSH;LMAN1;TMED9;RAB1B;GMPPB;VCP;NGLY1;COPB2;SEC31A;RAD23B;RPN2
GOBP_POSITIVE_REGULATION_OF_PROTEIN_LOCALIZATION_TO_NUCLEUS,Interaction,-2.051,0.005107,24,GO:BP,TRUE,Positive Regulation Of Protein Localization To Nucleus,Blunted,2.1658874953698337,MAVS;CCT6A;IPO7;TFRC;CCT8;CCT2;RAN;CCT7;PARK7;TCP1;TARDBP;IPO5;FLNA;CCT5
GOBP_POSITIVE_REGULATION_OF_PROTEIN_LOCALIZATION_TO_NUCLEUS,Training_Old,1.726,0.08792,24,GO:BP,FALSE,Positive Regulation Of Protein Localization To Nucleus,Blunted,2.1658874953698337,CCT5;CCT4;CCT3;CCT6A;CCT8;FLNA;CCT2;CCT7;TCP1;JUP;PARP1;BAG3
GOBP_POSITIVE_REGULATION_OF_PROTEIN_LOCALIZATION_TO_NUCLEUS,Training_Young,2.166,4.397e-4,24,GO:BP,TRUE,Positive Regulation Of Protein Localization To Nucleus,Blunted,2.1658874953698337,CCT6A;CCT5;CCT8;CCT2;CCT7;FLNA;CCT4;TCP1;CCT3;MAVS;BAG3;IPO7;TARDBP;RAN
