gene,n_miss,pct_miss,mean_intensity,classification,group_miss_pval
TOMM70,1,1.6129032258064515,19.773126245505416,MAR,NA
UFL1,3,4.838709677419355,16.165026006389212,MAR,NA
TMEM63A,5,8.064516129032258,19.784807140486215,MAR,NA
PLPBP,0,0,20.261184185531835,Complete,NA
ERLIN2,0,0,23.56003286321412,Complete,NA
ENDOD1,0,0,21.11525113683099,Complete,NA
SEC31A,16,25.806451612903224,18.251561055670724,MNAR,9.995002498750624e-4
NDUFB6,0,0,22.265405833754123,Complete,NA
MFN2,10,16.129032258064516,17.734574176191412,MAR,NA
NDUFA3,0,0,22.560687075996523,Complete,NA
NDUFB4,0,0,24.028609575573366,Complete,NA
NDUFB8,0,0,23.559148996592057,Complete,NA
NDUFA7,0,0,23.369387143430277,Complete,NA
RTN3,12,19.35483870967742,19.138771953329208,MAR,NA
LETM1,0,0,21.15157208356563,Complete,NA
STBD1,0,0,24.209034142320302,Complete,NA
ZRANB2,16,25.806451612903224,20.153489819521607,MAR,NA
EPM2A,6,9.67741935483871,20.46641413896287,MAR,NA
VAPB,0,0,23.350851051313334,Complete,NA
NDUFC2,0,0,23.15579790916922,Complete,NA
NDUFA10,0,0,24.17489847051185,Complete,NA
PGLS,7,11.29032258064516,17.6325022820699,MAR,NA
TACC2,6,9.67741935483871,18.06874472829234,MAR,NA
LYPLA2,22,35.483870967741936,19.96259511969339,MAR,NA
IPO7,0,0,20.14944554444468,Complete,NA
ARIH2,20,32.25806451612903,19.245680338111146,MNAR,4.997501249375312e-4
PGM3,4,6.451612903225806,17.317797236950216,MAR,NA
SVIL,12,19.35483870967742,17.599734674431804,MAR,NA
AHSA1,4,6.451612903225806,19.123945728145994,MAR,NA
H6PD,3,4.838709677419355,18.82309204311244,MAR,NA
MPC2,0,0,22.7843070410995,Complete,NA
ETHE1,25,40.32258064516129,17.40966324063875,MNAR,9.995002498750624e-4
ACSL3,0,0,22.21425562256992,Complete,NA
ASMTL,33,53.2258064516129,17.63841570681922,MNAR,4.997501249375312e-4
CDS2,10,16.129032258064516,18.454862139814882,MAR,NA
SNAP29,33,53.2258064516129,16.511016987346594,MNAR,9.995002498750624e-4
OXSR1,0,0,20.635679119942314,Complete,NA
LSM8,16,25.806451612903224,18.947402868913084,MAR,NA
AP2A1,11,17.741935483870968,19.231090359652004,MAR,NA
CAVIN2,0,0,19.747786156383313,Complete,NA
BAG2,14,22.58064516129032,14.609477243484777,MNAR,0.0864567716141929
BAG3,0,0,23.393256803794205,Complete,NA
MLYCD,19,30.64516129032258,16.67501998445484,MNAR,4.997501249375312e-4
AIFM1,0,0,24.278402853143458,Complete,NA
EML2,8,12.903225806451612,20.50605304203996,MAR,NA
BPNT1,1,1.6129032258064515,18.374940748486353,MAR,NA
DDAH2,6,9.67741935483871,16.209262605298257,MAR,NA
ABHD16A,29,46.774193548387096,14.874566938888593,MNAR,0.005497251374312844
TXNDC12,40,64.51612903225806,19.117013086023107,MNAR,0.001999000499750125
NUDT3,3,4.838709677419355,18.227119100606533,MAR,NA
NDUFB10,0,0,24.83905060660864,Complete,NA
CLPTM1,36,58.06451612903226,15.920794996345395,MNAR,9.995002498750624e-4
MOCS2,16,25.806451612903224,18.456469694584104,MAR,NA
TOMM40,1,1.6129032258064515,18.82353668425267,MAR,NA
PEX11B,24,38.70967741935484,15.095758409886187,MNAR,0.008995502248875561
CYB5A,14,22.58064516129032,17.11047433753259,MNAR,0.03498250874562719
ADH1B,1,1.6129032258064515,21.34651629897381,MAR,NA
LDHA,0,0,29.158558826437233,Complete,NA
ALDH1A1,0,0,23.862171145334504,Complete,NA
GLUD1,0,0,21.666701367811626,Complete,NA
CYB5R3,0,0,24.52329020476217,Complete,NA
GSR,0,0,21.343499169247973,Complete,NA
MT-CO1,6,9.67741935483871,21.6284648683944,MAR,NA
MT-CO2,0,0,26.94477988327071,Complete,NA
MT-CO3,5,8.064516129032258,22.674288228054724,MAR,NA
SOD1,0,0,26.141775760318193,Complete,NA
CP,8,12.903225806451612,20.96072915531492,MAR,NA
F13A1,17,27.419354838709676,18.070589435275597,MNAR,4.997501249375312e-4
HPRT1,6,9.67741935483871,18.18683746022571,MAR,NA
GOT2,0,0,27.3599601135521,Complete,NA
PGK1,0,0,29.023413816693004,Complete,NA
AK1,0,0,28.866716667784466,Complete,NA
HP,0,0,24.15789133574005,Complete,NA
CFB,5,8.064516129032258,19.36618014661223,MAR,NA
MT-ATP6,0,0,25.30783169276842,Complete,NA
CA2,0,0,27.373103345751773,Complete,NA
ASS1,23,37.096774193548384,19.662925355842763,MNAR,4.997501249375312e-4
SERPINA1,0,0,25.614151596287673,Complete,NA
SERPINA3,1,1.6129032258064515,21.833520734096382,MAR,NA
AGT,10,16.129032258064516,19.21001331677567,MAR,NA
A2M,0,0,23.15199259324786,Complete,NA
C3,0,0,22.952211093970433,Complete,NA
CST3,1,1.6129032258064515,20.129280288721038,MAR,NA
CSTA,18,29.03225806451613,18.219921560338573,MNAR,0.5462268865567217
JCHAIN,23,37.096774193548384,16.48116117715116,MNAR,9.995002498750624e-4
IGKV3-20,13,20.967741935483872,20.102212576331457,MAR,NA
IGHV3-7,2,3.225806451612903,19.23306360005472,MAR,NA
IGKC,0,0,26.55089330501947,Complete,NA
IGHG1,0,0,26.110806569329416,Complete,NA
IGHG2,0,0,24.581570147410375,Complete,NA
IGHG3,0,0,21.491493645019,Complete,NA
IGHM,0,0,21.592070779950504,Complete,NA
IGHA1,0,0,23.1373081780052,Complete,NA
HLA-B,19,30.64516129032258,15.557648498984133,MNAR,4.997501249375312e-4
HLA-DRB1,11,17.741935483870968,19.778379273222384,MAR,NA
MB,0,0,33.605519888194046,Complete,NA
COL1A1,6,9.67741935483871,20.050835454023808,MAR,NA
COL3A1,3,4.838709677419355,21.1815233695313,MAR,NA
COL4A1,5,8.064516129032258,21.38352833649298,MAR,NA
CRYAB,0,0,29.723603537014778,Complete,NA
KRT14,1,1.6129032258064515,21.74029349209695,MAR,NA
LMNA,0,0,22.92785557302045,Complete,NA
TNNC2,0,0,27.809167323001535,Complete,NA
APOE,16,25.806451612903224,16.799924073128153,MNAR,4.997501249375312e-4
APOC2,11,17.741935483870968,19.366782256124793,MAR,NA
LRG1,17,27.419354838709676,18.372696055510232,MNAR,0.00399800099950025
FN1,37,59.67741935483871,17.067815065719163,MNAR,0.0014992503748125937
RBP4,28,45.16129032258064,20.396937914885168,MNAR,4.997501249375312e-4
ORM1,0,0,24.12958631086166,Complete,NA
TTR,0,0,22.882648211265238,Complete,NA
ALB,0,0,30.06778938262758,Complete,NA
TFRC,18,29.03225806451613,16.772374579168282,MNAR,0.7831084457771115
TF,0,0,25.404583501254322,Complete,NA
FTL,7,11.29032258064516,21.410260110640913,MAR,NA
FTH1,0,0,25.46954855629304,Complete,NA
MT2A,0,0,21.729627967038166,Complete,NA
MT-ND1,0,0,23.25854662308496,Complete,NA
MT-ND2,13,20.967741935483872,20.038426866097605,MAR,NA
MT-ND3,0,0,20.444767779708847,Complete,NA
MT-ND4,0,0,21.38315787593195,Complete,NA
MT-ND5,0,0,23.12429745437282,Complete,NA
MT-ATP8,0,0,22.958978773203246,Complete,NA
CAT,0,0,22.45105861100701,Complete,NA
ALDOA,0,0,31.48115525106068,Complete,NA
CSTB,0,0,24.380663428751326,Complete,NA
ANXA1,0,0,21.852437154827964,Complete,NA
SOD2,0,0,25.119179410015473,Complete,NA
KRT1,0,0,25.524909270996286,Complete,NA
VWF,37,59.67741935483871,17.11755916167257,MNAR,0.0029985007496251873
GAPDH,0,0,31.394779061969498,Complete,NA
HLA-A,0,0,18.240597332169035,Complete,NA
CAPNS1,0,0,23.07204339625423,Complete,NA
HSPB1,0,0,29.53607630924914,Complete,NA
RPN1,0,0,21.348754019760875,Complete,NA
RPN2,1,1.6129032258064515,20.136517043314605,MAR,NA
GNAI2,0,0,21.830035238665815,Complete,NA
ATP1A1,0,0,23.231697834282926,Complete,NA
ATP1B1,0,0,22.828003149169376,Complete,NA
APOD,0,0,21.71686745156196,Complete,NA
ALDH2,0,0,23.36407680629534,Complete,NA
S100A8,0,0,21.68869743995609,Complete,NA
SLC25A5,0,0,27.755901556879284,Complete,NA
SERPING1,9,14.516129032258066,19.626847270868765,MAR,NA
PCCA,3,4.838709677419355,19.181243627458077,MAR,NA
PCCB,6,9.67741935483871,18.300005301929293,MAR,NA
EIF2S1,0,0,21.905099127703764,Complete,NA
RPLP1,0,0,21.10756250414746,Complete,NA
RPLP2,0,0,22.965142637895624,Complete,NA
RPLP0,0,0,21.26409771121368,Complete,NA
FABP3,0,0,28.974083458333737,Complete,NA
CLEC3B,15,24.193548387096776,18.67845819284368,MAR,NA
SSB,14,22.58064516129032,16.550245323114638,MNAR,0.4497751124437781
ITGB1,0,0,20.17476698621093,Complete,NA
KRT18,0,0,24.88452064744932,Complete,NA
KRT8,0,0,23.422913464505186,Complete,NA
MYL1,0,0,30.39586821046543,Complete,NA
GSN,0,0,23.54378081119738,Complete,NA
PTMA,16,25.806451612903224,15.019556674755652,MNAR,4.997501249375312e-4
ATP5F1B,0,0,28.425444397186777,Complete,NA
S100A9,1,1.6129032258064515,21.648967903917253,MAR,NA
S100A6,2,3.225806451612903,24.837776915883232,MAR,NA
EIF4E,4,6.451612903225806,20.492350253636182,MAR,NA
CKM,0,0,32.37978332811275,Complete,NA
ENO1,0,0,29.93052292585217,Complete,NA
PYGL,2,3.225806451612903,24.346049975223163,MAR,NA
GPI,0,0,27.453727346079894,Complete,NA
NPM1,0,0,22.112511488196343,Complete,NA
TPM3,0,0,25.629454670614194,Complete,NA
EPHX1,0,0,23.460190635910735,Complete,NA
DBI,0,0,25.436127337063546,Complete,NA
LDHB,0,0,25.070630096414764,Complete,NA
GPX1,0,0,21.745364039478087,Complete,NA
P4HB,0,0,24.3706824185164,Complete,NA
H1-0,0,0,22.63287152469481,Complete,NA
CTSD,0,0,23.260161762700527,Complete,NA
ANXA2,0,0,24.432784428061982,Complete,NA
CAPN1,0,0,22.836853935588426,Complete,NA
TUBB,0,0,26.250789796511995,Complete,NA
CA3,0,0,30.951764430313098,Complete,NA
DCN,0,0,23.37710861090807,Complete,NA
PSAP,0,0,24.137611604208203,Complete,NA
PFN1,0,0,25.4995317582112,Complete,NA
BPGM,0,0,21.345729914750656,Complete,NA
APRT,0,0,21.952818583511604,Complete,NA
EPRS1,0,0,21.485594461126226,Complete,NA
CTSB,1,1.6129032258064515,20.18777487172092,MAR,NA
HSP90AA1,0,0,25.932111958647983,Complete,NA
UQCRH,0,0,25.046259997488665,Complete,NA
TPM2,0,0,27.354956631197318,Complete,NA
FH,0,0,25.279626840009247,Complete,NA
COL1A2,2,3.225806451612903,19.553106942004057,MAR,NA
ANXA6,0,0,26.65574929480813,Complete,NA
PFKM,0,0,27.62879937490789,Complete,NA
HSP90AB1,0,0,24.773080475816506,Complete,NA
SOD3,23,37.096774193548384,18.481648033869078,MNAR,0.017991004497751123
CTSG,38,61.29032258064516,17.977723674882004,MNAR,4.997501249375312e-4
PDHA1,0,0,25.581490502068245,Complete,NA
COL4A2,1,1.6129032258064515,21.34073674832796,MAR,NA
CYC1,0,0,26.875914403719825,Complete,NA
MYL3,0,0,28.02749636103034,Complete,NA
CFH,5,8.064516129032258,18.661133101616212,MAR,NA
SNRNP70,44,70.96774193548387,14.615589337399955,MNAR,4.997501249375312e-4
NFIC,11,17.741935483870968,18.417661773956095,MAR,NA
VIM,0,0,24.849910234486096,Complete,NA
SERPINF2,10,16.129032258064516,18.27610322907145,MAR,NA
RPS17,5,8.064516129032258,20.814901531835844,MAR,NA
KRT19,0,0,25.173248425589023,Complete,NA
ANXA5,0,0,23.86532267975991,Complete,NA
RPSA,0,0,22.2203836795234,Complete,NA
SNRPA,11,17.741935483870968,18.32034574457473,MAR,NA
ENO2,0,0,30.075812470357096,Complete,NA
ACAA1,0,0,20.039937948712744,Complete,NA
GSTP1,0,0,25.344923435053843,Complete,NA
LGALS1,0,0,26.539116634184538,Complete,NA
QDPR,0,0,23.90619758108717,Complete,NA
HMGB1,0,0,21.43451561262161,Complete,NA
FBP1,0,0,25.808106861844422,Complete,NA
GSTM1,21,33.87096774193548,22.384632977048998,MAR,NA
TPM1,0,0,28.425585338703982,Complete,NA
CLTB,2,3.225806451612903,18.98452692748479,MAR,NA
ANXA4,1,1.6129032258064515,19.89579449090401,MAR,NA
HMOX1,30,48.38709677419355,16.9018338682641,MNAR,0.063968015992004
DLD,0,0,25.64763858570658,Complete,NA
HNRNPA1,10,16.129032258064516,18.47117602791336,MAR,NA
COX6C,0,0,26.522830973788366,Complete,NA
PARP1,3,4.838709677419355,19.466364755490197,MAR,NA
IFIT2,0,0,25.736798553882455,Complete,NA
UCHL1,0,0,22.31303151875704,Complete,NA
LTA4H,0,0,23.572995726656508,Complete,NA
ALDOC,11,17.741935483870968,26.381349156622363,MAR,NA
LIMS3,26,41.935483870967744,17.084450047582205,MNAR,0.01249375312343828
HSPA1A,0,0,26.579038677212772,Complete,NA
IGLC2,0,0,24.54874535570981,Complete,NA
IGLC3,0,0,22.774595945326638,Complete,NA
CALM1,0,0,27.13585562677208,Complete,NA
FDX1,35,56.451612903225815,17.433241260458356,MNAR,0.021989005497251374
COX8A,17,27.419354838709676,21.436347975436927,MAR,NA
GAA,1,1.6129032258064515,18.143569442339007,MAR,NA
RRAS,0,0,21.499840611896857,Complete,NA
ARAF,31,50,15.267298708358927,MNAR,0.004997501249375313
DLAT,0,0,24.939514208498238,Complete,NA
TXN,0,0,25.50406015280903,Complete,NA
COX5B,0,0,26.880024151914807,Complete,NA
MAPT,0,0,23.00185269870044,Complete,NA
PRKAR1A,0,0,24.179109455655084,Complete,NA
ESD,0,0,24.822277516798433,Complete,NA
HSPD1,0,0,24.459119672280835,Complete,NA
THRB,1,1.6129032258064515,22.81020296010304,MAR,NA
CLU,1,1.6129032258064515,19.614431189217882,MAR,NA
MYL2,0,0,28.250741217454202,Complete,NA
HSPA5,0,0,23.86270901401766,Complete,NA
LAMC1,3,4.838709677419355,20.041210618749062,MAR,NA
MYH3,1,1.6129032258064515,25.535483342900818,MAR,NA
HSPA8,0,0,26.870761155027946,Complete,NA
EPB41,24,38.70967741935484,18.35266173527191,MNAR,0.11394302848575712
PDHB,0,0,25.47696524645884,Complete,NA
DBT,2,3.225806451612903,20.293303611371865,MAR,NA
PYGB,0,0,29.113288769864084,Complete,NA
PYGM,0,0,29.25956266386345,Complete,NA
RALA,0,0,20.452648030135254,Complete,NA
SPTB,0,0,21.620964875363565,Complete,NA
LAMP1,8,12.903225806451612,18.793833519033306,MAR,NA
ACADM,0,0,24.393092093679908,Complete,NA
UBL4A,19,30.64516129032258,16.304996345583472,MNAR,0.020989505247376312
DMD,0,0,23.152951531698736,Complete,NA
MTHFD1,0,0,22.533431658482897,Complete,NA
ADH5,0,0,23.86737514073069,Complete,NA
PABPC1,0,0,20.130924887900754,Complete,NA
HARS1,0,0,18.720053727520195,Complete,NA
COL6A1,1,1.6129032258064515,20.43265674828657,MAR,NA
COL6A2,8,12.903225806451612,19.310132781387573,MAR,NA
COL6A3,0,0,20.76273274752651,Complete,NA
SLC25A4,0,0,27.079434530817164,Complete,NA
SLC25A6,0,0,26.88775325971202,Complete,NA
IMPDH2,0,0,22.19552779769154,Complete,NA
CKB,0,0,31.10162918230917,Complete,NA
ANXA3,18,29.03225806451613,19.025074750703876,MAR,NA
BCKDHA,11,17.741935483870968,18.05416322224007,MAR,NA
ACTN1,0,0,24.077482026602606,Complete,NA
MYH1,0,0,28.769224630484935,Complete,NA
MYH7,0,0,29.214008000961076,Complete,NA
PEPD,0,0,18.994492244546016,Complete,NA
XRCC6,2,3.225806451612903,19.65893854709788,MAR,NA
XRCC5,0,0,19.70582332039095,Complete,NA
COX4I1,0,0,27.122424372932976,Complete,NA
IFITM1,12,19.35483870967742,15.932788153682734,MNAR,0.0024987506246876563
LAMP2,7,11.29032258064516,22.646766337585085,MAR,NA
RNH1,0,0,24.151757806842376,Complete,NA
MYH8,25,40.32258064516129,19.869256398507936,MNAR,0.8110944527736131
VCAN,26,41.935483870967744,21.651425063747407,MAR,NA
EEF2,0,0,24.787120536034884,Complete,NA
KRT10,0,0,25.54717171056731,Complete,NA
KRT5,1,1.6129032258064515,20.987890067604692,MAR,NA
PDIA4,12,19.35483870967742,21.367079247403808,MAR,NA
TPT1,0,0,24.131742831882136,Complete,NA
ALAD,0,0,22.85795554598075,Complete,NA
