gene,log2_fold_change,neg_log10_pvalue,pi_score,adjusted_pvalue,direction
CLIC1,0.2195,1.2623,0.528388,0.552906,NS
RTN4,-0.1798,1.537,0.529263,0.459417,NS
UBQLN1,-0.2998,0.9164,0.531185,0.671074,NS
COL15A1,0.3133,0.8744,0.532207,0.683065,NS
RPS10,0.2612,1.0434,0.533964,0.624496,NS
UBE2K,-0.1831,1.4885,0.533964,0.475257,NS
RIDA,-0.1625,1.6729,0.534712,0.447459,NS
ECHDC2,-0.2361,1.1517,0.534738,0.581404,NS
FLNA,0.2678,1.0149,0.534815,0.635411,NS
GLRX3,0.216,1.2484,0.537461,0.552906,NS
RPS25,0.2109,1.2538,0.543965,0.552906,NS
KLHL40,0.3359,0.78,0.547005,0.725071,NS
RPS14,0.1821,1.4321,0.548482,0.493855,NS
GAPDH,0.1882,1.3709,0.55204,0.517433,NS
ACTR2,0.1788,1.4376,0.553356,0.493793,NS
MPC1,-0.2244,1.1349,0.55636,0.586724,NS
SGCG,-0.1738,1.453,0.559033,0.493164,NS
CKAP4,0.2847,0.8758,0.563236,0.683065,NS
RPL23,0.207,1.2041,0.563392,0.558081,NS
GPD1L,-0.1444,1.7122,0.565897,0.441076,NS
ACTN2,0.4934,0.4958,0.569347,0.847893,NS
RPL11,0.2783,0.8736,0.571366,0.683065,NS
COMMD7,0.2183,1.1051,0.573847,0.600455,NS
SAR1A,-0.1849,1.3025,0.574398,0.543276,NS
RPL36AL,0.2504,0.9531,0.577276,0.654846,NS
ACTA1,0.3445,0.6907,0.578126,0.756765,NS
ERO1A,0.1742,1.3611,0.579262,0.51976,NS
FLOT2,0.1915,1.2373,0.57952,0.553678,NS
TUBB6,0.2367,1.0003,0.579712,0.643232,NS
AP2A1,0.2048,1.1552,0.580066,0.581404,NS
RAB2A,-0.1884,1.2553,0.580107,0.552906,NS
H6PD,-0.1975,1.195,0.58077,0.558081,NS
RPS11,0.1915,1.2292,0.581514,0.554022,NS
SORBS1,-0.3001,0.7843,0.581649,0.722242,NS
SCP2,0.2269,1.0355,0.582122,0.627179,NS
PHKG1,0.1604,1.4543,0.584478,0.493164,NS
MT-CO1,0.2852,0.8143,0.585787,0.704773,NS
DNAJB2,-0.2109,1.0911,0.588716,0.603062,NS
CASQ1,0.244,0.9418,0.589146,0.661154,NS
STAT5B,-0.1678,1.3667,0.589807,0.517433,NS
G3BP1,0.2653,0.8639,0.589885,0.683065,NS
PSMD7,0.1786,1.2804,0.590572,0.547798,NS
HSPA9,0.1518,1.5054,0.590939,0.463446,NS
FLNB,0.259,0.8781,0.592334,0.683065,NS
PRDX6,-0.177,1.284,0.592613,0.547798,NS
RACK1,0.1853,1.2246,0.592973,0.554022,NS
HNRNPH1,0.1811,1.2419,0.595773,0.552906,NS
APOD,-0.2894,0.7745,0.596798,0.725071,NS
ME1,-0.1766,1.268,0.597178,0.551674,NS
PCBD2,-0.1681,1.3304,0.597497,0.53397,NS
ASPSCR1,-0.2054,1.0864,0.598253,0.60393,NS
TALDO1,-0.1538,1.4507,0.598312,0.493164,NS
RPS4X,0.1854,1.1968,0.599955,0.558081,NS
GPT,-0.2234,0.9901,0.600883,0.64815,NS
GGCT,-0.1801,1.2277,0.601081,0.554022,NS
GLO1,-0.1712,1.291,0.601129,0.543994,NS
HMGB2,-0.2043,1.0811,0.60132,0.60643,NS
IGLC2,0.3259,0.6732,0.603376,0.765385,NS
RAB21,-0.1761,1.2442,0.603853,0.552906,NS
RPL6,0.2689,0.8092,0.605872,0.708523,NS
HNRNPM,0.208,1.0429,0.606803,0.624496,NS
TMEM14C,-0.5542,0.3914,0.606819,0.879542,NS
ITGA7,-0.1849,1.1706,0.60758,0.572529,NS
GLUL,-0.2591,0.8353,0.607585,0.69598,NS
GSTZ1,-0.265,0.8148,0.608293,0.704773,NS
RPS20,0.1933,1.1122,0.609501,0.59869000000000006,NS
APOL2,0.2384,0.9012,0.609719,0.682669,NS
UBE2F,-0.2587,0.83,0.609925,0.697215,NS
SLK,0.1945,1.1005,0.610906,0.601256,NS
MARS1,0.2087,1.0227,0.61171,0.635411,NS
IGHG1,0.2532,0.8387,0.613205,0.69598,NS
CAST,0.1906,1.1117,0.613962,0.59869000000000006,NS
TMSB4X,0.2906,0.7277,0.614478,0.744971,NS
RPLP2,0.2326,0.9059,0.615618,0.677424,NS
TOM1L2,-0.1574,1.3352,0.616359,0.531561,NS
IGLC3,0.2703,0.7759,0.617024,0.725071,NS
ATP5MF,-0.2033,1.025,0.618852,0.63439,NS
HEBP1,0.1869,1.1042,0.621733,0.600455,NS
CCT6A,0.1656,1.2413,0.622932,0.552906,NS
MAPK13,-0.2482,0.8256,0.623819,0.697215,NS
TACC2,-0.2012,1.0156,0.624647,0.635411,NS
METAP2,-0.1316,1.5498,0.625163,0.456439,NS
MAVS,-0.1627,1.2496,0.626212,0.552906,NS
