module,uniprot_id,gene,kME,kME_ci_lo,kME_ci_hi,kME_p,GS_pheno,GS,GS_ci_lo,GS_ci_hi,GS_p,GS_n
brown,P35080,PFN2,0.7538,0.621,0.8446,1.5322643203579283e-12,Training,0.1476,-0.106,0.3833,0.25216429024741716,62
brown,Q16082,HSPB2,0.7526,0.6193,0.8438,1.7387182004219662e-12,Training,0.3404,0.099,0.5439,0.006788917465883223,62
brown,Q2TBA0,KLHL40,0.7432,0.6059,0.8375,4.608639506149578e-12,Training,0.1904,-0.0623,0.4202,0.1382714233640354,62
brown,Q14232,EIF2B1,0.7413,0.6032,0.8362,5.575785726843422e-12,Training,0.1518,-0.1019,0.3869,0.23901669613223142,62
turquoise,Q05519,SRSF11,0.9133,0.8596,0.947,4.382123308213785e-25,Type II fCSA,0.4185,0.1389,0.6363,0.004696638078040632,44
turquoise,Q7LG56,RRM2B,0.8916,0.8257,0.9335,2.5939185308668423e-22,Type II fCSA,0.5044,0.244,0.6969,4.812820949914113e-4,44
turquoise,P08621,SNRNP70,0.8816,0.8102,0.9272,3.1703868767760173e-21,Type II fCSA,0.4865,0.2216,0.6845,8.130349448565137e-4,44
turquoise,O94811,TPPP,0.8785,0.8054,0.9252,6.624389779853439e-21,Type II fCSA,0.4127,0.1319,0.6321,0.0053738826146850025,44
turquoise,Q96S66,CLCC1,0.8631,0.7819,0.9155,1.877681909902159e-19,Type II fCSA,0.4008,0.1179,0.6235,0.0070158170269844135,44
turquoise,Q15386,UBE3C,0.8607,0.7782,0.914,3.054986263148567e-19,Type II fCSA,0.4597,0.1886,0.6657,0.0016922570761799584,44
turquoise,Q9BR76,CORO1B,0.8601,0.7773,0.9136,3.453419838915567e-19,Type II fCSA,0.4438,0.1692,0.6545,0.002547135413800506,44
turquoise,Q9BZE9,ASPSCR1,0.8554,0.7702,0.9106,8.632722168661834e-19,Type II fCSA,0.4116,0.1307,0.6313,0.005503050320738543,44
turquoise,Q9BXB4,OSBPL11,0.8534,0.7672,0.9093,1.259442005819866e-18,Type II fCSA,0.3282,0.0347,0.5695,0.029653186448933586,44
turquoise,Q8IZ81,ELMOD2,0.8493,0.761,0.9067,2.707091102436418e-18,Type II fCSA,0.5218,0.2661,0.7089,2.807416200163577e-4,44
turquoise,Q8N5K1,CISD2,0.8492,0.7608,0.9067,2.7437259698466727e-18,Type II fCSA,0.2641,-0.0355,0.5202,0.0831713408607825,44
turquoise,Q9NVD7,PARVA,0.8269,0.7274,0.8924,1.2292530305733296e-16,Type II fCSA,0.23,-0.0718,0.4932,0.13313963626749117,44
turquoise,Q9UGI8,TES,0.8237,0.7226,0.8903,2.0316670454886074e-16,Type II fCSA,0.3979,0.1145,0.6214,0.007477374275157449,44
turquoise,O95816,BAG2,0.8199,0.7169,0.8878,3.640069586308615e-16,Type II fCSA,0.2536,-0.0468,0.512,0.09667723685307444,44
turquoise,Q9Y2Q9,MRPS35,0.815,0.7096,0.8847,7.597831382242054e-16,Type II fCSA,0.4328,0.156,0.6466,0.003342684897310004,44
turquoise,P30085,CMPK1,0.8141,0.7084,0.8841,8.60922030477894e-16,Type II fCSA,0.2421,-0.059,0.5028,0.11333200284279038,44
turquoise,Q12846,STX4,0.8135,0.7075,0.8837,9.412176737967928e-16,Type II fCSA,0.4683,0.199,0.6718,0.001348158428440854,44
turquoise,Q96RL7,VPS13A,0.8058,0.6961,0.8787,2.8196241469912485e-15,Type II fCSA,0.3603,0.071,0.5936,0.016297196302799247,44
turquoise,Q96Q83,ALKBH3,0.8047,0.6945,0.878,3.2668222747409035e-15,Type II fCSA,0.5591,0.3143,0.7341,7.996661562354495e-5,44
turquoise,Q9UI12,ATP6V1H,0.8033,0.6925,0.8771,3.94213377310556e-15,Type II fCSA,0.4284,0.1507,0.6435,0.003713628274690713,44
turquoise,P16989,YBX3,0.8013,0.6895,0.8758,5.2399680251826515e-15,Type II fCSA,0.2097,-0.093,0.4769,0.17194154718059076,44
turquoise,Q00169,PITPNA,0.8002,0.6879,0.875,6.074653431311771e-15,Type II fCSA,0.2997,0.0031,0.5478,0.04809064788572454,44
turquoise,Q9UBQ0,VPS29,0.7964,0.6823,0.8726,1.0054554069662108e-14,Type II fCSA,0.4471,0.1732,0.6568,0.002343478863427961,44
turquoise,Q13492,PICALM,0.7896,0.6725,0.8682,2.417600019721799e-14,Type II fCSA,0.5085,0.2493,0.6998,4.244700268575795e-4,44
turquoise,P61088,UBE2N,0.7867,0.6682,0.8662,3.489993697037815e-14,Type II fCSA,0.1577,-0.146,0.4343,0.306518347431694,44
turquoise,Q13724,MOGS,0.7805,0.6593,0.8622,7.463118095003187e-14,Type II fCSA,0.3316,0.0386,0.5722,0.027865846114415133,44
turquoise,P09601,HMOX1,0.7796,0.6579,0.8616,8.381480894495436e-14,Type II fCSA,0.423,0.1443,0.6396,0.004222699548398013,44
turquoise,Q9H9A6,LRRC40,0.772,0.6469,0.8566,2.0549540988147585e-13,Type II fCSA,0.3742,0.087,0.604,0.012329297097656303,44
turquoise,Q9NZM1,MYOF,0.7688,0.6424,0.8545,2.955748884693347e-13,Type II fCSA,0.4133,0.1327,0.6326,0.005294882006016842,44
turquoise,P48426,PIP4K2A,0.7675,0.6405,0.8536,3.4427084990647966e-13,Type II fCSA,0.2832,-0.0149,0.5351,0.0625029383164538,44
green,Q8TED0,UTP15,0.9387,0.9,0.9628,1.9057022416433847e-29,VL Thickness,0.2745,0.0265,0.4906,0.03087198073071619,62
green,P07951,TPM2,0.9294,0.8851,0.957,1.1619225209323926e-27,VL Thickness,0.3355,0.0936,0.54,0.007677205148871371,62
green,P09493,TPM1,0.9242,0.8768,0.9538,9.282523622600284e-27,VL Thickness,0.3849,0.1495,0.579,0.0020067121168951614,62
green,P12814,ACTN1,0.9201,0.8704,0.9513,4.124867513413071e-26,VL Thickness,0.2993,0.0535,0.5109,0.018115458028818282,62
green,P45378,TNNT3,0.9195,0.8694,0.9509,5.1430931496340064e-26,VL Thickness,0.363,0.1245,0.5618,0.003734168021833058,62
green,O43707,ACTN4,0.9149,0.8621,0.948,2.589310853417475e-25,VL Thickness,0.3401,0.0987,0.5437,0.006838309407698422,62
green,Q9NP98,MYOZ1,0.9059,0.848,0.9424,4.57910333957073e-24,VL Thickness,0.304,0.0587,0.5147,0.016294312167169905,62
green,P50851,LRBA,0.9049,0.8465,0.9418,6.153459576937983e-24,VL Thickness,0.284,0.0368,0.4984,0.02529244136859998,62
green,P48788,TNNI2,0.9039,0.8449,0.9412,8.384836647050234e-24,VL Thickness,0.422,0.1925,0.6077,6.348539862200533e-4,62
green,P35609,ACTN2,0.9033,0.8439,0.9408,1.0127776200143455e-23,VL Thickness,0.278,0.0303,0.4935,0.02868866998897083,62
green,P52179,MYOM1,0.897,0.8342,0.9369,6.006098020096206e-23,VL Thickness,0.342,0.1009,0.5452,0.006509086456987101,62
green,Q9NZQ9,TMOD4,0.8968,0.8338,0.9367,6.433398011583445e-23,VL Thickness,0.3657,0.1276,0.5639,0.003469586981834039,62
green,Q08043,ACTN3,0.8955,0.8318,0.9359,9.115541507457279e-23,VL Thickness,0.4071,0.1752,0.5963,0.0010235440718453137,62
green,P60709,ACTB,0.8708,0.7937,0.9204,3.6891957169191223e-20,VL Thickness,0.318,0.0742,0.526,0.011764698204135502,62
green,Q68DQ2,CRYBG3,0.8694,0.7916,0.9195,4.963041317296105e-20,VL Thickness,0.3075,0.0626,0.5175,0.015039755959758216,62
green,P24043,LAMA2,0.8666,0.7872,0.9177,9.145639248211127e-20,VL Thickness,0.3147,0.0705,0.5234,0.012724223583744063,62
green,P02585,TNNC2,0.8663,0.7867,0.9175,9.679811824399927e-20,VL Thickness,0.4039,0.1714,0.5938,0.001131767036884764,62
green,Q14324,MYBPC2,0.8658,0.786,0.9172,1.072367039164014e-19,VL Thickness,0.4337,0.2063,0.6167,4.2882391021735065e-4,62
