gene,log2_fold_change,neg_log10_pvalue,pi_score,adjusted_pvalue,direction
SEC22B,-0.2152,1.3611,0.509505,0.648533,NS
PSME2,-0.3262,0.8977,0.509552,0.73165,NS
SSR4,0.4483,0.6531,0.509561,0.791172,NS
MYOZ1,0.6395,0.4578,0.509637,0.862695,NS
IPO7,-0.2809,1.0349,0.51204,0.728864,NS
MRPL38,0.3163,0.9187,0.512138,0.73165,NS
HNRNPM,0.3223,0.8997,0.512852,0.73165,NS
RPS27A,-0.3804,0.7615,0.513187,0.77505,NS
SIRT3,0.321,0.8998,0.514204,0.73165,NS
DDI2,0.4567,0.6199,0.521057,0.803195,NS
IMPACT,-0.387,0.7307,0.521419,0.778541,NS
ACAD8,0.2866,0.9864,0.521542,0.73039,NS
BLMH,0.3064,0.9182,0.52321,0.73165,NS
PREB,-0.2611,1.0769,0.523365,0.728864,NS
HSPB6,-0.3387,0.8293,0.523766,0.750334,NS
SVIL,-0.4058,0.6917,0.523969,0.785124,NS
MYH11,0.4717,0.5929,0.525193,0.811361,NS
GARS1,-0.274,1.0124,0.527909,0.728864,NS
MYBPH,0.6148,0.4508,0.528236,0.868535,NS
PACSIN3,0.27,1.0239,0.529054,0.728864,NS
RPS3A,0.2553,1.0806,0.529793,0.728864,NS
SEPTIN11,-0.3073,0.8959,0.530467,0.73165,NS
PRKCQ,-0.3091,0.8886,0.53125,0.73165,NS
MT-ND3,0.3342,0.8192,0.532384,0.751627,NS
CA3,-0.2571,1.0644,0.53258,0.728864,NS
PGRMC2,-0.2975,0.9143,0.534563,0.73165,NS
ADD1,-0.4106,0.6516,0.540093,0.791172,NS
CLU,-0.3575,0.7477,0.540423,0.778541,NS
MAPT,-0.2414,1.1056,0.540884,0.728181,NS
CYB5R3,-0.2305,1.1537,0.542129,0.717279,NS
OBSCN,-0.3213,0.827,0.542349,0.750334,NS
SPAG9,0.2981,0.8865,0.544187,0.73165,NS
HNRNPU,-0.262,1.0006,0.546852,0.728864,NS
PDLIM7,0.4431,0.5904,0.547526,0.813728,NS
MARCKS,-0.2893,0.9036,0.547772,0.73165,NS
CCT6A,-0.2222,1.1691,0.549759,0.715825,NS
CDS2,-0.2655,0.9778,0.550037,0.73039,NS
SH3GLB1,-0.2584,1.0033,0.550456,0.728864,NS
TRIM54,0.2848,0.9071,0.551599,0.73165,NS
TRAPPC3,-0.3508,0.7314,0.553867,0.778541,NS
LMOD2,0.5695,0.448,0.55575,0.868535,NS
UFM1,-0.2864,0.887,0.557136,0.73165,NS
ACACA,-0.2819,0.9005,0.557353,0.73165,NS
PRMT1,-0.2333,1.0878,0.557529,0.728864,NS
ALDH6A1,-0.3185,0.7958,0.557876,0.75604,NS
CSRP1,0.3603,0.702,0.558568,0.785124,NS
MGST3,0.2582,0.9484,0.568995,0.73165,NS
EHBP1L1,-0.2372,1.0307,0.569522,0.728864,NS
DPP7,0.3898,0.6253,0.570485,0.803195,NS
MSN,-0.2227,1.0901,0.571751,0.728864,NS
NDUFA5,0.2566,0.9436,0.572585,0.73165,NS
SEC61A1,-0.3259,0.7417,0.573126,0.778541,NS
PICALM,-0.3506,0.6885,0.573632,0.785124,NS
ART3,0.3393,0.7105,0.574026,0.785124,NS
LASP1,0.3853,0.6244,0.574677,0.803195,NS
LYPLAL1,0.4175,0.5745,0.575618,0.820757,NS
DCTN1,-0.211,1.1333,0.576593,0.717279,NS
EEA1,-0.2579,0.9271,0.576661,0.73165,NS
CLUH,-0.411,0.5814,0.576878,0.81756,NS
NTPCR,-0.3053,0.7808,0.577584,0.76416,NS
EWSR1,-0.2459,0.9689,0.577805,0.73039,NS
SAE1,-0.4464,0.5322,0.5787,0.841189,NS
PMPCB,0.2421,0.9803,0.57903,0.73039,NS
PLN,-0.3365,0.7038,0.579629,0.785124,NS
PSMB5,-0.2344,1.0089,0.580053,0.728864,NS
RPS10,0.2997,0.7878,0.580619,0.761669,NS
COL7A1,-0.3216,0.7341,0.580619,0.778541,NS
KRT19,0.4412,0.5338,0.581395,0.841189,NS
MYCBP,0.2591,0.908,0.581735,0.73165,NS
RPL18,0.3383,0.6934,0.582685,0.785124,NS
PSME4,-0.3336,0.7003,0.583951,0.785124,NS
NTMT1,0.3202,0.7289,0.58422,0.778541,NS
ATP5PB,-0.2077,1.119,0.585553,0.7249,NS
ARCN1,-0.2761,0.8418,0.585576,0.750334,NS
SURF4,-0.2795,0.8268,0.587388,0.750334,NS
DIABLO,0.2503,0.9204,0.588384,0.73165,NS
CORO1B,0.4588,0.5018,0.588538,0.850613,NS
LIMS3,0.2971,0.7728,0.589356,0.768151,NS
RPS18,0.2375,0.9624,0.590779,0.73165,NS
MMGT1,-0.2959,0.7705,0.591534,0.768891,NS
ERP44,-0.4055,0.5609,0.592358,0.824626,NS
AKT2,0.3021,0.7465,0.594954,0.778541,NS
KRT2,0.4247,0.5299,0.595614,0.841189,NS
RAB18,-0.2143,1.046,0.596845,0.728864,NS
NADK2,-0.2855,0.7848,0.596886,0.763497,NS
RPL35,0.313,0.7131,0.598155,0.785124,NS
MRPL21,-0.4252,0.5248,0.598205,0.841629,NS
ABCE1,-0.2593,0.8604,0.598276,0.750334,NS
UBL5,0.2344,0.9475,0.599678,0.73165,NS
ANXA1,-0.3381,0.656,0.600079,0.791172,NS
ATXN10,0.2474,0.8939,0.600969,0.73165,NS
BST2,0.2422,0.9112,0.60159,0.73165,NS
NDUFS4,0.2863,0.7693,0.602221,0.769378,NS
TPD52,0.3615,0.6072,0.603272,0.80715,NS
AIMP2,-0.1777,1.2304,0.604453,0.682164,NS
CLIP1,-0.2223,0.9789,0.605824,0.73039,NS
EIF1,-0.2574,0.8442,0.606331,0.750334,NS
GSTP1,-0.2073,1.0458,0.607081,0.728864,NS
CAND2,-0.2435,0.8853,0.608765,0.73165,NS
COX4I1,0.2479,0.8551,0.61376,0.750334,NS
TBCB,-0.2215,0.9536,0.61492,0.73165,NS
IGHG3,-0.4036,0.5209,0.616276,0.84351,NS
EEFSEC,0.3267,0.6432,0.61636,0.79774,NS
RAP1A,-0.3491,0.6016,0.616576,0.809727,NS
PXN,-0.2863,0.7333,0.616667,0.778541,NS
NDUFA2,0.2473,0.8486,0.61673,0.750334,NS
RPL37A,0.3076,0.6806,0.617519,0.785124,NS
