"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48"
"14",0,1.13365240465062e-05,8.15232639224104e-07,7.397085349272e-09,2.19072361271399e-10,5.21526424095185e-12,3.58010305097701e-13,4.6825445636629e-16,1.14156734494152e-19,6.96023197417201e-20,1.64236977334455e-22,1.82097288459427e-26,1.20605985263632e-24,1.44591974849238e-27,1.14917133210574e-26,1.79217031955151e-25,5.2787062971033e-27,3.51871622211893e-24,2.24150323535274e-25,2.99217062361592e-25,1.09064080399058e-25,2.08090346423918e-24,1.79698205551448e-25,7.65543936815885e-25,1.23566721269855e-25,NA,NA,22.7133411626084,21.1649894057352,21.3307028541424,21.176784883282,20.3052708281775,21.5370640488857,20.0145882285665,18.6037582944546,18.4682457610015,16.8428640783105,17.2735163494785,17.0217291163417,16.4673748303383,15.6023949318478,14.4204460744411,12.4908910430791,11.9620741292015,9.36477002615527,10.1301421277395,10.090493152294,5.71013412614033
"15",0,2.2753177765991e-05,4.36919806872518e-07,2.12098302119445e-08,7.58712440829634e-10,2.2192256590295e-11,5.4316645941937e-13,2.96463534859737e-16,2.80287338866717e-20,5.54104301013319e-21,4.37224350393042e-24,1.46847588980091e-28,1.7005730323721e-25,2.51621728381556e-28,2.06947990139448e-27,1.03340155076551e-25,1.06701107578624e-26,5.51773551375944e-24,1.08154847740565e-24,4.88936523225403e-25,1.3795937717281e-24,2.15819268610577e-23,7.42729017981904e-25,1.0788139353552e-24,1.76080014435479e-25,NA,NA,23.1472598128607,21.627938713025,21.0170947007488,20.8838657608191,19.6641550424893,20.8714667174268,19.4112886875358,17.6775872790268,17.1738708101333,15.9972560102439,16.4152562397595,16.1757854037583,15.2421905318936,14.808282204237,13.6646630111816,12.2071737219973,11.7061734458559,9.60126781298892,9.45185566874997,9.34511331476908,5.0295411750871
"16",0,3.85554592876311e-05,3.17806278654201e-06,4.88956910734787e-08,6.47567187263015e-10,7.28029580895349e-12,6.83007143292949e-13,1.57833588001358e-16,2.14017508395208e-20,1.33839315465918e-21,4.97611030935997e-24,2.52599266149341e-28,6.54834114066591e-26,1.18139030751572e-28,1.01914562607195e-26,1.36348817660621e-25,1.48944446441114e-26,6.34589930263228e-24,3.51836159639262e-24,1.58114420045503e-24,4.15704360439299e-24,5.74648657554268e-23,1.43656886418538e-23,1.95323992128306e-23,1.27987513299096e-24,NA,NA,19.7629886339533,18.3999468539595,18.2093254453659,18.0883161504055,17.3218624581632,18.0635647236885,17.0710540143923,15.8045316657449,15.3196221302553,14.5524486450809,15.2970840725677,15.0580073039412,13.7749090325468,13.3312759243601,12.2126577500712,10.7926733841528,10.6606176831712,8.60955481874437,8.37475624431623,8.10755471202323,4.41370014064625
"17",0,0.000236145115506415,1.56222698385465e-05,9.57196650177127e-08,5.03196212687386e-10,2.19124230703883e-12,7.35636630151023e-13,2.35640329055464e-16,1.59382168782676e-19,1.06735457457445e-20,5.62645096001808e-21,1.78170221366381e-25,6.64580506039165e-23,1.74134364223598e-25,2.73162516085729e-24,9.17185098743846e-24,1.04077798387016e-24,2.76365975964133e-22,5.68952586275501e-23,6.46656435946543e-23,1.51073753091807e-22,4.13290040058265e-21,1.06959415213847e-21,1.35972665262636e-21,6.00564180119808e-22,NA,NA,23.5006049231167,22.435645843293,22.2565786348922,20.9936284858764,19.8347756319953,21.0578293345976,20.4400972720187,19.1325214364014,17.9198447143313,17.172866381716,18.0750307414687,17.5222916847549,16.2562135498723,15.4976545429308,14.4332633119589,13.0549162271093,10.5181791232051,8.10208061019349,8.28570509581056,8.04709007972729,3.85567353438732
"18",0,0.00030036913886623,2.17446886467897e-05,1.64992969753707e-07,3.59541538470036e-10,1.91564566633325e-12,2.38496055421395e-13,2.84238742646316e-17,2.24289210376356e-20,5.68888461028609e-21,1.02462241680784e-21,3.81451796223433e-26,4.76207258273685e-24,4.21078429029445e-27,2.54734911258641e-26,3.40477958343073e-26,1.16756285759079e-26,1.43932935970916e-24,8.05301292211361e-25,3.62921834794736e-25,3.48736890499903e-25,4.58849370645173e-24,4.37778320465387e-25,2.22728520886297e-25,9.17709251153385e-26,NA,NA,23.0275406661059,21.998805238501,21.4519501167174,20.2349660896038,19.1167446429416,20.314897659282,20.1045605449099,18.8296064303567,18.0224922298386,17.6794062915631,18.6265494059635,18.5235092847456,16.8698107451477,16.1508310311857,15.1257314041862,12.9242818427158,10.417928559715,8.02883907408748,8.22849720481443,7.47727663526389,3.34981401668256
"19",0,0.000104532772058638,1.03823693473609e-05,9.18122045031277e-08,7.74283544436909e-11,4.50490745938367e-12,1.61676444844671e-12,9.76340084873964e-17,3.03590348773215e-20,2.51636516586183e-21,4.8656546895444e-22,2.19542571785798e-26,7.71567830173681e-24,2.57360027909895e-27,1.51760526871901e-26,5.78522961969785e-26,1.97490661970258e-26,8.05301292211344e-25,4.48603358319208e-25,7.60829655340923e-26,4.91062131971933e-25,1.49781270110178e-23,1.46376617151804e-24,7.30608533755632e-25,7.49991387220111e-25,NA,NA,23.4450240738605,22.0445259239753,21.8979888902901,21.0708059692023,19.9572547304064,20.4307290999404,20.6260426315851,18.9837725203771,18.1959354658151,18.2602454821515,19.6722685763833,19.6250164102697,17.9855949852945,16.8820573930505,15.896284489128,13.2696574522865,11.189523191861,8.78936343643225,7.75214560052765,7.47317031696383,3.84558915154888
"20",0,3.38950744851323e-05,1.33808742002929e-05,3.67226463636405e-07,1.45879628833197e-10,9.00876044503421e-12,1.1991574138371e-12,2.90747915988945e-17,1.03192809394877e-20,2.92682273224424e-22,6.24074234860386e-23,3.01351908927112e-27,3.78495371823289e-25,1.25469257029863e-28,8.06160363535852e-28,3.28778755958524e-27,1.15385950869452e-27,3.62921834794739e-25,5.25251722511815e-25,8.89864060884069e-26,2.13026753596338e-25,2.5410657777424e-24,9.43223364216507e-26,4.55979806027752e-26,1.16077651120817e-25,NA,NA,21.632670105882,19.942547760271,20.1700016146506,19.7451408341617,18.3178886298935,19.126887550476,19.6864269895024,18.4576845135325,17.6865311043096,18.1372539556862,19.1456047824483,19.100836334491,17.06411957679,15.5488582763053,14.9781029248711,12.8113554759744,10.3344143217389,7.96993519272348,7.31421636560637,6.46400183931899,3.35673570802535
"21",0,4.22473529362255e-05,6.0437790271039e-06,1.22328960943884e-06,1.87549048350136e-09,1.12346175428474e-10,1.41260268081134e-11,3.39421888205747e-14,2.1028641924569e-17,2.10539865141337e-19,1.36012029551351e-20,1.1045814340763e-24,2.81098587590722e-23,1.26827112352251e-26,1.79189313009133e-25,5.78930586700722e-25,1.90629038031634e-25,1.53470567946995e-23,8.09683265973462e-24,1.38317164253565e-24,1.22061990577122e-24,1.3148420405113e-23,2.03213368989088e-25,3.77931729103699e-26,2.33289458918238e-25,NA,NA,23.7615173128073,22.3924610262852,22.6615312444534,21.858981881836,20.3892795892188,20.8992518831633,20.7427308838659,19.8986495741788,19.1415155736522,18.0828068943912,19.1054996083901,19.0766889068394,17.4706994716297,15.9652893974486,14.9886503180784,13.255834109454,11.1897579063613,7.98269520855768,7.33722566114194,7.01163516537512,3.88690502148907
"22",0,1.28439038739668e-05,2.60858136789135e-06,6.11850087156133e-07,9.94361809141084e-10,2.43599180432697e-11,3.37233879619652e-12,3.05938565297761e-15,1.83775285292803e-18,6.51674484142269e-21,4.52283804635765e-22,3.31919885337538e-26,1.00270232242895e-24,1.37663325740769e-28,7.93866579493916e-28,1.04776020882182e-27,1.27515999927616e-28,1.46501174224667e-26,2.99677156118039e-27,1.29546202431693e-27,3.09686912597189e-27,1.48507771085942e-26,6.70601748677111e-29,2.96819668974627e-29,5.21374048990671e-28,NA,NA,23.6609899292081,22.3097683298922,22.9795128953951,22.187352129821,20.7217504078724,20.8675933367155,20.3360190653898,19.1216995192604,17.6198163021808,16.9503469876542,17.919159553559,17.8624146428158,16.2705682357186,15.1826188885336,14.6215530482478,12.4621147004738,10.8215687127423,8.02371828296491,7.38654006933939,6.55912612134429,3.40712396577478
"23",0,3.6036331714369e-06,3.51755539221801e-07,7.24530032645797e-07,1.32129885283335e-09,3.40140426506522e-11,4.75384409694068e-12,4.83043122929327e-15,9.13680184179792e-18,3.56511940197764e-20,2.45339086371217e-21,7.28252958498632e-26,6.86519465993964e-25,3.2388730392801e-29,6.37972612660156e-29,2.47658131443529e-28,8.42343304164003e-29,3.45284966780673e-27,1.85176433761364e-27,7.79170138677591e-28,4.72262035978729e-27,2.15787448373367e-26,9.77335505774425e-29,4.18056869244887e-29,1.81437199515726e-27,NA,NA,25.2463395064619,23.4733045124943,24.1839975453547,23.7940765745304,21.5203141717572,22.0890983815538,21.9743758005508,20.3507647915412,19.2196803548336,18.5694443823008,18.416244951309,17.9692772859344,16.3758562980978,15.2909203052152,14.7397382715807,12.5671102937191,10.9192287018161,8.50576777863333,7.46338051289659,6.64428928851982,3.44991081318047
"24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",0.319906218002868,4.92342095892983,6.4149517059698,6.83435651939306,9.13597270415221,11.532482971791,12.7227262888196,14.871244158502,17.12793136816,20.4173361859328,22.0070021308793,26.5878197001997,26.489796978842,30.9269036896885,30.5705165698278,29.9178588211306,30.8449392792681,29.5743886874793,29.8327925000384,30.2123204512683,28.929383688249,28.6627062304457,30.712159182417,31.5700831647289,28.5295097768874,NA,NA,3.42471179766165e-27,2.07746285604789e-25,3.70111699120527e-26,8.68142978766107e-26,1.70244224367208e-23,4.15009391757415e-24,5.01306341192468e-24,2.11320834153461e-22,7.0037366944806e-21,2.96677123132686e-20,3.89077308411317e-20,1.00574327356241e-19,3.82084631247292e-18,4.35447532001672e-17,1.38279364762132e-16,2.02579729789215e-14,8.45255127801793e-13,6.00439981042927e-10,5.93864117099827e-09,3.17312988711664e-08,0.000161396340228388
"27",0.340089189280146,4.88698196279257,6.8801083913731,7.66583013868788,9.96976136147643,12.3725914858721,13.9799083314768,15.6957209858359,17.5183163148003,21.2874536112793,23.3553236306114,28.5261963989514,28.881932608935,32.9334442772853,32.5457469718771,31.3718569421702,31.8372876319025,30.0942599592052,30.3704520552231,30.3155836434506,28.1758255253322,27.933826380107,29.9810709885439,31.3041316825745,28.2848626525924,NA,NA,7.18610337121335e-27,1.65773133582129e-25,2.82729405652743e-26,1.66162317505477e-25,1.26988481196172e-23,1.92168773570216e-23,5.91088640373338e-23,9.45749744324387e-22,3.06030601680627e-20,7.99002553915416e-19,2.82890324580584e-18,2.02851665317368e-17,1.84402938703593e-15,9.17120663218298e-15,1.38241116202804e-14,7.48650548495717e-13,1.25875842651046e-11,8.22938226355766e-09,1.00942674599939e-07,2.77262844425706e-07,0.000444688240294747
