gene,logFC_A,logFC_TO,pi_A,pi_TO,pi_int,sig_cat,reversed,quadrant
FXYD1,-0.560860439336484,0.0584303385781979,0.08207957306453868,0.9832972042228116,0.9885797993868384,NS,TRUE,Q4
STXBP3,-0.0935765745442687,0.141561867078227,0.9298650455410002,0.7790909940436481,0.17720911816324225,NS,TRUE,Q4
NDUFS8,-0.0120117351621936,-0.00477755456470774,0.9992489154911252,0.9998641952226432,0.3281799705414071,NS,FALSE,Q3
PSMD11,-0.0925046741055766,0.0638433995976122,0.8443411754624931,0.9174635354004758,0.8607727508045391,NS,TRUE,Q4
PSMD12,-0.177785999865623,-0.0482628984854188,0.6840555221888419,0.9771313981902876,0.845314268655713,NS,FALSE,Q3
PSMD9,-0.0523062566826056,0.0687506530171831,0.9742841090181904,0.9442240972084736,0.9145367810516076,NS,TRUE,Q4
PGRMC1,0.0769177371824163,-0.107871536931853,0.9848060053044964,0.9604458021056784,0.9101551965388684,NS,TRUE,Q2
CLIC1,-0.0472489035715071,0.219955793188713,0.9847288313687816,0.5345760967355307,0.9479272877030436,NS,TRUE,Q4
EIF3F,0.101781180038056,-0.0128150165024188,0.8851034971365429,0.9983545452692234,0.868041118320844,NS,TRUE,Q2
PDHX,-0.0300621087210757,-0.0976624150725272,0.990203885822764,0.8460050028683184,0.9733291739132892,NS,FALSE,Q3
DCTN6,-0.31898639715012,0.108653006846678,0.4988510968908419,0.9119413113960898,0.8093590132987876,NS,TRUE,Q4
IPO5,-0.107423438170461,-0.00792245836404959,0.7895983878819196,0.9990798363420004,0.8900939124608434,NS,FALSE,Q3
EEF2K,-0.00261393613182292,-0.107708586622397,0.9999707014298582,0.9193423991242086,0.8569895347580413,NS,FALSE,Q3
EML1,-0.0872717465730517,-0.0734980163811798,0.927668133565801,0.940379643592814,0.999663775399136,NS,FALSE,Q3
DNM1L,0.120329170222288,-0.0487329467924766,0.8172999418056687,0.9697699955484788,0.9531617892395956,NS,TRUE,Q2
RTCA,0.236017233118147,-0.219949524933543,0.3941921972547255,0.375871308753914,0.769203433903791,NS,TRUE,Q2
NDUFA4,0.0487312471368142,0.00517224527952465,0.9810138242883816,0.9997820259580678,0.999797439754829,NS,FALSE,Q1
PSMD14,-0.343674608044331,0.0497141500929494,0.03496813720425071,0.9632671652272669,0.9807657038077012,Sig Young only,TRUE,Q4
BIN1,-0.0341531813914386,-0.0110850279468444,0.9846901702385104,0.9983106008931396,0.3932915342706692,NS,FALSE,Q3
KPNA3,-0.131791012170382,3.66376409033364e-6,0.8603095396410765,0.9999999999071538,0.931500357326328,NS,TRUE,Q4
DDX3X,-0.314518401952938,0.0616049888501067,0.34478137989317426,0.9713057768282256,0.999854777266605,NS,TRUE,Q4
KPNA4,-0.00195221212346652,0.0851646616079051,0.9999612099082364,0.8771064111912522,0.9397361321091,NS,TRUE,Q4
CES2,0.365367436782165,0.0784618989262142,0.4951955769680872,0.9707791575677392,0.9708761483700776,NS,FALSE,Q1
FBP2,-0.1339831515882,-0.0491217043701973,0.906584590411496,0.986849714393074,0.910516123953695,NS,FALSE,Q3
PDXK,-0.0280371403260489,-0.0667755466883335,0.9916205217757686,0.9343182121478278,0.9851274448911108,NS,FALSE,Q3
SDHD,0.164335397942128,-0.0753276174131834,0.8133704465596183,0.9582388144324664,0.8250086760478899,NS,TRUE,Q2
COX7A2L,-0.11562466181422,0.0190100944446741,0.9563592650924904,0.998234358698558,0.8460840145113255,NS,TRUE,Q4
GAPDHS,0.415799674359626,0.0482270396439723,0.5884552251926953,0.9928648832257372,0.9996528847503972,NS,FALSE,Q1
HSPB6,0.398345565023163,0.279712986938303,0.2785758287098478,0.5143806353371104,0.53539734137464,NS,FALSE,Q1
NDUFAB1,-0.250288801609724,-0.0872196722326422,0.5725334379984447,0.9431915823234762,0.6054522650270358,NS,FALSE,Q3
IMPA2,-0.2017590470358,-0.161118582406171,0.6822629183068467,0.759773679263138,0.9561916283979038,NS,FALSE,Q3
PDCD5,0.0245454764293243,0.0277598873245104,0.99442429825849,0.9914760847717634,0.9667388321064648,NS,FALSE,Q1
PRMT5,0.0776247158176488,-0.130574828860652,0.9277870059657176,0.7298645667845649,0.21426994389139525,NS,TRUE,Q2
PSMA7,-0.0823227754831883,0.0436122508338315,0.8798273390617142,0.9648247214334976,0.9258717210717384,NS,TRUE,Q4
OPLAH,0.366468645611434,-0.092095785294827,0.10656899686764894,0.9005267695432383,0.9576997755600136,NS,TRUE,Q2
MGST3,-0.164306666876985,-0.151049339391825,0.7925743006649066,0.79165754155001,0.4414415438890837,NS,FALSE,Q3
RGS12,-0.107256471068979,-0.221269607865636,0.9477786030834612,0.7154137893075354,0.9526242432606004,NS,FALSE,Q3
HAT1,-1.64748613392742,0.799189976965636,1.8651545534063951e-4,0.14424252107390656,0.11477191321061316,Sig Young only,TRUE,Q4
UQCRQ,0.0315646603463868,0.064655802890826,0.9910934502818916,0.9504096184060992,0.567651593681362,NS,FALSE,Q1
MYL12B,0.191858634268456,0.332451852181123,0.7678402530669018,0.2868423665397923,0.3834330414197984,NS,FALSE,Q1
UQCR11,-0.0943946863642005,0.0381679244367561,0.9566889737811504,0.9923918523548654,0.27279397952647433,NS,TRUE,Q4
CASQ2,0.22182610529712599,-0.0327125805921078,0.7289131937806785,0.994305482608004,0.8453354493940409,NS,TRUE,Q2
HGS,-0.156313419025874,-0.0824733543250744,0.8239321154579443,0.9372948673049408,0.9997345554690318,NS,FALSE,Q3
HNRNPDL,-0.247003297305906,-0.052113365894531,0.5553993542427066,0.9798698988069202,0.7590716830143318,NS,FALSE,Q3
XPO1,0.153034136117952,-0.0671590079023332,0.6973295337365129,0.9376939879057974,0.8488583816831959,NS,TRUE,Q2
ATP2A1,-0.175480875883803,0.0379130599178055,0.7677629521009182,0.9895444233101072,0.9882148746962685,NS,TRUE,Q4
SYNJ2,0.015688868155447,0.0703995796673311,0.9992850117633304,0.9818562585983416,0.9625860099293836,NS,FALSE,Q1
SYNM,-1.03203727190436,-0.16634532700737,1.4258126003276043e-4,0.8788109906591105,0.874686851958924,Sig Young only,FALSE,Q3
ARPC1B,0.0104178482942174,0.467621492905298,0.9995201976099258,0.05048622298280567,0.9566366465790516,NS,FALSE,Q1
PGRMC2,0.235900561093629,-0.138069865263503,0.6162171248274675,0.8464778577056465,0.6134851793056288,NS,TRUE,Q2
PFDN6,0.157038662826526,-0.0491396005489122,0.7164437383114355,0.9726241315316292,0.9997511691939538,NS,TRUE,Q2
NDUFA1,-0.77413544115139,0.261882829359234,0.05016283801642451,0.7500515668346015,0.1511362842496158,NS,TRUE,Q4
SURF4,-0.00880390237889017,-0.0852770125837559,0.9996071010730102,0.9487184541618512,0.5285970060457384,NS,FALSE,Q3
MAPK13,0.696519687218711,-0.249246579561028,0.04505856156773084,0.6204430109171364,NA,Sig Young only,TRUE,Q2
TCAP,-0.630836060907729,-0.0516968727589138,0.11561690631818558,0.9907827133190578,0.9755255594313754,NS,FALSE,Q3
PMM2,-0.114663212158653,0.123125677137566,0.9405307281698628,0.912521593148879,0.8936652573807977,NS,TRUE,Q4
EIF3D,-0.255950766387993,0.0134213699896968,0.3789631739277452,0.9983053107895158,0.9887299677519452,NS,TRUE,Q4
EIF3H,-0.22180772981352,-0.122345919879869,0.7683083809759567,0.9022365054857988,0.8048341679300748,NS,FALSE,Q3
BCAT2,0.245355810841076,-0.0448668496722142,0.5419561455962936,0.9844288830400296,0.9996080348838736,NS,TRUE,Q2
STX7,0.0837905478787313,0.0951113507776924,0.945529604972676,0.9064570344763492,0.9287191459957936,NS,FALSE,Q1
SLC16A3,-0.238973370428656,0.136128044583359,0.755643068314767,0.9066191243642324,0.07755560058602737,NS,TRUE,Q4
YKT6,0.0667917896993693,-0.00761547675791263,0.9488905235293308,0.9993645585868708,0.7976855760520734,NS,TRUE,Q2
ARPC5,0.224185775150101,0.129503845098053,0.7874110815082875,0.9033013485654624,0.9564447299467774,NS,FALSE,Q1
TAPBP,-0.0578985982315334,-0.126801869051446,0.9914744628549148,0.8961678589064417,0.6288990928969881,NS,FALSE,Q3
DHX15,0.210700081636652,-0.0968574424340929,0.6523220282654505,0.9024134600175112,0.4720463830087305,NS,TRUE,Q2
CYB5B,-0.095848148859293,-0.20510955114197,0.9575421594737856,0.7377589786641133,0.7285681502022956,NS,FALSE,Q3
NDUFS4,-0.216285007812861,-0.0459253918177289,0.7053435082902716,0.9868759202260547,0.5109340451145673,NS,FALSE,Q3
DYNC1LI2,-0.0416997704123823,-0.0481915067902072,0.9890930462170502,0.98009505225614,0.4315586844658486,NS,FALSE,Q3
PSMD3,-0.325245259533343,-0.0383010910894583,0.11865502199525745,0.9836092025559046,0.6394296467597357,NS,FALSE,Q3
RASA4,0.480460202816662,-0.136084646010833,0.1771583658246518,0.8764047546558087,0.9473699621210896,NS,TRUE,Q2
HNRNPR,-0.366553576058045,0.102846544560027,0.0832393977059028,0.8716866411665912,0.9764903813877684,NS,TRUE,Q4
TXNL1,-0.181604773637488,0.0515172032829732,0.4379984181277612,0.9524901482077796,0.9724656897867044,NS,TRUE,Q4
TPD52L2,-0.0385751285734024,-0.0447823625397206,0.980829724324836,0.967683998292076,0.9570376980319654,NS,FALSE,Q3
ERI3,0.0184826903269055,-0.273312728571813,0.9983643223680678,0.45015078912357176,0.9932526985080392,NS,TRUE,Q2
AKR7A2,0.458301486916596,-0.00539110209425431,0.00460754236584066,0.9997073315214876,0.9612216370235106,Sig Young only,TRUE,Q2
LAT,-0.0631859382614124,0.06497745054223,0.9822156456352038,0.9777103935584774,0.934455805337563,NS,TRUE,Q4
DENR,-0.0946111876902869,-0.00588547194834632,0.8881968713844363,0.9996248357971664,0.9979241667400846,NS,FALSE,Q3
DNPH1,-0.0267392033058798,0.0383932592135956,0.995243144044636,0.987851249729683,0.9764055072569308,NS,TRUE,Q4
TIMM44,0.283913513044407,0.0303847951349212,0.30940710561102697,0.9916719880513464,0.9999739265801127,NS,FALSE,Q1
TRAPPC3,0.552588562208964,0.00343965361264509,0.14217902939475832,0.999931903299157,0.5442276108841907,NS,FALSE,Q1
CHMP2A,0.187037036377422,-0.00941777953454803,0.5158534343330419,0.9989548722298244,0.9473208278536372,NS,TRUE,Q2
NDUFB5,-0.026041922542543,0.0990539361043545,0.9960744019964776,0.9211539963034632,0.1071987494404546,NS,TRUE,Q4
NDUFB3,-0.124252480693364,0.00255580402583888,0.9019491376294416,0.9999616659271354,0.2986281794878247,NS,TRUE,Q4
NDUFA2,-0.156894641180894,-0.0757739802629516,0.8116089392866397,0.9530216565794046,0.679813520881358,NS,FALSE,Q3
BUB3,0.495964824713544,-0.0911381786855792,0.24448623978413983,0.9250633373116433,0.8223135623763983,NS,TRUE,Q2
ACTN4,-1.75304021116585,0.366859783748204,1.1841855083041994e-6,0.6930826057578984,0.02718328013171464,Interaction,TRUE,Q4
GSTZ1,-0.279764660558762,-0.265491202468045,0.6283254246818625,0.6170815221615695,0.9581015656408648,NS,FALSE,Q3
PRKAB2,0.0619924530718023,0.0807452016822161,0.959223260260412,0.9123659624620426,0.9908679737848868,NS,FALSE,Q1
AP1G1,0.189908376317511,0.169361590313144,0.8757743390022577,0.7937024503164699,0.903126613747849,NS,FALSE,Q1
SYNGR2,-0.272963737770702,-0.47950664136043,0.5665660502036703,0.03640965044402564,0.7912742412063123,Sig Old only,FALSE,Q3
SGTA,0.259424507969399,-0.0667306620217616,0.2520893431070431,0.9386446097890816,0.9867627439437874,NS,TRUE,Q2
ENSA,0.0972988008533093,0.00464575369733566,0.935290624003752,0.999857887231766,0.9286845996630224,NS,FALSE,Q1
SLC25A20,0.308396522477889,0.0642501172073047,0.4147182382417064,0.971872322930668,0.8119542282707186,NS,FALSE,Q1
NARS1,-0.439891301159861,0.0159188160530626,0.03717043280965448,0.9978725149110748,0.997148919409844,Sig Young only,TRUE,Q4
LANCL1,-0.169460441842496,-0.0755776618137283,0.7193660025305095,0.940708529212217,0.8483115669159108,NS,FALSE,Q3
SLC37A4,-0.304229525759482,-0.0854630442306537,0.4577191124925961,0.9505870038539266,0.8613853210581403,NS,FALSE,Q3
IDH3B,0.159407612902292,0.293634166323276,0.7911073263099954,0.27180631977256936,0.9955997692268336,NS,FALSE,Q1
CALU,-0.255095749982988,0.30689324218579,0.4423592985850131,0.19559034451195392,0.9513943007770268,NS,TRUE,Q4
AHCYL1,0.03989003387737,0.151318499240446,0.987570670314978,0.7369785547124773,0.8369483675895134,NS,FALSE,Q1
NDUFS5,0.217676079997013,0.0301214141839061,0.713735319864327,0.9947698966745322,0.20753738050402384,NS,FALSE,Q1
TIMM8A,0.498318257315205,0.0849221658780159,0.26553868671033337,0.9661330089145456,0.3529093740142881,NS,FALSE,Q1
PPP1R12B,-0.00482875912990188,-0.0252477512371883,0.9999350610360668,0.9975208046636964,0.18294507221831144,NS,FALSE,Q3
PRPSAP2,-0.426504196752209,-0.0402287862369732,0.17423971671184962,0.9899223591323952,0.8114673106488322,NS,FALSE,Q3
SPAG9,-0.613592669850204,0.15765848058281,0.01031868812442106,0.7972809099064756,0.5470853311123806,Sig Young only,TRUE,Q4
OPA1,0.220219963632786,0.0988443739912981,0.5202108580145237,0.8891325842842733,0.9993539084827509,NS,FALSE,Q1
TBC1D4,-0.140618087108574,0.0571736715823441,0.8323307442648273,0.9644833952413252,0.7048945480096197,NS,TRUE,Q4
SNX3,-0.0162801563837398,-0.0941604697360461,0.9970367038712212,0.8419576345331566,0.998334636288112,NS,FALSE,Q3
SYNCRIP,-0.102798973068293,-0.0630571174385004,0.8999840764476992,0.955147530483524,0.8024814484193903,NS,FALSE,Q3
SELENOF,0.448117915620823,0.131060968063531,0.6401233224750602,0.9102666500691088,0.7894391705881971,NS,FALSE,Q1
KLHL41,-0.421740068865535,0.166551056670826,0.385107413358771,0.8761932932997124,0.6591137115686568,NS,TRUE,Q4
PLIN3,0.338003832189553,0.0536017477603714,0.1069464973379375,0.9673656550491562,0.5952690007727377,NS,FALSE,Q1
KPNA6,-0.195748660904474,0.148467266979114,0.6443380889029365,0.7170577319383615,0.8810519664368087,NS,TRUE,Q4
SNX2,-0.099088452018858,-0.0583783315945219,0.9043630150133471,0.9624151699344592,0.9998699006787166,NS,FALSE,Q3
USO1,0.112958312937483,-0.115439733801061,0.865648981601845,0.8302428172372698,0.9873502891616146,NS,TRUE,Q2
TOM1,0.120011361629274,-0.117040101785019,0.8581905286596822,0.83823643508944,0.9882256946706572,NS,TRUE,Q2
PFKFB2,-0.0142280025640851,0.114081357462656,0.9989154451053543,0.8924026767624055,0.9831312338345862,NS,TRUE,Q4
EDF1,-0.0888997755402912,-0.0629783760214977,0.93771637424371,0.9647399320212549,0.997470656202632,NS,FALSE,Q3
DNAJA2,-0.153468406779147,0.124917969142526,0.6907738772520259,0.7575984214583699,0.9047390455864,NS,TRUE,Q4
CUTA,0.152386696632423,-0.29119608949717,0.8635397420334402,0.4300946875785112,0.9034817866167744,NS,TRUE,Q2
PFDN1,-0.0805879868504142,-0.0455351133273432,0.9377249695577714,0.9776675760492304,0.7857784139400389,NS,FALSE,Q3
NOL3,0.140183957816031,-0.119836101926669,0.840808743314963,0.8634868256509223,0.9999591638319258,NS,TRUE,Q2
WDR1,-0.179734167776029,0.0844369368971023,0.5662712438209679,0.8931469264003619,0.9807117865108868,NS,TRUE,Q4
LDB3,-0.0195754745395043,0.0283473989534535,0.9971314387236894,0.9927123396263396,0.8546404981461043,NS,TRUE,Q4
CLASP2,0.223044708049422,-0.138522572453468,0.7361369107358753,0.8533440636647732,0.9938527768085268,NS,TRUE,Q2
COBL,-0.147998233817347,0.133384808717878,0.9301530618777232,0.9057500655669936,0.9431489464155932,NS,TRUE,Q4
CPNE3,0.091594692486531,-0.0930897855702142,0.9083812716099012,0.8855449816392741,0.9089674070851488,NS,TRUE,Q2
CLUH,0.325030428277856,0.0195627218318286,0.6890036958309104,0.9982964498680156,0.574703957972468,NS,FALSE,Q1
CAND2,0.0340727890552159,-0.0491485443077941,0.9924427362940562,0.9806595930261844,0.5252583685054389,NS,TRUE,Q2
COQ9,0.167989358483609,-0.13853917005568,0.6992530839353013,0.757751126353575,0.9520291156848586,NS,TRUE,Q2
GGCT,-0.124910956316061,-0.180639537189393,0.8348748151934126,0.5794036566685316,0.9184614755844048,NS,FALSE,Q3
NDUFS7,-0.0301089442780729,0.0464629074736536,0.995986464907434,0.9884053854359036,0.05865100398270324,NS,TRUE,Q4
RTN2,-0.0748282627251058,-0.126835077447158,0.9393470914531454,0.7687259811838075,0.5513368340194357,NS,FALSE,Q3
NDUFS2,-0.157754112599484,0.119436036680053,0.8387902720233447,0.8935019900653614,0.11384219740703946,NS,TRUE,Q4
NIPSNAP2,0.18208560447842,-0.0178971313495886,0.6624580156210129,0.9971233279410614,0.8106657346629487,NS,TRUE,Q2
CILP,-0.324003922995878,0.243344216206243,0.6629257731676214,0.6245305691848826,0.03415373934028216,Interaction,TRUE,Q4
TBCA,0.196492855387465,-0.03340231954774,0.5208730215430717,0.986906714031046,0.9389329065686326,NS,TRUE,Q2
ATP6V1G1,0.137424790594743,-0.22270286778895,0.7813485836987714,0.29744199027374235,0.3565302598973475,NS,TRUE,Q2
VPS4B,0.226626027530319,0.109821832367004,0.7373219083697894,0.9109067587247772,0.8925778683513582,NS,FALSE,Q1
SH3BGRL,-0.197443156523374,0.455394302006773,0.8301904700194938,0.15127432835207438,0.6878139134559175,NS,TRUE,Q4
FLNB,-0.820457180719842,0.258899340451261,5.316265558890033e-4,0.5933530231254914,0.8752433723789226,Sig Young only,TRUE,Q4
NDUFS6,0.0191902773152819,0.0375081260491363,0.9979743184739828,0.990482402808852,0.15727781682841463,NS,FALSE,Q1
CS,0.221626932645087,-0.0146180839991708,0.4413720657130754,0.9978126360803404,0.9954827366484068,NS,TRUE,Q2
SEC22B,0.152811176002668,-0.0466019321609714,0.6764157831056674,0.9706076453035836,0.46054665857487953,NS,TRUE,Q2
MTX2,0.0389710938193311,-0.00677258115804236,0.9882456090979954,0.9996256955736664,0.5227556886779449,NS,TRUE,Q2
VPS26A,0.024209647062893,-0.0702001878903644,0.9949775707231108,0.9392991628392792,0.9711017783118407,NS,TRUE,Q2
NDUFB1,-0.128042299695586,-0.0402209600890195,0.8974753978520262,0.989677967707478,0.6774629126197185,NS,FALSE,Q3
PMPCB,0.274454720158982,0.139758088241411,0.37867846906733105,0.7674513298859378,0.6598885143995328,NS,FALSE,Q1
NDUFS3,0.0521434780895653,-0.0452238953535442,0.9807558606316013,0.9831528680890972,0.32011164831600375,NS,TRUE,Q2
ECI2,0.359172547184908,-0.0144969987226133,0.21892547803961063,0.9985795603730424,0.9996800928775824,NS,TRUE,Q2
BANF1,-0.573069167975405,0.203811096804493,0.03437083573235972,0.7226699198767816,0.2705902290456979,Sig Young only,TRUE,Q4
CSDE1,-0.131797904449073,-0.00607959576352357,0.8100624008798971,0.9996573235171796,0.9986358980384258,NS,FALSE,Q3
PRKRA,-0.0512337445624311,0.00471040960069047,0.9909386639209272,0.9999084690911504,0.9477130728752342,NS,TRUE,Q4
LYPLA1,0.0210209808357895,0.0220150476873577,0.9962977905529388,0.9952074180025824,0.9183461380252768,NS,FALSE,Q1
TIPRL,-0.0726804287490701,0.0579956269954067,0.9367566443803828,0.9508241940096676,0.8852977337189797,NS,TRUE,Q4
PPM1B,0.175720991181411,0.00394608096700466,0.7651767896005919,0.9998913589855398,0.7814523048859479,NS,FALSE,Q1
SLC25A12,0.0719783249918216,0.060805104900318,0.9474447254782083,0.9564478611790564,0.812540220603197,NS,FALSE,Q1
TCEA3,0.200808981447992,0.0961444800308939,0.8067006515098913,0.9215108043682194,0.281500768263651,NS,FALSE,Q1
EIF3G,-0.366089014160089,0.0765994909945675,0.11095218923226752,0.9400299762818756,0.6807229145284109,NS,TRUE,Q4
EIF3J,-0.123292358668596,0.0225480065010082,0.7509315999982188,0.9926961850695588,0.8225156180476609,NS,TRUE,Q4
PSMD10,0.00722593863837417,-0.0453464290817358,0.999581630299854,0.975686875858305,0.8628660829079371,NS,TRUE,Q2
IDH1,0.0526128861503885,-0.0980865099846504,0.9679726638179216,0.8477365760053485,0.9768065095697662,NS,TRUE,Q2
SCO1,-0.618396073069476,0.270720962798425,0.02583077733034801,0.5168445136811389,0.29514497121192995,Sig Young only,TRUE,Q4
ALDH1L1,0.0574707989920853,-0.179233826801287,0.9785672191919216,0.7085225547657381,0.4597107859188296,NS,TRUE,Q2
ARL6IP5,0.109749823056983,-0.0593150196946262,0.8655436556400896,0.9580933643020658,0.8915026217320807,NS,TRUE,Q2
DYSF,-0.18966217864627,0.0708809837813078,0.5480804798792455,0.9321242200461178,0.6485258393302632,NS,TRUE,Q4
PIAS2,-0.0781556770311163,0.119008673949587,0.9552931949331228,0.8666716696949321,0.9529569701768528,NS,TRUE,Q4
DCTN3,-0.652850225035863,0.287409737647636,0.04463467828197408,0.4400282716737203,0.27499099131880755,Sig Young only,TRUE,Q4
ATP5PD,0.140436451414658,-0.0352519514929455,0.7723990359891968,0.9864544377740962,0.8406748281439304,NS,TRUE,Q2
FLOT1,0.00399783367980433,0.0232462937441902,0.99989998462665,0.9955600070802626,0.9709923921696396,NS,FALSE,Q1
ATP5MG,0.0362486978788326,-0.0677264947777019,0.98843871232672,0.9469482786502968,0.8291634108854812,NS,TRUE,Q2
GLRX3,-0.309613303474176,0.216505388964851,0.290063095052326,0.5308844181590734,0.30182111605056844,NS,TRUE,Q4
SNCG,0.157866981158342,0.381165651090409,0.9592133097364784,0.3411029278566993,0.9855450222012484,NS,FALSE,Q1
DDAH1,-0.142303100221909,0.0660382889512583,0.8151069879298339,0.9580932328830398,0.8394441470348625,NS,TRUE,Q4
TPPP,0.131973209317486,-0.411308089641913,0.9471923081784428,0.14571603187474355,NA,NS,TRUE,Q2
BAIAP3,-0.160320313272901,-0.0328225012743353,0.8544770060493877,0.9939942020744716,0.9986143040510436,NS,FALSE,Q3
TOMM70,0.141107441527339,-0.0344277911855251,0.8320224643210795,0.990184644115786,0.24948329935509855,NS,TRUE,Q2
UFL1,0.106569126413426,-0.114838173680596,0.9028233763703348,0.8572139028130641,0.9995445578560403,NS,TRUE,Q2
TMEM63A,0.054588042364113,0.0892589649366577,0.9850490010711588,0.9476842871097412,0.7744529056139148,NS,FALSE,Q1
PLPBP,0.13003295693332,-0.124136149660369,0.7800031074799907,0.7598516096847898,0.9939182668006842,NS,TRUE,Q2
ERLIN2,-0.249741466670145,-0.0866184728585715,0.539030665772867,0.9387991627788522,0.8870728314318745,NS,FALSE,Q3
ENDOD1,-0.12564036359684,0.043454944260592,0.8020621408202296,0.9767273057912278,0.9988939821755836,NS,TRUE,Q4
SEC31A,0.0454003264084442,0.120911388660737,0.9877403308009818,0.8348573322668827,0.9958979663450638,NS,FALSE,Q1
NDUFB6,-0.18849484429386,0.016871725986519,0.8079668177997529,0.9985538629809202,0.0911603419970681,NS,TRUE,Q4
MFN2,0.14559608515215,-0.145750471953399,0.8092827699095457,0.7433296096300641,0.6167944873034323,NS,TRUE,Q2
NDUFA3,-0.023260305022383,-0.0926478377830122,0.9975070529592523,0.94687238075922,0.0866049888211238,NS,FALSE,Q3
NDUFB4,0.0468167497140612,-0.00596908230657789,0.988636821536674,0.999802971102688,0.2952413948453713,NS,TRUE,Q2
NDUFB8,-0.0158144946064311,0.0454094263445626,0.9984478228151502,0.9836348884283898,0.28939602756418,NS,TRUE,Q4
NDUFA7,-0.0866520827165722,0.0810693162256406,0.9586763063743968,0.9573703676993708,0.22263460808321217,NS,TRUE,Q4
RTN3,0.132674645479433,0.0620241625805029,0.9180047634641176,0.9802319134026536,0.9874359036884642,NS,FALSE,Q1
LETM1,0.304463407863739,0.0638040167566061,0.331790378672389,0.9661222284103256,0.9999874002389288,NS,FALSE,Q1
STBD1,-0.429100785130206,-0.0317188017424002,0.01468735365562883,0.989229167433432,0.6569511469864447,Sig Young only,FALSE,Q3
ZRANB2,0.358185529853618,0.0261996424970512,0.6488576651932577,0.9979317434063592,0.986664635170184,NS,FALSE,Q1
EPM2A,-0.155093746529477,-0.0231390227313533,0.8745025408709625,0.997235646440304,0.3616513518023683,NS,FALSE,Q3
VAPB,-0.40975387522176,-0.0970008641108038,0.01619652845448854,0.8673422771736582,0.9929102010076928,Sig Young only,FALSE,Q3
NDUFC2,-0.0367745460669973,0.104527632689027,0.9942566367148604,0.9388850347163552,0.1214552847364875,NS,TRUE,Q4
NDUFA10,-0.148373526730783,0.10633553169917,0.8454536794169306,0.9095008031985328,0.20772601179581163,NS,TRUE,Q4
PGLS,0.324402700146365,-0.0607372481893016,0.3597726307792363,0.9716275563543164,0.9872697087288016,NS,TRUE,Q2
TACC2,0.340242821145893,-0.200734304827982,0.25747812069795034,0.6254407489514181,0.34222124382429364,NS,TRUE,Q2
LYPLA2,-0.032620658214217,-0.0234478984146449,0.9957356482211236,0.9969676699111446,0.9704112193678138,NS,FALSE,Q3
IPO7,-0.168461516311542,-0.0765302624423505,0.7759818716705763,0.9508371103904824,0.6182198774818466,NS,FALSE,Q3
ARIH2,-0.261608492061534,0.0799265074014954,0.6237738976402455,0.9482150977667634,0.12817596701936887,NS,TRUE,Q4
PGM3,0.150349898613811,-0.127425676870907,0.8334238747672661,0.8507778086356289,0.8505137288362985,NS,TRUE,Q2
SVIL,-0.642389666143689,-0.230421735249493,0.07032386005611528,0.750970608075618,0.6597950564065422,NS,FALSE,Q3
AHSA1,0.271734046309735,0.0100475124144097,0.32374728443807965,0.999063677903893,0.802038807123993,NS,FALSE,Q1
H6PD,0.213787011490375,-0.197013652573006,0.5980842407470552,0.585634243502728,0.9570306887844584,NS,TRUE,Q2
