sample_id,LV1,LV2,LV3,LV4,LV5,LV6,LV7,LV8
Y_S31_Pre,-0.07715116356294716,0.13259857451484758,-0.3131632765316949,0.5924037494390655,0.0312509951365602,-0.06043076411664966,-0.6264690259077608,0.14210936971380345
Y_S32_Pre,0.1984108069591631,-0.28296964391780866,-0.33565777074695413,-0.10735651413120863,0.04997831448421962,0.40206089407177126,0.035457602337718164,-0.06769911620528979
Y_S34_Pre,1.718233462983977,0.17485415650410588,-0.7363915998221052,0.1342167584162138,0.0487663832801493,0.03316806593475417,-0.26564631227725566,-0.17208298073728856
Y_S35_Pre,-0.2743038580896083,-0.2521784073815922,0.06660696407301014,0.7301799319970661,0.1219151720174327,0.4627155119642329,-0.4753586751017243,-0.41858652647681455
Y_S36_Pre,0.158554083255767,-0.9942544610214403,-0.3643050871124301,0.6488208434257731,0.3336319163773479,0.6682583956460038,-0.030778673012589297,-0.39395373695354813
Y_S40_Pre,-0.12489922055881791,0.22042147129130282,-0.21944066001460644,0.3139483905474736,-0.07300131327804046,0.9335751250502977,-0.6265732946395638,-1.0361906493298774
YP_S14_Post,-0.23981895524644098,0.1834222291100308,-0.34313898343142707,-1.2590057899311624,-0.512866052965248,0.49395182568393914,0.7131775856951597,0.49798301512780574
YP_S45_Post,0.40060021656371864,-0.3879353930861228,-0.9320514883786898,0.6559078534075706,0.4857270874746177,0.7202982808655195,-0.3372232760088026,-0.7875217699975945
YP_S56_Post,-0.17600888439950485,-1.3595144879712722,-0.1968515526140876,-1.368248855453276,0.46024146889367784,0.32231471644562576,1.6714637284243963,0.6009646394940673
Y_S01_Post,-0.15711660103632855,0.4374717509818424,-0.9163753924003113,0.2122457673550036,-0.04479986077007849,0.20011025419743647,0.4606414920752151,-0.22459789532807736
Y_S05_Post,2.1365461423626493,0.12378902111300474,-0.998642129413017,1.3010169614014568,0.3581959835575734,-2.0658661638728226,0.15857394027036092,-0.07612501581098115
Y_S10_Post,1.9391743597607418,-0.619405952918062,-0.15857814200410106,-0.21280531103400924,0.9485524845483265,-2.035120353201623,1.121605000076122,-0.07871799789170211
Y_S11_Post,0.2347168518206772,0.12214889009337071,-0.7116670058814962,1.4606924963258971,0.048093325339695195,0.09176749507978958,-1.0831469741872388,-0.022405530366053722
Y_S16_Post,0.12949698516830532,0.5572602680099144,-0.6520842964256827,0.1980691915360132,-0.2908357876326272,0.12755976236435737,-0.0037707006453749736,-0.39826563083680605
Y_S28_Post,0.4725409284605,-0.5770969766039139,0.18900261571432292,-0.2679699624132368,-0.22174257684752785,0.8532797345845605,-0.1198900654444802,-0.18995155642029998
Y_S30_Post,-0.06871903870939863,-0.7204104775917055,-0.3903545152381932,-0.8296483524470323,0.05585838970111503,0.675424759645143,1.3170148815082172,-0.3803295049422562
Y_S31_Post,0.14007645281080494,-0.9745443914809887,-1.0641559776785134,-0.4222262003391184,0.948377436556609,0.48395521052741225,1.2584558632387386,-0.4478565811953417
Y_S32_Post,0.10208946667128858,-0.6240338524341283,-0.6371277479390945,-0.8581509753876849,-0.13551086434834134,0.7459810127859753,1.1932834561895063,0.008488398903698163
Y_S34_Post,0.14906327543074321,-0.5693723323317917,-1.1567666621943802,0.5129865433174523,0.6700372977891108,0.45842326818994605,0.2373680998705525,-0.4547991559166408
Y_S35_Post,-0.21704762378166906,-0.3229324377012826,-0.7221843131164256,-0.20961325481651846,0.6603247862730797,0.4154583601521001,0.7439430921387505,-0.4826594298632203
Y_S36_Post,-0.18747266466348766,-0.6360967090229075,-0.6133888619584402,0.45013474300394146,0.34835988449712496,0.5117348251944832,0.12210483424174898,0.07150839849164664
Y_S40_Post,-0.31208276353692366,-0.9087560825407786,-0.5276022887980165,-0.24046127992458813,1.4186863900851925,0.4067729171440545,1.160780824043633,-1.4898693097384792
