pathway,padj,NES,size,leadingEdge,database,pval,ES,log2err,contrast
GOBP_NUCLEAR_MEMBRANE_REASSEMBLY,0.8374311794898565,0.9067364969858505,12,BANF1;BROX;UBE2I;CHMP2B;VPS4B,GO:BP,0.5769581887894832,0.34262884245004027,0.021228254941308113,Interaction
GOBP_REGULATION_OF_CHEMOTAXIS,0.8386270085568668,0.9181409610889779,23,THBS4;MPP1;MAPK1;C1QBP;HMGB1;MCU;CORO1B,GO:BP,0.5787707523843165,0.2926982934324637,0.02066676235931508,Interaction
GOBP_POSITIVE_REGULATION_OF_ACTIN_FILAMENT_BUNDLE_ASSEMBLY,0.8387805517036975,-0.9135537539158654,18,PAK1;PFN1;CD47;PXN;PFN2;FLNA;RAC1,GO:BP,0.580564406008193,-0.2945031341520834,0.02465637068534985,Interaction
GOBP_REGULATION_OF_RELEASE_OF_SEQUESTERED_CALCIUM_ION_INTO_CYTOSOL_BY_SARCOPLASMIC_RETICULUM,0.8387805517036975,-0.9114496968046997,20,HRC;ATP1A2;GSTO1;PLN,GO:BP,0.5801962126397444,-0.28556475131169107,0.024708386541747073,Interaction
GOBP_TYPE_I_INTERFERON_PRODUCTION,0.8387805517036975,-0.9113989310807225,19,MAVS;TOMM70,GO:BP,0.5800548947849954,-0.28977579708955714,0.024754079235472817,Interaction
GOBP_ESTROGEN_RECEPTOR_SIGNALING_PATHWAY,0.8433741386361118,0.9000650789101177,12,WBP2;PARP1;CARM1;PHB2,GO:BP,0.5844440387073215,0.34010791133015367,0.021028544795190098,Interaction
GOBP_NUCLEOSIDE_MONOPHOSPHATE_BIOSYNTHETIC_PROCESS,0.8433741386361118,0.9082342663681684,16,NUDT2;IMPDH2;ADK;ADSS2;ADSS1,GO:BP,0.584875157176217,0.3175823772829191,0.02076566323373892,Interaction
GOBP_REGULATION_OF_ACTIN_FILAMENT_ORGANIZATION,0.8435224695344636,0.9280970236892079,54,PREX1;GRB2;TWF2;ACTN2;TPM1;SYNPO2L;TMOD4;CAPZA1;LMOD2,GO:BP,0.5855437665782494,0.24372453598759147,0.019525521854286004,Interaction
GOBP_RESPONSE_TO_AXON_INJURY,0.8437942362251755,-0.898053718612805,12,RTCA;TSPO;SOD1;MAP2K1;DPYSL3;MAP2K2;ARF4,GO:BP,0.5862983425414364,-0.3247572406107961,0.02401156992071776,Interaction
GOBP_SUPEROXIDE_METABOLIC_PROCESS,0.8454631709845631,-0.8998532012016267,15,MAPT;GSTP1;AGT;PRDX1;PARK7;RAC1;SOD1,GO:BP,0.5880250223413762,-0.30659905176820007,0.024141612207546344,Interaction
