"gene","cv_pre","cv_post","delta_cv","age"
"SLC25A12",21.0533641628662,22.3137222587293,1.26035809586309,"Young"
"TCEA3",23.4274817149093,10.1210687002893,-13.3064130146201,"Young"
"EIF3G",38.0459108158644,25.7487532774612,-12.2971575384032,"Young"
"EIF3J",14.8283736180634,16.2228157183271,1.39444210026375,"Young"
"PSMD10",17.4238312645233,19.6011131210951,2.17728185657178,"Young"
"IDH1",15.4082277977343,17.9381550441509,2.52992724641664,"Young"
"SCO1",36.216010562498,16.5915746379726,-19.6244359245254,"Young"
"ALDH1L1",25.1365058448867,22.4134335838355,-2.72307226105112,"Young"
"ARL6IP5",9.82137868564072,21.1265090399306,11.3051303542899,"Young"
"DYSF",15.1516645294273,19.2250422095566,4.07337768012929,"Young"
"PIAS2",24.236930933434,21.6041997379049,-2.63273119552914,"Young"
"DCTN3",12.7922500577205,23.5022559878288,10.7100059301084,"Young"
"ATP5PD",16.1745704869202,15.9039456903128,-0.270624796607343,"Young"
"FLOT1",21.0447219807483,14.7666516217577,-6.27807035899064,"Young"
"ATP5MG",16.8234738444722,10.9837815555936,-5.83969228887861,"Young"
"GLRX3",33.3162741125364,22.2905141463107,-11.0257599662258,"Young"
"DDAH1",13.1754151192814,13.6913061497074,0.515891030425959,"Young"
"BAIAP3",27.6061803502157,31.527272581596,3.92109223138032,"Young"
"TOMM70",26.8113764997406,26.7598151701412,-0.0515613295994086,"Young"
"UFL1",25.9301279513713,17.1711405081978,-8.75898744317357,"Young"
"TMEM63A",33.5759425025303,27.9694483904835,-5.60649411204681,"Young"
"PLPBP",15.6606208479677,12.699176236468,-2.96144461149963,"Young"
"ERLIN2",25.6126596854001,22.383136388621,-3.22952329677915,"Young"
"ENDOD1",19.0018889779472,18.2024060431385,-0.799482934808694,"Young"
"SEC31A",19.7360867523157,28.8825245542337,9.14643780191799,"Young"
"NDUFB6",29.549637205231,43.846726756953,14.297089551722,"Young"
"MFN2",18.2031494814542,17.0478330011794,-1.15531648027479,"Young"
"NDUFA3",25.8985074139315,48.3912895892729,22.4927821753413,"Young"
"NDUFB4",29.0923301699623,42.0125877153208,12.9202575453586,"Young"
"NDUFB8",14.8689749217903,34.8513367556788,19.9823618338885,"Young"
"NDUFA7",23.1602618780366,40.314092028863,17.1538301508265,"Young"
"RTN3",32.9834588093565,39.4786952983406,6.49523648898407,"Young"
"LETM1",24.5696525130665,24.2881787579666,-0.281473755099892,"Young"
"STBD1",18.1084095250108,19.1149367051161,1.0065271801053,"Young"
"ZRANB2",79.8792749459809,48.6211608443878,-31.2581141015931,"Young"
"EPM2A",66.7574554542993,33.673561944168,-33.0838935101313,"Young"
"VAPB",15.7144430892494,22.6962207140545,6.98177762480509,"Young"
"NDUFC2",28.958908651467,48.7758686369564,19.8169599854894,"Young"
"NDUFA10",19.3445632180229,36.5277601168521,17.1831968988292,"Young"
"PGLS",22.2728344874493,36.6110813673232,14.3382468798739,"Young"
"TACC2",27.2427958653924,34.0909408261124,6.84814496071999,"Young"
"LYPLA2",37.4821221931172,56.0982786320716,18.6161564389544,"Young"
"IPO7",21.698286778917,32.3045943319498,10.6063075530327,"Young"
"ARIH2",31.5938574510005,33.8514050356762,2.25754758467568,"Young"
"PGM3",27.2899215939847,26.182927456834,-1.1069941371507,"Young"
"SVIL",43.2455241571953,54.3955647349422,11.150040577747,"Young"
"AHSA1",17.1040750601551,26.5073351163287,9.40326005617354,"Young"
"H6PD",25.6170352890669,17.5437983004909,-8.073236988576,"Young"
"MPC2",23.0392549502881,21.2906644583699,-1.74859049191827,"Young"
"ETHE1",1.91019759932272,19.7476501801892,17.8374525808665,"Young"
"ACSL3",24.2032804344852,16.138296623421,-8.06498381106421,"Young"
"ASMTL",15.6401951542971,22.9178484498258,7.27765329552864,"Young"
"CDS2",12.3463434468494,21.180169516316,8.83382606946659,"Young"
"SNAP29",6.40231125999771,13.0172365636333,6.61492530363563,"Young"
"OXSR1",13.0552704428643,11.6140793232407,-1.44119111962359,"Young"
"LSM8",21.8600408279097,27.9266665860716,6.06662575816198,"Young"
"AP2A1",15.9711541725929,24.5666410787757,8.59548690618287,"Young"
"CAVIN2",18.6469346073298,25.8158436484382,7.16890904110837,"Young"
"BAG2",39.8506486741672,27.6971366875771,-12.1535119865901,"Young"
"BAG3",30.9942768470573,25.6524004929236,-5.34187635413378,"Young"
"MLYCD",33.2923806247932,46.6927397116337,13.4003590868405,"Young"
"AIFM1",14.0263237840405,9.13725502775324,-4.88906875628727,"Young"
"EML2",38.8741535752959,36.0395474897436,-2.83460608555228,"Young"
"BPNT1",34.2401375201643,25.3073010398446,-8.93283648031968,"Young"
"DDAH2",29.876740782761,24.5037155741523,-5.37302520860867,"Young"
