module,trait,n,r,ci_lo,ci_hi,p_raw,p_bh_global
MEgreen,time_num,62,-0.1733,-0.4055,0.0799,0.17801006483927148,0.34087033692626434
MEgreen,interaction,62,-0.1885,-0.4185,0.0643,0.1424051454699434,0.32569088587908096
MEgreen,VL_thick_cm,62,0.3605,0.1217,0.5599,0.003996454018142143,0.02667887428554609
MEgreen,DXA_LBM_kg,62,0.1428,-0.111,0.379,0.2683592353496627,0.4644679073359764
MEgreen,deadlift_1rm_kg,50,0.1858,-0.0976,0.4413,0.19649354752738077,0.32569088587908096
MEgreen,Type_I_fCSA,44,0.121,-0.1825,0.4034,0.43412709224274604,0.5177852966893887
MEgreen,Type_II_fCSA,44,0.3481,0.0571,0.5845,0.020599274830209124,0.02784426576137522
MEturquoise,age_num,62,-0.4553,-0.6331,-0.232,2.0029656458776123e-4,0.00360533816257968
MEturquoise,time_num,62,-0.1784,-0.4099,0.0747,0.16539189816235403,0.3379250063408727
MEturquoise,interaction,62,-0.3323,-0.5375,-0.0901,0.008312518458984975,0.03740633306543255
MEturquoise,VL_thick_cm,62,0.1694,-0.0839,0.4022,0.18798181586956259,0.3524659047554308
MEturquoise,DXA_LBM_kg,62,-0.1553,-0.3899,0.0983,0.228181388284544,0.4026730381492172
MEturquoise,deadlift_1rm_kg,50,0.1171,-0.1667,0.383,0.41802247585295627,0.5294461224272344
MEturquoise,Type_I_fCSA,44,0.1816,-0.1218,0.454,0.2379767707454031,0.3378630608639634
MEturquoise,Type_II_fCSA,44,0.3586,0.0691,0.5924,0.016823550070195852,0.02667887428554609
