gene,expanded_category,logFC_Training_Young,logFC_Training_Old,pi_score_Young,pi_score_Old,pi_score_Interaction,imputed
FARSB,Sig Young Up,0.6285,0.1232,6.01e-4,0.880935,0.087901000000000007,FALSE
MSN,Sig Young Up,0.4949,0.2481,5.67e-4,0.290218,0.477212,FALSE
FLNC,Sig Young Up,0.5282,0.2122,0.043848,0.730899,0.599445,FALSE
AKR1C3,Sig Young Up,0.6694,0.0679,0.005719,0.977685,0.105363,FALSE
S100A11,Sig Young Up,0.544,0.193,0.01724,0.73975,0.453885,TRUE
CALU,Sig Young Up,0.3928,0.3069,0.040021,0.19559000000000001,0.951394,FALSE
GBE1,Sig Young Up,0.4435,0.2465,0.030169,0.471041,0.7604,FALSE
DYNLT1,Sig Young Up,0.4335,0.2535,0.008468,0.265105,0.720644,TRUE
RPS11,Sig Young Up,0.4924,0.1916,0.002318,0.580483,0.36461,TRUE
HSPB7,Sig Young Up,0.4731,0.2019,0.033092,0.679465,0.61046,FALSE
VARS1,Sig Young Up,0.5164,0.154,9.26e-4,0.728248,0.19653,FALSE
CBR1,Sig Young Up,0.4263,0.2353,0.017187,0.425499,0.728249,FALSE
CCT6A,Sig Young Up,0.4038,0.1658,0.006518,0.605014,0.469694,FALSE
DYNC1H1,Sig Young Up,0.4449,0.1194,8.79e-4,0.781874,0.159864,FALSE
CAPN2,Sig Young Up,0.3463,0.2028,0.04797,0.476465,0.819389,FALSE
USP9X,Sig Young Up,0.4173,0.1198,0.016221,0.764688,0.290684,TRUE
RAB6A,Sig Young Up,0.4373,0.0819,0.035369,0.943619,0.312483,TRUE
PSME1,Sig Young Up,0.3948,0.1158,0.011052,0.819473,0.344515,FALSE
FARSA,Sig Young Up,0.4426,0.0452,0.04089,0.985369,0.24418,TRUE
DYNC1I2,Sig Young Up,0.3792,0.0892,0.013879,0.89368,0.290962,FALSE
