uniprot_id,gene,contrast,flag,classification
O14818,PSMA7,Training_Young,never_sig,NS
O14841,OPLAH,Training_Young,never_sig,NS
O14880,MGST3,Training_Young,robust,Robust
O14924,RGS12,Training_Young,never_sig,NS
O14929,HAT1,Training_Young,never_sig,NS
O14949,UQCRQ,Training_Young,never_sig,NS
O14950,MYL12B,Training_Young,never_sig,NS
O14957,UQCR11,Training_Young,never_sig,NS
O14958,CASQ2,Training_Young,never_sig,NS
O14964,HGS,Training_Young,never_sig,NS
O14979,HNRNPDL,Training_Young,never_sig,NS
O14980,XPO1,Training_Young,never_sig,NS
O14983,ATP2A1,Training_Young,never_sig,NS
O15056,SYNJ2,Training_Young,never_sig,NS
O15061,SYNM,Training_Young,never_sig,NS
O15143,ARPC1B,Training_Young,never_sig,NS
O15144,ARPC2,Training_Young,never_sig,NS
O15173,PGRMC2,Training_Young,never_sig,NS
O15212,PFDN6,Training_Young,never_sig,NS
O15239,NDUFA1,Training_Young,never_sig,NS
O15260,SURF4,Training_Young,never_sig,NS
O15264,MAPK13,Training_Young,never_sig,NS
O15273,TCAP,Training_Young,never_sig,NS
O15305,PMM2,Training_Young,never_sig,NS
O15371,EIF3D,Training_Young,never_sig,NS
O15372,EIF3H,Training_Young,never_sig,NS
O15382,BCAT2,Training_Young,never_sig,NS
O15400,STX7,Training_Young,never_sig,NS
O15427,SLC16A3,Training_Young,imputation_dependent,Conditional
O15498,YKT6,Training_Young,never_sig,NS
O15511,ARPC5,Training_Young,never_sig,NS
O15533,TAPBP,Training_Young,imputation_dependent,Conditional
O43143,DHX15,Training_Young,never_sig,NS
O43169,CYB5B,Training_Young,never_sig,NS
O43181,NDUFS4,Training_Young,never_sig,NS
O43237,DYNC1LI2,Training_Young,never_sig,NS
O43242,PSMD3,Training_Young,never_sig,NS
O43374,RASA4,Training_Young,never_sig,NS
O43390,HNRNPR,Training_Young,never_sig,NS
O43396,TXNL1,Training_Young,never_sig,NS
O43399,TPD52L2,Training_Young,never_sig,NS
O43414,ERI3,Training_Young,never_sig,NS
O43488,AKR7A2,Training_Young,never_sig,NS
O43561,LAT,Training_Young,never_sig,NS
O43583,DENR,Training_Young,never_sig,NS
O43598,DNPH1,Training_Young,never_sig,NS
O43615,TIMM44,Training_Young,never_sig,NS
O43617,TRAPPC3,Training_Young,never_sig,NS
O43633,CHMP2A,Training_Young,never_sig,NS
O43674,NDUFB5,Training_Young,robust,Robust
O43676,NDUFB3,Training_Young,imputation_dependent,Conditional
O43678,NDUFA2,Training_Young,never_sig,NS
O43684,BUB3,Training_Young,never_sig,NS
O43707,ACTN4,Training_Young,never_sig,NS
O43708,GSTZ1,Training_Young,never_sig,NS
O43741,PRKAB2,Training_Young,never_sig,NS
O43747,AP1G1,Training_Young,never_sig,NS
O43760,SYNGR2,Training_Young,never_sig,NS
O43765,SGTA,Training_Young,never_sig,NS
O43768,ENSA,Training_Young,never_sig,NS
O43772,SLC25A20,Training_Young,never_sig,NS
O43776,NARS1,Training_Young,never_sig,NS
O43813,LANCL1,Training_Young,never_sig,NS
O43826,SLC37A4,Training_Young,never_sig,NS
O43837,IDH3B,Training_Young,never_sig,NS
O43852,CALU,Training_Young,robust,Robust
O43865,AHCYL1,Training_Young,robust,Robust
O43920,NDUFS5,Training_Young,imputation_dependent,Conditional
O60220,TIMM8A,Training_Young,never_sig,NS
O60237,PPP1R12B,Training_Young,never_sig,NS
O60256,PRPSAP2,Training_Young,never_sig,NS
O60271,SPAG9,Training_Young,never_sig,NS
O60313,OPA1,Training_Young,never_sig,NS
O60343,TBC1D4,Training_Young,never_sig,NS
O60493,SNX3,Training_Young,never_sig,NS
O60506,SYNCRIP,Training_Young,never_sig,NS
O60613,SELENOF,Training_Young,never_sig,NS
O60662,KLHL41,Training_Young,never_sig,NS
O60664,PLIN3,Training_Young,robust,Robust
O60684,KPNA6,Training_Young,never_sig,NS
O60749,SNX2,Training_Young,never_sig,NS
O60763,USO1,Training_Young,never_sig,NS
O60784,TOM1,Training_Young,never_sig,NS
O60825,PFKFB2,Training_Young,never_sig,NS
O60869,EDF1,Training_Young,never_sig,NS
O60884,DNAJA2,Training_Young,robust,Robust
O60888,CUTA,Training_Young,never_sig,NS
O60925,PFDN1,Training_Young,never_sig,NS
O60936,NOL3,Training_Young,never_sig,NS
O75083,WDR1,Training_Young,never_sig,NS
O75112,LDB3,Training_Young,never_sig,NS
O75122,CLASP2,Training_Young,never_sig,NS
O75128,COBL,Training_Young,never_sig,NS
O75131,CPNE3,Training_Young,never_sig,NS
O75153,CLUH,Training_Young,never_sig,NS
O75155,CAND2,Training_Young,never_sig,NS
O75208,COQ9,Training_Young,never_sig,NS
O75223,GGCT,Training_Young,robust,Robust
O75251,NDUFS7,Training_Young,robust,Robust
O75298,RTN2,Training_Young,never_sig,NS
O75306,NDUFS2,Training_Young,imputation_dependent,Conditional
O75323,NIPSNAP2,Training_Young,never_sig,NS
O75339,CILP,Training_Young,never_sig,NS
O75347,TBCA,Training_Young,never_sig,NS
O75348,ATP6V1G1,Training_Young,never_sig,NS
O75351,VPS4B,Training_Young,never_sig,NS
O75368,SH3BGRL,Training_Young,never_sig,NS
O75369,FLNB,Training_Young,never_sig,NS
O75380,NDUFS6,Training_Young,robust,Robust
O75390,CS,Training_Young,never_sig,NS
O75396,SEC22B,Training_Young,never_sig,NS
O75431,MTX2,Training_Young,never_sig,NS
O75436,VPS26A,Training_Young,never_sig,NS
O75438,NDUFB1,Training_Young,imputation_dependent,Conditional
O75439,PMPCB,Training_Young,never_sig,NS
O75489,NDUFS3,Training_Young,robust,Robust
O75521,ECI2,Training_Young,never_sig,NS
O75531,BANF1,Training_Young,never_sig,NS
O75534,CSDE1,Training_Young,never_sig,NS
O75569,PRKRA,Training_Young,never_sig,NS
O75608,LYPLA1,Training_Young,never_sig,NS
O75663,TIPRL,Training_Young,never_sig,NS
O75688,PPM1B,Training_Young,never_sig,NS
O75746,SLC25A12,Training_Young,never_sig,NS
O75764,TCEA3,Training_Young,never_sig,NS
O75821,EIF3G,Training_Young,never_sig,NS
O75822,EIF3J,Training_Young,never_sig,NS
O75832,PSMD10,Training_Young,never_sig,NS
O75874,IDH1,Training_Young,never_sig,NS
O75880,SCO1,Training_Young,never_sig,NS
O75891,ALDH1L1,Training_Young,never_sig,NS
O75915,ARL6IP5,Training_Young,never_sig,NS
O75923,DYSF,Training_Young,robust,Robust
O75928,PIAS2,Training_Young,never_sig,NS
O75935,DCTN3,Training_Young,never_sig,NS
O75947,ATP5PD,Training_Young,never_sig,NS
O75955,FLOT1,Training_Young,never_sig,NS
O75964,ATP5MG,Training_Young,never_sig,NS
O76003,GLRX3,Training_Young,robust,Robust
O76070,SNCG,Training_Young,never_sig,NS
O94760,DDAH1,Training_Young,never_sig,NS
O94811,TPPP,Training_Young,imputation_dependent,Conditional
O94812,BAIAP3,Training_Young,never_sig,NS
O94826,TOMM70,Training_Young,robust,Robust
O94874,UFL1,Training_Young,never_sig,NS
O94886,TMEM63A,Training_Young,never_sig,NS
O94903,PLPBP,Training_Young,never_sig,NS
O94905,ERLIN2,Training_Young,never_sig,NS
O94919,ENDOD1,Training_Young,never_sig,NS
O94979,SEC31A,Training_Young,never_sig,NS
O95139,NDUFB6,Training_Young,robust,Robust
O95140,MFN2,Training_Young,never_sig,NS
O95167,NDUFA3,Training_Young,robust,Robust
O95168,NDUFB4,Training_Young,imputation_dependent,Conditional
O95169,NDUFB8,Training_Young,imputation_dependent,Conditional
O95182,NDUFA7,Training_Young,never_sig,NS
O95197,RTN3,Training_Young,never_sig,NS
O95202,LETM1,Training_Young,never_sig,NS
O95210,STBD1,Training_Young,never_sig,NS
O95218,ZRANB2,Training_Young,never_sig,NS
O95278,EPM2A,Training_Young,never_sig,NS
O95292,VAPB,Training_Young,never_sig,NS
O95298,NDUFC2,Training_Young,never_sig,NS
O95299,NDUFA10,Training_Young,never_sig,NS
O95336,PGLS,Training_Young,never_sig,NS
O95359,TACC2,Training_Young,never_sig,NS
O95372,LYPLA2,Training_Young,never_sig,NS
O95373,IPO7,Training_Young,never_sig,NS
O95376,ARIH2,Training_Young,never_sig,NS
O95394,PGM3,Training_Young,never_sig,NS
O95425,SVIL,Training_Young,never_sig,NS
O95433,AHSA1,Training_Young,never_sig,NS
O95479,H6PD,Training_Young,never_sig,NS
O95563,MPC2,Training_Young,never_sig,NS
O95571,ETHE1,Training_Young,never_sig,NS
O95573,ACSL3,Training_Young,never_sig,NS
O95671,ASMTL,Training_Young,never_sig,NS
O95674,CDS2,Training_Young,never_sig,NS
O95721,SNAP29,Training_Young,never_sig,NS
O95747,OXSR1,Training_Young,never_sig,NS
O95777,LSM8,Training_Young,imputation_dependent,Conditional
O95782,AP2A1,Training_Young,imputation_dependent,Conditional
O95810,CAVIN2,Training_Young,never_sig,NS
O95816,BAG2,Training_Young,never_sig,NS
O95817,BAG3,Training_Young,never_sig,NS
O95822,MLYCD,Training_Young,never_sig,NS
O95831,AIFM1,Training_Young,never_sig,NS
O95834,EML2,Training_Young,never_sig,NS
O95861,BPNT1,Training_Young,never_sig,NS
O95865,DDAH2,Training_Young,imputation_masked,Conditional
O95870,ABHD16A,Training_Young,never_sig,NS
O95881,TXNDC12,Training_Young,never_sig,NS
O95989,NUDT3,Training_Young,never_sig,NS
O96000,NDUFB10,Training_Young,robust,Robust
O96005,CLPTM1,Training_Young,never_sig,NS
O96007,MOCS2,Training_Young,never_sig,NS
O96008,TOMM40,Training_Young,imputation_dependent,Conditional
O96011,PEX11B,Training_Young,never_sig,NS
P00167,CYB5A,Training_Young,never_sig,NS
P00325,ADH1B,Training_Young,robust,Robust
P00338,LDHA,Training_Young,never_sig,NS
P00352,ALDH1A1,Training_Young,never_sig,NS
P00367,GLUD1,Training_Young,robust,Robust
P00387,CYB5R3,Training_Young,never_sig,NS
P00390,GSR,Training_Young,never_sig,NS
P00395,MT-CO1,Training_Young,never_sig,NS
P00403,MT-CO2,Training_Young,imputation_dependent,Conditional
P00414,MT-CO3,Training_Young,robust,Robust
P00441,SOD1,Training_Young,never_sig,NS
P00450,CP,Training_Young,never_sig,NS
P00488,F13A1,Training_Young,never_sig,NS
P00492,HPRT1,Training_Young,robust,Robust
P00505,GOT2,Training_Young,never_sig,NS
P00558,PGK1,Training_Young,never_sig,NS
P00568,AK1,Training_Young,never_sig,NS
P00738,HP,Training_Young,never_sig,NS
P00751,CFB,Training_Young,never_sig,NS
P00846,MT-ATP6,Training_Young,never_sig,NS
P00918,CA2,Training_Young,never_sig,NS
P00966,ASS1,Training_Young,never_sig,NS
P01009,SERPINA1,Training_Young,never_sig,NS
P01011,SERPINA3,Training_Young,never_sig,NS
P01019,AGT,Training_Young,never_sig,NS
P01023,A2M,Training_Young,never_sig,NS
P01024,C3,Training_Young,never_sig,NS
P01034,CST3,Training_Young,never_sig,NS
P01040,CSTA,Training_Young,never_sig,NS
P01591,JCHAIN,Training_Young,never_sig,NS
P01619,IGKV3-20,Training_Young,never_sig,NS
P01780,IGHV3-7,Training_Young,never_sig,NS
P01834,IGKC,Training_Young,never_sig,NS
P01857,IGHG1,Training_Young,never_sig,NS
P01859,IGHG2,Training_Young,never_sig,NS
P01860,IGHG3,Training_Young,never_sig,NS
P01871,IGHM,Training_Young,never_sig,NS
P01876,IGHA1,Training_Young,never_sig,NS
P01889,HLA-B,Training_Young,never_sig,NS
P01911,HLA-DRB1,Training_Young,never_sig,NS
P02144,MB,Training_Young,never_sig,NS
P02452,COL1A1,Training_Young,robust,Robust
P02461,COL3A1,Training_Young,robust,Robust
P02462,COL4A1,Training_Young,robust,Robust
P02511,CRYAB,Training_Young,never_sig,NS
P02533,KRT14,Training_Young,never_sig,NS
P02545,LMNA,Training_Young,imputation_dependent,Conditional
P02585,TNNC2,Training_Young,never_sig,NS
P02649,APOE,Training_Young,never_sig,NS
P02655,APOC2,Training_Young,never_sig,NS
P02750,LRG1,Training_Young,never_sig,NS
P02751,FN1,Training_Young,never_sig,NS
P02753,RBP4,Training_Young,never_sig,NS
P02763,ORM1,Training_Young,never_sig,NS
P02766,TTR,Training_Young,never_sig,NS
P02768,ALB,Training_Young,never_sig,NS
P02786,TFRC,Training_Young,never_sig,NS
P02787,TF,Training_Young,never_sig,NS
P02792,FTL,Training_Young,never_sig,NS
P02794,FTH1,Training_Young,never_sig,NS
P02795,MT2A,Training_Young,never_sig,NS
P03886,MT-ND1,Training_Young,robust,Robust
P03891,MT-ND2,Training_Young,imputation_dependent,Conditional
P03897,MT-ND3,Training_Young,imputation_dependent,Conditional
P03905,MT-ND4,Training_Young,robust,Robust
P03915,MT-ND5,Training_Young,never_sig,NS
P03928,MT-ATP8,Training_Young,never_sig,NS
P04040,CAT,Training_Young,never_sig,NS
P04075,ALDOA,Training_Young,never_sig,NS
P04080,CSTB,Training_Young,never_sig,NS
P04083,ANXA1,Training_Young,robust,Robust
P04179,SOD2,Training_Young,never_sig,NS
P04264,KRT1,Training_Young,never_sig,NS
P04275,VWF,Training_Young,never_sig,NS
P04406,GAPDH,Training_Young,never_sig,NS
P04439,HLA-A,Training_Young,never_sig,NS
P04632,CAPNS1,Training_Young,never_sig,NS
P04792,HSPB1,Training_Young,robust,Robust
P04843,RPN1,Training_Young,never_sig,NS
P04844,RPN2,Training_Young,never_sig,NS
P04899,GNAI2,Training_Young,never_sig,NS
P05023,ATP1A1,Training_Young,imputation_dependent,Conditional
P05026,ATP1B1,Training_Young,never_sig,NS
P05090,APOD,Training_Young,never_sig,NS
P05091,ALDH2,Training_Young,never_sig,NS
P05109,S100A8,Training_Young,never_sig,NS
P05141,SLC25A5,Training_Young,never_sig,NS
P05155,SERPING1,Training_Young,never_sig,NS
P05165,PCCA,Training_Young,never_sig,NS
P05166,PCCB,Training_Young,never_sig,NS
P05198,EIF2S1,Training_Young,never_sig,NS
P05386,RPLP1,Training_Young,never_sig,NS
P05387,RPLP2,Training_Young,never_sig,NS
P05388,RPLP0,Training_Young,never_sig,NS
P05413,FABP3,Training_Young,never_sig,NS
P05452,CLEC3B,Training_Young,never_sig,NS
P05455,SSB,Training_Young,never_sig,NS
P05556,ITGB1,Training_Young,never_sig,NS
P05783,KRT18,Training_Young,never_sig,NS
P05787,KRT8,Training_Young,never_sig,NS
P05976,MYL1,Training_Young,never_sig,NS
P06396,GSN,Training_Young,robust,Robust
P06454,PTMA,Training_Young,never_sig,NS
P06576,ATP5F1B,Training_Young,never_sig,NS
P06702,S100A9,Training_Young,never_sig,NS
P06703,S100A6,Training_Young,robust,Robust
P06730,EIF4E,Training_Young,never_sig,NS
P06732,CKM,Training_Young,never_sig,NS
P06733,ENO1,Training_Young,never_sig,NS
P06737,PYGL,Training_Young,never_sig,NS
P06744,GPI,Training_Young,never_sig,NS
P06748,NPM1,Training_Young,never_sig,NS
P06753,TPM3,Training_Young,never_sig,NS
P07099,EPHX1,Training_Young,never_sig,NS
P07108,DBI,Training_Young,never_sig,NS
P07195,LDHB,Training_Young,never_sig,NS
P07203,GPX1,Training_Young,imputation_dependent,Conditional
P07237,P4HB,Training_Young,never_sig,NS
P07305,H1-0,Training_Young,robust,Robust
P07339,CTSD,Training_Young,never_sig,NS
P07355,ANXA2,Training_Young,never_sig,NS
P07384,CAPN1,Training_Young,never_sig,NS
P07437,TUBB,Training_Young,robust,Robust
P07451,CA3,Training_Young,never_sig,NS
P07585,DCN,Training_Young,never_sig,NS
P07602,PSAP,Training_Young,never_sig,NS
P07737,PFN1,Training_Young,never_sig,NS
P07738,BPGM,Training_Young,never_sig,NS
P07741,APRT,Training_Young,never_sig,NS
P07814,EPRS1,Training_Young,robust,Robust
P07858,CTSB,Training_Young,never_sig,NS
P07900,HSP90AA1,Training_Young,never_sig,NS
P07919,UQCRH,Training_Young,never_sig,NS
P07951,TPM2,Training_Young,never_sig,NS
P07954,FH,Training_Young,never_sig,NS
P08123,COL1A2,Training_Young,robust,Robust
P08133,ANXA6,Training_Young,never_sig,NS
P08237,PFKM,Training_Young,never_sig,NS
P08238,HSP90AB1,Training_Young,never_sig,NS
P08294,SOD3,Training_Young,imputation_dependent,Conditional
P08311,CTSG,Training_Young,imputation_dependent,Conditional
P08559,PDHA1,Training_Young,never_sig,NS
P08572,COL4A2,Training_Young,robust,Robust
P08574,CYC1,Training_Young,never_sig,NS
P08590,MYL3,Training_Young,robust,Robust
P08603,CFH,Training_Young,never_sig,NS
P08621,SNRNP70,Training_Young,never_sig,NS
P08651,NFIC,Training_Young,robust,Robust
P08670,VIM,Training_Young,never_sig,NS
P08697,SERPINF2,Training_Young,never_sig,NS
P08708,RPS17,Training_Young,never_sig,NS
P08727,KRT19,Training_Young,never_sig,NS
P08758,ANXA5,Training_Young,never_sig,NS
P08865,RPSA,Training_Young,never_sig,NS
P09012,SNRPA,Training_Young,never_sig,NS
P09104,ENO2,Training_Young,never_sig,NS
P09110,ACAA1,Training_Young,never_sig,NS
P09211,GSTP1,Training_Young,never_sig,NS
P09382,LGALS1,Training_Young,never_sig,NS
P09417,QDPR,Training_Young,never_sig,NS
P09429,HMGB1,Training_Young,robust,Robust
P09467,FBP1,Training_Young,never_sig,NS
P09488,GSTM1,Training_Young,never_sig,NS
P09493,TPM1,Training_Young,never_sig,NS
P09497,CLTB,Training_Young,robust,Robust
P09525,ANXA4,Training_Young,never_sig,NS
P09601,HMOX1,Training_Young,imputation_dependent,Conditional
P09622,DLD,Training_Young,never_sig,NS
P09651,HNRNPA1,Training_Young,never_sig,NS
P09669,COX6C,Training_Young,imputation_dependent,Conditional
P09874,PARP1,Training_Young,never_sig,NS
P09913,IFIT2,Training_Young,never_sig,NS
P09936,UCHL1,Training_Young,robust,Robust
P09960,LTA4H,Training_Young,never_sig,NS
P09972,ALDOC,Training_Young,never_sig,NS
P0CW19,LIMS3,Training_Young,never_sig,NS
P0DMV8,HSPA1A,Training_Young,never_sig,NS
P0DOY2,IGLC2,Training_Young,never_sig,NS
P0DOY3,IGLC3,Training_Young,never_sig,NS
P0DP23,CALM1,Training_Young,never_sig,NS
P10109,FDX1,Training_Young,never_sig,NS
P10176,COX8A,Training_Young,never_sig,NS
P10253,GAA,Training_Young,never_sig,NS
P10301,RRAS,Training_Young,never_sig,NS
P10398,ARAF,Training_Young,never_sig,NS
P10515,DLAT,Training_Young,never_sig,NS
P10599,TXN,Training_Young,never_sig,NS
P10606,COX5B,Training_Young,never_sig,NS
P10636,MAPT,Training_Young,robust,Robust
P10644,PRKAR1A,Training_Young,never_sig,NS
P10768,ESD,Training_Young,never_sig,NS
P10809,HSPD1,Training_Young,never_sig,NS
P10828,THRB,Training_Young,never_sig,NS
P10909,CLU,Training_Young,never_sig,NS
P10916,MYL2,Training_Young,robust,Robust
P11021,HSPA5,Training_Young,never_sig,NS
P11047,LAMC1,Training_Young,robust,Robust
P11055,MYH3,Training_Young,never_sig,NS
P11142,HSPA8,Training_Young,never_sig,NS
P11171,EPB41,Training_Young,never_sig,NS
P11177,PDHB,Training_Young,never_sig,NS
P11182,DBT,Training_Young,never_sig,NS
P11216,PYGB,Training_Young,never_sig,NS
P11217,PYGM,Training_Young,never_sig,NS
P11233,RALA,Training_Young,never_sig,NS
P11277,SPTB,Training_Young,never_sig,NS
P11279,LAMP1,Training_Young,never_sig,NS
P11310,ACADM,Training_Young,never_sig,NS
P11441,UBL4A,Training_Young,never_sig,NS
P11532,DMD,Training_Young,never_sig,NS
P11586,MTHFD1,Training_Young,never_sig,NS
P11766,ADH5,Training_Young,never_sig,NS
P11940,PABPC1,Training_Young,never_sig,NS
P12081,HARS1,Training_Young,never_sig,NS
P12109,COL6A1,Training_Young,imputation_dependent,Conditional
P12110,COL6A2,Training_Young,never_sig,NS
P12111,COL6A3,Training_Young,never_sig,NS
P12235,SLC25A4,Training_Young,never_sig,NS
P12236,SLC25A6,Training_Young,never_sig,NS
P12268,IMPDH2,Training_Young,never_sig,NS
P12277,CKB,Training_Young,never_sig,NS
P12429,ANXA3,Training_Young,imputation_dependent,Conditional
P12694,BCKDHA,Training_Young,never_sig,NS
P12814,ACTN1,Training_Young,never_sig,NS
P12882,MYH1,Training_Young,never_sig,NS
P12883,MYH7,Training_Young,never_sig,NS
P12955,PEPD,Training_Young,never_sig,NS
P12956,XRCC6,Training_Young,never_sig,NS
P13010,XRCC5,Training_Young,never_sig,NS
P13073,COX4I1,Training_Young,never_sig,NS
P13164,IFITM1,Training_Young,never_sig,NS
P13473,LAMP2,Training_Young,never_sig,NS
P13489,RNH1,Training_Young,never_sig,NS
P13535,MYH8,Training_Young,never_sig,NS
P13611,VCAN,Training_Young,never_sig,NS
P13639,EEF2,Training_Young,never_sig,NS
P13645,KRT10,Training_Young,never_sig,NS
P13647,KRT5,Training_Young,never_sig,NS
P13667,PDIA4,Training_Young,never_sig,NS
P13693,TPT1,Training_Young,never_sig,NS
P13716,ALAD,Training_Young,never_sig,NS
P13796,LCP1,Training_Young,never_sig,NS
P13797,PLS3,Training_Young,never_sig,NS
P13798,APEH,Training_Young,never_sig,NS
P13804,ETFA,Training_Young,never_sig,NS
P13805,TNNT1,Training_Young,never_sig,NS
P13807,GYS1,Training_Young,never_sig,NS
P13861,PRKAR2A,Training_Young,never_sig,NS
P13929,ENO3,Training_Young,never_sig,NS
P13987,CD59,Training_Young,never_sig,NS
P14174,MIF,Training_Young,never_sig,NS
P14209,CD99,Training_Young,never_sig,NS
P14314,PRKCSH,Training_Young,never_sig,NS
P14324,FDPS,Training_Young,never_sig,NS
P14406,COX7A2,Training_Young,never_sig,NS
P14543,NID1,Training_Young,imputation_dependent,Conditional
P14550,AKR1A1,Training_Young,never_sig,NS
P14618,PKM,Training_Young,never_sig,NS
P14621,ACYP2,Training_Young,never_sig,NS
P14625,HSP90B1,Training_Young,imputation_dependent,Conditional
P14649,MYL6B,Training_Young,never_sig,NS
P14672,SLC2A4,Training_Young,never_sig,NS
P14735,IDE,Training_Young,never_sig,NS
P14854,COX6B1,Training_Young,imputation_dependent,Conditional
P14866,HNRNPL,Training_Young,never_sig,NS
P14868,DARS1,Training_Young,robust,Robust
P14923,JUP,Training_Young,never_sig,NS
P14927,UQCRB,Training_Young,never_sig,NS
P15088,CPA3,Training_Young,imputation_dependent,Conditional
P15090,FABP4,Training_Young,never_sig,NS
P15104,GLUL,Training_Young,never_sig,NS
P15121,AKR1B1,Training_Young,never_sig,NS
P15170,GSPT1,Training_Young,never_sig,NS
P15259,PGAM2,Training_Young,never_sig,NS
P15311,EZR,Training_Young,robust,Robust
P15374,UCHL3,Training_Young,never_sig,NS
P15531,NME1,Training_Young,never_sig,NS
P15880,RPS2,Training_Young,never_sig,NS
P15927,RPA2,Training_Young,robust,Robust
P15954,COX7C,Training_Young,never_sig,NS
P16083,NQO2,Training_Young,never_sig,NS
P16118,PFKFB1,Training_Young,never_sig,NS
P16152,CBR1,Training_Young,robust,Robust
P16157,ANK1,Training_Young,never_sig,NS
P16219,ACADS,Training_Young,never_sig,NS
P16298,PPP3CB,Training_Young,never_sig,NS
P16615,ATP2A2,Training_Young,never_sig,NS
P16671,CD36,Training_Young,never_sig,NS
P16930,FAH,Training_Young,never_sig,NS
P16989,YBX3,Training_Young,never_sig,NS
P17152,TMEM11,Training_Young,robust,Robust
P17174,GOT1,Training_Young,never_sig,NS
P17540,CKMT2,Training_Young,never_sig,NS
P17568,NDUFB7,Training_Young,robust,Robust
P17612,PRKACA,Training_Young,never_sig,NS
P17655,CAPN2,Training_Young,robust,Robust
P17661,DES,Training_Young,never_sig,NS
P17858,PFKL,Training_Young,never_sig,NS
P17931,LGALS3,Training_Young,robust,Robust
P17948,FLT1,Training_Young,robust,Robust
P17980,PSMC3,Training_Young,never_sig,NS
P17987,TCP1,Training_Young,robust,Robust
P18077,RPL35A,Training_Young,never_sig,NS
P18085,ARF4,Training_Young,never_sig,NS
P18124,RPL7,Training_Young,never_sig,NS
P18206,VCL,Training_Young,never_sig,NS
P18621,RPL17,Training_Young,never_sig,NS
P18669,PGAM1,Training_Young,never_sig,NS
P18859,ATP5PF,Training_Young,never_sig,NS
P19075,TSPAN8,Training_Young,never_sig,NS
P19237,TNNI1,Training_Young,never_sig,NS
P19338,NCL,Training_Young,never_sig,NS
P19367,HK1,Training_Young,never_sig,NS
P19404,NDUFV2,Training_Young,robust,Robust
P19623,SRM,Training_Young,never_sig,NS
P19971,TYMP,Training_Young,never_sig,NS
P20020,ATP2B1,Training_Young,never_sig,NS
P20042,EIF2S2,Training_Young,never_sig,NS
P20073,ANXA7,Training_Young,never_sig,NS
P20231,TPSB2,Training_Young,never_sig,NS
P20290,BTF3,Training_Young,never_sig,NS
P20340,RAB6A,Training_Young,robust,Robust
P20472,PVALB,Training_Young,never_sig,NS
P20618,PSMB1,Training_Young,never_sig,NS
P20674,COX5A,Training_Young,imputation_dependent,Conditional
P20807,CAPN3,Training_Young,never_sig,NS
P20810,CAST,Training_Young,never_sig,NS
P20929,NEB,Training_Young,never_sig,NS
P20962,PTMS,Training_Young,never_sig,NS
P21266,GSTM3,Training_Young,never_sig,NS
P21281,ATP6V1B2,Training_Young,never_sig,NS
P21291,CSRP1,Training_Young,never_sig,NS
P21333,FLNA,Training_Young,robust,Robust
P21397,MAOA,Training_Young,robust,Robust
P21399,ACO1,Training_Young,never_sig,NS
