uniprot_id,contrast,max_rank_shift,min_rank,max_rank,sensitive,gene
P63302,Training_Young,892,345,1237,TRUE,SELENOW
P22352,Training_Young,1590,346,1936,TRUE,GPX3
Q8TD19,Training_Young,446,331,777,TRUE,NEK9
Q9BX66,Training_Young,713,335,1048,TRUE,SORBS1
P24534,Training_Young,268,176,444,TRUE,EEF1B2
Q16816,Training_Young,390,140,530,TRUE,PHKG1
Q99536,Training_Young,239,112,351,TRUE,VAT1
P09012,Training_Young,1460,349,1809,TRUE,SNRPA
P25788,Training_Young,460,170,630,TRUE,PSMA3
P53041,Training_Young,196,158,354,TRUE,PPP5C
Q14108,Training_Young,281,74,355,TRUE,SCARB2
P00387,Training_Young,416,268,684,TRUE,CYB5R3
P12429,Training_Young,1713,357,2070,TRUE,ANXA3
P39023,Training_Young,117,241,358,TRUE,RPL3
Q13155,Training_Young,281,78,359,TRUE,AIMP2
P01857,Training_Young,402,274,676,TRUE,IGHG1
P68104,Training_Young,870,179,1049,TRUE,EEF1A1
P09417,Training_Young,1513,250,1763,TRUE,QDPR
Q9Y394,Training_Young,363,193,556,TRUE,DHRS7
P49591,Training_Young,274,107,381,TRUE,SARS1
Q96RP9,Training_Young,1687,365,2052,TRUE,GFM1
Q9UKG1,Training_Young,217,277,494,TRUE,APPL1
O95376,Training_Young,1143,367,1510,TRUE,ARIH2
P00390,Training_Young,273,95,368,TRUE,GSR
Q9P003,Training_Young,225,144,369,TRUE,CNIH4
Q15075,Training_Young,141,335,476,TRUE,EEA1
Q5JPE7,Training_Young,1481,371,1852,TRUE,NOMO2
P11021,Training_Young,473,185,658,TRUE,HSPA5
Q9UMS0,Training_Young,1607,313,1920,TRUE,NFU1
Q9GZZ1,Training_Young,241,133,374,TRUE,NAA50
P46940,Training_Young,501,375,876,TRUE,IQGAP1
P49411,Training_Young,678,160,838,TRUE,TUFM
Q99829,Training_Young,1629,377,2006,TRUE,CPNE1
Q92523,Training_Young,1395,332,1727,TRUE,CPT1B
