rank,index,confect,effect,AveExpr,name,contrast,gene
35,732,-0.127,-0.8720901365519893,20.897417293339593,P35555,Training_Young,FBN1
36,383,-0.127,-1.511653499659161,19.48265074655865,P08123,Training_Young,COL1A2
37,1042,0.127,0.4469611173776862,22.82269495571682,P62280,Training_Young,RPS11
38,1658,-0.127,-0.5417338627951054,17.60542107007798,Q96E11,Training_Young,MRRF
39,872,-0.127,-0.4363492762723524,17.926820697923613,P50402,Training_Young,EMD
40,1468,-0.125,-0.8716542849067821,22.975117153258346,Q702N8,Training_Young,XIRP1
41,1244,0.125,0.37919918555126486,20.043801565199043,Q13409,Training_Young,DYNC1I2
42,1703,-0.123,-0.5687446447820754,17.93864295417706,Q96S96,Training_Young,PEBP4
43,522,0.122,0.6842729097870723,20.680890121875162,P15311,Training_Young,EZR
44,230,-0.122,-0.5067984687481832,18.986418177248197,O95777,Training_Young,LSM8
45,45,0.116,0.6108800669729924,27.08194341913435,O14558,Training_Young,HSPB6
46,390,-0.116,-1.0168794913499148,21.331819810902726,P08572,Training_Young,COL4A2
47,1524,-0.116,-0.4617581280280625,17.322199945795962,Q8IYU8,Training_Young,MICU2
48,530,0.114,0.4262996302440172,22.877537582503184,P16152,Training_Young,CBR1
49,788,0.111,0.6693682908784417,21.348361789224576,P42330,Training_Young,AKR1C3
50,713,0.11,0.5685933125616849,18.410749891025368,P31949,Training_Young,S100A11
1,1380,0.066,0.6952723713279241,17.49132516684488,Q16658,Training_Old,FSCN1
2,469,-0.047,-0.5765882721389843,18.923377792624148,P12429,Training_Old,ANXA3
3,261,0.047,0.5571688181586403,18.159913494023076,P00492,Training_Old,HPRT1
4,1839,0.045,0.5835738620503506,15.739446107866929,Q9H4G4,Training_Old,GLIPR2
5,1708,NA,-0.4494794133946982,16.544831245352338,Q99447,Training_Old,PCYT2
6,1262,NA,0.5427775731221551,24.146264035928052,Q13557,Training_Old,CAMK2D
7,65,NA,0.4844866616251906,17.13126172492319,O15143,Training_Old,ARPC1B
8,1194,NA,0.45041907473357057,17.037221331688663,Q07960,Training_Old,ARHGAP1
9,2090,NA,-0.36249853409489674,18.032276721632183,Q9Y4G6,Training_Old,TLN2
10,1310,NA,-0.31422918891258433,21.601725068589715,Q14714,Training_Old,SSPN
11,1594,NA,-0.4299556151643422,17.951101605033816,Q8WXH0,Training_Old,SYNE2
12,822,NA,0.38338139948922034,17.24699460491126,P46940,Training_Old,IQGAP1
13,1493,NA,-0.3219908403970173,17.06533816091471,Q86TP1,Training_Old,PRUNE1
14,1359,NA,-0.7393890882703857,22.98543898964788,Q15746,Training_Old,MYLK
15,787,NA,-0.3795463866947646,15.428723347119393,P42167,Training_Old,TMPO
16,1156,NA,-0.5216860526076204,19.8056092554677,Q02252,Training_Old,ALDH6A1
17,2025,NA,-0.45818482487041656,15.903178648180951,Q9ULP9,Training_Old,TBC1D24
18,489,NA,0.3247240608408255,18.535079111207697,P13796,Training_Old,LCP1
19,1235,NA,1.3177817431736152,20.330878450590976,Q13203,Training_Old,MYBPH
20,807,NA,0.3586574986240443,22.09832394836085,P46019,Training_Old,PHKA2
21,1058,NA,0.37380895010624116,21.834083253682095,P62841,Training_Old,RPS15
22,901,NA,-0.30691235018726815,21.918008323753803,P51668,Training_Old,UBE2D1
23,107,NA,-0.4065444847245345,20.180271537764806,O43760,Training_Old,SYNGR2
24,1052,NA,0.3002976005119784,20.22855742826962,P62753,Training_Old,RPS6
25,1264,NA,-0.324470098311636,17.544386211502335,Q13564,Training_Old,NAE1
26,269,NA,-0.5929076536283411,19.655952156874005,P00966,Training_Old,ASS1
27,1550,NA,0.2570526946113425,17.253184776451143,Q8NBS9,Training_Old,TXNDC5
28,1703,NA,-0.4328518275670916,17.93864295417706,Q96S96,Training_Old,PEBP4
29,853,NA,0.24513976373715352,24.222241126049195,P49411,Training_Old,TUFM
30,115,NA,0.3068932421858044,21.563567808245065,O43852,Training_Old,CALU
31,1190,NA,0.34112416755305475,17.768980996832703,Q07065,Training_Old,CKAP4
32,628,NA,-0.2657573364479866,22.1110591627871,P25325,Training_Old,MPST
33,1416,NA,-0.30922469113312445,19.64348364770249,Q5JWF2,Training_Old,GNAS
34,729,NA,0.38411863860052264,22.24052374656813,P35268,Training_Old,RPL22
35,665,NA,0.20264338834274298,20.115229516118106,P28482,Training_Old,MAPK1
36,482,NA,-0.20786489168313338,21.65856972652857,P13611,Training_Old,VCAN
37,1663,NA,-0.2661893546608134,16.59515485471147,Q96EY8,Training_Old,MMAB
38,1817,NA,-0.2660905619999987,22.23456084372507,Q9H0W9,Training_Old,C11orf54
39,308,NA,-0.5348077067119199,21.729627967038166,P02795,Training_Old,MT2A
40,1311,NA,0.42560496989957386,17.716054541704125,Q14764,Training_Old,MVP
41,597,NA,-0.4113964018705616,19.428708615105602,P22352,Training_Old,GPX3
42,760,NA,0.2321482804113657,19.965467385771696,P37802,Training_Old,TAGLN2
43,1575,NA,0.3355770632896409,14.894090386630396,Q8TCU6,Training_Old,PREX1
44,1820,NA,-0.5513598681168901,21.930651345094752,Q9H1R3,Training_Old,MYLK2
45,1434,NA,-0.2590842627222365,19.592525668031822,Q5XPI4,Training_Old,RNF123
46,875,NA,0.5084448161549702,27.414109656819225,P50461,Training_Old,CSRP3
47,156,NA,0.4856379146027514,17.052261058398287,O75368,Training_Old,SH3BGRL
48,249,NA,-0.6938629450076483,21.337948544981224,P00325,Training_Old,ADH1B
49,636,NA,0.24810881708716437,24.14097291286292,P26038,Training_Old,MSN
50,895,NA,-0.37782061401784617,16.312862685124315,P51608,Training_Old,MECP2
1,1455,-0.6960000000000001,-2.377705311219369,20.186987391555427,Q6P5Q4,Aging,LMOD2
2,2061,-0.6890000000000001,-1.9092860345257172,20.619757757665155,Q9Y2H6,Aging,FNDC3A
3,1683,-0.503,-1.1591239480049715,18.473659829243303,Q96JJ7,Aging,TMX3
4,1597,-0.484,-1.698599629558906,26.143793429639274,Q8WZ42,Aging,TTN
5,1853,-0.484,-1.644909849909471,17.68268648190246,Q9H987,Aging,SYNPO2L
6,1424,-0.484,-1.1644586930762628,18.757173362229285,Q5TGZ0,Aging,MICOS10
7,1976,0.47000000000000003,1.0447209769486534,17.222089908338106,Q9UBR2,Aging,CTSZ
8,1028,-0.455,-1.200772161835829,20.44764512118542,P62081,Aging,RPS7
9,1525,-0.40800000000000003,-1.338332856959271,14.939996241809592,Q8IZ81,Aging,ELMOD2
10,1426,-0.394,-1.0356186652929154,23.704863058641727,Q5VST9,Aging,OBSCN
11,1235,-0.394,-2.178460653867159,20.330878450590976,Q13203,Aging,MYBPH
12,1742,-0.393,-1.1590495316387006,14.959847193001648,Q9BR76,Aging,CORO1B
13,575,-0.393,-1.4746070083876113,24.6252830359997,P20929,Aging,NEB
14,544,-0.393,-1.5002337049559067,24.422401733923014,P17661,Aging,DES
15,1694,-0.393,-0.986299420248475,14.366598121200877,Q96Q83,Aging,ALKBH3
16,1282,0.38,0.9242731687237118,20.149324095477187,Q13907,Aging,IDI1
17,394,-0.38,-1.0332262377094548,15.178513448255273,P08621,Aging,SNRNP70
18,1333,-0.37,-0.9558395552626884,23.93680803887887,Q15149,Aging,PLEC
19,1019,0.36,0.9521216693799399,14.153732300501597,P61916,Aging,NPC2
20,414,-0.352,-1.1969495933747574,17.212812848786825,P09601,Aging,HMOX1
21,642,0.339,0.7852795512587498,20.720160789684428,P26583,Aging,HMGB2
22,1714,0.338,1.171030635769636,22.373030226706305,Q99541,Aging,PLIN2
23,15,0.335,1.0192950461402077,22.347141213884665,O00151,Aging,PDLIM1
24,1578,-0.322,-0.9037793670534455,18.983905049948785,Q8TDC0,Aging,MYOZ3
25,1473,-0.309,-1.0588579015111073,20.343393080749028,Q7L1Q6,Aging,BZW1
26,2072,-0.309,-0.872657839041306,16.68207162719887,Q9Y320,Aging,TMX2
27,1501,-0.309,-1.0812173362372235,17.4293658324972,Q86VD7,Aging,SLC25A42
28,1427,-0.304,-1.3051917312413046,23.30104274947312,Q5VTT5,Aging,MYOM3
29,570,-0.304,-1.3717777901804098,22.095891079935132,P20472,Aging,PVALB
30,1949,-0.304,-0.8862579168534914,20.486184479859826,Q9NZM1,Aging,MYOF
31,1319,-0.298,-0.8769238416287948,16.390331491608826,Q15006,Aging,EMC2
32,1679,-0.298,-0.9958071588421689,19.39805355767357,Q96I23,Aging,PYURF
33,1660,-0.298,-1.305384513272731,17.256143559041323,Q96EP5,Aging,DAZAP1
34,298,0.298,0.9400205340277097,18.26495133748031,P02750,Aging,LRG1
35,54,-0.298,-1.6998354075987123,18.78983049008028,O14929,Aging,HAT1
36,440,-0.298,-1.6328318350087265,22.790862316203327,P10828,Aging,THRB
37,1984,-0.291,-0.9519725822715763,16.56581183064826,Q9UGI8,Aging,TES
38,1507,-0.28500000000000003,-0.932661615210975,17.701520205320826,Q86X55,Aging,CARM1
39,900,-0.281,-0.6136957041727591,20.21700699012216,P51665,Aging,PSMD7
40,1195,-0.278,-2.298301709098549,23.54996686634212,Q08043,Aging,ACTN3
41,745,0.278,0.6860538897615669,21.38984249619273,P35914,Aging,HMGCL
42,1441,-0.275,-0.7863527213898038,20.64807632440793,Q6IAN0,Aging,DHRS7B
43,1667,0.271,0.5324309238105016,21.259229630021153,Q96FW1,Aging,OTUB1
44,1255,-0.266,-0.6863359258458672,16.299096872147825,Q13501,Aging,SQSTM1
45,581,0.266,0.7757270375166314,22.377918316017247,P21397,Aging,MAOA
46,319,0.265,0.8245776815227046,25.119179410015473,P04179,Aging,SOD2
47,1477,-0.262,-0.8568014393141006,16.637760096795883,Q7LG56,Aging,RRM2B
48,975,-0.258,-0.7386383762669997,16.338699181548783,P57772,Aging,EEFSEC
49,1360,-0.258,-0.751763389455629,18.738095451790077,Q15772,Aging,SPEG
50,1973,-0.257,-0.8619431311781032,16.42016465683785,Q9UBQ0,Aging,VPS29
1,1468,NA,1.3052701123210504,22.975117153258346,Q702N8,Interaction,XIRP1
2,1877,NA,0.5316056037245911,14.683211734774973,Q9NP77,Interaction,SSU72
3,1906,NA,0.94340556272304,19.389199006492287,Q9NS69,Interaction,TOMM22
4,872,NA,0.4825600834205588,17.926820697923613,P50402,Interaction,EMD
5,1084,NA,0.5001455770363599,20.67122433704317,P63173,Interaction,RPL38
6,710,NA,0.417924054452012,19.837629383498363,P31943,Interaction,HNRNPH1
7,624,NA,0.39587058219030524,22.55397740027451,P24666,Interaction,ACP1
8,589,NA,0.7324769052765809,17.906590864344935,P21980,Interaction,TGM2
9,973,NA,0.6504659324548037,23.703505793630796,P56556,Interaction,NDUFA6
10,1191,NA,0.8339417704159153,17.740882965863676,Q07507,Interaction,DPT
11,547,NA,1.8457003097586977,20.88678623926204,P17948,Interaction,FLT1
12,2118,NA,-0.5499907920843121,16.839368509588507,Q9Y6G9,Interaction,DYNC1LI1
13,1295,NA,-0.32554971150807077,21.353978593683202,Q14204,Interaction,DYNC1H1
14,388,NA,1.1057279124032995,17.58565486358542,P08311,Interaction,CTSG
15,1432,NA,-0.26500611934823937,20.914278252489822,Q5VYK3,Interaction,ECPAS
16,1483,NA,-0.3318350168833071,19.73932083595957,Q7Z434,Interaction,MAVS
17,1119,NA,0.5465831536244465,19.668362764268245,P83731,Interaction,RPL24
18,1658,NA,0.5532118310540461,17.60542107007798,Q96E11,Interaction,MRRF
19,442,NA,1.1680326679563287,28.250741217454202,P10916,Interaction,MYL2
20,1637,NA,0.6103981972450967,21.220764606159136,Q96AN5,Interaction,TMEM143
21,230,NA,0.5174878409933363,18.986418177248197,O95777,Interaction,LSM8
22,952,NA,-0.3007342669076749,22.142443155267326,P55060,Interaction,CSE1L
23,1575,NA,0.48114283087684484,14.894090386630396,Q8TCU6,Interaction,PREX1
24,561,NA,0.48713667804029726,25.411362020591955,P19404,Interaction,NDUFV2
25,1287,NA,0.809896780466179,17.891099488928234,Q14112,Interaction,NID2
26,290,NA,1.4413430683188686,21.149611804902705,P02461,Interaction,COL3A1
27,1704,NA,0.4550523412270664,17.25750215806229,Q96S99,Interaction,PLEKHF1
28,1627,NA,0.32787283623730445,19.56432981870863,Q969T9,Interaction,WBP2
29,1908,NA,-0.5053767213517624,23.215475227987717,Q9NSD9,Interaction,FARSB
30,1457,NA,1.5209909051283184,21.18941313513037,Q6PK04,Interaction,CCDC137
31,412,NA,-0.31353825116966405,18.985098783243398,P09497,Interaction,CLTB
32,99,NA,0.4744514393775816,23.458916660178602,O43674,Interaction,NDUFB5
33,538,NA,0.3403067043892385,23.015574220193262,P17152,Interaction,TMEM11
34,1576,NA,-0.38857692310030245,16.718965905043337,Q8TD19,Interaction,NEK9
35,78,NA,0.7034443679316773,20.302762001284965,O15427,Interaction,SLC16A3
36,1199,NA,1.4805014610885259,20.99794376753903,Q08357,Interaction,SLC20A2
37,148,NA,0.6104914882179813,22.692088954946474,O75251,Interaction,NDUFS7
38,289,NA,1.4075702137822859,19.841311365364966,P02452,Interaction,COL1A1
39,526,NA,0.5693200891010228,17.87687125822803,P15927,Interaction,RPA2
40,377,NA,-0.19613904367264468,21.485594461126226,P07814,Interaction,EPRS1
41,1058,NA,0.43842871890408475,21.834083253682095,P62841,Interaction,RPS15
42,644,NA,-0.36249349856235824,21.90491334544869,P26640,Interaction,VARS1
43,2042,NA,0.2983026318263349,17.64537224473784,Q9UPN7,Interaction,PPP6R1
44,1730,NA,-0.30937822831379336,17.7475157073117,Q99816,Interaction,TSG101
45,202,NA,0.5584980226347263,22.560687075996523,O95167,Interaction,NDUFA3
46,1140,NA,-0.36692397205341365,24.50678570247388,Q00765,Interaction,REEP5
47,435,NA,0.44311794741172505,26.880024151914807,P10606,Interaction,COX5B
48,1210,NA,0.4237513912451476,17.67016064765604,Q10713,Interaction,PMPCA
49,150,NA,0.4944713452403491,24.603951355881325,O75306,Interaction,NDUFS2
50,628,NA,-0.32696298040746896,22.1110591627871,P25325,Interaction,MPST
