gene,pattern,sort_key,logFC_Training_Young,logFC_Training_Old,pi_score_Young,pi_score_Old,pi_score_Interaction,imputed
SSU72,Blunted,-0.9348,-0.9348,0.0156,1e-6,0.998094,1.9e-5,TRUE
RPA2,Blunted,-0.9608,-0.9608,0.0226,0.00179,0.997403,0.004663,TRUE
COL4A2,Blunted,-0.9791,-0.9791,-0.0435,0.002154,0.994763,0.040516,TRUE
SLC20A2,Blunted,-1.0441,-1.0441,-0.0389,0.01642,0.996946,0.095884,TRUE
COL1A1,Blunted,-1.0776,-1.0776,0.0287,0.004646,0.998286,0.035167,TRUE
UTP15,Blunted,-1.1285,-1.1285,0.113,0.002219,0.9706,0.010264,TRUE
COL3A1,Blunted,-1.1307,-1.1307,0.3484,0.002345,0.709089,9.25e-4,TRUE
MSRB3,Blunted,-1.2055,-1.2055,-0.0137,0.004227,0.999085,0.00799,TRUE
MYH3,Blunted,-1.2199,-1.2199,-0.4081,0.003406,0.672077,0.286149,TRUE
COL1A2,Blunted,-1.2317,-1.2317,-0.0828,0.003149,0.987199,0.054985,TRUE
COL4A1,Blunted,-1.3968,-1.3968,-0.0789,1.2e-5,0.984333,0.002523,TRUE
IFT81,Blunted,-1.4638,-1.4638,-0.0878,0,0.983188,0.0015,TRUE
CCDC137,Blunted,-1.6349,-1.6349,-0.2155,1e-6,0.902426,0.004064,TRUE
FLT1,Blunted,-1.6629,-1.6629,0.0429,4e-6,0.996468,3.07e-4,TRUE
CTSG,Blunted,-2.0981,-2.0981,0.0989,0.001368,0.978241,0.001287,TRUE
MUSTN1,Age-resistant,0.7718,-0.0796,0.7718,0.982096,0.043355,0.088317,FALSE
GLIPR2,Age-resistant,0.606,0.4474,0.606,0.298948,0.016141,0.919928,TRUE
CAMK2D,Age-resistant,0.5425,0.4039,0.5425,0.128751,0.015099,0.908389,FALSE
ARHGAP1,Age-resistant,0.4722,0.388,0.4722,0.126277,0.032159,0.964828,TRUE
SYNE2,Age-resistant,-0.4305,-0.388,-0.4305,0.114073,0.038032,0.990936,TRUE
TBC1D24,Age-resistant,-0.4748,0.0526,-0.4748,0.989707,0.028882,0.211047,TRUE
SYNGR2,Age-resistant,-0.4791,-0.2713,-0.4791,0.525499,0.037071,0.792651,TRUE
PCYT2,Age-resistant,-0.4805,-0.0878,-0.4805,0.950332,0.025479,0.312964,TRUE
ALDH6A1,Age-resistant,-0.5216,-0.2031,-0.5216,0.723033,0.036071,0.557876,TRUE
ANXA3,Age-resistant,-0.5737,-0.3847,-0.5737,0.325739,0.01238,0.859175,TRUE
ASS1,Age-resistant,-0.6464,-0.2462,-0.6464,0.841929,0.037467,0.65699,TRUE
SLC25A42,Age-resistant,-0.7574,-0.3609,-0.7574,0.846408,0.031184,0.826442,TRUE
CAV2,Interaction only,1.3093,-0.9511,0.3582,0.080358,0.406001,0.007269,TRUE
ACTN2,Interaction only,1.2835,-0.7901,0.4934,0.168305,0.569347,0.030806,FALSE
CILP,Interaction only,1.0406,-0.7976,0.243,0.14844,0.626583,0.035747,TRUE
PREX1,Interaction only,1.0334,-0.5886,0.4448,0.053062,0.153173,3.8e-4,TRUE
TES,Interaction only,0.9645,-0.5997,0.3648,0.266665,0.485823,0.040366,TRUE
CHDH,Interaction only,0.8512,-0.4593,0.3919,0.295913,0.202024,0.012611,TRUE
CAPRIN1,Interaction only,0.8478,-0.5687,0.2791,0.147531,0.643585,0.030816,TRUE
DHRS11,Interaction only,0.7757,-0.5968,0.1789,0.109306,0.790308,0.035907,TRUE
RPL24,Interaction only,0.5648,-0.1891,0.3757,0.699951,0.151231,0.041667,TRUE
