gene,pathway,go_slim_id,expanded_category,logFC_Training_Young,logFC_Training_Old
PLEKHF1,Protein Homeostasis,GO:0006914,Interaction,-0.8051,0.0468
SLC25A46,Protein Homeostasis,GO:0006914,Interaction,0.8812,-0.0505
UCHL1,Protein Homeostasis,GO:0006914,Interaction,0.9016,0.1236
ACTN4,Transcription & Chromatin,GO:0006355,Interaction,-0.7896,0.3669
CAPRIN1,Transcription & Chromatin,GO:0016071,Interaction,-0.5661,0.2795
FLT1,Transcription & Chromatin,GO:0006325,Interaction,-1.6632,0.0423
SSU72,Transcription & Chromatin,GO:0016071,Interaction,-0.9314,0.0164
UBN2,Transcription & Chromatin,GO:0006325,Interaction,-1.0031,0.2347
RPL24,Translation & Ribosome,GO:0002181,Interaction,-0.2261,0.3757
ACTN2,Transport,GO:0072659,Interaction,-0.884,0.4933
TOMM22,Transport,GO:0006886,Interaction,-0.7784,0.165
MYLK,ECM & Adhesion,GO:0042060,Sig Both Down,-0.7289,-0.7394
ADH1B,Lipid Metabolism,GO:0006629,Sig Both Down,-0.8557,-0.6939
HPRT1,Amino Acid & Cofactor Metabolism,GO:0055086,Sig Both Up,0.5482,0.5572
FSCN1,Cytoskeleton & Motility,GO:0007163,Sig Both Up,0.709,0.6485
S100A13,Immune & Inflammation,GO:0002376,Sig Both Up,1.2092,0.6614
MYBPH,Muscle & Contractile,GO:0003012,Sig Both Up,1.0138,1.7207
ALDH6A1,Amino Acid & Cofactor Metabolism,GO:0006520,Sig Old Down,-0.2249,-0.5217
ASS1,Amino Acid & Cofactor Metabolism,GO:0071941,Sig Old Down,-0.2463,-0.6463
SLC25A42,Amino Acid & Cofactor Metabolism,GO:0006766,Sig Old Down,-0.3587,-0.7565
ANXA3,Immune & Inflammation,GO:0098542,Sig Old Down,-0.486,-0.5736
PCYT2,Lipid Metabolism,GO:0006629,Sig Old Down,-0.0951,-0.4799
SYNGR2,Transport,GO:0061024,Sig Old Down,-0.272,-0.4795
TBC1D24,Transport,GO:0016192,Sig Old Down,0.0541,-0.4739
GLIPR2,Cytoskeleton & Motility,GO:0048870,Sig Old Up,0.4489,0.6074
MUSTN1,Protein Homeostasis,GO:0009100,Sig Old Up,-0.0292,0.7722
ARHGAP1,Transport,GO:0016192,Sig Old Up,0.3683,0.4728
CAMK2D,Transport,GO:0072659,Sig Old Up,0.4289,0.5428
MGST3,Amino Acid & Cofactor Metabolism,GO:0098754,Sig Young Down,-0.4589,-0.151
MYH3,Amino Acid & Cofactor Metabolism,GO:0055086,Sig Young Down,-1.1506,-0.4081
NDUFV2,Amino Acid & Cofactor Metabolism,GO:0055086,Sig Young Down,-0.4563,0.0308
COX7B,Carbohydrate & Energy Metabolism,GO:0006091,Sig Young Down,-0.601,-0.0304
FBN1,Carbohydrate & Energy Metabolism,GO:0005975,Sig Young Down,-0.8203,-0.3809
MT-CO3,Carbohydrate & Energy Metabolism,GO:0006091,Sig Young Down,-0.5282,-0.0733
SORBS1,Carbohydrate & Energy Metabolism,GO:0005975,Sig Young Down,-0.8063,-0.2996
TNNC1,Circulatory System,GO:0003013,Sig Young Down,-0.7281,0.0911
TNNI1,Circulatory System,GO:0003013,Sig Young Down,-0.7107,0.0606
H1-0,DNA & Cell Cycle,GO:0006310,Sig Young Down,-0.7195,-0.2365
H3-3A,DNA & Cell Cycle,GO:0032200,Sig Young Down,-0.7906,-0.0448
NFIC,DNA & Cell Cycle,GO:0006260,Sig Young Down,-0.5819,-0.1288
UBE2B,DNA & Cell Cycle,GO:0006281,Sig Young Down,-0.6201,0.0347
MAOB,Development,GO:0048856,Sig Young Down,-0.424,-0.1828
CD81,Immune & Inflammation,GO:0006954,Sig Young Down,-0.6933,-0.1561
GNAS,Immune & Inflammation,GO:0006954,Sig Young Down,-0.4918,-0.3092
MT-ND4,Mitochondria & Energy,GO:0007005,Sig Young Down,-0.5174,-0.2179
NDUFA3,Mitochondria & Energy,GO:0007005,Sig Young Down,-0.6511,-0.0926
NDUFB6,Mitochondria & Energy,GO:0007005,Sig Young Down,-0.5514,0.0169
NDUFB7,Mitochondria & Energy,GO:0007005,Sig Young Down,-0.5358,-0.0559
NDUFS7,Mitochondria & Energy,GO:0007005,Sig Young Down,-0.564,0.0465
TNNT1,Muscle & Contractile,GO:0003012,Sig Young Down,-0.7547,0.087
ART3,Other,OTHER,Sig Young Down,-0.7642,-0.4314
FAM185A,Other,OTHER,Sig Young Down,-0.8722,-0.323
MAOA,Other,OTHER,Sig Young Down,-0.5078,-0.1941
PEBP4,Other,OTHER,Sig Young Down,-0.6064,-0.4403
TMEM143,Other,OTHER,Sig Young Down,-0.5107,0.0536
COL6A1,Protein Homeostasis,GO:0006914,Sig Young Down,-0.7609,0.1194
ACP1,Transcription & Chromatin,GO:0006325,Sig Young Down,-0.3593,0.0365
RBM3,Transcription & Chromatin,GO:0016071,Sig Young Down,-0.6171,0.0331
SNU13,Transcription & Chromatin,GO:0016071,Sig Young Down,-0.508,-0.1851
WBP2,Transcription & Chromatin,GO:0006325,Sig Young Down,-0.3821,-0.0342
UTP15,Translation & Ribosome,GO:0042254,Sig Young Down,-0.7248,0.1131
EMD,Transport,GO:0006913,Sig Young Down,-0.4248,0.0462
MICU2,Transport,GO:0055085,Sig Young Down,-0.549,-0.0824
SLC20A2,Transport,GO:0055085,Sig Young Down,-1.1463,-0.0392
TOR1AIP1,Transport,GO:0061024,Sig Young Down,-0.6152,-0.21
UBE2I,Transport,GO:0006913,Sig Young Down,-0.4831,-0.2245
CARNS1,Amino Acid & Cofactor Metabolism,GO:0006520,Sig Young Up,0.7943,0.4533
EZR,Amino Acid & Cofactor Metabolism,GO:0007586,Sig Young Up,0.7289,0.197
GBE1,Carbohydrate & Energy Metabolism,GO:0005975,Sig Young Up,0.4435,0.2465
GLRX3,Circulatory System,GO:0003013,Sig Young Up,0.5574,0.2165
HSPB7,Circulatory System,GO:0003013,Sig Young Up,0.4731,0.2019
DYNC1I2,Cytoskeleton & Motility,GO:0007018,Sig Young Up,0.3792,0.0892
DYNLT1,Cytoskeleton & Motility,GO:0007163,Sig Young Up,0.4335,0.2535
FLNC,Cytoskeleton & Motility,GO:0007010,Sig Young Up,0.5282,0.2122
GSN,Cytoskeleton & Motility,GO:0044782,Sig Young Up,0.5256,0.4735
MSN,Cytoskeleton & Motility,GO:0007163,Sig Young Up,0.4949,0.2481
DYNC1H1,DNA & Cell Cycle,GO:0007059,Sig Young Up,0.4449,0.1194
DYNC1LI1,DNA & Cell Cycle,GO:0140014,Sig Young Up,0.6541,0.104
S100A11,DNA & Cell Cycle,GO:0006260,Sig Young Up,0.544,0.193
TUBB6,DNA & Cell Cycle,GO:0000278,Sig Young Up,0.613,0.2375
S100A4,Development,GO:0030154,Sig Young Up,1.0817,0.4382
ANXA1,Immune & Inflammation,GO:0006954,Sig Young Up,0.5916,0.2384
AKR1C3,Lipid Metabolism,GO:0042180,Sig Young Up,0.6694,0.0679
CBR1,Lipid Metabolism,GO:0042180,Sig Young Up,0.4263,0.2353
USP9X,Mitochondria & Energy,GO:0007031,Sig Young Up,0.4173,0.1198
CALU,Other,OTHER,Sig Young Up,0.3928,0.3069
JPT2,Other,OTHER,Sig Young Up,0.9033,0.4141
CAPN2,Protein Homeostasis,GO:0051604,Sig Young Up,0.3463,0.2028
CCT6A,Protein Homeostasis,GO:0006457,Sig Young Up,0.4038,0.1658
HSPB1,Protein Homeostasis,GO:0006457,Sig Young Up,0.5302,0.3896
HSPB6,Protein Homeostasis,GO:0006457,Sig Young Up,0.6109,0.2797
PSME1,Protein Homeostasis,GO:0030163,Sig Young Up,0.3948,0.1158
PSME2,Protein Homeostasis,GO:0030163,Sig Young Up,0.6118,0.2853
SERPINH1,Protein Homeostasis,GO:0051604,Sig Young Up,0.9777,0.8207
FARSA,Translation & Ribosome,GO:0006399,Sig Young Up,0.4426,0.0452
FARSB,Translation & Ribosome,GO:0006399,Sig Young Up,0.6285,0.1232
RPS11,Translation & Ribosome,GO:0002181,Sig Young Up,0.4924,0.1916
VARS1,Translation & Ribosome,GO:0006399,Sig Young Up,0.5164,0.154
RAB6A,Transport,GO:0006886,Sig Young Up,0.4373,0.0819
S100A6,Transport,GO:0055085,Sig Young Up,1.2584,0.532
