gene,pathway,go_slim_id,pattern,logFC_Training_Young,logFC_Training_Old
MAOA,Other,OTHER,Blunted,-0.5056,-0.1942
MSRB3,Other,OTHER,Blunted,-1.2086,-0.0131
PEBP4,Other,OTHER,Blunted,-0.6072,-0.4404
TMEM143,Other,OTHER,Blunted,-0.493,0.0538
COPS7B,Protein Homeostasis,GO:0065003,Blunted,0.8274,-0.4562
F13A1,Protein Homeostasis,GO:0051604,Blunted,0.7378,0.1256
HSPB1,Protein Homeostasis,GO:0006457,Blunted,0.5239,0.3906
HSPB6,Protein Homeostasis,GO:0006457,Blunted,0.6189,0.2803
PLEKHF1,Protein Homeostasis,GO:0006914,Blunted,-0.8062,0.0467
PSME1,Protein Homeostasis,GO:0030163,Blunted,0.3728,0.1158
PSME2,Protein Homeostasis,GO:0030163,Blunted,0.6116,0.2855
SERPINH1,Protein Homeostasis,GO:0051604,Blunted,0.9077,0.8184
SLC25A46,Protein Homeostasis,GO:0006914,Blunted,0.8803,-0.0505
UCHL1,Protein Homeostasis,GO:0006914,Blunted,0.8545,0.1235
ACP1,Transcription & Chromatin,GO:0006325,Blunted,-0.3585,0.0363
FLT1,Transcription & Chromatin,GO:0006325,Blunted,-1.6628,0.0425
RBM3,Transcription & Chromatin,GO:0016071,Blunted,-0.6173,0.0332
SNU13,Transcription & Chromatin,GO:0016071,Blunted,-0.5086,-0.1851
SSU72,Transcription & Chromatin,GO:0016071,Blunted,-0.9328,0.0159
UBN2,Transcription & Chromatin,GO:0006325,Blunted,-0.8973,0.2349
WBP2,Transcription & Chromatin,GO:0006325,Blunted,-0.3821,-0.0341
FARSA,Translation & Ribosome,GO:0006399,Blunted,0.4437,0.0453
FARSB,Translation & Ribosome,GO:0006399,Blunted,0.6058,0.1229
RPS11,Translation & Ribosome,GO:0002181,Blunted,0.4916,0.1915
TARS1,Translation & Ribosome,GO:0006399,Blunted,0.4438,0.154
UTP15,Translation & Ribosome,GO:0042254,Blunted,-1.1283,0.1129
VARS1,Translation & Ribosome,GO:0006399,Blunted,0.5251,0.154
EMD,Transport,GO:0006913,Blunted,-0.4253,0.0463
MICU2,Transport,GO:0055085,Blunted,-0.5495,-0.0824
S100A6,Transport,GO:0055085,Blunted,1.1743,0.5318
SLC20A2,Transport,GO:0055085,Blunted,-1.0443,-0.0392
TOMM22,Transport,GO:0006886,Blunted,-0.7464,0.1652
TOR1AIP1,Transport,GO:0061024,Blunted,-0.6155,-0.2099
UBE2I,Transport,GO:0006913,Blunted,-0.4999,-0.2245
ALDH6A1,Amino Acid & Cofactor Metabolism,GO:0006520,Age-resistant,-0.2025,-0.5215
ASS1,Amino Acid & Cofactor Metabolism,GO:0071941,Age-resistant,-0.2465,-0.6461
SLC25A42,Amino Acid & Cofactor Metabolism,GO:0006766,Age-resistant,-0.3589,-0.7564
GLIPR2,Cytoskeleton & Motility,GO:0048870,Age-resistant,0.4482,0.6069
SYNE2,Cytoskeleton & Motility,GO:0044782,Age-resistant,-0.3862,-0.4299
ANXA3,Immune & Inflammation,GO:0098542,Age-resistant,-0.3828,-0.5734
PCYT2,Lipid Metabolism,GO:0006629,Age-resistant,-0.0861,-0.48
MUSTN1,Protein Homeostasis,GO:0009100,Age-resistant,-0.0794,0.7717
ARHGAP1,Transport,GO:0016192,Age-resistant,0.3887,0.4729
CAMK2D,Transport,GO:0072659,Age-resistant,0.404,0.5426
SYNGR2,Transport,GO:0061024,Age-resistant,-0.2717,-0.4793
TBC1D24,Transport,GO:0016192,Age-resistant,0.054,-0.4741
CAV2,DNA & Cell Cycle,GO:0140014,Interaction only,-0.9489,0.3588
PREX1,Immune & Inflammation,GO:0002376,Interaction only,-0.5843,0.4446
DHRS11,Lipid Metabolism,GO:0006629,Interaction only,-0.5959,0.1796
CHDH,Other,OTHER,Interaction only,-0.4579,0.3925
CILP,Other,OTHER,Interaction only,-0.7974,0.2436
TES,Other,OTHER,Interaction only,-0.5976,0.3649
CAPRIN1,Transcription & Chromatin,GO:0016071,Interaction only,-0.5672,0.2793
RPL24,Translation & Ribosome,GO:0002181,Interaction only,-0.1886,0.3759
ACTN2,Transport,GO:0072659,Interaction only,-0.7902,0.4935
